tag,count,href,category
Robin (Ghosts TV 2019),949,/tags/Robin%20(Ghosts%20TV%202019),c
The Captain (Ghosts TV 2019),1760,/tags/The%20Captain%20(Ghosts%20TV%202019),c
Julian Fawcett,1078,/tags/Julian%20Fawcett,c
Alison (Ghosts TV 2019),1050,/tags/Alison%20(Ghosts%20TV%202019),c
Mike (Ghosts TV 2019),619,/tags/Mike%20(Ghosts%20TV%202019),c
Mary (Ghosts TV 2019),743,/tags/Mary%20(Ghosts%20TV%202019),c
Lady Fanny Button,812,/tags/Lady%20Fanny%20Button,c
Kitty (Ghosts TV 2019),936,/tags/Kitty%20(Ghosts%20TV%202019),c
The Captain/Mike (Ghosts TV 2019),0,/tags/The%20Captain*s*Mike%20(Ghosts%20TV%202019),r
The Captain (Ghosts TV 2019)/Original Male Character(s),55,/tags/The%20Captain%20(Ghosts%20TV%202019)*s*Original%20Male%20Character(s),r
Alison/Mike (Ghosts TV 2019),291,/tags/Alison*s*Mike%20(Ghosts%20TV%202019),r
The Plague Victims (Ghosts TV 2019),91,/tags/The%20Plague%20Victims%20(Ghosts%20TV%202019),c
The Captain (Ghosts TV 2019)/Original Female Character(s),2,/tags/The%20Captain%20(Ghosts%20TV%202019)*s*Original%20Female%20Character(s),r
The Captain (Ghosts TV 2019)/Original Character(s),8,/tags/The%20Captain%20(Ghosts%20TV%202019)*s*Original%20Character(s),r
The Captain/Julian Fawcett,88,/tags/The%20Captain*s*Julian%20Fawcett,r
Button House Ghosts (Ghosts TV 2019),54,/tags/Button%20House%20Ghosts%20(Ghosts%20TV%202019),c
The Captain is Gay (Ghosts TV 2019),265,/tags/The%20Captain%20is%20Gay%20(Ghosts%20TV%202019),f
George Gordon Byron | Lord Byron/Thomas Thorne (Ghosts TV 2019),3,/tags/George%20Gordon%20Byron%20%7C%20Lord%20Byron*s*Thomas%20Thorne%20(Ghosts%20TV%202019),r
The Captain/Thomas Thorne (Ghosts TV 2019),18,/tags/The%20Captain*s*Thomas%20Thorne%20(Ghosts%20TV%202019),r
Bisexual Thomas Thorne,19,/tags/Bisexual%20Thomas%20Thorne,f
Mary & Robin (Ghosts TV 2019),11,/tags/Mary%20*a*%20Robin%20(Ghosts%20TV%202019),r
Alison/Kitty (Ghosts TV 2019),4,/tags/Alison*s*Kitty%20(Ghosts%20TV%202019),r
Thomas Thorne (Ghosts TV 2019),222,/tags/Thomas%20Thorne%20(Ghosts%20TV%202019),c
Carol (Ghosts TV 2019),38,/tags/Carol%20(Ghosts%20TV%202019),c
Adam (Ghosts TV 2019),14,/tags/Adam%20(Ghosts%20TV%202019),c
Episode: s01e06 Getting Out,0,/tags/Episode:%20s01e06%20Getting%20Out,f
Bisexual Kitty (Ghosts TV 2019),4,/tags/Bisexual%20Kitty%20(Ghosts%20TV%202019),f
Alison & Kitty (Ghosts TV 2019),27,/tags/Alison%20*a*%20Kitty%20(Ghosts%20TV%202019),r
Episode: s01e02 Gorilla War,1,/tags/Episode:%20s01e02%20Gorilla%20War,f
ghosts/happiness,3,/tags/ghosts*s*happiness,r
Alison (Ghosts TV 2019) & Everyone,34,/tags/Alison%20(Ghosts%20TV%202019)%20*a*%20Everyone,r
Minor Alison/Mike (Ghosts TV 2019),6,/tags/Minor%20Alison*s*Mike%20(Ghosts%20TV%202019),f
Toby Nightingale,3,/tags/Toby%20Nightingale,c
Helmut (Ghosts TV 2019),4,/tags/Helmut%20(Ghosts%20TV%202019),c
Wolfgang (Ghosts TV 2019),4,/tags/Wolfgang%20(Ghosts%20TV%202019),c
Helmut/Wolfgang (Ghosts TV 2019),3,/tags/Helmut*s*Wolfgang%20(Ghosts%20TV%202019),r
