tag,count,href,category
Pepper Potts,53448,/tags/Pepper%20Potts,c
Phil Coulson,41041,/tags/Phil%20Coulson,c
Tony Stark,234077,/tags/Tony%20Stark,c
Tony Stark/Bruce Wayne,779,/tags/Tony%20Stark*s*Bruce%20Wayne,r
Steve Rogers/Tony Stark,77725,/tags/Steve%20Rogers*s*Tony%20Stark,r
Steve Rogers,224281,/tags/Steve%20Rogers,c
Janet Van Dyne,2203,/tags/Janet%20Van%20Dyne,c
Peter Parker,116151,/tags/Peter%20Parker,c
Maria Hill,16895,/tags/Maria%20Hill,c
Stephen Strange,22785,/tags/Stephen%20Strange,c
Clint Barton,115563,/tags/Clint%20Barton,c
Bobbi Morse,5600,/tags/Bobbi%20Morse,c
Happy Hogan,12632,/tags/Happy%20Hogan,c
Reed Richards,1956,/tags/Reed%20Richards,c
Bruce Banner,72843,/tags/Bruce%20Banner,c
Scott Lang,9241,/tags/Scott%20Lang,c
Howard Stark,8840,/tags/Howard%20Stark,c
Carol Danvers,8947,/tags/Carol%20Danvers,c
Matt Murdock,22293,/tags/Matt%20Murdock,c
Steve Rogers/Sam Wilson,3972,/tags/Steve%20Rogers*s*Sam%20Wilson,r
Nick Fury,29870,/tags/Nick%20Fury,c
Gabe Jones,1407,/tags/Gabe%20Jones,c
Sam Sawyer,37,/tags/Sam%20Sawyer,c
Peggy Carter,19969,/tags/Peggy%20Carter,c
Obadiah Stane,2624,/tags/Obadiah%20Stane,c
Wanda Maximoff,40323,/tags/Wanda%20Maximoff,c
Jennifer Walters,1112,/tags/Jennifer%20Walters,c
Karolina Dean,934,/tags/Karolina%20Dean,c
Captain America/Iron Man Big Bang 2009,9,/tags/Captain%20America*s*Iron%20Man%20Big%20Bang%202009,f
Kate Bishop,8697,/tags/Kate%20Bishop,c
Luke Cage,2791,/tags/Luke%20Cage,c
Jack Harkness/Tony Stark,23,/tags/Jack%20Harkness*s*Tony%20Stark,r
Otto Octavius,2798,/tags/Otto%20Octavius,c
Norman Osborn,2650,/tags/Norman%20Osborn,c
Geoffrey Wilder,23,/tags/Geoffrey%20Wilder,c
Matt Murdock/Danny Rand,99,/tags/Matt%20Murdock*s*Danny%20Rand,r
Steve Rogers/Shawn Spencer,0,/tags/Steve%20Rogers*s*Shawn%20Spencer,r
"James ""Rhodey"" Rhodes",28414,/tags/James%20%22Rhodey%22%20Rhodes,c
Lorna Dane,1345,/tags/Lorna%20Dane,c
Nico Minoru,953,/tags/Nico%20Minoru,c
Gertrude Yorkes,644,/tags/Gertrude%20Yorkes,c
Chase Stein,680,/tags/Chase%20Stein,c
Danny Rand,2506,/tags/Danny%20Rand,c
Pepper Potts/Tony Stark,24234,/tags/Pepper%20Potts*s*Tony%20Stark,r
Pietro Maximoff,14142,/tags/Pietro%20Maximoff,c
Kaylee Frye/Tony Stark,0,/tags/Kaylee%20Frye*s*Tony%20Stark,r
Peter Parker/Tony Stark,12455,/tags/Peter%20Parker*s*Tony%20Stark,r
Ben Urich,192,/tags/Ben%20Urich,c
Betty Brant,1668,/tags/Betty%20Brant,c
Chase Stein/Gertrude Yorkes,417,/tags/Chase%20Stein*s*Gertrude%20Yorkes,r
Luke Cage/Jessica Jones,303,/tags/Luke%20Cage*s*Jessica%20Jones,r
Hank Pym,1748,/tags/Hank%20Pym,c
Cassie Lang,2106,/tags/Cassie%20Lang,c
Monica Rambeau,1686,/tags/Monica%20Rambeau,c
Edwin Jarvis,3481,/tags/Edwin%20Jarvis,c
Jessica Jones/Steve Rogers,27,/tags/Jessica%20Jones*s*Steve%20Rogers,r
Flash Thompson,6754,/tags/Flash%20Thompson,c
Sharon Carter/Steve Rogers,1266,/tags/Sharon%20Carter*s*Steve%20Rogers,r
Pietro Maximoff/Wanda Maximoff,506,/tags/Pietro%20Maximoff*s*Wanda%20Maximoff,r
Luke Cage/Danny Rand,159,/tags/Luke%20Cage*s*Danny%20Rand,r
Misty Knight/Danny Rand,36,/tags/Misty%20Knight*s*Danny%20Rand,r
"Franklin ""Foggy"" Nelson",10148,/tags/Franklin%20%22Foggy%22%20Nelson,c
Dane Whitman,168,/tags/Dane%20Whitman,c
