tag,count,href,category
Bruce Wayne,82436,/tags/Bruce%20Wayne,c
Lucius Fox,1072,/tags/Lucius%20Fox,c
Alfred Pennyworth,28411,/tags/Alfred%20Pennyworth,c
Selina Kyle,8762,/tags/Selina%20Kyle,c
Selina Kyle/Bruce Wayne,4732,/tags/Selina%20Kyle*s*Bruce%20Wayne,r
Leslie Thompkins,1898,/tags/Leslie%20Thompkins,c
Jim Gordon,7959,/tags/Jim%20Gordon,c
Renee Montoya,949,/tags/Renee%20Montoya,c
Jim Gordon/Bruce Wayne,480,/tags/Jim%20Gordon*s*Bruce%20Wayne,r
Thomas Wayne,1023,/tags/Thomas%20Wayne,c
Jonathan Crane,4130,/tags/Jonathan%20Crane,c
Edward Nygma,11440,/tags/Edward%20Nygma,c
Carmine Falcone,507,/tags/Carmine%20Falcone,c
Harvey Bullock,2133,/tags/Harvey%20Bullock,c
Harvey Dent/Edward Nygma,135,/tags/Harvey%20Dent*s*Edward%20Nygma,r
Alfred Pennyworth/Bruce Wayne,178,/tags/Alfred%20Pennyworth*s*Bruce%20Wayne,r
Ra's al Ghul,3655,/tags/Ra's%20al%20Ghul,c
Oswald Cobblepot/Edward Nygma,6434,/tags/Oswald%20Cobblepot*s*Edward%20Nygma,r
Oswald Cobblepot,9194,/tags/Oswald%20Cobblepot,c
Jervis Tetch,1188,/tags/Jervis%20Tetch,c
Barbara Gordon/Dick Grayson/Bruce Wayne,12,/tags/Barbara%20Gordon*s*Dick%20Grayson*s*Bruce%20Wayne,r
Barbara Gordon/Bruce Wayne,220,/tags/Barbara%20Gordon*s*Bruce%20Wayne,r
Edward Nygma/Harleen Quinzel,28,/tags/Edward%20Nygma*s*Harleen%20Quinzel,r
Tim Drake/Dick Grayson/Bruce Wayne,31,/tags/Tim%20Drake*s*Dick%20Grayson*s*Bruce%20Wayne,r
Crispus Allen,37,/tags/Crispus%20Allen,c
Sofia Falcone,69,/tags/Sofia%20Falcone,c
Bruce Wayne/Zatanna Zatara,82,/tags/Bruce%20Wayne*s*Zatanna%20Zatara,r
Barbara Gordon/Kate Kane/Dinah Lance,0,/tags/Barbara%20Gordon*s*Kate%20Kane*s*Dinah%20Lance,r
Aaron Helzinger,24,/tags/Aaron%20Helzinger,c
Sarah Essen,144,/tags/Sarah%20Essen,c
Alfred Pennyworth/Leslie Thompkins,41,/tags/Alfred%20Pennyworth*s*Leslie%20Thompkins,r
Victor Fries,788,/tags/Victor%20Fries,c
Thomas Elliot,291,/tags/Thomas%20Elliot,c
Dick Grayson/Selina Kyle/Bruce Wayne,9,/tags/Dick%20Grayson*s*Selina%20Kyle*s*Bruce%20Wayne,r
Lois Lane/Bruce Wayne,68,/tags/Lois%20Lane*s*Bruce%20Wayne,r
Barbara Gordon/Jim Gordon,17,/tags/Barbara%20Gordon*s*Jim%20Gordon,r
Victor Zsasz,2015,/tags/Victor%20Zsasz,c
J'onn J'onzz/Clark Kent/Bruce Wayne,6,/tags/J'onn%20J'onzz*s*Clark%20Kent*s*Bruce%20Wayne,r
Hugo Strange,449,/tags/Hugo%20Strange,c
Alfred Pennyworth & Bruce Wayne,2084,/tags/Alfred%20Pennyworth%20*a*%20Bruce%20Wayne,r
J'onn J'onzz & Bruce Wayne,44,/tags/J'onn%20J'onzz%20*a*%20Bruce%20Wayne,r
Arnold Flass,37,/tags/Arnold%20Flass,c
Bruce Wayne/Other(s),36,/tags/Bruce%20Wayne*s*Other(s),r
Sarah Essen/Jim Gordon,17,/tags/Sarah%20Essen*s*Jim%20Gordon,r
Ra's al Ghul/Talia al Ghul,6,/tags/Ra's%20al%20Ghul*s*Talia%20al%20Ghul,r
Nora Fries,135,/tags/Nora%20Fries,c
Gotham City/Bruce Wayne,14,/tags/Gotham%20City*s*Bruce%20Wayne,r
Jonathan Crane/Selina Kyle,20,/tags/Jonathan%20Crane*s*Selina%20Kyle,r
Salvatore Maroni,167,/tags/Salvatore%20Maroni,c
Thomas Elliot/Jason Todd,23,/tags/Thomas%20Elliot*s*Jason%20Todd,r
Joker (DCU)/Bruce Wayne,2913,/tags/Joker%20(DCU)*s*Bruce%20Wayne,r
Selina Kyle & Bruce Wayne,554,/tags/Selina%20Kyle%20*a*%20Bruce%20Wayne,r
Harvey Dent/Original Female Character(s),13,/tags/Harvey%20Dent*s*Original%20Female%20Character(s),r
Nora Fries/Victor Fries,111,/tags/Nora%20Fries*s*Victor%20Fries,r
Pamela Isley/Selina Kyle,70,/tags/Pamela%20Isley*s*Selina%20Kyle,r
Lazlo Valentin,52,/tags/Lazlo%20Valentin,c
Cornelius Stirk,13,/tags/Cornelius%20Stirk,c
Joker (DCU)/Original Female Character(s),231,/tags/Joker%20(DCU)*s*Original%20Female%20Character(s),r
Silver St. Cloud,99,/tags/Silver%20St*d*%20Cloud,c
Harvey Bullock/Harleen Quinzel,0,/tags/Harvey%20Bullock*s*Harleen%20Quinzel,r
