tag,count,href,category
Im Jaebum | JB/Yoo Youngjae,9,/tags/Im%20Jaebum%20%7C%20JB*s*Yoo%20Youngjae,r
Kim Yugyeom,7159,/tags/Kim%20Yugyeom,c
Mark Tuan,7774,/tags/Mark%20Tuan,c
Mark Tuan/Jackson Wang,2565,/tags/Mark%20Tuan*s*Jackson%20Wang,r
Jackson Wang,10198,/tags/Jackson%20Wang,c
Choi Youngjae,5801,/tags/Choi%20Youngjae,c
Kim Yugyeom/Mark Tuan,267,/tags/Kim%20Yugyeom*s*Mark%20Tuan,r
Kim Yugyeom/Jackson Wang,238,/tags/Kim%20Yugyeom*s*Jackson%20Wang,r
Cha Hakyeon | N/Jackson Wang,5,/tags/Cha%20Hakyeon%20%7C%20N*s*Jackson%20Wang,r
Choi Youngjae/Jackson Wang,259,/tags/Choi%20Youngjae*s*Jackson%20Wang,r
Im Jaebum | JB/Mark Tuan/Jackson Wang,20,/tags/Im%20Jaebum%20%7C%20JB*s*Mark%20Tuan*s*Jackson%20Wang,r
Choi Youngjae/Kim Yugyeom,213,/tags/Choi%20Youngjae*s*Kim%20Yugyeom,r
Choi Youngjae/Mark Tuan,364,/tags/Choi%20Youngjae*s*Mark%20Tuan,r
Jackson Wang/Everyone,78,/tags/Jackson%20Wang*s*Everyone,r
Kunpimook Bhuwakul | BamBam/Mark Tuan/Jackson Wang,55,/tags/Kunpimook%20Bhuwakul%20%7C%20BamBam*s*Mark%20Tuan*s*Jackson%20Wang,r
Mark Tuan & Jackson Wang,122,/tags/Mark%20Tuan%20*a*%20Jackson%20Wang,r
Meng Jia/Jackson Wang,1,/tags/Meng%20Jia*s*Jackson%20Wang,r
Park Jimin (BTS)/Jackson Wang,21,/tags/Park%20Jimin%20(BTS)*s*Jackson%20Wang,r
Jung Taekwoon | Leo/Jackson Wang,2,/tags/Jung%20Taekwoon%20%7C%20Leo*s*Jackson%20Wang,r
Heo Youngji/Jackson Wang,31,/tags/Heo%20Youngji*s*Jackson%20Wang,r
GOT7 Ensemble,1297,/tags/GOT7%20Ensemble,c
Kunpimook Bhuwakul | BamBam/Mark Tuan,181,/tags/Kunpimook%20Bhuwakul%20%7C%20BamBam*s*Mark%20Tuan,r
Kim Yugyeom/Reader,108,/tags/Kim%20Yugyeom*s*Reader,r
Mark Tuan/Original Character(s),40,/tags/Mark%20Tuan*s*Original%20Character(s),r
Kim Taehyung | V/Mark Tuan,15,/tags/Kim%20Taehyung%20%7C%20V*s*Mark%20Tuan,r
Im Jaebum | JB/Kang Seulgi,28,/tags/Im%20Jaebum%20%7C%20JB*s*Kang%20Seulgi,r
Han Sanghyuk | Hyuk/Jackson Wang,3,/tags/Han%20Sanghyuk%20%7C%20Hyuk*s*Jackson%20Wang,r
Min Yoongi | Suga/Jackson Wang,17,/tags/Min%20Yoongi%20%7C%20Suga*s*Jackson%20Wang,r
Park Jimin (BTS) & Jackson Wang,1,/tags/Park%20Jimin%20(BTS)%20*a*%20Jackson%20Wang,r
Im Jaebum | JB/You,65,/tags/Im%20Jaebum%20%7C%20JB*s*You,r
Choi Youngjae/Yoon Dowoon,2,/tags/Choi%20Youngjae*s*Yoon%20Dowoon,r
Choi Youngjae/Im Jaebum | JB/Jackson Wang,11,/tags/Choi%20Youngjae*s*Im%20Jaebum%20%7C%20JB*s*Jackson%20Wang,r
Choi Youngjae/Heo Youngji,1,/tags/Choi%20Youngjae*s*Heo%20Youngji,r
Jackson Wang/Original Female Character(s),70,/tags/Jackson%20Wang*s*Original%20Female%20Character(s),r
Song Gayeon/Jackson Wang,1,/tags/Song%20Gayeon*s*Jackson%20Wang,r
Ahn Heeyeon | Hani/Jackson Wang,0,/tags/Ahn%20Heeyeon%20%7C%20Hani*s*Jackson%20Wang,r
