tag,count,href,category
Elizabeth Swann,2228,/tags/Elizabeth%20Swann,c
James Norrington,1743,/tags/James%20Norrington,c
Joshamee Gibbs,583,/tags/Joshamee%20Gibbs,c
Jack Sparrow,3706,/tags/Jack%20Sparrow,c
Will Turner,1977,/tags/Will%20Turner,c
Bootstrap Bill Turner,267,/tags/Bootstrap%20Bill%20Turner,c
James Norrington/Jack Sparrow,889,/tags/James%20Norrington*s*Jack%20Sparrow,r
Elizabeth Swann/Will Turner,917,/tags/Elizabeth%20Swann*s*Will%20Turner,r
Jack Sparrow/Elizabeth Swann/Will Turner,223,/tags/Jack%20Sparrow*s*Elizabeth%20Swann*s*Will%20Turner,r
James Norrington/Elizabeth Swann/Will Turner,24,/tags/James%20Norrington*s*Elizabeth%20Swann*s*Will%20Turner,r
Hector Barbossa,903,/tags/Hector%20Barbossa,c
Cutler Beckett,327,/tags/Cutler%20Beckett,c
Weatherby Swann,306,/tags/Weatherby%20Swann,c
Sao Feng,33,/tags/Sao%20Feng,c
James Norrington/Elizabeth Swann,437,/tags/James%20Norrington*s*Elizabeth%20Swann,r
Jack Sparrow/Will Turner,591,/tags/Jack%20Sparrow*s*Will%20Turner,r
Anamaria/Elizabeth Swann,23,/tags/Anamaria*s*Elizabeth%20Swann,r
Jack Sparrow/Elizabeth Swann,582,/tags/Jack%20Sparrow*s*Elizabeth%20Swann,r
Cutler Beckett/James Norrington,12,/tags/Cutler%20Beckett*s*James%20Norrington,r
Martha Jones/Elizabeth Swann,1,/tags/Martha%20Jones*s*Elizabeth%20Swann,r
James Norrington/Will Turner,76,/tags/James%20Norrington*s*Will%20Turner,r
Tai Huang,13,/tags/Tai%20Huang,c
Theodore Groves,212,/tags/Theodore%20Groves,c
Jayne Cobb/Jack Sparrow,1,/tags/Jayne%20Cobb*s*Jack%20Sparrow,r
Anamaria/Jack Sparrow/Elizabeth Swann,9,/tags/Anamaria*s*Jack%20Sparrow*s*Elizabeth%20Swann,r
Anamaria/James Norrington,24,/tags/Anamaria*s*James%20Norrington,r
James Norrington/Jack Sparrow/Will Turner,23,/tags/James%20Norrington*s*Jack%20Sparrow*s*Will%20Turner,r
Jack Sparrow/Bootstrap Bill Turner,27,/tags/Jack%20Sparrow*s*Bootstrap%20Bill%20Turner,r
Community: potcfest,3,/tags/Community:%20potcfest,f
Hector Barbossa/Jack Sparrow,163,/tags/Hector%20Barbossa*s*Jack%20Sparrow,r
Sao Feng/Jack Sparrow,1,/tags/Sao%20Feng*s*Jack%20Sparrow,r
Giselle (Pirates of the Caribbean),34,/tags/Giselle%20(Pirates%20of%20the%20Caribbean),c
Scarlett (Pirates of the Caribbean),28,/tags/Scarlett%20(Pirates%20of%20the%20Caribbean),c
Estrella (Pirates of the Caribbean),25,/tags/Estrella%20(Pirates%20of%20the%20Caribbean),c
Harry Potter/Jack Sparrow,30,/tags/Harry%20Potter*s*Jack%20Sparrow,r
Charlie Eppes/Colby Granger/Jack Sparrow,4,/tags/Charlie%20Eppes*s*Colby%20Granger*s*Jack%20Sparrow,r
James Hook/Jack Sparrow,13,/tags/James%20Hook*s*Jack%20Sparrow,r
Anamaria (Pirates of the Caribbean),264,/tags/Anamaria%20(Pirates%20of%20the%20Caribbean),c
Gillette (Pirates of the Caribbean),194,/tags/Gillette%20(Pirates%20of%20the%20Caribbean),c
Brown (Pirates of the Caribbean),3,/tags/Brown%20(Pirates%20of%20the%20Caribbean),c
Anamaria/James Norrington/Jack Sparrow,3,/tags/Anamaria*s*James%20Norrington*s*Jack%20Sparrow,r
Anamaria/Jack Sparrow,35,/tags/Anamaria*s*Jack%20Sparrow,r
Black Pearl/Jack Sparrow,26,/tags/Black%20Pearl*s*Jack%20Sparrow,r
Ammand the Corsair/Jack Sparrow,0,/tags/Ammand%20the%20Corsair*s*Jack%20Sparrow,r
Ammand the Corsair,9,/tags/Ammand%20the%20Corsair,c
Gillette/James Norrington,50,/tags/Gillette*s*James%20Norrington,r
James Norrington/Jack Sparrow/Elizabeth Swann/Will Turner,14,/tags/James%20Norrington*s*Jack%20Sparrow*s*Elizabeth%20Swann*s*Will%20Turner,r
Jack Sparrow/Eduardo Villanueva,0,/tags/Jack%20Sparrow*s*Eduardo%20Villanueva,r
Eduardo Villanueva,8,/tags/Eduardo%20Villanueva,c
Lian/Park/Jack Sparrow,0,/tags/Lian*s*Park*s*Jack%20Sparrow,r
Lian (Pirates of the Caribbean),1,/tags/Lian%20(Pirates%20of%20the%20Caribbean),c
Park (Pirates of the Caribbean),1,/tags/Park%20(Pirates%20of%20the%20Caribbean),c
Gentleman Jocard/Jack Sparrow,0,/tags/Gentleman%20Jocard*s*Jack%20Sparrow,r
Gentleman Jocard (Pirates of the Caribbean),8,/tags/Gentleman%20Jocard%20(Pirates%20of%20the%20Caribbean),c
Cotton (Pirates of the Caribbean),67,/tags/Cotton%20(Pirates%20of%20the%20Caribbean),c
Anamaria/Jack Sparrow/Will Turner,1,/tags/Anamaria*s*Jack%20Sparrow*s*Will%20Turner,r
John Sheppard/Jack Sparrow,1,/tags/John%20Sheppard*s*Jack%20Sparrow,r
Will Turner's Mother,11,/tags/Will%20Turner's%20Mother,c
Rock Crab/Jack Sparrow,1,/tags/Rock%20Crab*s*Jack%20Sparrow,r
Jack Sparrow/Buffy Summers,4,/tags/Jack%20Sparrow*s*Buffy%20Summers,r
James Norrington/Bootstrap Bill Turner,2,/tags/James%20Norrington*s*Bootstrap%20Bill%20Turner,r
Theodore Groves/James Norrington,14,/tags/Theodore%20Groves*s*James%20Norrington,r
Scarlett/Jack Sparrow,3,/tags/Scarlett*s*Jack%20Sparrow,r
Hector Barbossa/Giselle,0,/tags/Hector%20Barbossa*s*Giselle,r
Jack Harkness/Jack Sparrow,1,/tags/Jack%20Harkness*s*Jack%20Sparrow,r
Hector Barbossa/Black Pearl,0,/tags/Hector%20Barbossa*s*Black%20Pearl,r
Giselle/Jack Sparrow,7,/tags/Giselle*s*Jack%20Sparrow,r
Appease the Aztec Gods Drabble Challenge,3,/tags/Appease%20the%20Aztec%20Gods%20Drabble%20Challenge,f
Hob Gadling/Jack Sparrow,0,/tags/Hob%20Gadling*s*Jack%20Sparrow,r
Gillette/Elizabeth Swann,0,/tags/Gillette*s*Elizabeth%20Swann,r
Cutler Beckett/Jack Sparrow,42,/tags/Cutler%20Beckett*s*Jack%20Sparrow,r
Anamaria/Will Turner,4,/tags/Anamaria*s*Will%20Turner,r
Jack Sparrow/Lucas Wolenczak,1,/tags/Jack%20Sparrow*s*Lucas%20Wolenczak,r
James Norrington/Jack Sparrow/Elizabeth Swann,15,/tags/James%20Norrington*s*Jack%20Sparrow*s*Elizabeth%20Swann,r
Rebecca Fogg/Jack Sparrow,0,/tags/Rebecca%20Fogg*s*Jack%20Sparrow,r
Severus Snape/Jack Sparrow,2,/tags/Severus%20Snape*s*Jack%20Sparrow,r
Anya Jenkins/Jack Sparrow,0,/tags/Anya%20Jenkins*s*Jack%20Sparrow,r
Pirate Will Turner,16,/tags/Pirate%20Will%20Turner,f
Black Pearl/Will Turner,1,/tags/Black%20Pearl*s*Will%20Turner,r
Tarrant Hightopp/Jack Sparrow,0,/tags/Tarrant%20Hightopp*s*Jack%20Sparrow,r
Alice Kingsleigh/Jack Sparrow,0,/tags/Alice%20Kingsleigh*s*Jack%20Sparrow,r
Sha Gojyo/Jack Sparrow,0,/tags/Sha%20Gojyo*s*Jack%20Sparrow,r
Edward England,2,/tags/Edward%20England,c
James Norrington/Weatherby Swann,0,/tags/James%20Norrington*s*Weatherby%20Swann,r
Davy Jones/Elizabeth Swann,1,/tags/Davy%20Jones*s*Elizabeth%20Swann,r
James Norrington/Undisclosed,0,/tags/James%20Norrington*s*Undisclosed,r
Hector Barbossa/Jack Sparrow/Elizabeth Swann,0,/tags/Hector%20Barbossa*s*Jack%20Sparrow*s*Elizabeth%20Swann,r
Jack Sparrow/Other(s),3,/tags/Jack%20Sparrow*s*Other(s),r
Bootstrap Bill Turner & Will Turner,9,/tags/Bootstrap%20Bill%20Turner%20*a*%20Will%20Turner,r
Hector Barbossa/James Norrington/Jack Sparrow/Elizabeth Swann,1,/tags/Hector%20Barbossa*s*James%20Norrington*s*Jack%20Sparrow*s*Elizabeth%20Swann,r
Hector Barbossa/Katherine Pierce,0,/tags/Hector%20Barbossa*s*Katherine%20Pierce,r
Angelica Malon/Jack Sparrow,30,/tags/Angelica%20Malon*s*Jack%20Sparrow,r
Angelica Malon,34,/tags/Angelica%20Malon,c
Hector Barbossa/Elizabeth Swann,15,/tags/Hector%20Barbossa*s*Elizabeth%20Swann,r
Jack Sparrow & Tony Stark,1,/tags/Jack%20Sparrow%20*a*%20Tony%20Stark,r
Kraken/Jack Sparrow,5,/tags/Kraken*s*Jack%20Sparrow,r
William Turner III,70,/tags/William%20Turner%20III,c
Angelica Malon/Elizabeth Swann,2,/tags/Angelica%20Malon*s*Elizabeth%20Swann,r
Will Turner/Elijah Wood,1,/tags/Will%20Turner*s*Elijah%20Wood,r
Jack Sparrow & Elizabeth Swann,84,/tags/Jack%20Sparrow%20*a*%20Elizabeth%20Swann,r
Xander Harris/Jack Sparrow,0,/tags/Xander%20Harris*s*Jack%20Sparrow,r
Katsuragi Misato/James Norrington,1,/tags/Katsuragi%20Misato*s*James%20Norrington,r
Davy Jones' Locker,25,/tags/Davy%20Jones'%20Locker,f
Philip Swift,42,/tags/Philip%20Swift,c
Will Turner/Dean Winchester,0,/tags/Will%20Turner*s*Dean%20Winchester,r
Jack Sparrow & Will Turner,76,/tags/Jack%20Sparrow%20*a*%20Will%20Turner,r
Marty (Pirates of the Caribbean),47,/tags/Marty%20(Pirates%20of%20the%20Caribbean),c
Adam Lambert/Jack Sparrow,1,/tags/Adam%20Lambert*s*Jack%20Sparrow,r
Harry Potter/Will Turner,2,/tags/Harry%20Potter*s*Will%20Turner,r
"Bartholomew ""Black Bart"" Roberts",20,/tags/Bartholomew%20%22Black%20Bart%22%20Roberts,c
James Norrington/Other(s),1,/tags/James%20Norrington*s*Other(s),r
Angelica Malon/Philip Swift,1,/tags/Angelica%20Malon*s*Philip%20Swift,r
Hector Barbossa/Weatherby Swann,2,/tags/Hector%20Barbossa*s*Weatherby%20Swann,r
Hector Barbossa/James Norrington,1,/tags/Hector%20Barbossa*s*James%20Norrington,r
Davy Jones/Will Turner,9,/tags/Davy%20Jones*s*Will%20Turner,r
Community: potc100,1,/tags/Community:%20potc100,f
Davy Jones/James Norrington,1,/tags/Davy%20Jones*s*James%20Norrington,r
