tag,count,href,category
Samantha Skogrand/Emil Hegle Svendsen,2,/tags/Samantha%20Skogrand*s*Emil%20Hegle%20Svendsen,r
Jesse Owens,1,/tags/Jesse%20Owens,c
Badr Hari/Cristiano Ronaldo,19,/tags/Badr%20Hari*s*Cristiano%20Ronaldo,r
Badr Hari,16,/tags/Badr%20Hari,c
Clare Balding/Hazel Irvine,1,/tags/Clare%20Balding*s*Hazel%20Irvine,r
Hazel Irvine,1,/tags/Hazel%20Irvine,c
"Kristina ""Tina"" Cook",0,/tags/Kristina%20%22Tina%22%20Cook,c
Usain Bolt/Michael Phelps,0,/tags/Usain%20Bolt*s*Michael%20Phelps,r
Dafne Schippers/Original Female Character(s),1,/tags/Dafne%20Schippers*s*Original%20Female%20Character(s),r
Dafne Schippers,3,/tags/Dafne%20Schippers,c
Meryl Davis/Dafne Schippers,1,/tags/Meryl%20Davis*s*Dafne%20Schippers,r
Simone Giannelli/Filippo Lanza,1,/tags/Simone%20Giannelli*s*Filippo%20Lanza,r
Simone Giannelli/Ivan Zaytsev,85,/tags/Simone%20Giannelli*s*Ivan%20Zaytsev,r
The Players' Tribune,2,/tags/The%20Players'%20Tribune,f
Aliya Mustafina/Alexei Zaitsev,1,/tags/Aliya%20Mustafina*s*Alexei%20Zaitsev,r
Renaud Lavillenie/Valentin Lavillenie,1,/tags/Renaud%20Lavillenie*s*Valentin%20Lavillenie,r
Valentin Lavillenie,1,/tags/Valentin%20Lavillenie,c
"Asuka ""Aska"" Cambridge",0,/tags/Asuka%20%22Aska%22%20Cambridge,c
Boston University Terriers Ensemble,2,/tags/Boston%20University%20Terriers%20Ensemble,c
Calum von Moger,0,/tags/Calum%20von%20Moger,c
"Kristina ""Tina"" Cook/Jennifer Pinches",0,/tags/Kristina%20%22Tina%22%20Cook*s*Jennifer%20Pinches,r
Jessie Pavelka,0,/tags/Jessie%20Pavelka,c
Cyd Zeigler,0,/tags/Cyd%20Zeigler,c
Aliy Zirkle,1,/tags/Aliy%20Zirkle,f
University of Minnesota Golden Gophers (Character),0,/tags/University%20of%20Minnesota%20Golden%20Gophers%20(Character),c
University of Florida Gators,1,/tags/University%20of%20Florida%20Gators,f
Calum von Moger/Ian Somerhalder,0,/tags/Calum%20von%20Moger*s*Ian%20Somerhalder,r
Terry Gannon,1,/tags/Terry%20Gannon,c
Terry Gannon/Christophe Giacometti,0,/tags/Terry%20Gannon*s*Christophe%20Giacometti,r
Terry Gannon & Christophe Giacometti,0,/tags/Terry%20Gannon%20*a*%20Christophe%20Giacometti,r
2017 Combine,1,/tags/2017%20Combine,f
Pippa Funnell,1,/tags/Pippa%20Funnell,c
Karin Donckers,1,/tags/Karin%20Donckers,c
