tag,count,href,category
Jack Harkness,24243,/tags/Jack%20Harkness,c
Donna Noble,6087,/tags/Donna%20Noble,c
Martha Jones,5512,/tags/Martha%20Jones,c
Rose Tyler,20536,/tags/Rose%20Tyler,c
Jackie Tyler,3010,/tags/Jackie%20Tyler,c
Tish Jones,260,/tags/Tish%20Jones,c
Lucy Saxon,375,/tags/Lucy%20Saxon,c
Jack Harkness/Ianto Jones,13344,/tags/Jack%20Harkness*s*Ianto%20Jones,r
Jack Harkness/Tish Jones,4,/tags/Jack%20Harkness*s*Tish%20Jones,r
Jack Harkness/Rose Tyler,222,/tags/Jack%20Harkness*s*Rose%20Tyler,r
Jack Harkness/Donna Noble,49,/tags/Jack%20Harkness*s*Donna%20Noble,r
Tenth Doctor/Jack Harkness,920,/tags/Tenth%20Doctor*s*Jack%20Harkness,r
Ninth Doctor/Jack Harkness,366,/tags/Ninth%20Doctor*s*Jack%20Harkness,r
Ninth Doctor/Jack Harkness/Rose Tyler,503,/tags/Ninth%20Doctor*s*Jack%20Harkness*s*Rose%20Tyler,r
Ninth Doctor/Rose Tyler,3800,/tags/Ninth%20Doctor*s*Rose%20Tyler,r
Tenth Doctor/Jack Harkness/Rose Tyler,136,/tags/Tenth%20Doctor*s*Jack%20Harkness*s*Rose%20Tyler,r
Tenth Doctor/Rose Tyler,10017,/tags/Tenth%20Doctor*s*Rose%20Tyler,r
Donna Noble/Rose Tyler,28,/tags/Donna%20Noble*s*Rose%20Tyler,r
Sarah Jane Smith,2542,/tags/Sarah%20Jane%20Smith,c
Tenth Doctor/Jack Harkness/Ianto Jones,20,/tags/Tenth%20Doctor*s*Jack%20Harkness*s*Ianto%20Jones,r
Pete Tyler,602,/tags/Pete%20Tyler,c
Harriet Jones,192,/tags/Harriet%20Jones,c
Jake Simmonds,383,/tags/Jake%20Simmonds,c
The Face of Boe/Ianto Jones,11,/tags/The%20Face%20of%20Boe*s*Ianto%20Jones,r
Fifth Doctor/Vislor Turlough,147,/tags/Fifth%20Doctor*s*Vislor%20Turlough,r
Eighth Doctor/Vislor Turlough,3,/tags/Eighth%20Doctor*s*Vislor%20Turlough,r
Joan Redfern,111,/tags/Joan%20Redfern,c
Francine Jones,148,/tags/Francine%20Jones,c
Sarah Jane Smith/Rose Tyler,13,/tags/Sarah%20Jane%20Smith*s*Rose%20Tyler,r
Jack Harkness/Toshiko Sato,39,/tags/Jack%20Harkness*s*Toshiko%20Sato,r
Jo Grant,767,/tags/Jo%20Grant,c
Peri Brown/Adam Mitchell,1,/tags/Peri%20Brown*s*Adam%20Mitchell,r
Tenth Doctor/Vislor Turlough,6,/tags/Tenth%20Doctor*s*Vislor%20Turlough,r
Tenth Doctor/Martha Jones,337,/tags/Tenth%20Doctor*s*Martha%20Jones,r
Gwen Cooper/Jack Harkness,242,/tags/Gwen%20Cooper*s*Jack%20Harkness,r
Tenth Doctor/Joan Redfern,8,/tags/Tenth%20Doctor*s*Joan%20Redfern,r
Twelfth Doctor,8408,/tags/Twelfth%20Doctor,c
Tim Latimer,53,/tags/Tim%20Latimer,c
Jack Harkness/Jack Harkness,27,/tags/Jack%20Harkness*s*Jack%20Harkness,r
Jackson Lake,31,/tags/Jackson%20Lake,c
Wilfred Mott,885,/tags/Wilfred%20Mott,c
The Master/Lucy Saxon,88,/tags/The%20Master*s*Lucy%20Saxon,r
Jack Harkness/The Master,14,/tags/Jack%20Harkness*s*The%20Master,r
Eighth Doctor/Fitz Kreiner,159,/tags/Eighth%20Doctor*s*Fitz%20Kreiner,r
Tenth Doctor/Fitz Kreiner,4,/tags/Tenth%20Doctor*s*Fitz%20Kreiner,r
Jack Harkness/John Hart,319,/tags/Jack%20Harkness*s*John%20Hart,r
Ace McShane,1219,/tags/Ace%20McShane,c
Jack Harkness/The Universe,1,/tags/Jack%20Harkness*s*The%20Universe,r
The Master (Simm),3146,/tags/The%20Master%20(Simm),c
First Doctor/Barbara Wright,8,/tags/First%20Doctor*s*Barbara%20Wright,r
Tenth Doctor/Donna Noble,1151,/tags/Tenth%20Doctor*s*Donna%20Noble,r
Suzie Costello/Jack Harkness,24,/tags/Suzie%20Costello*s*Jack%20Harkness,r
Eighth Doctor/Martha Jones,4,/tags/Eighth%20Doctor*s*Martha%20Jones,r
Yvonne Hartman,190,/tags/Yvonne%20Hartman,c
Martha Jones/Harry Sullivan,6,/tags/Martha%20Jones*s*Harry%20Sullivan,r
Yvonne Hartman/Harriet Jones,3,/tags/Yvonne%20Hartman*s*Harriet%20Jones,r
Ninth Doctor/Fitz Kreiner,2,/tags/Ninth%20Doctor*s*Fitz%20Kreiner,r
Sarah Jane Smith/Harry Sullivan,64,/tags/Sarah%20Jane%20Smith*s*Harry%20Sullivan,r
Fourth Doctor/Sarah Jane Smith,219,/tags/Fourth%20Doctor*s*Sarah%20Jane%20Smith,r
Tenth Doctor/Sarah Jane Smith,58,/tags/Tenth%20Doctor*s*Sarah%20Jane%20Smith,r
Jack Harkness/Sarah Jane Smith,33,/tags/Jack%20Harkness*s*Sarah%20Jane%20Smith,r
Tish Jones/Lucy Saxon,9,/tags/Tish%20Jones*s*Lucy%20Saxon,r
Jack Harkness/Tony Stark,23,/tags/Jack%20Harkness*s*Tony%20Stark,r
Martha Jones/Mickey Smith,486,/tags/Martha%20Jones*s*Mickey%20Smith,r
Nicholas Brocklehurst/Jack Harkness,1,/tags/Nicholas%20Brocklehurst*s*Jack%20Harkness,r
Fifth Doctor/Tegan Jovanka,83,/tags/Fifth%20Doctor*s*Tegan%20Jovanka,r
River Song,8437,/tags/River%20Song,c
Martha Jones/Thomas Milligan,107,/tags/Martha%20Jones*s*Thomas%20Milligan,r
Astrid Peth,76,/tags/Astrid%20Peth,c
Thomas Milligan,66,/tags/Thomas%20Milligan,c
Jack Harkness/Simon Tam,2,/tags/Jack%20Harkness*s*Simon%20Tam,r
Team Torchwood,732,/tags/Team%20Torchwood,c
The Master (Simm)/Lucy Saxon,71,/tags/The%20Master%20(Simm)*s*Lucy%20Saxon,r
Eighth Doctor/Jack Harkness,11,/tags/Eighth%20Doctor*s*Jack%20Harkness,r
Christina de Souza,71,/tags/Christina%20de%20Souza,c
Eighth Doctor/Charley Pollard,165,/tags/Eighth%20Doctor*s*Charley%20Pollard,r
Eighth Doctor/Fitz Kreiner/The Master,1,/tags/Eighth%20Doctor*s*Fitz%20Kreiner*s*The%20Master,r
Tenth Doctor/River Song,220,/tags/Tenth%20Doctor*s*River%20Song,r
Estelle Cole/Jack Harkness,35,/tags/Estelle%20Cole*s*Jack%20Harkness,r
Jack Harkness/Everyone,66,/tags/Jack%20Harkness*s*Everyone,r
Fifth Doctor/Rose Tyler,70,/tags/Fifth%20Doctor*s*Rose%20Tyler,r
Jackie Tyler/Pete Tyler,103,/tags/Jackie%20Tyler*s*Pete%20Tyler,r
Mickey Smith/Rose Tyler,107,/tags/Mickey%20Smith*s*Rose%20Tyler,r
Jack Harkness/Malcolm Reynolds,8,/tags/Jack%20Harkness*s*Malcolm%20Reynolds,r
The Doctor/River Song,2562,/tags/The%20Doctor*s*River%20Song,r
Jack Harkness/Dean Winchester,30,/tags/Jack%20Harkness*s*Dean%20Winchester,r
Boeshane Peninsula,32,/tags/Boeshane%20Peninsula,f
Rita-Anne Smith,10,/tags/Rita-Anne%20Smith,c
Thirteenth Doctor,10199,/tags/Thirteenth%20Doctor,c
Ida Scott,13,/tags/Ida%20Scott,c
Eleventh Doctor/Jack Harkness,240,/tags/Eleventh%20Doctor*s*Jack%20Harkness,r
Tenth Doctor/Jack Harkness/River Song,3,/tags/Tenth%20Doctor*s*Jack%20Harkness*s*River%20Song,r
Adelaide Brooke,24,/tags/Adelaide%20Brooke,c
First Doctor/Rose Tyler,50,/tags/First%20Doctor*s*Rose%20Tyler,r
Jack Harkness/Other(s),187,/tags/Jack%20Harkness*s*Other(s),r
First Doctor/Donna Noble,2,/tags/First%20Doctor*s*Donna%20Noble,r
Ninth Doctor/Martha Jones,17,/tags/Ninth%20Doctor*s*Martha%20Jones,r
Skasis Paradigm,1,/tags/Skasis%20Paradigm,f
The Doctor (Doctor Who),11167,/tags/The%20Doctor%20(Doctor%20Who),c
Clive Jones,72,/tags/Clive%20Jones,c
Ninth Doctor/Jackie Tyler,3,/tags/Ninth%20Doctor*s*Jackie%20Tyler,r
Lisa Hallett/Jack Harkness,6,/tags/Lisa%20Hallett*s*Jack%20Harkness,r
Eleventh Doctor/Martha Jones,14,/tags/Eleventh%20Doctor*s*Martha%20Jones,r
Ninth Doctor/Sarah Jane Smith,7,/tags/Ninth%20Doctor*s*Sarah%20Jane%20Smith,r
Tenth Doctor/Christina de Souza,5,/tags/Tenth%20Doctor*s*Christina%20de%20Souza,r
Dalek Caan,46,/tags/Dalek%20Caan,c
Fifth Doctor/Ianto Jones,1,/tags/Fifth%20Doctor*s*Ianto%20Jones,r
Jack Harkness/Jackie Tyler,5,/tags/Jack%20Harkness*s*Jackie%20Tyler,r
Jake Simmonds/Mickey Smith,69,/tags/Jake%20Simmonds*s*Mickey%20Smith,r
Eighth Doctor/Donna Noble,3,/tags/Eighth%20Doctor*s*Donna%20Noble,r
Fourth Doctor/Rose Tyler,38,/tags/Fourth%20Doctor*s*Rose%20Tyler,r
Jack Harkness/Myfanwy,1,/tags/Jack%20Harkness*s*Myfanwy,r
Adeola Oshodi,8,/tags/Adeola%20Oshodi,c
Lucius Petrus Dextrus,2,/tags/Lucius%20Petrus%20Dextrus,c
Lee McAvoy,63,/tags/Lee%20McAvoy,c
Tenth Doctor/Jack Harkness/Sarah Jane Smith,0,/tags/Tenth%20Doctor*s*Jack%20Harkness*s*Sarah%20Jane%20Smith,r
Jabe Ceth Ceth Jafe,15,/tags/Jabe%20Ceth%20Ceth%20Jafe,c
Jake Simmonds/Mickey Smith/Rose Tyler,2,/tags/Jake%20Simmonds*s*Mickey%20Smith*s*Rose%20Tyler,r
Thirteenth Doctor/Jack Harkness,106,/tags/Thirteenth%20Doctor*s*Jack%20Harkness,r
Twelfth Doctor/Rose Tyler,453,/tags/Twelfth%20Doctor*s*Rose%20Tyler,r
Thirteenth Doctor/Rose Tyler,693,/tags/Thirteenth%20Doctor*s*Rose%20Tyler,r
Blon Fel-Fotch Passameer-Day Slitheen,16,/tags/Blon%20Fel-Fotch%20Passameer-Day%20Slitheen,c
The Doctor/Jack Harkness,320,/tags/The%20Doctor*s*Jack%20Harkness,r
Amanda Darieux/Jack Harkness,1,/tags/Amanda%20Darieux*s*Jack%20Harkness,r
Donna Noble/Shaun Temple,101,/tags/Donna%20Noble*s*Shaun%20Temple,r
Shaun Temple,96,/tags/Shaun%20Temple,c
Tenth Doctor/Jack Harkness/Martha Jones,13,/tags/Tenth%20Doctor*s*Jack%20Harkness*s*Martha%20Jones,r
John Benton/Rose Tyler,0,/tags/John%20Benton*s*Rose%20Tyler,r
Tenth Doctor/Jack Harkness/Donna Noble,4,/tags/Tenth%20Doctor*s*Jack%20Harkness*s*Donna%20Noble,r
Tenth Doctor/Martha Jones/Donna Noble/Rose Tyler,1,/tags/Tenth%20Doctor*s*Martha%20Jones*s*Donna%20Noble*s*Rose%20Tyler,r
Tenth Doctor/Sarah Jane Smith/Rose Tyler,0,/tags/Tenth%20Doctor*s*Sarah%20Jane%20Smith*s*Rose%20Tyler,r
Jack Harkness/Vala Mal Doran,1,/tags/Jack%20Harkness*s*Vala%20Mal%20Doran,r
Davitch Pavale,1,/tags/Davitch%20Pavale,c
Mickey Smith/Christina de Souza,1,/tags/Mickey%20Smith*s*Christina%20de%20Souza,r
The Doctor/Jack Harkness/Rose Tyler,109,/tags/The%20Doctor*s*Jack%20Harkness*s*Rose%20Tyler,r
Jethro Cane,61,/tags/Jethro%20Cane,c
Eleventh Doctor/Romana II,11,/tags/Eleventh%20Doctor*s*Romana%20II,r
Episode: s01e14 The Christmas Invasion,55,/tags/Episode:%20s01e14%20The%20Christmas%20Invasion,f
Episode: s04e17-e18 The End of Time,118,/tags/Episode:%20s04e17-e18%20The%20End%20of%20Time,f
Alonso Frame,76,/tags/Alonso%20Frame,c
Episode: s02e03 School Reunion,37,/tags/Episode:%20s02e03%20School%20Reunion,f
Tenth Doctor/Jack Harkness/The Master,29,/tags/Tenth%20Doctor*s*Jack%20Harkness*s*The%20Master,r
Lynda Moss,34,/tags/Lynda%20Moss,c
Sarah Jane Smith/Vislor Turlough,11,/tags/Sarah%20Jane%20Smith*s*Vislor%20Turlough,r
Eighth Doctor/Sarah Jane Smith,8,/tags/Eighth%20Doctor*s*Sarah%20Jane%20Smith,r
Tony Tyler,482,/tags/Tony%20Tyler,c
Lisa Hallett/Yvonne Hartman,0,/tags/Lisa%20Hallett*s*Yvonne%20Hartman,r
Martha Jones/William Shakespeare,5,/tags/Martha%20Jones*s*William%20Shakespeare,r
Sylvia Noble,342,/tags/Sylvia%20Noble,c
Ninth Doctor/Ace McShane,7,/tags/Ninth%20Doctor*s*Ace%20McShane,r
Eighth Doctor/Zoe Heriot/Charley Pollard,0,/tags/Eighth%20Doctor*s*Zoe%20Heriot*s*Charley%20Pollard,r
Martha Jones/Victoria Waterfield,0,/tags/Martha%20Jones*s*Victoria%20Waterfield,r
Third Doctor/Sarah Jane Smith,34,/tags/Third%20Doctor*s*Sarah%20Jane%20Smith,r
Fifth Doctor/Bobbie Wickham,0,/tags/Fifth%20Doctor*s*Bobbie%20Wickham,r
Eleventh Doctor/Rose Tyler,1184,/tags/Eleventh%20Doctor*s*Rose%20Tyler,r
Jethro Cane/Tenth Doctor,7,/tags/Jethro%20Cane*s*Tenth%20Doctor,r
Lee McAvoy/Donna Noble,56,/tags/Lee%20McAvoy*s*Donna%20Noble,r
Desire of the Endless/Jack Harkness,1,/tags/Desire%20of%20the%20Endless*s*Jack%20Harkness,r
Zoe Heriot/Martha Jones,0,/tags/Zoe%20Heriot*s*Martha%20Jones,r
Jack Harkness/Janet the Weevil,1,/tags/Jack%20Harkness*s*Janet%20the%20Weevil,r
The Doctor/Martha Jones,29,/tags/The%20Doctor*s*Martha%20Jones,r
The Doctor/Donna Noble,100,/tags/The%20Doctor*s*Donna%20Noble,r
The Doctor/Sarah Jane Smith,89,/tags/The%20Doctor*s*Sarah%20Jane%20Smith,r
