tag,count,href,category
Clark Kent,32554,/tags/Clark%20Kent,c
Lex Luthor,11113,/tags/Lex%20Luthor,c
Dick Grayson,80586,/tags/Dick%20Grayson,c
Roy Harper,13036,/tags/Roy%20Harper,c
Bruce Wayne,82426,/tags/Bruce%20Wayne,c
Jonathan Kent,3890,/tags/Jonathan%20Kent,c
Tim Drake,60769,/tags/Tim%20Drake,c
Barbara Gordon,14388,/tags/Barbara%20Gordon,c
Jason Todd,74865,/tags/Jason%20Todd,c
Harvey Dent,2223,/tags/Harvey%20Dent,c
Green Lantern Corps,171,/tags/Green%20Lantern%20Corps,c
Elseworlds,135,/tags/Elseworlds,f
Kyle Rayner,1482,/tags/Kyle%20Rayner,c
Guy Gardner,915,/tags/Guy%20Gardner,c
Oliver Queen,23673,/tags/Oliver%20Queen,c
Mia Dearden,444,/tags/Mia%20Dearden,c
Dinah Lance,3710,/tags/Dinah%20Lance,c
Connor Hawke,624,/tags/Connor%20Hawke,c
Alfred Pennyworth,28407,/tags/Alfred%20Pennyworth,c
Clark Kent/Lex Luthor,6641,/tags/Clark%20Kent*s*Lex%20Luthor,r
Perry White,677,/tags/Perry%20White,c
Clark Kent/Bruce Wayne,16998,/tags/Clark%20Kent*s*Bruce%20Wayne,r
Tony Stark/Bruce Wayne,779,/tags/Tony%20Stark*s*Bruce%20Wayne,r
Clark Kent/Clark Kent,13,/tags/Clark%20Kent*s*Clark%20Kent,r
Helena Bertinelli,1697,/tags/Helena%20Bertinelli,c
Helena Bertinelli/Barbara Gordon,24,/tags/Helena%20Bertinelli*s*Barbara%20Gordon,r
Barbara Gordon/Dick Grayson,2443,/tags/Barbara%20Gordon*s*Dick%20Grayson,r
Kara Zor-El,4475,/tags/Kara%20Zor-El,c
Barbara Gordon/Helena Kyle,97,/tags/Barbara%20Gordon*s*Helena%20Kyle,r
Wally West,13556,/tags/Wally%20West,c
John Constantine,5730,/tags/John%20Constantine,c
J'onn J'onzz,2354,/tags/J'onn%20J'onzz,c
Ted Kord,707,/tags/Ted%20Kord,c
Clark Kent/Chloe Sullivan,270,/tags/Clark%20Kent*s*Chloe%20Sullivan,r
Bart Allen/Tim Drake,241,/tags/Bart%20Allen*s*Tim%20Drake,r
Dick Grayson/Bruce Wayne,3269,/tags/Dick%20Grayson*s*Bruce%20Wayne,r
Eddie Fyers,28,/tags/Eddie%20Fyers,c
John Stewart/Katma Tui,10,/tags/John%20Stewart*s*Katma%20Tui,r
Katma Tui,17,/tags/Katma%20Tui,c
Jason Todd/Bruce Wayne,2204,/tags/Jason%20Todd*s*Bruce%20Wayne,r
Cissie King-Jones,464,/tags/Cissie%20King-Jones,c
Cassie Sandsmark,2580,/tags/Cassie%20Sandsmark,c
Terry McGinnis,1224,/tags/Terry%20McGinnis,c
Grace Choi,220,/tags/Grace%20Choi,c
Clark Kent/Lana Lang,191,/tags/Clark%20Kent*s*Lana%20Lang,r
Lana Lang/Pete Ross,44,/tags/Lana%20Lang*s*Pete%20Ross,r
Cassandra Cain,14496,/tags/Cassandra%20Cain,c
Selina Kyle,8761,/tags/Selina%20Kyle,c
Lex Luthor/Original Male Character,33,/tags/Lex%20Luthor*s*Original%20Male%20Character,r
Dick Grayson/Slade Wilson,3288,/tags/Dick%20Grayson*s*Slade%20Wilson,r
Slade Wilson,8094,/tags/Slade%20Wilson,c
Jaime Reyes,2033,/tags/Jaime%20Reyes,c
Dylan Battles/Kate Spencer,1,/tags/Dylan%20Battles*s*Kate%20Spencer,r
Guy Gardner/Kyle Rayner,205,/tags/Guy%20Gardner*s*Kyle%20Rayner,r
Cassandra Cain/Tim Drake,64,/tags/Cassandra%20Cain*s*Tim%20Drake,r
Selina Kyle/Bruce Wayne,4731,/tags/Selina%20Kyle*s*Bruce%20Wayne,r
Lex Luthor/Diana (Wonder Woman),7,/tags/Lex%20Luthor*s*Diana%20(Wonder%20Woman),r
Barbara Gordon/Dinah Lance,225,/tags/Barbara%20Gordon*s*Dinah%20Lance,r
Tim Drake/Dick Grayson,1579,/tags/Tim%20Drake*s*Dick%20Grayson,r
Soranik Natu,55,/tags/Soranik%20Natu,c
Jonathan Crane/Bruce Wayne,130,/tags/Jonathan%20Crane*s*Bruce%20Wayne,r
Grace Choi/Oliver Queen,1,/tags/Grace%20Choi*s*Oliver%20Queen,r
Grace Choi/Roy Harper,11,/tags/Grace%20Choi*s*Roy%20Harper,r
Rip Hunter,2494,/tags/Rip%20Hunter,c
Chloe Sullivan/Bruce Wayne,17,/tags/Chloe%20Sullivan*s*Bruce%20Wayne,r
Max Mercury,139,/tags/Max%20Mercury,c
Tim Drake/Zoanne Wilkins,3,/tags/Tim%20Drake*s*Zoanne%20Wilkins,r
Zoanne Wilkins,5,/tags/Zoanne%20Wilkins,c
Clyde Mardon,73,/tags/Clyde%20Mardon,c
Guy Gardner/Lobo,8,/tags/Guy%20Gardner*s*Lobo,r
Peggy-Louise Gardner,1,/tags/Peggy-Louise%20Gardner,c
Todd Rice/Al Rothstein,17,/tags/Todd%20Rice*s*Al%20Rothstein,r
Pat Dugan/Sylvester Pemberton,6,/tags/Pat%20Dugan*s*Sylvester%20Pemberton,r
Courtney Whitmore,741,/tags/Courtney%20Whitmore,c
Barry Allen/Jay Garrick,11,/tags/Barry%20Allen*s*Jay%20Garrick,r
Jay Garrick,663,/tags/Jay%20Garrick,c
Pre-Crisis,98,/tags/Pre-Crisis,f
Ray Palmer,5363,/tags/Ray%20Palmer,c
Katar Hol,34,/tags/Katar%20Hol,c
Shayera Hol,796,/tags/Shayera%20Hol,c
Barry Allen/Fiona Webb,1,/tags/Barry%20Allen*s*Fiona%20Webb,r
Martin Allard,1,/tags/Martin%20Allard,c
Wade Eiling,71,/tags/Wade%20Eiling,c
Randall Eiling,1,/tags/Randall%20Eiling,c
Bart Allen/Garfield Logan,15,/tags/Bart%20Allen*s*Garfield%20Logan,r
Garfield Logan,4036,/tags/Garfield%20Logan,c
Bart Allen/Cassie Sandsmark,16,/tags/Bart%20Allen*s*Cassie%20Sandsmark,r
Speed Force,265,/tags/Speed%20Force,f
Mercy Graves,449,/tags/Mercy%20Graves,c
Lian Harper,1677,/tags/Lian%20Harper,c
Dick Grayson/Connor Hawke,2,/tags/Dick%20Grayson*s*Connor%20Hawke,r
Barbara Gordon/Ted Kord,13,/tags/Barbara%20Gordon*s*Ted%20Kord,r
Jim Gordon,7959,/tags/Jim%20Gordon,c
Tora Olafsdotter,168,/tags/Tora%20Olafsdotter,c
Carter Hall/Oliver Queen,2,/tags/Carter%20Hall*s*Oliver%20Queen,r
Pat Dugan,200,/tags/Pat%20Dugan,c
Grace Choi/Original Female Character,0,/tags/Grace%20Choi*s*Original%20Female%20Character,r
Renee Montoya,949,/tags/Renee%20Montoya,c
Ted Grant,256,/tags/Ted%20Grant,c
Clark Kent/Richard White,33,/tags/Clark%20Kent*s*Richard%20White,r
Community: worlds_finest,5,/tags/Community:%20worlds_finest,f
Lex Luthor/Peter Petrelli,1,/tags/Lex%20Luthor*s*Peter%20Petrelli,r
Guy Gardner/Steve Rogers,0,/tags/Guy%20Gardner*s*Steve%20Rogers,r
Clark Kent/Lois Lane/Lex Luthor,12,/tags/Clark%20Kent*s*Lois%20Lane*s*Lex%20Luthor,r
Hartley Rathaway,2470,/tags/Hartley%20Rathaway,c
James Jesse,493,/tags/James%20Jesse,c
Dick Grayson/Garfield Logan,42,/tags/Dick%20Grayson*s*Garfield%20Logan,r
Amanda Waller/Kara Zor-El,0,/tags/Amanda%20Waller*s*Kara%20Zor-El,r
Amanda Waller,921,/tags/Amanda%20Waller,c
Gilda Dent,56,/tags/Gilda%20Dent,c
Thom Kallor,9,/tags/Thom%20Kallor,c
Severus Snape/Bruce Wayne,1,/tags/Severus%20Snape*s*Bruce%20Wayne,r
Jim Gordon/Bruce Wayne,480,/tags/Jim%20Gordon*s*Bruce%20Wayne,r
Al Rothstein,91,/tags/Al%20Rothstein,c
Grace Choi/Grace Choi,0,/tags/Grace%20Choi*s*Grace%20Choi,r
Mark Mardon,798,/tags/Mark%20Mardon,c
Jonathan Crane,4130,/tags/Jonathan%20Crane,c
Maxwell Lord,885,/tags/Maxwell%20Lord,c
Mick Rory,8154,/tags/Mick%20Rory,c
Nathaniel Adam,35,/tags/Nathaniel%20Adam,c
Clark Kent/Bruce Wayne/Richard White,1,/tags/Clark%20Kent*s*Bruce%20Wayne*s*Richard%20White,r
Community: comica_obscura,12,/tags/Community:%20comica_obscura,f
Lois Lane/Lex Luthor,37,/tags/Lois%20Lane*s*Lex%20Luthor,r
Jesse Chambers,90,/tags/Jesse%20Chambers,c
Tegra Kalmaku/Tom Kalmaku,0,/tags/Tegra%20Kalmaku*s*Tom%20Kalmaku,r
Chloe Sullivan/Wally West,14,/tags/Chloe%20Sullivan*s*Wally%20West,r
Roy Harper/Connor Hawke,16,/tags/Roy%20Harper*s*Connor%20Hawke,r
