tag,count,href,category
Bruce Wayne,82448,/tags/Bruce%20Wayne,c
Alfred Pennyworth,28416,/tags/Alfred%20Pennyworth,c
Clark Kent/Bruce Wayne,17000,/tags/Clark%20Kent*s*Bruce%20Wayne,r
Selina Kyle,8762,/tags/Selina%20Kyle,c
Selina Kyle/Bruce Wayne,4732,/tags/Selina%20Kyle*s*Bruce%20Wayne,r
Jim Gordon,7959,/tags/Jim%20Gordon,c
Jim Gordon/Bruce Wayne,480,/tags/Jim%20Gordon*s*Bruce%20Wayne,r
Edward Nygma,11440,/tags/Edward%20Nygma,c
Carmine Falcone,507,/tags/Carmine%20Falcone,c
Oswald Cobblepot/Edward Nygma,6434,/tags/Oswald%20Cobblepot*s*Edward%20Nygma,r
Oswald Cobblepot,9194,/tags/Oswald%20Cobblepot,c
Tim Drake/Dick Grayson/Bruce Wayne,31,/tags/Tim%20Drake*s*Dick%20Grayson*s*Bruce%20Wayne,r
Joker (DCU),7112,/tags/Joker%20(DCU),c
Jim Gordon & Bruce Wayne,371,/tags/Jim%20Gordon%20*a*%20Bruce%20Wayne,r
Bruce Wayne/Other(s),36,/tags/Bruce%20Wayne*s*Other(s),r
Selina Kyle/Edward Nygma,75,/tags/Selina%20Kyle*s*Edward%20Nygma,r
Edward Nygma/Bruce Wayne,1519,/tags/Edward%20Nygma*s*Bruce%20Wayne,r
Bruce Wayne/You,240,/tags/Bruce%20Wayne*s*You,r
Edward Nygma/Original Female Character(s),169,/tags/Edward%20Nygma*s*Original%20Female%20Character(s),r
Bruce Wayne/Reader,1260,/tags/Bruce%20Wayne*s*Reader,r
Bruce Wayne/Original Male Character(s),66,/tags/Bruce%20Wayne*s*Original%20Male%20Character(s),r
Bruce Wayne/Original Female Character(s),412,/tags/Bruce%20Wayne*s*Original%20Female%20Character(s),r
Bruce Wayne/Original Character(s),78,/tags/Bruce%20Wayne*s*Original%20Character(s),r
Oswald Cobblepot/Reader,176,/tags/Oswald%20Cobblepot*s*Reader,r
Alfred Pennyworth/Original Character(s),2,/tags/Alfred%20Pennyworth*s*Original%20Character(s),r
Oswald Cobblepot/You,85,/tags/Oswald%20Cobblepot*s*You,r
Bruce Wayne/Everyone,28,/tags/Bruce%20Wayne*s*Everyone,r
Alfred Pennyworth/Martha Wayne/Thomas Wayne,82,/tags/Alfred%20Pennyworth*s*Martha%20Wayne*s*Thomas%20Wayne,r
Edward Nygma/Original Character(s),36,/tags/Edward%20Nygma*s*Original%20Character(s),r
Selina Kyle/Original Character(s),8,/tags/Selina%20Kyle*s*Original%20Character(s),r
Edward Nygma/Reader,767,/tags/Edward%20Nygma*s*Reader,r
Bruce Wayne & Original Character(s),52,/tags/Bruce%20Wayne%20*a*%20Original%20Character(s),r
Kon-El | Conner Kent/Bruce Wayne,18,/tags/Kon-El%20%7C%20Conner%20Kent*s*Bruce%20Wayne,r
Selina Kyle & Edward Nygma,76,/tags/Selina%20Kyle%20*a*%20Edward%20Nygma,r
Jim Gordon/You,3,/tags/Jim%20Gordon*s*You,r
Edward Nygma/Other(s),4,/tags/Edward%20Nygma*s*Other(s),r
Edward Nygma/You,237,/tags/Edward%20Nygma*s*You,r
Patrick Bateman/Joker (DCU),0,/tags/Patrick%20Bateman*s*Joker%20(DCU),r
Joker (DCU)/Harleen Quinzel/Original Female Character(s),12,/tags/Joker%20(DCU)*s*Harleen%20Quinzel*s*Original%20Female%20Character(s),r
Oswald Cobblepot & Edward Nygma,570,/tags/Oswald%20Cobblepot%20*a*%20Edward%20Nygma,r
Oswald Cobblepot/Bruce Wayne,51,/tags/Oswald%20Cobblepot*s*Bruce%20Wayne,r
Edward Nygma & Reader,65,/tags/Edward%20Nygma%20*a*%20Reader,r
Hallucination Oswald Cobblepot,107,/tags/Hallucination%20Oswald%20Cobblepot,c
Joker (DCU) & Edward Nygma,16,/tags/Joker%20(DCU)%20*a*%20Edward%20Nygma,r
Edward Nygma/Original Male Character(s),21,/tags/Edward%20Nygma*s*Original%20Male%20Character(s),r
Edward Nygma & Bruce Wayne,306,/tags/Edward%20Nygma%20*a*%20Bruce%20Wayne,r
Sonic the Hedgehog/Bruce Wayne,0,/tags/Sonic%20the%20Hedgehog*s*Bruce%20Wayne,r
Alfred Pennyworth & Original Character(s),18,/tags/Alfred%20Pennyworth%20*a*%20Original%20Character(s),r
Selina Kyle/Bruce Wayne/Reader,6,/tags/Selina%20Kyle*s*Bruce%20Wayne*s*Reader,r
Joker (DCU)/Edward Nygma,59,/tags/Joker%20(DCU)*s*Edward%20Nygma,r
Carmine Falcone/Bruce Wayne,31,/tags/Carmine%20Falcone*s*Bruce%20Wayne,r
Stephanie Brown & Edward Nygma,276,/tags/Stephanie%20Brown%20*a*%20Edward%20Nygma,r
Dick Grayson & Alfred Pennyworth & Jason Todd & Bruce Wayne,16,/tags/Dick%20Grayson%20*a*%20Alfred%20Pennyworth%20*a*%20Jason%20Todd%20*a*%20Bruce%20Wayne,r
Oswald Cobblepot & Reader,21,/tags/Oswald%20Cobblepot%20*a*%20Reader,r
Gotham City Police Department Officers,72,/tags/Gotham%20City%20Police%20Department%20Officers,c
Selina Kyle/Selina Kyle,1,/tags/Selina%20Kyle*s*Selina%20Kyle,r
Quentin Beck/Joker (DCU),9,/tags/Quentin%20Beck*s*Joker%20(DCU),r
Edward Nygma is the Riddler,242,/tags/Edward%20Nygma%20is%20the%20Riddler,f
Tommy Merlyn & Bruce Wayne,4,/tags/Tommy%20Merlyn%20*a*%20Bruce%20Wayne,r
Jim Gordon & Reader,11,/tags/Jim%20Gordon%20*a*%20Reader,r
Jim Gordon & Gotham City,4,/tags/Jim%20Gordon%20*a*%20Gotham%20City,r
Tina Armstrong/Bruce Wayne,0,/tags/Tina%20Armstrong*s*Bruce%20Wayne,r
Alfred Pennyworth & Vicki Vale,0,/tags/Alfred%20Pennyworth%20*a*%20Vicki%20Vale,r
Batman Played by Robert Pattinson,260,/tags/Batman%20Played%20by%20Robert%20Pattinson,f
Clark Kent/Selina Kyle/Lois Lane/Bruce Wayne,3,/tags/Clark%20Kent*s*Selina%20Kyle*s*Lois%20Lane*s*Bruce%20Wayne,r
Barry Allen/Edward Nygma,8,/tags/Barry%20Allen*s*Edward%20Nygma,r
Barry Allen/Oswald Cobblepot/Edward Nygma,10,/tags/Barry%20Allen*s*Oswald%20Cobblepot*s*Edward%20Nygma,r
Riddler (DCU) Played by Paul Dano,511,/tags/Riddler%20(DCU)%20Played%20by%20Paul%20Dano,f
Penguin (DCU) Played by Colin Farrell,32,/tags/Penguin%20(DCU)%20Played%20by%20Colin%20Farrell,f
Tim Drake & Alfred Pennyworth & Jason Todd,4,/tags/Tim%20Drake%20*a*%20Alfred%20Pennyworth%20*a*%20Jason%20Todd,r
