tag,count,href,category
Jung Hoseok | J-Hope,98957,/tags/Jung%20Hoseok%20%7C%20J-Hope,c
Kim Taehyung | V,124016,/tags/Kim%20Taehyung%20%7C%20V,c
Kim Seokjin | Jin,103478,/tags/Kim%20Seokjin%20%7C%20Jin,c
Min Yoongi | Suga,127000,/tags/Min%20Yoongi%20%7C%20Suga,c
Kim Seokjin | Jin/Kim Taehyung | V,7615,/tags/Kim%20Seokjin%20%7C%20Jin*s*Kim%20Taehyung%20%7C%20V,r
Kim Seokjin | Jin/Park Jimin,3910,/tags/Kim%20Seokjin%20%7C%20Jin*s*Park%20Jimin,r
Min Yoongi | Suga/Park Jimin,39177,/tags/Min%20Yoongi%20%7C%20Suga*s*Park%20Jimin,r
Jung Hoseok | J-Hope/Kim Taehyung | V,5606,/tags/Jung%20Hoseok%20%7C%20J-Hope*s*Kim%20Taehyung%20%7C%20V,r
Jin Hyosang | Kidoh/Kim Seokjin | Jin,30,/tags/Jin%20Hyosang%20%7C%20Kidoh*s*Kim%20Seokjin%20%7C%20Jin,r
Shin Donghyuk | Supreme Boi,143,/tags/Shin%20Donghyuk%20%7C%20Supreme%20Boi,c
Song Hobeom,37,/tags/Song%20Hobeom,c
Jeon Jungkook,140164,/tags/Jeon%20Jungkook,c
Kim Myungsoo | L/Kim Seokjin | Jin,1,/tags/Kim%20Myungsoo%20%7C%20L*s*Kim%20Seokjin%20%7C%20Jin,r
Kim Myungsoo | L/Min Yoongi | Suga,4,/tags/Kim%20Myungsoo%20%7C%20L*s*Min%20Yoongi%20%7C%20Suga,r
Kim Seokjin | Jin/Min Yoongi | Suga,11585,/tags/Kim%20Seokjin%20%7C%20Jin*s*Min%20Yoongi%20%7C%20Suga,r
Kim Taehyung | V/Park Jimin,20625,/tags/Kim%20Taehyung%20%7C%20V*s*Park%20Jimin,r
Jung Hoseok | J-Hope/Park Jimin,6110,/tags/Jung%20Hoseok%20%7C%20J-Hope*s*Park%20Jimin,r
Jeon Jungkook/Kim Taehyung | V,50926,/tags/Jeon%20Jungkook*s*Kim%20Taehyung%20%7C%20V,r
Choi Ikje | i11evn/Kim Taehyung | V,2,/tags/Choi%20Ikje%20%7C%20i11evn*s*Kim%20Taehyung%20%7C%20V,r
Jung Hoseok | J-Hope/Min Yoongi | Suga,20758,/tags/Jung%20Hoseok%20%7C%20J-Hope*s*Min%20Yoongi%20%7C%20Suga,r
Kim Taehyung | V/Min Yoongi | Suga,13009,/tags/Kim%20Taehyung%20%7C%20V*s*Min%20Yoongi%20%7C%20Suga,r
Min Yoongi | Suga/Park Kyung,4,/tags/Min%20Yoongi%20%7C%20Suga*s*Park%20Kyung,r
Min Yoongi | Suga & Woo Jiho | Zico,1,/tags/Min%20Yoongi%20%7C%20Suga%20*a*%20Woo%20Jiho%20%7C%20Zico,r
Jung Hoseok | J-Hope/Reader,3255,/tags/Jung%20Hoseok%20%7C%20J-Hope*s*Reader,r
Jung Hoseok | J-Hope/Original Character(s),354,/tags/Jung%20Hoseok%20%7C%20J-Hope*s*Original%20Character(s),r
Kim Taehyung | V/Original Character(s),291,/tags/Kim%20Taehyung%20%7C%20V*s*Original%20Character(s),r
Kim Taehyung | V/Original Female Character(s),1529,/tags/Kim%20Taehyung%20%7C%20V*s*Original%20Female%20Character(s),r
Kim Seokjin | Jin/Kim Taehyung | V/Min Yoongi | Suga,153,/tags/Kim%20Seokjin%20%7C%20Jin*s*Kim%20Taehyung%20%7C%20V*s*Min%20Yoongi%20%7C%20Suga,r
Jung Hoseok | J-Hope/Shin Donghyuk | Supreme Boi,28,/tags/Jung%20Hoseok%20%7C%20J-Hope*s*Shin%20Donghyuk%20%7C%20Supreme%20Boi,r
Kim Taehyung | V/Min Yoongi | Suga/Park Jimin,465,/tags/Kim%20Taehyung%20%7C%20V*s*Min%20Yoongi%20%7C%20Suga*s*Park%20Jimin,r
Min Yoongi | Suga/You,945,/tags/Min%20Yoongi%20%7C%20Suga*s*You,r
Min Yoongi | Suga/Woo Jiho | Zico,6,/tags/Min%20Yoongi%20%7C%20Suga*s*Woo%20Jiho%20%7C%20Zico,r
Choi Ikje | i11evn/Min Yoongi | Suga,1,/tags/Choi%20Ikje%20%7C%20i11evn*s*Min%20Yoongi%20%7C%20Suga,r
Jung Hoseok | J-Hope/Original Female Character(s),1169,/tags/Jung%20Hoseok%20%7C%20J-Hope*s*Original%20Female%20Character(s),r
Kim Seokjin | Jin & Shin Jiho | Xero,0,/tags/Kim%20Seokjin%20%7C%20Jin%20*a*%20Shin%20Jiho%20%7C%20Xero,r
Kim Jongin | Kai/Kim Seokjin | Jin,3,/tags/Kim%20Jongin%20%7C%20Kai*s*Kim%20Seokjin%20%7C%20Jin,r
Jung Hoseok | J-Hope/Kim Seokjin | Jin,4065,/tags/Jung%20Hoseok%20%7C%20J-Hope*s*Kim%20Seokjin%20%7C%20Jin,r
Kwak Soojin | Zin/Min Yoongi | Suga,0,/tags/Kwak%20Soojin%20%7C%20Zin*s*Min%20Yoongi%20%7C%20Suga,r
Byun Baekhyun/Kim Taehyung | V,34,/tags/Byun%20Baekhyun*s*Kim%20Taehyung%20%7C%20V,r
Kim Taehyung | V/Oh Sehun,10,/tags/Kim%20Taehyung%20%7C%20V*s*Oh%20Sehun,r
Do Kyungsoo | D.O/Kim Taehyung | V,1,/tags/Do%20Kyungsoo%20%7C%20D*d*O*s*Kim%20Taehyung%20%7C%20V,r
Jung Hoseok | J-Hope/Kim Taehyung | V/Park Jimin,271,/tags/Jung%20Hoseok%20%7C%20J-Hope*s*Kim%20Taehyung%20%7C%20V*s*Park%20Jimin,r
Min Yoongi | Suga/Noh Yiyoung | E-Young,0,/tags/Min%20Yoongi%20%7C%20Suga*s*Noh%20Yiyoung%20%7C%20E-Young,r
Jung Hoseok | J-Hope/Min Yoongi | Suga/Park Jimin,1198,/tags/Jung%20Hoseok%20%7C%20J-Hope*s*Min%20Yoongi%20%7C%20Suga*s*Park%20Jimin,r
Kim Dahee/Min Yoongi | Suga,1,/tags/Kim%20Dahee*s*Min%20Yoongi%20%7C%20Suga,r
Park Jimin (BTS),127802,/tags/Park%20Jimin%20(BTS),c
Park Jimin (BTS)/Original Female Character(s),1122,/tags/Park%20Jimin%20(BTS)*s*Original%20Female%20Character(s),r
Dong Youngbae | Taeyang/Park Jimin (BTS),5,/tags/Dong%20Youngbae%20%7C%20Taeyang*s*Park%20Jimin%20(BTS),r
Park Jimin (BTS)/Jackson Wang,21,/tags/Park%20Jimin%20(BTS)*s*Jackson%20Wang,r
Kim Seokjin | Jin/Min Yoongi | Suga/Park Jimin,118,/tags/Kim%20Seokjin%20%7C%20Jin*s*Min%20Yoongi%20%7C%20Suga*s*Park%20Jimin,r
Kim Seokjin | Jin/Original Female Character(s),359,/tags/Kim%20Seokjin%20%7C%20Jin*s*Original%20Female%20Character(s),r
Park Jimin (BTS)/Reader,4068,/tags/Park%20Jimin%20(BTS)*s*Reader,r
Min Yoongi | Suga/Reader,4799,/tags/Min%20Yoongi%20%7C%20Suga*s*Reader,r
Kim Taehyung | V/Mark Tuan,15,/tags/Kim%20Taehyung%20%7C%20V*s*Mark%20Tuan,r
Kim Taehyung | V/Reader,4208,/tags/Kim%20Taehyung%20%7C%20V*s*Reader,r
Choi Junhong | Zelo/Jeon Jungkook,3,/tags/Choi%20Junhong%20%7C%20Zelo*s*Jeon%20Jungkook,r
Min Yoongi | Suga/Any,9,/tags/Min%20Yoongi%20%7C%20Suga*s*Any,r
Park Jimin (BTS)/Everyone,1874,/tags/Park%20Jimin%20(BTS)*s*Everyone,r
Kim Taehyung | V & Park Jimin,1085,/tags/Kim%20Taehyung%20%7C%20V%20*a*%20Park%20Jimin,r
Min Yoongi | Suga/Everyone,1682,/tags/Min%20Yoongi%20%7C%20Suga*s*Everyone,r
Jung Hoseok | J-Hope/Kim Taehyung | V/Min Yoongi | Suga,414,/tags/Jung%20Hoseok%20%7C%20J-Hope*s*Kim%20Taehyung%20%7C%20V*s*Min%20Yoongi%20%7C%20Suga,r
Kim Seokjin | Jin & Original Character(s),17,/tags/Kim%20Seokjin%20%7C%20Jin%20*a*%20Original%20Character(s),r
Min Yoongi | Suga & Original Character(s),34,/tags/Min%20Yoongi%20%7C%20Suga%20*a*%20Original%20Character(s),r
Kim Taehyung | V & Original Character(s),40,/tags/Kim%20Taehyung%20%7C%20V%20*a*%20Original%20Character(s),r
Jeon Jungkook & Everyone,452,/tags/Jeon%20Jungkook%20*a*%20Everyone,r
Jeon Jungkook & Park Jimin,2723,/tags/Jeon%20Jungkook%20*a*%20Park%20Jimin,r
Jeon Jungkook/Everyone,3792,/tags/Jeon%20Jungkook*s*Everyone,r
Jeon Jungkook/Jung Hoseok | J-Hope,5272,/tags/Jeon%20Jungkook*s*Jung%20Hoseok%20%7C%20J-Hope,r
Jeon Jungkook/Jung Hoseok | J-Hope/Park Jimin,208,/tags/Jeon%20Jungkook*s*Jung%20Hoseok%20%7C%20J-Hope*s*Park%20Jimin,r
Jeon Jungkook/Kim Seokjin | Jin,10274,/tags/Jeon%20Jungkook*s*Kim%20Seokjin%20%7C%20Jin,r
Jeon Jungkook/Kim Taehyung | V/Min Yoongi | Suga,552,/tags/Jeon%20Jungkook*s*Kim%20Taehyung%20%7C%20V*s*Min%20Yoongi%20%7C%20Suga,r
Jeon Jungkook/Kim Taehyung | V/Park Jimin,3330,/tags/Jeon%20Jungkook*s*Kim%20Taehyung%20%7C%20V*s*Park%20Jimin,r
Jeon Jungkook/Kim Yerim | Yeri,46,/tags/Jeon%20Jungkook*s*Kim%20Yerim%20%7C%20Yeri,r
Jeon Jungkook/Lee Seunghyun | Seungri,2,/tags/Jeon%20Jungkook*s*Lee%20Seunghyun%20%7C%20Seungri,r
Jeon Jungkook/Min Yoongi | Suga,19637,/tags/Jeon%20Jungkook*s*Min%20Yoongi%20%7C%20Suga,r
Jeon Jungkook/Original Character(s),250,/tags/Jeon%20Jungkook*s*Original%20Character(s),r
Jeon Jungkook/Park Jimin,44446,/tags/Jeon%20Jungkook*s*Park%20Jimin,r
Jeon Jungkook/Jung Hoseok/Kim Namjoon/Kim Seokjin/Kim Taehyung/Min Yoongi/Park Jimin,4527,/tags/Jeon%20Jungkook*s*Jung%20Hoseok*s*Kim%20Namjoon*s*Kim%20Seokjin*s*Kim%20Taehyung*s*Min%20Yoongi*s*Park%20Jimin,r
Kim Taehyung | V/Ryu Sujeong,1,/tags/Kim%20Taehyung%20%7C%20V*s*Ryu%20Sujeong,r
Jeon Jungkook/Reader,6339,/tags/Jeon%20Jungkook*s*Reader,r
Min Yoongi | Suga/Other(s),33,/tags/Min%20Yoongi%20%7C%20Suga*s*Other(s),r
Kim Jiwon | Bobby/Park Jimin (BTS),4,/tags/Kim%20Jiwon%20%7C%20Bobby*s*Park%20Jimin%20(BTS),r
Jung Hoseok | J-Hope/Other(s),33,/tags/Jung%20Hoseok%20%7C%20J-Hope*s*Other(s),r
Min Yoongi | Suga/Jackson Wang,17,/tags/Min%20Yoongi%20%7C%20Suga*s*Jackson%20Wang,r
Kim Jiwon | Bobby/Kim Taehyung | V,0,/tags/Kim%20Jiwon%20%7C%20Bobby*s*Kim%20Taehyung%20%7C%20V,r
Chae Hyungwon/Kim Seokjin | Jin/Original Character(s),0,/tags/Chae%20Hyungwon*s*Kim%20Seokjin%20%7C%20Jin*s*Original%20Character(s),r
Jeon Jungkook/Jung Hoseok | J-Hope/Kim Taehyung | V,254,/tags/Jeon%20Jungkook*s*Jung%20Hoseok%20%7C%20J-Hope*s*Kim%20Taehyung%20%7C%20V,r
Jung Hoseok | J-Hope/Kim Seokjin | Jin/Min Yoongi | Suga,228,/tags/Jung%20Hoseok%20%7C%20J-Hope*s*Kim%20Seokjin%20%7C%20Jin*s*Min%20Yoongi%20%7C%20Suga,r
Kim Seokjin | Jin/Reader,2961,/tags/Kim%20Seokjin%20%7C%20Jin*s*Reader,r
Min Yoongi | Suga/Oh Sehun,3,/tags/Min%20Yoongi%20%7C%20Suga*s*Oh%20Sehun,r
One-Sided Jeon Jungkook/Park Jimin,58,/tags/One-Sided%20Jeon%20Jungkook*s*Park%20Jimin,f
Min Yoongi | Suga/Original Character(s),166,/tags/Min%20Yoongi%20%7C%20Suga*s*Original%20Character(s),r
Kim Taehyung | V/Everyone,1277,/tags/Kim%20Taehyung%20%7C%20V*s*Everyone,r
Jung Hoseok | J-Hope/Original Male Character(s),96,/tags/Jung%20Hoseok%20%7C%20J-Hope*s*Original%20Male%20Character(s),r
Park Jimin (BTS)/Original Character(s),277,/tags/Park%20Jimin%20(BTS)*s*Original%20Character(s),r
Park Jimin (BTS)/Original Male Character(s),317,/tags/Park%20Jimin%20(BTS)*s*Original%20Male%20Character(s),r
Min Yoongi | Suga/Original Male Character(s),233,/tags/Min%20Yoongi%20%7C%20Suga*s*Original%20Male%20Character(s),r
Min Yoongi | Suga/Original Female Character(s),1647,/tags/Min%20Yoongi%20%7C%20Suga*s*Original%20Female%20Character(s),r
Jung Taekwoon | Leo/Lee Hongbin/Min Yoongi | Suga,1,/tags/Jung%20Taekwoon%20%7C%20Leo*s*Lee%20Hongbin*s*Min%20Yoongi%20%7C%20Suga,r
Jung Taekwoon | Leo/Min Yoongi | Suga,1,/tags/Jung%20Taekwoon%20%7C%20Leo*s*Min%20Yoongi%20%7C%20Suga,r
Han Sanghyuk | Hyuk/Kim Seokjin | Jin,2,/tags/Han%20Sanghyuk%20%7C%20Hyuk*s*Kim%20Seokjin%20%7C%20Jin,r
Jung Hoseok | J-Hope/Kim Taehyung | V/Min Yoongi | Suga/Park Jimin,23,/tags/Jung%20Hoseok%20%7C%20J-Hope*s*Kim%20Taehyung%20%7C%20V*s*Min%20Yoongi%20%7C%20Suga*s*Park%20Jimin,r
Park Jimin (BTS) & Jackson Wang,1,/tags/Park%20Jimin%20(BTS)%20*a*%20Jackson%20Wang,r
Jeon Jungkook/Other(s),61,/tags/Jeon%20Jungkook*s*Other(s),r
Jeon Jungkook/Jung Yein,6,/tags/Jeon%20Jungkook*s*Jung%20Yein,r
Min Yoongi | Suga/Woo Taewoon | ₩uNo,0,/tags/Min%20Yoongi%20%7C%20Suga*s*Woo%20Taewoon%20%7C%20%E2%82%A9uNo,r
Kim Seokjin | Jin & Min Yoongi | Suga,389,/tags/Kim%20Seokjin%20%7C%20Jin%20*a*%20Min%20Yoongi%20%7C%20Suga,r
Kim Taehyung | V/Shin Jimin,0,/tags/Kim%20Taehyung%20%7C%20V*s*Shin%20Jimin,r
Jeon Jungkook/Min Yoongi | Suga/Park Jimin,612,/tags/Jeon%20Jungkook*s*Min%20Yoongi%20%7C%20Suga*s*Park%20Jimin,r
Choi Seunghyun | T.O.P./Kim Taehyung | V,6,/tags/Choi%20Seunghyun%20%7C%20T*d*O*d*P*d**s*Kim%20Taehyung%20%7C%20V,r
Dong Youngbae | Taeyang/Min Yoongi | Suga,0,/tags/Dong%20Youngbae%20%7C%20Taeyang*s*Min%20Yoongi%20%7C%20Suga,r
Jeon Jungkook/Kim Seokjin | Jin/Kim Taehyung | V,288,/tags/Jeon%20Jungkook*s*Kim%20Seokjin%20%7C%20Jin*s*Kim%20Taehyung%20%7C%20V,r
Kang Minwoo | DJ Snatch/Min Yoongi | Suga,0,/tags/Kang%20Minwoo%20%7C%20DJ%20Snatch*s*Min%20Yoongi%20%7C%20Suga,r
Kim Seokjin | Jin/Park Choa,0,/tags/Kim%20Seokjin%20%7C%20Jin*s*Park%20Choa,r
Kim Seolhyun/Min Yoongi | Suga/Shin Hyejeong,0,/tags/Kim%20Seolhyun*s*Min%20Yoongi%20%7C%20Suga*s*Shin%20Hyejeong,r
Jeon Jungkook/Lee Suwoong,3,/tags/Jeon%20Jungkook*s*Lee%20Suwoong,r
Kim Minseok | Xiumin/Kim Seokjin | Jin,4,/tags/Kim%20Minseok%20%7C%20Xiumin*s*Kim%20Seokjin%20%7C%20Jin,r
Kim Seokjin | Jin/Everyone,2018,/tags/Kim%20Seokjin%20%7C%20Jin*s*Everyone,r
Kim Taehyung | V/Kwon Jiyong | G-Dragon,5,/tags/Kim%20Taehyung%20%7C%20V*s*Kwon%20Jiyong%20%7C%20G-Dragon,r
Jung Hoseok | J-Hope/Lee Miso,0,/tags/Jung%20Hoseok%20%7C%20J-Hope*s*Lee%20Miso,r
Kim Taehyung | V & Min Yoongi | Suga,581,/tags/Kim%20Taehyung%20%7C%20V%20*a*%20Min%20Yoongi%20%7C%20Suga,r
Choi Yuna | Yuju/Jeon Jungkook,1,/tags/Choi%20Yuna%20%7C%20Yuju*s*Jeon%20Jungkook,r
Kim Jongin | Kai/Kim Taehyung | V,4,/tags/Kim%20Jongin%20%7C%20Kai*s*Kim%20Taehyung%20%7C%20V,r
Jeon Jungkook/Kwon Jiyong | G-Dragon,20,/tags/Jeon%20Jungkook*s*Kwon%20Jiyong%20%7C%20G-Dragon,r
Bae Joohyun | Irene/Kim Seokjin | Jin,27,/tags/Bae%20Joohyun%20%7C%20Irene*s*Kim%20Seokjin%20%7C%20Jin,r
Kim Seokjin | Jin/Kim Taehyung | V/Park Jimin,155,/tags/Kim%20Seokjin%20%7C%20Jin*s*Kim%20Taehyung%20%7C%20V*s*Park%20Jimin,r
Jung Yein/Kim Taehyung | V,0,/tags/Jung%20Yein*s*Kim%20Taehyung%20%7C%20V,r
Ahn Hyojin | LE/Min Yoongi | Suga,1,/tags/Ahn%20Hyojin%20%7C%20LE*s*Min%20Yoongi%20%7C%20Suga,r
Jeon Jungkook & Kim Taehyung | V,1771,/tags/Jeon%20Jungkook%20*a*%20Kim%20Taehyung%20%7C%20V,r
Jung Hoseok | J-Hope & Kim Seokjin | Jin,166,/tags/Jung%20Hoseok%20%7C%20J-Hope%20*a*%20Kim%20Seokjin%20%7C%20Jin,r
Jeon Jungkook & Kim Seokjin | Jin,862,/tags/Jeon%20Jungkook%20*a*%20Kim%20Seokjin%20%7C%20Jin,r
Jeon Hojoon/Min Yoongi | Suga,0,/tags/Jeon%20Hojoon*s*Min%20Yoongi%20%7C%20Suga,r
Jung Hoseok | J-Hope & Park Jimin,243,/tags/Jung%20Hoseok%20%7C%20J-Hope%20*a*%20Park%20Jimin,r
