tag,count,href,category
Frank Castle,7924,/tags/Frank%20Castle,c
Frank Castle/Matt Murdock,3215,/tags/Frank%20Castle*s*Matt%20Murdock,r
Karen Page,8482,/tags/Karen%20Page,c
Kathryn O'Brien,2,/tags/Kathryn%20O'Brien,c
William Rawlins,66,/tags/William%20Rawlins,c
Billy Russo,1053,/tags/Billy%20Russo,c
Maria Castle,242,/tags/Maria%20Castle,c
Frank Castle/Peter Parker,29,/tags/Frank%20Castle*s*Peter%20Parker,r
Clint Barton/Frank Castle,11,/tags/Clint%20Barton*s*Frank%20Castle,r
Frank Castle/Original Female Character(s),207,/tags/Frank%20Castle*s*Original%20Female%20Character(s),r
Cristu Bulat,1,/tags/Cristu%20Bulat,c
Frank Castle & Steve Rogers,10,/tags/Frank%20Castle%20*a*%20Steve%20Rogers,r
Frank Castle & Peter Parker,179,/tags/Frank%20Castle%20*a*%20Peter%20Parker,r
"Frank Castle/Franklin ""Foggy"" Nelson",92,/tags/Frank%20Castle*s*Franklin%20%22Foggy%22%20Nelson,r
Frank Castle & Lisa Castle,20,/tags/Frank%20Castle%20*a*%20Lisa%20Castle,r
Lisa Castle,179,/tags/Lisa%20Castle,c
Frank Castle Jr.,154,/tags/Frank%20Castle%20Jr*d*,c
Frank Castle & Frank Castle Jr.,4,/tags/Frank%20Castle%20*a*%20Frank%20Castle%20Jr*d*,r
Frank Castle/Claire Temple,8,/tags/Frank%20Castle*s*Claire%20Temple,r
Frank Castle/Matt Murdock/Claire Temple,1,/tags/Frank%20Castle*s*Matt%20Murdock*s*Claire%20Temple,r
Frank Castle/Karen Page,2938,/tags/Frank%20Castle*s*Karen%20Page,r
Frank Castle & Matt Murdock,613,/tags/Frank%20Castle%20*a*%20Matt%20Murdock,r
Frank Castle/Original Character(s),52,/tags/Frank%20Castle*s*Original%20Character(s),r
Frank Castle/Original Male Character(s),9,/tags/Frank%20Castle*s*Original%20Male%20Character(s),r
Frank Castle/Wade Wilson,17,/tags/Frank%20Castle*s*Wade%20Wilson,r
