tag,count,href,category
Fourth Age,1544,/tags/Fourth%20Age,f
Back to Middle-Earth Month 2009,1,/tags/Back%20to%20Middle-Earth%20Month%202009,f
Barahir (Fourth Age),17,/tags/Barahir%20(Fourth%20Age),c
Tar-Míriel,425,/tags/Tar-M%C3%ADriel,c
Ardor in August,28,/tags/Ardor%20in%20August,f
Nazgûl,403,/tags/Nazg%C3%BBl,c
Akallabêth,113,/tags/Akallab%C3%AAth,f
Alwin Arundel Lowdham,2,/tags/Alwin%20Arundel%20Lowdham,c
Túrin Turambar,672,/tags/T%C3%BArin%20Turambar,c
Beleg Cúthalion,593,/tags/Beleg%20C%C3%BAthalion,c
Tol Eressëa,77,/tags/Tol%20Eress%C3%ABa,f
Tarannon Falastur,16,/tags/Tarannon%20Falastur,c
Beleg Cúthalion/Túrin Turambar,271,/tags/Beleg%20C%C3%BAthalion*s*T%C3%BArin%20Turambar,r
Númenor,356,/tags/N%C3%BAmenor,f
Nirnaeth Arnoediad,116,/tags/Nirnaeth%20Arnoediad,f
Mablung of Doriath,249,/tags/Mablung%20of%20Doriath,c
Dior Eluchíl,330,/tags/Dior%20Eluch%C3%ADl,c
Manwë Súlimo,633,/tags/Manw%C3%AB%20S%C3%BAlimo,c
Beren Erchamion,549,/tags/Beren%20Erchamion,c
Gondolin,380,/tags/Gondolin,f
Third Age,991,/tags/Third%20Age,f
Blue Wizards,45,/tags/Blue%20Wizards,c
Wilfred Trewin Jeremy/Alwin Arundel Lowdham,0,/tags/Wilfred%20Trewin%20Jeremy*s*Alwin%20Arundel%20Lowdham,r
Tinfang Gelion,14,/tags/Tinfang%20Gelion,c
Community: tolkien_weekly,9,/tags/Community:%20tolkien_weekly,f
Ar-Pharazôn,271,/tags/Ar-Pharaz%C3%B4n,c
First Age,1568,/tags/First%20Age,f
Community: lotr_community,14,/tags/Community:%20lotr_community,f
Witch-King of Angmar,435,/tags/Witch-King%20of%20Angmar,c
Doriath,248,/tags/Doriath,f
Morwen Eledhwen,154,/tags/Morwen%20Eledhwen,c
Back to Middle-Earth Month,266,/tags/Back%20to%20Middle-Earth%20Month,f
The One Ring,271,/tags/The%20One%20Ring,c
My Slashy Valentine,49,/tags/My%20Slashy%20Valentine,f
Dior Eluchíl/Ereinion Gil-galad,0,/tags/Dior%20Eluch%C3%ADl*s*Ereinion%20Gil-galad,r
Ereinion Gil-galad,1601,/tags/Ereinion%20Gil-galad,c
Dúnedain,121,/tags/D%C3%BAnedain,c
Valinor,1223,/tags/Valinor,f
Idril Celebrindal,891,/tags/Idril%20Celebrindal,c
Noldolante,46,/tags/Noldolante,f
Alqualondë,99,/tags/Alqualond%C3%AB,f
Erebor,751,/tags/Erebor,f
Finduilas Faelivrin,411,/tags/Finduilas%20Faelivrin,c
Húrin Thalion,156,/tags/H%C3%BArin%20Thalion,c
Sador Labadal,16,/tags/Sador%20Labadal,c
Urwen Lalaith,45,/tags/Urwen%20Lalaith,c
Tar-Ancalimë,49,/tags/Tar-Ancalim%C3%AB,c
Orcs,1505,/tags/Orcs,f
Isildur/The One Ring,0,/tags/Isildur*s*The%20One%20Ring,r
My Slashy Valentine 2011,3,/tags/My%20Slashy%20Valentine%202011,f
Barahir (First Age),49,/tags/Barahir%20(First%20Age),c
Ar-Pharazon/Tar-Miriel,43,/tags/Ar-Pharazon*s*Tar-Miriel,r
Idril Celebrindal/Tuor,222,/tags/Idril%20Celebrindal*s*Tuor,r
Frodo Baggins/Melian,0,/tags/Frodo%20Baggins*s*Melian,r
Sirion,74,/tags/Sirion,f
Sons of Fëanor,827,/tags/Sons%20of%20F%C3%ABanor,c
Ondoher's wife,1,/tags/Ondoher's%20wife,c
Daeron (Tolkien),379,/tags/Daeron%20(Tolkien),c
Frodo Baggins/The One Ring,7,/tags/Frodo%20Baggins*s*The%20One%20Ring,r
Celebrían/Witch-King of Angmar,0,/tags/Celebr%C3%ADan*s*Witch-King%20of%20Angmar,r
Beleg Cúthalion/Haleth Hammerhand,1,/tags/Beleg%20C%C3%BAthalion*s*Haleth%20Hammerhand,r
Mordor,151,/tags/Mordor,f
Eorl the Young,16,/tags/Eorl%20the%20Young,c
Rings of Power,178,/tags/Rings%20of%20Power,f
Niënor Níniel/Túrin Turambar,33,/tags/Ni%C3%ABnor%20N%C3%ADniel*s*T%C3%BArin%20Turambar,r
Niënor Níniel,190,/tags/Ni%C3%ABnor%20N%C3%ADniel,c
Lothlórien,188,/tags/Lothl%C3%B3rien,f
Ost-in-Edhil,88,/tags/Ost-in-Edhil,f
Isildur's Wife,18,/tags/Isildur's%20Wife,c
Sindarin,142,/tags/Sindarin,f
War of Wrath,257,/tags/War%20of%20Wrath,f
Annatar/Bilbo Baggins,0,/tags/Annatar*s*Bilbo%20Baggins,r
Túrin II,4,/tags/T%C3%BArin%20II,c
Osgiliath,15,/tags/Osgiliath,f
Finduilas Faelivrin/Túrin Turambar,31,/tags/Finduilas%20Faelivrin*s*T%C3%BArin%20Turambar,r
Isildur/Isildur's Wife,11,/tags/Isildur*s*Isildur's%20Wife,r
Quenya,89,/tags/Quenya,f
Mirkwood,771,/tags/Mirkwood,f
Lúthien Tinúviel,714,/tags/L%C3%BAthien%20Tin%C3%BAviel,c
Dúnedain of the North,115,/tags/D%C3%BAnedain%20of%20the%20North,c
Middle Earth,1138,/tags/Middle%20Earth,f
Bilbo Baggins/Thranduil,108,/tags/Bilbo%20Baggins*s*Thranduil,r
Thorin Oakenshield/Thranduil,1062,/tags/Thorin%20Oakenshield*s*Thranduil,r
One Ring to Rule Them All,30,/tags/One%20Ring%20to%20Rule%20Them%20All,f
Mereth Aderthad,39,/tags/Mereth%20Aderthad,f
Elrond Peredhel,7834,/tags/Elrond%20Peredhel,c
Helcaraxë,156,/tags/Helcarax%C3%AB,f
Fingon's Wife,66,/tags/Fingon's%20Wife,c
Creepy Elves,4,/tags/Creepy%20Elves,f
War of the Ring,1312,/tags/War%20of%20the%20Ring,f
Tar-Aldarion,35,/tags/Tar-Aldarion,c
Angband,331,/tags/Angband,f
Bilbo Baggins/Smaug/Thranduil,1,/tags/Bilbo%20Baggins*s*Smaug*s*Thranduil,r
The One Ring - Freeform,154,/tags/The%20One%20Ring%20-%20Freeform,f
Modern Middle Earth,171,/tags/Modern%20Middle%20Earth,f
Ecthelion II,103,/tags/Ecthelion%20II,c
Awesome Galadriel,45,/tags/Awesome%20Galadriel,f
Curufin's Wife,209,/tags/Curufin's%20Wife,c
Post-War of Wrath,104,/tags/Post-War%20of%20Wrath,f
Mîm (Tolkien),19,/tags/M%C3%AEm%20(Tolkien),c
Weird Elven Sexual Mores,36,/tags/Weird%20Elven%20Sexual%20Mores,f
Meddling Valar,103,/tags/Meddling%20Valar,f
Dior (Steward of Gondor),2,/tags/Dior%20(Steward%20of%20Gondor),c
Barahir (Steward of Gondor),2,/tags/Barahir%20(Steward%20of%20Gondor),c
Cuiviénen,61,/tags/Cuivi%C3%A9nen,f
Aerin (Tolkien),52,/tags/Aerin%20(Tolkien),c
Frodo Baggins/Nimrodel,1,/tags/Frodo%20Baggins*s*Nimrodel,r
Halls of Mandos,350,/tags/Halls%20of%20Mandos,f
Legolas of Gondolin,28,/tags/Legolas%20of%20Gondolin,c
Silmarils,275,/tags/Silmarils,f
Thorin Oakenshield/Thranduil/You,1,/tags/Thorin%20Oakenshield*s*Thranduil*s*You,r
Dagor Dagorath,116,/tags/Dagor%20Dagorath,f
Eagles of Manwë,109,/tags/Eagles%20of%20Manw%C3%AB,c
Bilbo Baggins/Thorin Oakenshield/Thranduil,3,/tags/Bilbo%20Baggins*s*Thorin%20Oakenshield*s*Thranduil,r
Expanded Middle Earth,22,/tags/Expanded%20Middle%20Earth,f
Thranduil/Thranduil's Deer,3,/tags/Thranduil*s*Thranduil's%20Deer,r
Eru Ilúvatar,199,/tags/Eru%20Il%C3%BAvatar,c
Original Orc Character(s),786,/tags/Original%20Orc%20Character(s),c
Bilbo Baggins & Thranduil,30,/tags/Bilbo%20Baggins%20*a*%20Thranduil,r
Ecthelion of the Fountain,727,/tags/Ecthelion%20of%20the%20Fountain,c
Teleri (Tolkien),40,/tags/Teleri%20(Tolkien),c
Ecthelion of the Fountain/Original Character(s),23,/tags/Ecthelion%20of%20the%20Fountain*s*Original%20Character(s),r
Eluréd/Elurín/Original Male Character(s),0,/tags/Elur%C3%A9d*s*Elur%C3%ADn*s*Original%20Male%20Character(s),r
Mablung of Gondor/Original Female Character(s),1,/tags/Mablung%20of%20Gondor*s*Original%20Female%20Character(s),r
Ecthelion of the Fountain/Erestor,13,/tags/Ecthelion%20of%20the%20Fountain*s*Erestor,r
Ecthelion of the Fountain/Glorfindel,359,/tags/Ecthelion%20of%20the%20Fountain*s*Glorfindel,r
Ecthelion of the Fountain/Idril Celebrindal,0,/tags/Ecthelion%20of%20the%20Fountain*s*Idril%20Celebrindal,r
