tag,count,href,category
Hercules/Iolaus,124,/tags/Hercules*s*Iolaus,r
Xena/Original Female Character,4,/tags/Xena*s*Original%20Female%20Character,r
Callisto/Gabrielle,11,/tags/Callisto*s*Gabrielle,r
Callisto/Xena,14,/tags/Callisto*s*Xena,r
M'Lila/Xena,4,/tags/M'Lila*s*Xena,r
Borias,21,/tags/Borias,c
Joxer,302,/tags/Joxer,c
Ares/Joxer,136,/tags/Ares*s*Joxer,r
Gabrielle/Phyleus,1,/tags/Gabrielle*s*Phyleus,r
Iolaus/Nebula,4,/tags/Iolaus*s*Nebula,r
Iolaus/Iphicles,2,/tags/Iolaus*s*Iphicles,r
Melinda Pappas,28,/tags/Melinda%20Pappas,c
Janice Covington,30,/tags/Janice%20Covington,c
Hercules/Iolaus/Nebula,2,/tags/Hercules*s*Iolaus*s*Nebula,r
Erica Hahn/Xena,1,/tags/Erica%20Hahn*s*Xena,r
Joxer/Strife,9,/tags/Joxer*s*Strife,r
Autolycus/Strife,1,/tags/Autolycus*s*Strife,r
Gabrielle (Xena),1047,/tags/Gabrielle%20(Xena),c
Janice Covington/Melinda Pappas,34,/tags/Janice%20Covington*s*Melinda%20Pappas,r
Ares/Xena,525,/tags/Ares*s*Xena,r
Gabrielle/Xena,1277,/tags/Gabrielle*s*Xena,r
M'Lila,4,/tags/M'Lila,c
Joxer/Original Female Character,4,/tags/Joxer*s*Original%20Female%20Character,r
Strife/Original Male Character,1,/tags/Strife*s*Original%20Male%20Character,r
Tara (Xena),4,/tags/Tara%20(Xena),c
Strife (Xena),82,/tags/Strife%20(Xena),c
Gabrielle/Tara/Xena,0,/tags/Gabrielle*s*Tara*s*Xena,r
Jace (Xena),10,/tags/Jace%20(Xena),c
Lila (Xena),48,/tags/Lila%20(Xena),c
Ares/The Sovereign,2,/tags/Ares*s*The%20Sovereign,r
Gabrielle/Iolaus,1,/tags/Gabrielle*s*Iolaus,r
Iphicles/The Sovereign,0,/tags/Iphicles*s*The%20Sovereign,r
The Amazons (Xena),70,/tags/The%20Amazons%20(Xena),c
Eponin/Solari,1,/tags/Eponin*s*Solari,r
Eponin,44,/tags/Eponin,c
Solari,20,/tags/Solari,c
Najara,4,/tags/Najara,c
Xena/Lao Ma,15,/tags/Xena*s*Lao%20Ma,r
Ming Tien,6,/tags/Ming%20Tien,c
Ming Tzu,3,/tags/Ming%20Tzu,c
Annie Day,8,/tags/Annie%20Day,c
Borias/Xena,14,/tags/Borias*s*Xena,r
Lila (Xena)/Original Female Character,0,/tags/Lila%20(Xena)*s*Original%20Female%20Character,r
Helena Cain/Gabrielle (Xena),0,/tags/Helena%20Cain*s*Gabrielle%20(Xena),r
Ephiny/Gabrielle (Xena),5,/tags/Ephiny*s*Gabrielle%20(Xena),r
Autolycus & Xena,2,/tags/Autolycus%20*a*%20Xena,r
Autolycus/Iolaus,1,/tags/Autolycus*s*Iolaus,r
Psyche/Xena,0,/tags/Psyche*s*Xena,r
Autolycus/Psyche,0,/tags/Autolycus*s*Psyche,r
Psyche (Xena),4,/tags/Psyche%20(Xena),c
Jett (Xena),11,/tags/Jett%20(Xena),c
Joxer/Other,5,/tags/Joxer*s*Other,r
Joxerotica 2005 Challenge,11,/tags/Joxerotica%202005%20Challenge,f
Bliss (Xena),12,/tags/Bliss%20(Xena),c
Eli (Xena),12,/tags/Eli%20(Xena),c
Iphicles/Joxer,1,/tags/Iphicles*s*Joxer,r
Cupid/Joxer,0,/tags/Cupid*s*Joxer,r
Eli/Joxer,0,/tags/Eli*s*Joxer,r
Asclepius/Joxer,1,/tags/Asclepius*s*Joxer,r
Joxerotica Challenge,0,/tags/Joxerotica%20Challenge,f
Gabrielle/Joxer/Xena,4,/tags/Gabrielle*s*Joxer*s*Xena,r
Ravenica,1,/tags/Ravenica,c
Autolycus/Cupcake,3,/tags/Autolycus*s*Cupcake,r
Autolycus/Joxer,12,/tags/Autolycus*s*Joxer,r
Autolycus/Jett,1,/tags/Autolycus*s*Jett,r
Meg (Xena),15,/tags/Meg%20(Xena),c
Autolycus/Joxer/Meg,0,/tags/Autolycus*s*Joxer*s*Meg,r
Evander (Xena),1,/tags/Evander%20(Xena),c
Gabrielle (Xena)/Original Male Character,0,/tags/Gabrielle%20(Xena)*s*Original%20Male%20Character,r
Ares (Xena),715,/tags/Ares%20(Xena),c
Hercules/Xena,6,/tags/Hercules*s*Xena,r
Pompey (Xena),4,/tags/Pompey%20(Xena),c
Iolaus/Michael,1,/tags/Iolaus*s*Michael,r
Michael (Xena),12,/tags/Michael%20(Xena),c
Episode: s06e22 A Friend In Need Part 2,7,/tags/Episode:%20s06e22%20A%20Friend%20In%20Need%20Part%202,f
Callisto (Xena),72,/tags/Callisto%20(Xena),c
Haresh Clay/Lao Ma,0,/tags/Haresh%20Clay*s*Lao%20Ma,r
Loki (Marvel)/Strife (Xena),0,/tags/Loki%20(Marvel)*s*Strife%20(Xena),r
Morimoto (Xena),0,/tags/Morimoto%20(Xena),c
Gabrielle/Joxer,13,/tags/Gabrielle*s*Joxer,r
Rupert Giles/Spike/Strife,1,/tags/Rupert%20Giles*s*Spike*s*Strife,r
Ares/Xander Harris,0,/tags/Ares*s*Xander%20Harris,r
Ares/Strife,2,/tags/Ares*s*Strife,r
Discord/Strife,14,/tags/Discord*s*Strife,r
Gabchak,1,/tags/Gabchak,f
Gabrielle/Najara,5,/tags/Gabrielle*s*Najara,r
Grinhilda,1,/tags/Grinhilda,c
Episode: s04e19 Takes One To Know One,0,/tags/Episode:%20s04e19%20Takes%20One%20To%20Know%20One,f
Episode: s04e03 A Family Affair,2,/tags/Episode:%20s04e03%20A%20Family%20Affair,f
Episode: s05e04 Animal Attraction,3,/tags/Episode:%20s05e04%20Animal%20Attraction,f
Episode: s02e22 A Comedy of Eros,0,/tags/Episode:%20s02e22%20A%20Comedy%20of%20Eros,f
Episode: s04e18 The Convert,0,/tags/Episode:%20s04e18%20The%20Convert,f
Episode: s05e15 Married With Fishsticks,0,/tags/Episode:%20s05e15%20Married%20With%20Fishsticks,f
Aphrodite (Xena),144,/tags/Aphrodite%20(Xena),c
Episode: s05e13 Eternal Bonds,2,/tags/Episode:%20s05e13%20Eternal%20Bonds,f
Deimos/Strife,1,/tags/Deimos*s*Strife,r
Jett/Joxer,2,/tags/Jett*s*Joxer,r
Discord (Xena),77,/tags/Discord%20(Xena),c
Discord & Strife,1,/tags/Discord%20*a*%20Strife,r
Xander Harris/Strife (Xena),0,/tags/Xander%20Harris*s*Strife%20(Xena),r
Episode: s01e01 Sins of the Past,1,/tags/Episode:%20s01e01%20Sins%20of%20the%20Past,f
Cupid (Xena),64,/tags/Cupid%20(Xena),c
The Sovereign/Xena,1,/tags/The%20Sovereign*s*Xena,r
Aphrodite/Gabrielle (Xena),24,/tags/Aphrodite*s*Gabrielle%20(Xena),r
Ares/Nebula,1,/tags/Ares*s*Nebula,r
Xena/Bellatrix Black Lestrange,0,/tags/Xena*s*Bellatrix%20Black%20Lestrange,r
Diana (Xena),2,/tags/Diana%20(Xena),c
Iolaus/Xena,0,/tags/Iolaus*s*Xena,r
Joxer/Meg,6,/tags/Joxer*s*Meg,r
Episode: s06e21 A Friend In Need Part 1,0,/tags/Episode:%20s06e21%20A%20Friend%20In%20Need%20Part%201,f
Post-A Friend In Need,25,/tags/Post-A%20Friend%20In%20Need,f
Joxer (Xena)/Methos (Highlander),0,/tags/Joxer%20(Xena)*s*Methos%20(Highlander),r
Ephiny/Eponin,1,/tags/Ephiny*s*Eponin,r
Lyceus,14,/tags/Lyceus,c
Mezentius,3,/tags/Mezentius,c
Cupid (Xena)/James T. Kirk,0,/tags/Cupid%20(Xena)*s*James%20T*d*%20Kirk,r
Gabrielle/Perdicus,6,/tags/Gabrielle*s*Perdicus,r
Episode: s06e18 When Fates Collide,3,/tags/Episode:%20s06e18%20When%20Fates%20Collide,f
Joxer/Undisclosed,1,/tags/Joxer*s*Undisclosed,r
Episode: s01e09 Death in Chains,0,/tags/Episode:%20s01e09%20Death%20in%20Chains,f
Hope (Xena),21,/tags/Hope%20(Xena),c
Gabrielle (Xena)/Merlin (Merlin),0,/tags/Gabrielle%20(Xena)*s*Merlin%20(Merlin),r
