tag,count,href,category
Mordecai (Borderlands),387,/tags/Mordecai%20(Borderlands),c
Lilith/Mordecai (Borderlands),10,/tags/Lilith*s*Mordecai%20(Borderlands),r
Mordecai/Roland (Borderlands),9,/tags/Mordecai*s*Roland%20(Borderlands),r
Lilith/Mordecai/Roland (Borderlands),1,/tags/Lilith*s*Mordecai*s*Roland%20(Borderlands),r
Lilith (Borderlands),632,/tags/Lilith%20(Borderlands),c
Roland (Borderlands),238,/tags/Roland%20(Borderlands),c
Brick (Borderlands),306,/tags/Brick%20(Borderlands),c
Gaige (Borderlands),410,/tags/Gaige%20(Borderlands),c
Borderlands Secret Santa,3,/tags/Borderlands%20Secret%20Santa,f
Maya (Borderlands),623,/tags/Maya%20(Borderlands),c
Angel (Borderlands),748,/tags/Angel%20(Borderlands),c
Scooter (Borderlands),87,/tags/Scooter%20(Borderlands),c
Handsome Jack (Borderlands),3537,/tags/Handsome%20Jack%20(Borderlands),c
Helena Pierce,5,/tags/Helena%20Pierce,c
Salvador (Borderlands),204,/tags/Salvador%20(Borderlands),c
Sir Hammerlock (Borderlands),156,/tags/Sir%20Hammerlock%20(Borderlands),c
Lilith/Maya (Borderlands),47,/tags/Lilith*s*Maya%20(Borderlands),r
Lilith/Roland (Borderlands),66,/tags/Lilith*s*Roland%20(Borderlands),r
Angel/Maya (Borderlands),8,/tags/Angel*s*Maya%20(Borderlands),r
Jack Being an Asshole,49,/tags/Jack%20Being%20an%20Asshole,f
Nisha (Borderlands),494,/tags/Nisha%20(Borderlands),c
Axton (Borderlands),435,/tags/Axton%20(Borderlands),c
Rocko (Borderlands),2,/tags/Rocko%20(Borderlands),c
Brick/Mordecai (Borderlands),112,/tags/Brick*s*Mordecai%20(Borderlands),r
Roland/Scooter (Borderlands),2,/tags/Roland*s*Scooter%20(Borderlands),r
Marcus Kincaid,39,/tags/Marcus%20Kincaid,c
Handsome Jack/Harold Tassiter,3,/tags/Handsome%20Jack*s*Harold%20Tassiter,r
Harold Tassiter,103,/tags/Harold%20Tassiter,c
Timothy Lawrence,1275,/tags/Timothy%20Lawrence,c
Vaughn (Borderlands),1316,/tags/Vaughn%20(Borderlands),c
Rhys (Borderlands),4106,/tags/Rhys%20(Borderlands),c
Rudiger (Borderlands),1,/tags/Rudiger%20(Borderlands),c
Sasha (Borderlands),698,/tags/Sasha%20(Borderlands),c
Fiona (Borderlands),832,/tags/Fiona%20(Borderlands),c
Athena (Borderlands),389,/tags/Athena%20(Borderlands),c
Janey Springs,263,/tags/Janey%20Springs,c
Handsome Jack/Timothy Lawrence,196,/tags/Handsome%20Jack*s*Timothy%20Lawrence,r
Dr. Autohn (Borderlands),3,/tags/Dr*d*%20Autohn%20(Borderlands),c
Handsome Jack/Rhys (Borderlands),3041,/tags/Handsome%20Jack*s*Rhys%20(Borderlands),r
Aurelia Hammerlock/Nisha,6,/tags/Aurelia%20Hammerlock*s*Nisha,r
Aurelia Hammerlock,130,/tags/Aurelia%20Hammerlock,c
Athena/Janey Springs,117,/tags/Athena*s*Janey%20Springs,r
Gladstone Katoa,11,/tags/Gladstone%20Katoa,c
Hugo Vasquez,373,/tags/Hugo%20Vasquez,c
Yvette (Borderlands),500,/tags/Yvette%20(Borderlands),c
Borderlands 2 Spoilers,4,/tags/Borderlands%202%20Spoilers,f
Rhys/Hugo Vasquez,74,/tags/Rhys*s*Hugo%20Vasquez,r
Wilhelm (Borderlands),289,/tags/Wilhelm%20(Borderlands),c
