tag,count,href,category
Judy Hopps,3712,/tags/Judy%20Hopps,c
Nick Wilde,3808,/tags/Nick%20Wilde,c
Benjamin Clawhauser,800,/tags/Benjamin%20Clawhauser,c
Chief Bogo (Zootopia),1061,/tags/Chief%20Bogo%20(Zootopia),c
Leodore Lionheart,103,/tags/Leodore%20Lionheart,c
McHorn (Zootopia),48,/tags/McHorn%20(Zootopia),c
Judy Hopps/Nick Wilde,2852,/tags/Judy%20Hopps*s*Nick%20Wilde,r
Gideon Grey (Zootopia),11,/tags/Gideon%20Grey%20(Zootopia),c
Finnick (Zootopia),660,/tags/Finnick%20(Zootopia),c
Finnick/Nick Wilde,34,/tags/Finnick*s*Nick%20Wilde,r
Fru Fru (Zootopia),100,/tags/Fru%20Fru%20(Zootopia),c
Duke Weaselton (Zootopia),94,/tags/Duke%20Weaselton%20(Zootopia),c
Nick Wilde/Other(s),0,/tags/Nick%20Wilde*s*Other(s),r
Bonnie Hopps,339,/tags/Bonnie%20Hopps,c
Stu Hopps,301,/tags/Stu%20Hopps,c
Judy Hopps & Nick Wilde,1209,/tags/Judy%20Hopps%20*a*%20Nick%20Wilde,r
Gazelle (Zootopia),137,/tags/Gazelle%20(Zootopia),c
Bonnie Hopps/Stu Hopps,77,/tags/Bonnie%20Hopps*s*Stu%20Hopps,r
Nick Wilde/Original Male Character(s),18,/tags/Nick%20Wilde*s*Original%20Male%20Character(s),r
Nick Wilde's Mother,294,/tags/Nick%20Wilde's%20Mother,c
Nick Wilde & Nick Wilde's Mother,39,/tags/Nick%20Wilde%20*a*%20Nick%20Wilde's%20Mother,r
Chief Bogo/Gazelle,6,/tags/Chief%20Bogo*s*Gazelle,r
Dawn Bellwether,293,/tags/Dawn%20Bellwether,c
Dawn Bellwether & Judy Hopps,2,/tags/Dawn%20Bellwether%20*a*%20Judy%20Hopps,r
Benjamin Clawhauser/Jerry Jumbeaux Jr.,1,/tags/Benjamin%20Clawhauser*s*Jerry%20Jumbeaux%20Jr*d*,r
Jerry Jumbeaux Jr.,6,/tags/Jerry%20Jumbeaux%20Jr*d*,c
Gazelle (Zootopia)/Original Character(s),0,/tags/Gazelle%20(Zootopia)*s*Original%20Character(s),r
Chief Bogo/Benjamin Clawhauser,68,/tags/Chief%20Bogo*s*Benjamin%20Clawhauser,r
Dawn Bellwether/Leodore Lionheart,6,/tags/Dawn%20Bellwether*s*Leodore%20Lionheart,r
Bucky Oryx-Antlerson,49,/tags/Bucky%20Oryx-Antlerson,c
Pronk Oryx-Antlerson,47,/tags/Pronk%20Oryx-Antlerson,c
Bucky Oryx-Antlerson/Pronk Oryx-Antlerson,20,/tags/Bucky%20Oryx-Antlerson*s*Pronk%20Oryx-Antlerson,r
Nick Wilde's Father,97,/tags/Nick%20Wilde's%20Father,c
Nick Wilde's Father/Nick Wilde's Mother,8,/tags/Nick%20Wilde's%20Father*s*Nick%20Wilde's%20Mother,r
Gideon Grey/Stu Hopps,8,/tags/Gideon%20Grey*s*Stu%20Hopps,r
Benjamin Clawhauser/Original Male Character(s),3,/tags/Benjamin%20Clawhauser*s*Original%20Male%20Character(s),r
Delgato (Zootopia),54,/tags/Delgato%20(Zootopia),c
Higgins (Zootopia),10,/tags/Higgins%20(Zootopia),c
Dharma Armadillo,2,/tags/Dharma%20Armadillo,c
Dawn Bellwether & Leodore Lionheart,5,/tags/Dawn%20Bellwether%20*a*%20Leodore%20Lionheart,r
Judy Hopps/Original Character(s),12,/tags/Judy%20Hopps*s*Original%20Character(s),r
Zootopia Police Department Officers,116,/tags/Zootopia%20Police%20Department%20Officers,c
Savage Nick Wilde,31,/tags/Savage%20Nick%20Wilde,f
Mrs. Otterton (Zootopia),68,/tags/Mrs*d*%20Otterton%20(Zootopia),c
Flash (Zootopia),31,/tags/Flash%20(Zootopia),c
Flash/Nick Wilde,0,/tags/Flash*s*Nick%20Wilde,r
