tag,count,href,category
Lex Luthor/Kara Zor-El,8,/tags/Lex%20Luthor*s*Kara%20Zor-El,r
Karen Starr,250,/tags/Karen%20Starr,c
Raven (Teen Titans),2043,/tags/Raven%20(Teen%20Titans),c
Tim Drake/Koriand'r,11,/tags/Tim%20Drake*s*Koriand'r,r
Community: JBBS,8,/tags/Community:%20JBBS,f
Stephanie Brown/Kara Zor-El,53,/tags/Stephanie%20Brown*s*Kara%20Zor-El,r
Cassie Sandsmark/Kara Zor-El,18,/tags/Cassie%20Sandsmark*s*Kara%20Zor-El,r
Barbara Gordon/Dick Grayson/Bruce Wayne,12,/tags/Barbara%20Gordon*s*Dick%20Grayson*s*Bruce%20Wayne,r
Barbara Gordon/Dick Grayson/Koriand'r,33,/tags/Barbara%20Gordon*s*Dick%20Grayson*s*Koriand'r,r
Grant Emerson/Roy Harper,6,/tags/Grant%20Emerson*s*Roy%20Harper,r
Toni Monetti,45,/tags/Toni%20Monetti,c
Isaiah Crockett/Toni Monetti,13,/tags/Isaiah%20Crockett*s*Toni%20Monetti,r
Isaiah Crockett,20,/tags/Isaiah%20Crockett,c
Bart Allen/Connor Hawke,1,/tags/Bart%20Allen*s*Connor%20Hawke,r
M'gann M'orzz,3879,/tags/M'gann%20M'orzz,c
Barbara Gordon/Bruce Wayne,220,/tags/Barbara%20Gordon*s*Bruce%20Wayne,r
Tim Drake/Dick Grayson/Bruce Wayne,31,/tags/Tim%20Drake*s*Dick%20Grayson*s*Bruce%20Wayne,r
Garth (DCU),728,/tags/Garth%20(DCU),c
Speedy (DCU),175,/tags/Speedy%20(DCU),c
Robin (DCU),3765,/tags/Robin%20(DCU),c
Dick Grayson/Raven,506,/tags/Dick%20Grayson*s*Raven,r
Garfield Logan/Raven,1270,/tags/Garfield%20Logan*s*Raven,r
Roy Harper/Jade Nguyen,325,/tags/Roy%20Harper*s*Jade%20Nguyen,r
Tara Markov,523,/tags/Tara%20Markov,c
Bette Kane,304,/tags/Bette%20Kane,c
Dawn Granger,331,/tags/Dawn%20Granger,c
Hank Hall,395,/tags/Hank%20Hall,c
Kid Flash,1457,/tags/Kid%20Flash,c
Titans of Tomorrow,21,/tags/Titans%20of%20Tomorrow,f
Connor Hawke/Kyle Rayner,86,/tags/Connor%20Hawke*s*Kyle%20Rayner,r
Dick Grayson/Roy Harper/ Koriand'r,12,/tags/Dick%20Grayson*s*Roy%20Harper*s*%20Koriand'r,r
Roy Harper/Wally West,146,/tags/Roy%20Harper*s*Wally%20West,r
Dick Grayson/Roy Harper/Slade Wilson,2,/tags/Dick%20Grayson*s*Roy%20Harper*s*Slade%20Wilson,r
Kid Flash/Robin,297,/tags/Kid%20Flash*s*Robin,r
Eddie Bloomberg,166,/tags/Eddie%20Bloomberg,c
Stephanie Brown/Dick Grayson,50,/tags/Stephanie%20Brown*s*Dick%20Grayson,r
Jason Todd/Rose Wilson,126,/tags/Jason%20Todd*s*Rose%20Wilson,r
Robin/Speedy,20,/tags/Robin*s*Speedy,r
Tula (DCU),72,/tags/Tula%20(DCU),c
Adeline Kane Wilson,177,/tags/Adeline%20Kane%20Wilson,c
William Randolph Wintergreen,374,/tags/William%20Randolph%20Wintergreen,c
Connor Hawke/Jason Todd,35,/tags/Connor%20Hawke*s*Jason%20Todd,r
Kyle Rayner/Jason Todd,466,/tags/Kyle%20Rayner*s*Jason%20Todd,r
Adeline Kane Wilson/Slade Wilson,104,/tags/Adeline%20Kane%20Wilson*s*Slade%20Wilson,r
Barbara Gordon/Kate Kane/Dinah Lance,0,/tags/Barbara%20Gordon*s*Kate%20Kane*s*Dinah%20Lance,r
Eddie Bloomberg/Rose Wilson,25,/tags/Eddie%20Bloomberg*s*Rose%20Wilson,r
Lex Luthor/Jason Todd,45,/tags/Lex%20Luthor*s*Jason%20Todd,r
Dick Grayson/Warren Worthington III,1,/tags/Dick%20Grayson*s*Warren%20Worthington%20III,r
Garth/Donna Troy,13,/tags/Garth*s*Donna%20Troy,r
Robert Long,22,/tags/Robert%20Long,c
Garth/Dick Grayson,38,/tags/Garth*s*Dick%20Grayson,r
Alex Drake/Barbara Gordon,1,/tags/Alex%20Drake*s*Barbara%20Gordon,r
Jason Todd/Kara Zor-El,117,/tags/Jason%20Todd*s*Kara%20Zor-El,r
Dick Grayson & Wally West,1265,/tags/Dick%20Grayson%20*a*%20Wally%20West,r
Tim Drake/Barbara Gordon,92,/tags/Tim%20Drake*s*Barbara%20Gordon,r
Donna Troy/Tula,1,/tags/Donna%20Troy*s*Tula,r
Grant Emerson/Dick Grayson,0,/tags/Grant%20Emerson*s*Dick%20Grayson,r
Garfield Logan/Victor Stone,42,/tags/Garfield%20Logan*s*Victor%20Stone,r
Dick Grayson/Roy Harper/Jason Todd/Wally West,1,/tags/Dick%20Grayson*s*Roy%20Harper*s*Jason%20Todd*s*Wally%20West,r
Jason Todd/Slade Wilson,1259,/tags/Jason%20Todd*s*Slade%20Wilson,r
Rena/Jason Todd,1,/tags/Rena*s*Jason%20Todd,r
Tim Drake & Clark Kent,76,/tags/Tim%20Drake%20*a*%20Clark%20Kent,r
Bart Allen/Tommy Shepherd,8,/tags/Bart%20Allen*s*Tommy%20Shepherd,r
Jason Todd/Damian Wayne,868,/tags/Jason%20Todd*s*Damian%20Wayne,r
Tim Drake/Jason Todd/Bruce Wayne,32,/tags/Tim%20Drake*s*Jason%20Todd*s*Bruce%20Wayne,r
Bart Allen/Damian Wayne,2,/tags/Bart%20Allen*s*Damian%20Wayne,r
Roy Harper/Koriand'r/Jason Todd,426,/tags/Roy%20Harper*s*Koriand'r*s*Jason%20Todd,r
Kate Bishop/Kara Zor-El,0,/tags/Kate%20Bishop*s*Kara%20Zor-El,r
Miguel Barragan,71,/tags/Miguel%20Barragan,c
Miguel Barragan/Tim Drake,3,/tags/Miguel%20Barragan*s*Tim%20Drake,r
Dick Grayson/Selina Kyle/Bruce Wayne,9,/tags/Dick%20Grayson*s*Selina%20Kyle*s*Bruce%20Wayne,r
Damian Wayne/Iris West II,39,/tags/Damian%20Wayne*s*Iris%20West%20II,r
Tim Drake/Connor Hawke,15,/tags/Tim%20Drake*s*Connor%20Hawke,r
Bart Allen/Rose Wilson,23,/tags/Bart%20Allen*s*Rose%20Wilson,r
Jinx (DCU),548,/tags/Jinx%20(DCU),c
Tim Drake/Dick Grayson/Jason Todd/Damian Wayne,186,/tags/Tim%20Drake*s*Dick%20Grayson*s*Jason%20Todd*s*Damian%20Wayne,r
Barbara Gordon/Jim Gordon,17,/tags/Barbara%20Gordon*s*Jim%20Gordon,r
Dick Grayson/Kara Zor-El,18,/tags/Dick%20Grayson*s*Kara%20Zor-El,r
Roy Harper/Bette Kane,0,/tags/Roy%20Harper*s*Bette%20Kane,r
Dick Grayson/Roy Harper/Wally West,53,/tags/Dick%20Grayson*s*Roy%20Harper*s*Wally%20West,r
Mar'i Grayson,554,/tags/Mar'i%20Grayson,c
Dick Grayson Bashing,8,/tags/Dick%20Grayson%20Bashing,f
Jason Todd/Undisclosed,2,/tags/Jason%20Todd*s*Undisclosed,r
Tim Drake/Undisclosed,1,/tags/Tim%20Drake*s*Undisclosed,r
Karen Beecher/Mal Duncan,29,/tags/Karen%20Beecher*s*Mal%20Duncan,r
Karen Beecher,368,/tags/Karen%20Beecher,c
Mal Duncan,153,/tags/Mal%20Duncan,c
Guy Gardner/Jaime Reyes,1,/tags/Guy%20Gardner*s*Jaime%20Reyes,r
Charlie Young/Kara Zor-El,0,/tags/Charlie%20Young*s*Kara%20Zor-El,r
Dick Grayson & Damian Wayne,5731,/tags/Dick%20Grayson%20*a*%20Damian%20Wayne,r
