tag,count,href,category
Vulpes Inculta,691,/tags/Vulpes%20Inculta,c
Orion Moreno,20,/tags/Orion%20Moreno,c
Arcade Gannon,1234,/tags/Arcade%20Gannon,c
ED-E,326,/tags/ED-E,c
Manny Vargas,97,/tags/Manny%20Vargas,c
Lonesome Drifter,9,/tags/Lonesome%20Drifter,c
Raul Tejada,367,/tags/Raul%20Tejada,c
Rose of Sharon Cassidy,573,/tags/Rose%20of%20Sharon%20Cassidy,c
Craig Boone,1188,/tags/Craig%20Boone,c
Veronica Santangelo,665,/tags/Veronica%20Santangelo,c
Craig Boone/Manny Vargas,12,/tags/Craig%20Boone*s*Manny%20Vargas,r
Tommy Torini,15,/tags/Tommy%20Torini,c
Praetorian Guard (Fallout),3,/tags/Praetorian%20Guard%20(Fallout),c
Swank (Fallout),94,/tags/Swank%20(Fallout),c
Courier (Fallout),1132,/tags/Courier%20(Fallout),c
Henry (Fallout),9,/tags/Henry%20(Fallout),c
Courier/Rose of Sharon Cassidy,29,/tags/Courier*s*Rose%20of%20Sharon%20Cassidy,r
Arcade Gannon/Courier,65,/tags/Arcade%20Gannon*s*Courier,r
Craig Boone/Rose of Sharon Cassidy,15,/tags/Craig%20Boone*s*Rose%20of%20Sharon%20Cassidy,r
Courier/Lonesome Drifter,1,/tags/Courier*s*Lonesome%20Drifter,r
Courier/Original Character (Fallout),9,/tags/Courier*s*Original%20Character%20(Fallout),r
Red Lucy,22,/tags/Red%20Lucy,c
Pacer (Fallout),34,/tags/Pacer%20(Fallout),c
Female Courier/Lanius,24,/tags/Female%20Courier*s*Lanius,r
Benny (Fallout),534,/tags/Benny%20(Fallout),c
Benny/Praetorian Guard,0,/tags/Benny*s*Praetorian%20Guard,r
Carla Boone,62,/tags/Carla%20Boone,c
Carla Boone/Craig Boone,46,/tags/Carla%20Boone*s*Craig%20Boone,r
Female Courier/Pacer,5,/tags/Female%20Courier*s*Pacer,r
Craig Boone/Arcade Gannon,112,/tags/Craig%20Boone*s*Arcade%20Gannon,r
Pacer/Sergio,1,/tags/Pacer*s*Sergio,r
Craig Boone/Male Courier,105,/tags/Craig%20Boone*s*Male%20Courier,r
Mick/Ralph,6,/tags/Mick*s*Ralph,r
Arcade Gannon/Manny Vargas,6,/tags/Arcade%20Gannon*s*Manny%20Vargas,r
Craig Boone/Fisto,1,/tags/Craig%20Boone*s*Fisto,r
Lily Bowen,187,/tags/Lily%20Bowen,c
Arcade Gannon/The King,12,/tags/Arcade%20Gannon*s*The%20King,r
James Hsu,47,/tags/James%20Hsu,c
Carrie Boyd,17,/tags/Carrie%20Boyd,c
Butch DeLoria/Knight (Fallout: New Vegas),0,/tags/Butch%20DeLoria*s*Knight%20(Fallout:%20New%20Vegas),r
Craig Boone/Male Courier/Arcade Gannon,7,/tags/Craig%20Boone*s*Male%20Courier*s*Arcade%20Gannon,r
Rose of Sharon Cassidy/Male Courier/Arcade Gannon,0,/tags/Rose%20of%20Sharon%20Cassidy*s*Male%20Courier*s*Arcade%20Gannon,r
The King (Fallout: New Vegas),111,/tags/The%20King%20(Fallout:%20New%20Vegas),c
Dala (Fallout),14,/tags/Dala%20(Fallout),c
Female Courier/Dala,3,/tags/Female%20Courier*s*Dala,r
Alex Richards,15,/tags/Alex%20Richards,c
Male Courier/Alex Richards,8,/tags/Male%20Courier*s*Alex%20Richards,r
Joshua Graham (Fallout),440,/tags/Joshua%20Graham%20(Fallout),c
Daniel (Fallout),48,/tags/Daniel%20(Fallout),c
Daniel/Joshua Graham (Fallout),15,/tags/Daniel*s*Joshua%20Graham%20(Fallout),r
Emily Ortal,18,/tags/Emily%20Ortal,c
Old Lady Gibson,5,/tags/Old%20Lady%20Gibson,c
New Vegas,85,/tags/New%20Vegas,f
Doc Mitchell,115,/tags/Doc%20Mitchell,c
Easy Pete,19,/tags/Easy%20Pete,c
Sunny Smiles,103,/tags/Sunny%20Smiles,c
Michael Angelo/Debra Morgan,0,/tags/Michael%20Angelo*s*Debra%20Morgan,r
McMurphy,4,/tags/McMurphy,c
Jessup (Fallout),23,/tags/Jessup%20(Fallout),c
Craig Boone/Red Lucy,1,/tags/Craig%20Boone*s*Red%20Lucy,r
Rose of Sharon Cassidy/Female Courier,56,/tags/Rose%20of%20Sharon%20Cassidy*s*Female%20Courier,r
Mr. Bishop,5,/tags/Mr*d*%20Bishop,c
Doctor Usanagi,17,/tags/Doctor%20Usanagi,c
Carla Boone/Manny Vargas,2,/tags/Carla%20Boone*s*Manny%20Vargas,r
Moira Brown/Vulpes Inculta,1,/tags/Moira%20Brown*s*Vulpes%20Inculta,r
Mortimer (Fallout),12,/tags/Mortimer%20(Fallout),c
Female Courier/Arcade Gannon,2,/tags/Female%20Courier*s*Arcade%20Gannon,r
Marjorie (Fallout),12,/tags/Marjorie%20(Fallout),c
Nolan McNamara,20,/tags/Nolan%20McNamara,c
Marjorie/Mortimer (Fallout),0,/tags/Marjorie*s*Mortimer%20(Fallout),r
Arcade Gannon/Nolan McNamara,4,/tags/Arcade%20Gannon*s*Nolan%20McNamara,r
Rafaela Tejada,3,/tags/Rafaela%20Tejada,c
Cassandra Moore,27,/tags/Cassandra%20Moore,c
James Hsu/Cassandra Moore,0,/tags/James%20Hsu*s*Cassandra%20Moore,r
Vulpes Inculta/Cassandra Moore,0,/tags/Vulpes%20Inculta*s*Cassandra%20Moore,r
Arcade Gannon/Raul Tejada,7,/tags/Arcade%20Gannon*s*Raul%20Tejada,r
Christine Royce,142,/tags/Christine%20Royce,c
Ulysses (Fallout),194,/tags/Ulysses%20(Fallout),c
Christine Royce/Veronica Santangelo,69,/tags/Christine%20Royce*s*Veronica%20Santangelo,r
Dennis Crocker,9,/tags/Dennis%20Crocker,c
Elijah (Fallout),39,/tags/Elijah%20(Fallout),c
Old Ben,37,/tags/Old%20Ben,c
Mr. New Vegas,14,/tags/Mr*d*%20New%20Vegas,c
Ralph (Fallout: New Vegas),13,/tags/Ralph%20(Fallout:%20New%20Vegas),c
Female Courier/Dean Domino,20,/tags/Female%20Courier*s*Dean%20Domino,r
Dean Domino,82,/tags/Dean%20Domino,c
Cliff Briscoe,13,/tags/Cliff%20Briscoe,c
Arcade Gannon/Arcade Gannon,0,/tags/Arcade%20Gannon*s*Arcade%20Gannon,r
Arcade Gannon/Mr. New Vegas,0,/tags/Arcade%20Gannon*s*Mr*d*%20New%20Vegas,r
The King/Vulpes Inculta,1,/tags/The%20King*s*Vulpes%20Inculta,r
Atticus (Fallout),1,/tags/Atticus%20(Fallout),c
Female Courier/Veronica Santangelo,106,/tags/Female%20Courier*s*Veronica%20Santangelo,r
Frederick Sinclair,6,/tags/Frederick%20Sinclair,c
Vera Keyes,12,/tags/Vera%20Keyes,c
Cheyenne (Fallout),12,/tags/Cheyenne%20(Fallout),c
Benny & Female Courier,13,/tags/Benny%20*a*%20Female%20Courier,r
Sarah Lyons/Veronica Santangelo,0,/tags/Sarah%20Lyons*s*Veronica%20Santangelo,r
Craig Boone & Female Courier,42,/tags/Craig%20Boone%20*a*%20Female%20Courier,r
Rose of Sharon Cassidy/Vulpes Inculta,5,/tags/Rose%20of%20Sharon%20Cassidy*s*Vulpes%20Inculta,r
Dog | God (Fallout),55,/tags/Dog%20%7C%20God%20(Fallout),c
Hannigan (Fallout),0,/tags/Hannigan%20(Fallout),c
Scrambler (Fallout),2,/tags/Scrambler%20(Fallout),c
Female Courier/Eddie,0,/tags/Female%20Courier*s*Eddie,r
Female Courier/Old Ben,1,/tags/Female%20Courier*s*Old%20Ben,r
Female Courier/Scrambler,0,/tags/Female%20Courier*s*Scrambler,r
Alexus & Gabban,0,/tags/Alexus%20*a*%20Gabban,r
Arcade Gannon/Lucius (Fallout),3,/tags/Arcade%20Gannon*s*Lucius%20(Fallout),r
Beatrix Russell,33,/tags/Beatrix%20Russell,c
Carrie Boyd/Original Male Character(s),0,/tags/Carrie%20Boyd*s*Original%20Male%20Character(s),r
Waking Cloud,29,/tags/Waking%20Cloud,c
Follows Chalk & Joshua Graham,3,/tags/Follows%20Chalk%20*a*%20Joshua%20Graham,r
Rose of Sharon Cassidy/Lucius (Fallout),0,/tags/Rose%20of%20Sharon%20Cassidy*s*Lucius%20(Fallout),r
Craig Boone/Rose of Sharon Cassidy/Arcade Gannon,1,/tags/Craig%20Boone*s*Rose%20of%20Sharon%20Cassidy*s*Arcade%20Gannon,r
Female Courier/Female Courier,0,/tags/Female%20Courier*s*Female%20Courier,r
Dog | God/Fawkes,0,/tags/Dog%20%7C%20God*s*Fawkes,r
Rose of Sharon Cassidy/Swank,0,/tags/Rose%20of%20Sharon%20Cassidy*s*Swank,r
Female Courier/Original Female Character,18,/tags/Female%20Courier*s*Original%20Female%20Character,r
Joana (Fallout: New Vegas),10,/tags/Joana%20(Fallout:%20New%20Vegas),c
Community: falloutkinkmeme,64,/tags/Community:%20falloutkinkmeme,f
Ruby Nash,8,/tags/Ruby%20Nash,c
Johnson Nash,21,/tags/Johnson%20Nash,c
Max (Fallout),3,/tags/Max%20(Fallout),c
Judah Kreger,18,/tags/Judah%20Kreger,c
Stacey (Fallout),4,/tags/Stacey%20(Fallout),c
Rey (Fallout),0,/tags/Rey%20(Fallout),c
Vulpes Inculta/Reader,13,/tags/Vulpes%20Inculta*s*Reader,r
Julie Farkas/Veronica Santangelo,8,/tags/Julie%20Farkas*s*Veronica%20Santangelo,r
Butch DeLoria/Arcade Gannon,0,/tags/Butch%20DeLoria*s*Arcade%20Gannon,r
Ringo (Fallout),26,/tags/Ringo%20(Fallout),c
Rose of Sharon Cassidy & Female Courier,14,/tags/Rose%20of%20Sharon%20Cassidy%20*a*%20Female%20Courier,r
Arcade Gannon/Alex Richards,3,/tags/Arcade%20Gannon*s*Alex%20Richards,r
Mysterious Stranger (Fallout),47,/tags/Mysterious%20Stranger%20(Fallout),c
Deputy Beagle,5,/tags/Deputy%20Beagle,c
Rose of Sharon Cassidy/Butch DeLoria,1,/tags/Rose%20of%20Sharon%20Cassidy*s*Butch%20DeLoria,r
Arcade Gannon & Veronica Santangelo,15,/tags/Arcade%20Gannon%20*a*%20Veronica%20Santangelo,r
Rose of Sharon Cassidy & Arcade Gannon,1,/tags/Rose%20of%20Sharon%20Cassidy%20*a*%20Arcade%20Gannon,r
Rose of Sharon Cassidy/Male Lone Wanderer,5,/tags/Rose%20of%20Sharon%20Cassidy*s*Male%20Lone%20Wanderer,r
Female Courier/Male Lone Wanderer,3,/tags/Female%20Courier*s*Male%20Lone%20Wanderer,r
Trudy (Fallout),56,/tags/Trudy%20(Fallout),c
Female Courier/Violet,6,/tags/Female%20Courier*s*Violet,r
Salt-Upon-Wounds,9,/tags/Salt-Upon-Wounds,c
Dead Money DLC,52,/tags/Dead%20Money%20DLC,f
Lonesome Road DLC,41,/tags/Lonesome%20Road%20DLC,f
Rose of Sharon Cassidy & Veronica Santangelo,7,/tags/Rose%20of%20Sharon%20Cassidy%20*a*%20Veronica%20Santangelo,r
Craig Boone & Rose of Sharon Cassidy,7,/tags/Craig%20Boone%20*a*%20Rose%20of%20Sharon%20Cassidy,r
Female Courier/Ulysses,45,/tags/Female%20Courier*s*Ulysses,r
Craig Boone/Swank,1,/tags/Craig%20Boone*s*Swank,r
Male Courier/Dala,2,/tags/Male%20Courier*s*Dala,r
