tag,count,href,category
Damon Salvatore,7562,/tags/Damon%20Salvatore,c
Stefan Salvatore,5937,/tags/Stefan%20Salvatore,c
Bonnie Bennett,5069,/tags/Bonnie%20Bennett,c
Damon Salvatore/Stefan Salvatore,376,/tags/Damon%20Salvatore*s*Stefan%20Salvatore,r
Elena Gilbert,6587,/tags/Elena%20Gilbert,c
Caroline Forbes,9127,/tags/Caroline%20Forbes,c
Jenna Sommers,625,/tags/Jenna%20Sommers,c
Jeremy Gilbert,2352,/tags/Jeremy%20Gilbert,c
Logan Fell,24,/tags/Logan%20Fell,c
Matt Donovan,1595,/tags/Matt%20Donovan,c
Tyler Lockwood,1927,/tags/Tyler%20Lockwood,c
Vicki Donovan,204,/tags/Vicki%20Donovan,c
Zach Salvatore,81,/tags/Zach%20Salvatore,c
Katherine Pierce,2368,/tags/Katherine%20Pierce,c
Alexander Lucard/Damon Salvatore,1,/tags/Alexander%20Lucard*s*Damon%20Salvatore,r
Elena Gilbert/Stefan Salvatore,1308,/tags/Elena%20Gilbert*s*Stefan%20Salvatore,r
Bonnie Bennett/Damon Salvatore,1216,/tags/Bonnie%20Bennett*s*Damon%20Salvatore,r
Elena Gilbert/Damon Salvatore,2272,/tags/Elena%20Gilbert*s*Damon%20Salvatore,r
Vicki Donovan/Damon Salvatore,4,/tags/Vicki%20Donovan*s*Damon%20Salvatore,r
Katherine Pierce/Damon Salvatore/Stefan Salvatore,38,/tags/Katherine%20Pierce*s*Damon%20Salvatore*s*Stefan%20Salvatore,r
Bonnie Bennett/Stefan Salvatore,136,/tags/Bonnie%20Bennett*s*Stefan%20Salvatore,r
Bonnie Bennett/Matt Donovan/Damon Salvatore,0,/tags/Bonnie%20Bennett*s*Matt%20Donovan*s*Damon%20Salvatore,r
Bonnie McCullough,62,/tags/Bonnie%20McCullough,c
Matt Honeycutt,39,/tags/Matt%20Honeycutt,c
Meredith Sulez,36,/tags/Meredith%20Sulez,c
Alaric Saltzman,3337,/tags/Alaric%20Saltzman,c
Tyler Smallwood,11,/tags/Tyler%20Smallwood,c
Kelly Donovan,26,/tags/Kelly%20Donovan,c
Jeremy Gilbert/Damon Salvatore,109,/tags/Jeremy%20Gilbert*s*Damon%20Salvatore,r
Vicki Donovan/Jeremy Gilbert/Tyler Lockwood,0,/tags/Vicki%20Donovan*s*Jeremy%20Gilbert*s*Tyler%20Lockwood,r
Alaric Saltzman/Damon Salvatore,649,/tags/Alaric%20Saltzman*s*Damon%20Salvatore,r
Katherine Pierce/Damon Salvatore,274,/tags/Katherine%20Pierce*s*Damon%20Salvatore,r
Faith Lehane/Damon Salvatore,2,/tags/Faith%20Lehane*s*Damon%20Salvatore,r
Elena Gilbert/Damon Salvatore/Stefan Salvatore,196,/tags/Elena%20Gilbert*s*Damon%20Salvatore*s*Stefan%20Salvatore,r
Giuseppe Salvatore,129,/tags/Giuseppe%20Salvatore,c
Damon Salvatore & Stefan Salvatore,249,/tags/Damon%20Salvatore%20*a*%20Stefan%20Salvatore,r
Isobel Flemming/Alaric Saltzman,19,/tags/Isobel%20Flemming*s*Alaric%20Saltzman,r
Isobel Flemming,119,/tags/Isobel%20Flemming,c
Jeremy Gilbert/Tyler Lockwood,185,/tags/Jeremy%20Gilbert*s*Tyler%20Lockwood,r
Community: ljschallenge100,2,/tags/Community:%20ljschallenge100,f
Katherine Pierce/Stefan Salvatore,234,/tags/Katherine%20Pierce*s*Stefan%20Salvatore,r
Laurel Quincey/Damon Salvatore,2,/tags/Laurel%20Quincey*s*Damon%20Salvatore,r
Caroline Forbes/Damon Salvatore,160,/tags/Caroline%20Forbes*s*Damon%20Salvatore,r
Matt Donovan/Caroline Forbes,106,/tags/Matt%20Donovan*s*Caroline%20Forbes,r
Tyler Lockwood/Damon Salvatore,7,/tags/Tyler%20Lockwood*s*Damon%20Salvatore,r
Elizabeth Forbes/Damon Salvatore,8,/tags/Elizabeth%20Forbes*s*Damon%20Salvatore,r
Jeremy Gilbert/Alaric Saltzman/Damon Salvatore,3,/tags/Jeremy%20Gilbert*s*Alaric%20Saltzman*s*Damon%20Salvatore,r
Caroline Forbes/Tyler Lockwood,476,/tags/Caroline%20Forbes*s*Tyler%20Lockwood,r
Bree (Vampire Diaries),21,/tags/Bree%20(Vampire%20Diaries),c
Mason Lockwood,179,/tags/Mason%20Lockwood,c
Richard Lockwood,63,/tags/Richard%20Lockwood,c
"Sheila ""Grams"" Bennett",290,/tags/Sheila%20%22Grams%22%20Bennett,c
Bonnie Bennett/Jeremy Gilbert,309,/tags/Bonnie%20Bennett*s*Jeremy%20Gilbert,r
Damon Salvatore/Bela Talbot,2,/tags/Damon%20Salvatore*s*Bela%20Talbot,r
Elena Gilbert & Stefan Salvatore,36,/tags/Elena%20Gilbert%20*a*%20Stefan%20Salvatore,r
Grayson Gilbert,78,/tags/Grayson%20Gilbert,c
Caroline Forbes/Katherine Pierce,70,/tags/Caroline%20Forbes*s*Katherine%20Pierce,r
Vicki Donovan/Tyler Lockwood,12,/tags/Vicki%20Donovan*s*Tyler%20Lockwood,r
Carol Lockwood,172,/tags/Carol%20Lockwood,c
Caroline Forbes/Elena Gilbert,86,/tags/Caroline%20Forbes*s*Elena%20Gilbert,r
Isobel Flemming/John Gilbert,19,/tags/Isobel%20Flemming*s*John%20Gilbert,r
John Gilbert,170,/tags/John%20Gilbert,c
Elena Gilbert/Katherine Pierce,200,/tags/Elena%20Gilbert*s*Katherine%20Pierce,r
Bonnie Bennett/Caroline Forbes,52,/tags/Bonnie%20Bennett*s*Caroline%20Forbes,r
Bonnie McCullough/Damon Salvatore,41,/tags/Bonnie%20McCullough*s*Damon%20Salvatore,r
Jen Lindley/Damon Salvatore,0,/tags/Jen%20Lindley*s*Damon%20Salvatore,r
Bonnie Bennett/Caroline Forbes/Elena Gilbert,26,/tags/Bonnie%20Bennett*s*Caroline%20Forbes*s*Elena%20Gilbert,r
Vicki Donovan/Elena Gilbert,6,/tags/Vicki%20Donovan*s*Elena%20Gilbert,r
Margaret Gilbert,11,/tags/Margaret%20Gilbert,c
Miranda Sommers Gilbert,76,/tags/Miranda%20Sommers%20Gilbert,c
John Gilbert/Jenna Sommers,10,/tags/John%20Gilbert*s*Jenna%20Sommers,r
Logan Fell/Jenna Sommers,7,/tags/Logan%20Fell*s*Jenna%20Sommers,r
Matt Donovan/Katherine Pierce,8,/tags/Matt%20Donovan*s*Katherine%20Pierce,r
Rose (Vampire Diaries),116,/tags/Rose%20(Vampire%20Diaries),c
Vicki Donovan/Jeremy Gilbert,28,/tags/Vicki%20Donovan*s*Jeremy%20Gilbert,r
Caroline Forbes/Veronica Mars,1,/tags/Caroline%20Forbes*s*Veronica%20Mars,r
Jeremy Gilbert/Katherine Pierce,23,/tags/Jeremy%20Gilbert*s*Katherine%20Pierce,r
Rose/Damon Salvatore,39,/tags/Rose*s*Damon%20Salvatore,r
Matt Donovan/Elena Gilbert,66,/tags/Matt%20Donovan*s*Elena%20Gilbert,r
Mason Lockwood/Katherine Pierce,12,/tags/Mason%20Lockwood*s*Katherine%20Pierce,r
Alaric Saltzman/Jenna Sommers,146,/tags/Alaric%20Saltzman*s*Jenna%20Sommers,r
Jonas Martin,15,/tags/Jonas%20Martin,c
Alaric Saltzman & Damon Salvatore,45,/tags/Alaric%20Saltzman%20*a*%20Damon%20Salvatore,r
Jeremy Gilbert/Sarah,2,/tags/Jeremy%20Gilbert*s*Sarah,r
Sarah (Vampire Diaries),4,/tags/Sarah%20(Vampire%20Diaries),c
Dick Carter,1,/tags/Dick%20Carter,c
Elena Gilbert/Tyler Lockwood,61,/tags/Elena%20Gilbert*s*Tyler%20Lockwood,r
Matt Donovan/Damon Salvatore,6,/tags/Matt%20Donovan*s*Damon%20Salvatore,r
Matt Honeycutt/Stefan Salvatore,12,/tags/Matt%20Honeycutt*s*Stefan%20Salvatore,r
Eleventh Doctor/Katherine Pierce,0,/tags/Eleventh%20Doctor*s*Katherine%20Pierce,r
John MacCorndale/Stefan Salvatore,0,/tags/John%20MacCorndale*s*Stefan%20Salvatore,r
Julian/Damon Salvatore,0,/tags/Julian*s*Damon%20Salvatore,r
Caroline Forbes/Katherine Pierce/Damon Salvatore,2,/tags/Caroline%20Forbes*s*Katherine%20Pierce*s*Damon%20Salvatore,r
Matt Donovan/Vicki Donovan,1,/tags/Matt%20Donovan*s*Vicki%20Donovan,r
Caroline Forbes/Stefan Salvatore,790,/tags/Caroline%20Forbes*s*Stefan%20Salvatore,r
