tag,count,href,category
Cypher (VALORANT),1115,/tags/Cypher%20(VALORANT),c
Sage (VALORANT),1335,/tags/Sage%20(VALORANT),c
Sova (VALORANT),934,/tags/Sova%20(VALORANT),c
Jett (VALORANT),1149,/tags/Jett%20(VALORANT),c
Phoenix (VALORANT),1067,/tags/Phoenix%20(VALORANT),c
Viper (VALORANT),1075,/tags/Viper%20(VALORANT),c
Omen (VALORANT),695,/tags/Omen%20(VALORANT),c
Brimstone (VALORANT),898,/tags/Brimstone%20(VALORANT),c
Breach (VALORANT),403,/tags/Breach%20(VALORANT),c
Raze (VALORANT),759,/tags/Raze%20(VALORANT),c
Cypher/Sage/Sova (VALORANT),2,/tags/Cypher*s*Sage*s*Sova%20(VALORANT),r
Cypher/Omen (VALORANT),189,/tags/Cypher*s*Omen%20(VALORANT),r
Raze/Viper (VALORANT),4,/tags/Raze*s*Viper%20(VALORANT),r
Jett/Sage (VALORANT),145,/tags/Jett*s*Sage%20(VALORANT),r
Jett/Phoenix (VALORANT),130,/tags/Jett*s*Phoenix%20(VALORANT),r
Cypher/Sova (VALORANT),194,/tags/Cypher*s*Sova%20(VALORANT),r
Sage/Sova (VALORANT),65,/tags/Sage*s*Sova%20(VALORANT),r
Phoenix/Sova (VALORANT),59,/tags/Phoenix*s*Sova%20(VALORANT),r
Sage/Viper (VALORANT),81,/tags/Sage*s*Viper%20(VALORANT),r
Reyna (VALORANT),789,/tags/Reyna%20(VALORANT),c
Omen/Sova (VALORANT),42,/tags/Omen*s*Sova%20(VALORANT),r
Breach/Jett (VALORANT),1,/tags/Breach*s*Jett%20(VALORANT),r
Sage & Viper (VALORANT),22,/tags/Sage%20*a*%20Viper%20(VALORANT),r
Jett & Viper (VALORANT),23,/tags/Jett%20*a*%20Viper%20(VALORANT),r
Jett & Phoenix (VALORANT),93,/tags/Jett%20*a*%20Phoenix%20(VALORANT),r
Omen & Sage (VALORANT),15,/tags/Omen%20*a*%20Sage%20(VALORANT),r
Reyna & Sage (VALORANT),27,/tags/Reyna%20*a*%20Sage%20(VALORANT),r
Sova (VALORANT)/Original Character(s),8,/tags/Sova%20(VALORANT)*s*Original%20Character(s),r
Omen & Viper (VALORANT),29,/tags/Omen%20*a*%20Viper%20(VALORANT),r
Reyna/Viper (VALORANT),86,/tags/Reyna*s*Viper%20(VALORANT),r
Cypher/Sage (VALORANT),2,/tags/Cypher*s*Sage%20(VALORANT),r
Cypher & Omen (VALORANT),33,/tags/Cypher%20*a*%20Omen%20(VALORANT),r
Sage & Sova (VALORANT),20,/tags/Sage%20*a*%20Sova%20(VALORANT),r
Killjoy (VALORANT),1053,/tags/Killjoy%20(VALORANT),c
Omen/Sage/Viper (VALORANT),0,/tags/Omen*s*Sage*s*Viper%20(VALORANT),r
Omen/Sage (VALORANT),30,/tags/Omen*s*Sage%20(VALORANT),r
Cypher/Jett (VALORANT),1,/tags/Cypher*s*Jett%20(VALORANT),r
