tag,count,href,category
Donatello/Leonardo/Michelangelo/Raphael (TMNT),304,/tags/Donatello*s*Leonardo*s*Michelangelo*s*Raphael%20(TMNT),r
Leonardo (TMNT),19165,/tags/Leonardo%20(TMNT),c
Donatello (TMNT),18600,/tags/Donatello%20(TMNT),c
Michelangelo (TMNT),17237,/tags/Michelangelo%20(TMNT),c
Raphael (TMNT),17635,/tags/Raphael%20(TMNT),c
Casey Jones/Raphael (TMNT),314,/tags/Casey%20Jones*s*Raphael%20(TMNT),r
Michelangelo/Raphael (TMNT),443,/tags/Michelangelo*s*Raphael%20(TMNT),r
Leonardo/Michelangelo/Raphael (TMNT),12,/tags/Leonardo*s*Michelangelo*s*Raphael%20(TMNT),r
Leonardo/Raphael (TMNT),1161,/tags/Leonardo*s*Raphael%20(TMNT),r
Baxter Stockman,349,/tags/Baxter%20Stockman,c
Hamato Yoshi,187,/tags/Hamato%20Yoshi,c
Donatello/Raphael (TMNT),560,/tags/Donatello*s*Raphael%20(TMNT),r
Donatello/Michelangelo (TMNT),576,/tags/Donatello*s*Michelangelo%20(TMNT),r
Oroku Saki | Shredder,694,/tags/Oroku%20Saki%20%7C%20Shredder,c
Donatello (TMNT)/Original Character(s),104,/tags/Donatello%20(TMNT)*s*Original%20Character(s),r
Donatello/Leonardo (TMNT),928,/tags/Donatello*s*Leonardo%20(TMNT),r
Donatello & Leonardo (TMNT),1835,/tags/Donatello%20*a*%20Leonardo%20(TMNT),r
Miyamoto Usagi,572,/tags/Miyamoto%20Usagi,c
Leonardo/Miyamoto Usagi,445,/tags/Leonardo*s*Miyamoto%20Usagi,r
Michelangelo (TMNT)/Original Character(s),76,/tags/Michelangelo%20(TMNT)*s*Original%20Character(s),r
Donatello/Casey Jones (TMNT),438,/tags/Donatello*s*Casey%20Jones%20(TMNT),r
Episode: s03e21 Same As It Never Was,120,/tags/Episode:%20s03e21%20Same%20As%20It%20Never%20Was,f
Karai/Leonardo (TMNT),426,/tags/Karai*s*Leonardo%20(TMNT),r
Angel (TMNT),113,/tags/Angel%20(TMNT),c
Angel/Michelangelo (TMNT),4,/tags/Angel*s*Michelangelo%20(TMNT),r
April O'Neil/Raphael (TMNT),114,/tags/April%20O'Neil*s*Raphael%20(TMNT),r
Leonardo (TMNT)/Original Female Character(s),214,/tags/Leonardo%20(TMNT)*s*Original%20Female%20Character(s),r
Leonardo/Michelangelo (TMNT),498,/tags/Leonardo*s*Michelangelo%20(TMNT),r
Karai (TMNT),1746,/tags/Karai%20(TMNT),c
Episode: s03e08 Touch and Go,2,/tags/Episode:%20s03e08%20Touch%20and%20Go,f
Mrs. Morrison (TMNT),10,/tags/Mrs*d*%20Morrison%20(TMNT),c
Agent John Bishop (TMNT),264,/tags/Agent%20John%20Bishop%20(TMNT),c
Hun (TMNT),154,/tags/Hun%20(TMNT),c
Klunk (TMNT),63,/tags/Klunk%20(TMNT),c
The Foot Clan (TMNT),476,/tags/The%20Foot%20Clan%20(TMNT),c
The Purple Dragons (TMNT),261,/tags/The%20Purple%20Dragons%20(TMNT),c
Dr. Chaplin (TMNT),16,/tags/Dr*d*%20Chaplin%20(TMNT),c
