tag,count,href,category
Isak Valtersen,5206,/tags/Isak%20Valtersen,c
Jonas Noah Vasquez,2123,/tags/Jonas%20Noah%20Vasquez,c
Eskild Tryggvason,1122,/tags/Eskild%20Tryggvason,c
Vilde Lien Hellerud,772,/tags/Vilde%20Lien%20Hellerud,c
Eva Kviig Mohn,1530,/tags/Eva%20Kviig%20Mohn,c
Linn Larsen Hansen,356,/tags/Linn%20Larsen%20Hansen,c
Even Bech Næsheim,4981,/tags/Even%20Bech%20N%C3%A6sheim,c
Emma W. Larzen,180,/tags/Emma%20W*d*%20Larzen,c
Sana Bakkoush,1489,/tags/Sana%20Bakkoush,c
Even Bech Næsheim/Isak Valtersen,6852,/tags/Even%20Bech%20N%C3%A6sheim*s*Isak%20Valtersen,r
Christoffer Schistad,515,/tags/Christoffer%20Schistad,c
William Magnusson,444,/tags/William%20Magnusson,c
Mahdi Disi,1100,/tags/Mahdi%20Disi,c
William Magnusson/Christoffer Schistad,28,/tags/William%20Magnusson*s*Christoffer%20Schistad,r
Magnus Fossbakken,1384,/tags/Magnus%20Fossbakken,c
Sonja (SKAM),428,/tags/Sonja%20(SKAM),c
Isak Valtersen/Jonas Noah Vasquez,100,/tags/Isak%20Valtersen*s*Jonas%20Noah%20Vasquez,r
Eva Kviig Mohn/Christoffer Schistad,154,/tags/Eva%20Kviig%20Mohn*s*Christoffer%20Schistad,r
Magnus Fossbakken/Vilde Lien Hellerud,138,/tags/Magnus%20Fossbakken*s*Vilde%20Lien%20Hellerud,r
SKAM Season 3,134,/tags/SKAM%20Season%203,f
Eva Kviig Mohn/Noora Amalie Sætre,258,/tags/Eva%20Kviig%20Mohn*s*Noora%20Amalie%20S%C3%A6tre,r
Noora Amalie Sætre,1209,/tags/Noora%20Amalie%20S%C3%A6tre,c
Christoffer Schistad/Other(s),6,/tags/Christoffer%20Schistad*s*Other(s),r
Eva Kviig Mohn/Jonas Noah Vasquez,228,/tags/Eva%20Kviig%20Mohn*s*Jonas%20Noah%20Vasquez,r
Episode: s03e08 Mannen i mitt liv,1,/tags/Episode:%20s03e08%20Mannen%20i%20mitt%20liv,f
Episode: s03e07 Er du homo?,0,/tags/Episode:%20s03e07%20Er%20du%20homo*q*,f
Episode: s03e09 Det går over,0,/tags/Episode:%20s03e09%20Det%20g%C3%A5r%20over,f
Episode: s03e05 Samme tid et helt annet sted,0,/tags/Episode:%20s03e05%20Samme%20tid%20et%20helt%20annet%20sted,f
Episode: s03e10 Minutt for minutt,1,/tags/Episode:%20s03e10%20Minutt%20for%20minutt,f
Chris Berg,591,/tags/Chris%20Berg,c
Chris Berg/Christoffer Schistad,8,/tags/Chris%20Berg*s*Christoffer%20Schistad,r
Eskild Tryggvason & Isak Valtersen,30,/tags/Eskild%20Tryggvason%20*a*%20Isak%20Valtersen,r
Iben Sandberg,17,/tags/Iben%20Sandberg,c
Marianne Valtersen,167,/tags/Marianne%20Valtersen,c
Terje Valtersen,123,/tags/Terje%20Valtersen,c
Lea Valtersen,71,/tags/Lea%20Valtersen,c
Ingrid Theis Gaupseth/Sara Nørrstelien,9,/tags/Ingrid%20Theis%20Gaupseth*s*Sara%20N%C3%B8rrstelien,r
Ingrid Theis Gaupseth/Eva Kviig Mohn,9,/tags/Ingrid%20Theis%20Gaupseth*s*Eva%20Kviig%20Mohn,r
Ingrid Theis Gaupseth,70,/tags/Ingrid%20Theis%20Gaupseth,c
Sara Nørrstelien,78,/tags/Sara%20N%C3%B8rrstelien,c
Isak Valtersen/Original Character(s),22,/tags/Isak%20Valtersen*s*Original%20Character(s),r
Isak Valtersen & Jonas Noah Vasquez,112,/tags/Isak%20Valtersen%20*a*%20Jonas%20Noah%20Vasquez,r
Even Bech Næsheim/Christoffer Schistad,17,/tags/Even%20Bech%20N%C3%A6sheim*s*Christoffer%20Schistad,r
Christoffer Schistad/Original Male Character(s),1,/tags/Christoffer%20Schistad*s*Original%20Male%20Character(s),r
Eva Kviig Mohn & Noora Amalie Sætre,6,/tags/Eva%20Kviig%20Mohn%20*a*%20Noora%20Amalie%20S%C3%A6tre,r
Even Bech Næsheim/Christoffer Schistad/Isak Valtersen,5,/tags/Even%20Bech%20N%C3%A6sheim*s*Christoffer%20Schistad*s*Isak%20Valtersen,r
Magnus Fossbakken & Christoffer Schistad,2,/tags/Magnus%20Fossbakken%20*a*%20Christoffer%20Schistad,r
Episode: s01e02 Jonas dette er helt dust,0,/tags/Episode:%20s01e02%20Jonas%20dette%20er%20helt%20dust,f
Boy Squad,110,/tags/Boy%20Squad,f
Even Bech Næsheim/Philip Shea,1,/tags/Even%20Bech%20N%C3%A6sheim*s*Philip%20Shea,r
Jonas Noah Vasquez/Original Character(s),4,/tags/Jonas%20Noah%20Vasquez*s*Original%20Character(s),r
Jonas Noah Vasquez/Original Female Character(s),2,/tags/Jonas%20Noah%20Vasquez*s*Original%20Female%20Character(s),r
William Magnusson/Noora Amalie Sætre/Christoffer Schistad,0,/tags/William%20Magnusson*s*Noora%20Amalie%20S%C3%A6tre*s*Christoffer%20Schistad,r
Julian Dahl,90,/tags/Julian%20Dahl,c
Elias (SKAM),40,/tags/Elias%20(SKAM),c
William Magnusson/Isak Valtersen,26,/tags/William%20Magnusson*s*Isak%20Valtersen,r
Hurt Isak Valtersen,47,/tags/Hurt%20Isak%20Valtersen,f
Sick Isak Valtersen,20,/tags/Sick%20Isak%20Valtersen,f
Eva Kviig Mohn/Even Bech Næsheim,3,/tags/Eva%20Kviig%20Mohn*s*Even%20Bech%20N%C3%A6sheim,r
Noora Amalie Sætre/Christoffer Schistad,6,/tags/Noora%20Amalie%20S%C3%A6tre*s*Christoffer%20Schistad,r
Emma W. Larzen/Sonja (SKAM),6,/tags/Emma%20W*d*%20Larzen*s*Sonja%20(SKAM),r
Nikolai Magnusson,23,/tags/Nikolai%20Magnusson,c
