tag,count,href,category
Miranda Priestly,2978,/tags/Miranda%20Priestly,c
Andrea Sachs,2925,/tags/Andrea%20Sachs,c
Emily Charlton,874,/tags/Emily%20Charlton,c
Miranda Priestly/Andrea Sachs,4143,/tags/Miranda%20Priestly*s*Andrea%20Sachs,r
Nigel Kipling,831,/tags/Nigel%20Kipling,c
Caroline and Cassidy Priestly,664,/tags/Caroline%20and%20Cassidy%20Priestly,c
Patty Hewes/Andrea Sachs,0,/tags/Patty%20Hewes*s*Andrea%20Sachs,r
Jacqueline Follet/Miranda Priestly,7,/tags/Jacqueline%20Follet*s*Miranda%20Priestly,r
Jacqueline Follet,38,/tags/Jacqueline%20Follet,c
Emily Charlton/Andrea Sachs,80,/tags/Emily%20Charlton*s*Andrea%20Sachs,r
Lily (Devil Wears Prada),57,/tags/Lily%20(Devil%20Wears%20Prada),c
Emily Charlton/Miranda Priestly,33,/tags/Emily%20Charlton*s*Miranda%20Priestly,r
Jacqueline Follet/Andrea Sachs,4,/tags/Jacqueline%20Follet*s*Andrea%20Sachs,r
Emily Charlton/Original Character,9,/tags/Emily%20Charlton*s*Original%20Character,r
Nigel Kipling/Andrea Sachs,1,/tags/Nigel%20Kipling*s*Andrea%20Sachs,r
Caroline Priestly,295,/tags/Caroline%20Priestly,c
Cassidy Priestly,311,/tags/Cassidy%20Priestly,c
Nigel Kipling/Miranda Priestly/Andrea Sachs,2,/tags/Nigel%20Kipling*s*Miranda%20Priestly*s*Andrea%20Sachs,r
Miranda Priestly/Undisclosed,3,/tags/Miranda%20Priestly*s*Undisclosed,r
Emily Charlton/Miranda Priestly/Andrea Sachs,28,/tags/Emily%20Charlton*s*Miranda%20Priestly*s*Andrea%20Sachs,r
Nellie Lovett/Miranda Priestly,0,/tags/Nellie%20Lovett*s*Miranda%20Priestly,r
Emily Charlton/Serena,113,/tags/Emily%20Charlton*s*Serena,r
Irv Ravitz,85,/tags/Irv%20Ravitz,c
Andrea Sachs/Lily,4,/tags/Andrea%20Sachs*s*Lily,r
Nate (Devil Wears Prada),64,/tags/Nate%20(Devil%20Wears%20Prada),c
Miranda Priestly/Donna Sheridan,4,/tags/Miranda%20Priestly*s*Donna%20Sheridan,r
Jane Adler/Miranda Priestly,6,/tags/Jane%20Adler*s*Miranda%20Priestly,r
Lisa Metzger/Miranda Priestly,1,/tags/Lisa%20Metzger*s*Miranda%20Priestly,r
Miranda Priestly/Christian Thompson,1,/tags/Miranda%20Priestly*s*Christian%20Thompson,r
Emily Charlton/Christian Thompson,2,/tags/Emily%20Charlton*s*Christian%20Thompson,r
Miriam Blaylock/Miranda Priestly,0,/tags/Miriam%20Blaylock*s*Miranda%20Priestly,r
Christian Thompson (Devil Wears Prada),30,/tags/Christian%20Thompson%20(Devil%20Wears%20Prada),c
Andrea Sachs/Shirley Schmidt,0,/tags/Andrea%20Sachs*s*Shirley%20Schmidt,r
Caroline Priestly/Cassidy Priestly,12,/tags/Caroline%20Priestly*s*Cassidy%20Priestly,r
Miranda Priestly/Séverine Serizy,0,/tags/Miranda%20Priestly*s*S%C3%A9verine%20Serizy,r
Miranda Priestly/Original Male Character,5,/tags/Miranda%20Priestly*s*Original%20Male%20Character,r
Liz Lemon/Miranda Priestly,0,/tags/Liz%20Lemon*s*Miranda%20Priestly,r
Miranda Priestly/Other(s),18,/tags/Miranda%20Priestly*s*Other(s),r
Serena (Devil Wears Prada),160,/tags/Serena%20(Devil%20Wears%20Prada),c
Roy (Devil Wears Prada),49,/tags/Roy%20(Devil%20Wears%20Prada),c
Stephen Tomlinson,53,/tags/Stephen%20Tomlinson,c
Jack Donaghy/Miranda Priestly,0,/tags/Jack%20Donaghy*s*Miranda%20Priestly,r
Andrea Sachs & Justin Timberlake,0,/tags/Andrea%20Sachs%20*a*%20Justin%20Timberlake,r
David Karofsky/Nigel Kipling,1,/tags/David%20Karofsky*s*Nigel%20Kipling,r
Evil Queen | Regina Mills/Miranda Priestly,0,/tags/Evil%20Queen%20%7C%20Regina%20Mills*s*Miranda%20Priestly,r
Richard Sachs,34,/tags/Richard%20Sachs,c
Devil Wears Prada References,17,/tags/Devil%20Wears%20Prada%20References,f
Andrea Sachs/Other(s),18,/tags/Andrea%20Sachs*s*Other(s),r
Mentioned Miranda Priestly/Andrea Sachs,6,/tags/Mentioned%20Miranda%20Priestly*s*Andrea%20Sachs,f
