tag,count,href,category
Magical Girls,1774,/tags/Magical%20Girls,f
Kaname Madoka,2094,/tags/Kaname%20Madoka,c
Akemi Homura,2377,/tags/Akemi%20Homura,c
Miki Sayaka,1590,/tags/Miki%20Sayaka,c
Tomoe Mami,1269,/tags/Tomoe%20Mami,c
Sakura Kyouko,1386,/tags/Sakura%20Kyouko,c
Shizuki Hitomi,275,/tags/Shizuki%20Hitomi,c
Kamijou Kyousuke,147,/tags/Kamijou%20Kyousuke,c
Akemi Homura/Kaname Madoka,1216,/tags/Akemi%20Homura*s*Kaname%20Madoka,r
Miki Sayaka/Sakura Kyouko,538,/tags/Miki%20Sayaka*s*Sakura%20Kyouko,r
Saotome Kazuko,31,/tags/Saotome%20Kazuko,c
Kaname Junko,141,/tags/Kaname%20Junko,c
Kaname Tomohisa,56,/tags/Kaname%20Tomohisa,c
Kaname Tatsuya,62,/tags/Kaname%20Tatsuya,c
Oktavia von Seckendorff,59,/tags/Oktavia%20von%20Seckendorff,c
Kamijou Kyousuke/Miki Sayaka,50,/tags/Kamijou%20Kyousuke*s*Miki%20Sayaka,r
Kamijou Kyousuke/Shizuki Hitomi,54,/tags/Kamijou%20Kyousuke*s*Shizuki%20Hitomi,r
Sakura Kyouko/Tomoe Mami,119,/tags/Sakura%20Kyouko*s*Tomoe%20Mami,r
Kaname Madoka/Miki Sayaka,112,/tags/Kaname%20Madoka*s*Miki%20Sayaka,r
Kaname Madoka/Tomoe Mami,75,/tags/Kaname%20Madoka*s*Tomoe%20Mami,r
Kaname Madoka/Sakura Kyouko,34,/tags/Kaname%20Madoka*s*Sakura%20Kyouko,r
Akemi Homura/Miki Sayaka,102,/tags/Akemi%20Homura*s*Miki%20Sayaka,r
Akemi Homura/Tomoe Mami,76,/tags/Akemi%20Homura*s*Tomoe%20Mami,r
Akemi Homura/Sakura Kyouko,92,/tags/Akemi%20Homura*s*Sakura%20Kyouko,r
Miki Sayaka/Tomoe Mami,28,/tags/Miki%20Sayaka*s*Tomoe%20Mami,r
Kure Kirika/Mikuni Oriko,32,/tags/Kure%20Kirika*s*Mikuni%20Oriko,r
Kure Kirika,68,/tags/Kure%20Kirika,c
Mikuni Oriko,84,/tags/Mikuni%20Oriko,c
Chitose Yuma,52,/tags/Chitose%20Yuma,c
Madokami,54,/tags/Madokami,f
Akemi Homura/Dave Strider,3,/tags/Akemi%20Homura*s*Dave%20Strider,r
Charlotte/Kaname Madoka,2,/tags/Charlotte*s*Kaname%20Madoka,r
Miki Sayaka/Original Character,5,/tags/Miki%20Sayaka*s*Original%20Character,r
Enma Ai/Kaname Madoka,2,/tags/Enma%20Ai*s*Kaname%20Madoka,r
Charlotte/Tomoe Mami,18,/tags/Charlotte*s*Tomoe%20Mami,r
Akemi Homura/Shizuki Hitomi,5,/tags/Akemi%20Homura*s*Shizuki%20Hitomi,r
Akemi Homura/Kaname Madoka/Miki Sayaka/Sakura Kyouko/Tomoe Mami,29,/tags/Akemi%20Homura*s*Kaname%20Madoka*s*Miki%20Sayaka*s*Sakura%20Kyouko*s*Tomoe%20Mami,r
Sakura Momo,23,/tags/Sakura%20Momo,c
Moemura,13,/tags/Moemura,f
Souichirou Tachibana,1,/tags/Souichirou%20Tachibana,c
Pleiades Saints,2,/tags/Pleiades%20Saints,c
H. N. Elly (Kirsten),18,/tags/H*d*%20N*d*%20Elly%20(Kirsten),c
Kriemhild Gretchen,44,/tags/Kriemhild%20Gretchen,c
Anri Airi,1,/tags/Anri%20Airi,c
Anri Airi/Asuka Yuuri,0,/tags/Anri%20Airi*s*Asuka%20Yuuri,r
Asuka Yuuri,2,/tags/Asuka%20Yuuri,c
Maki Kaoru,8,/tags/Maki%20Kaoru,c
Misaki Umika,11,/tags/Misaki%20Umika,c
Wakaba Mirai,5,/tags/Wakaba%20Mirai,c
Usagi Satomi,5,/tags/Usagi%20Satomi,c
Asami Saki,7,/tags/Asami%20Saki,c
Kanna Nico,4,/tags/Kanna%20Nico,c
Soujo Ayase,1,/tags/Soujo%20Ayase,c
Kazusa Michiru,3,/tags/Kazusa%20Michiru,c
Charlotte the Dessert Witch,53,/tags/Charlotte%20the%20Dessert%20Witch,c
Gertrud the Rose Garden Witch,18,/tags/Gertrud%20the%20Rose%20Garden%20Witch,c
Albertine the Scribbling Witch,4,/tags/Albertine%20the%20Scribbling%20Witch,c
Gisela the Silver Witch,4,/tags/Gisela%20the%20Silver%20Witch,c
Elsa Maria the Shadow Witch,13,/tags/Elsa%20Maria%20the%20Shadow%20Witch,c
