tag,count,href,category
Sam Winchester,178903,/tags/Sam%20Winchester,c
Dean Winchester,227806,/tags/Dean%20Winchester,c
John Winchester,23328,/tags/John%20Winchester,c
Dean Winchester/Sam Winchester,41907,/tags/Dean%20Winchester*s*Sam%20Winchester,r
Jessica Moore/Sam Winchester,6286,/tags/Jessica%20Moore*s*Sam%20Winchester,r
Andy Gallagher,482,/tags/Andy%20Gallagher,c
Meg Masters,6520,/tags/Meg%20Masters,c
Mary Winchester,10896,/tags/Mary%20Winchester,c
Jo Harvelle,10823,/tags/Jo%20Harvelle,c
Missouri Moseley,1827,/tags/Missouri%20Moseley,c
Ellen Harvelle,7464,/tags/Ellen%20Harvelle,c
Dean Winchester/John Winchester,1170,/tags/Dean%20Winchester*s*John%20Winchester,r
Cassie Robinson,733,/tags/Cassie%20Robinson,c
Jared Padalecki/Dean Winchester,69,/tags/Jared%20Padalecki*s*Dean%20Winchester,r
Jensen Ackles/Sam Winchester,72,/tags/Jensen%20Ackles*s*Sam%20Winchester,r
Bela Talbot,1989,/tags/Bela%20Talbot,c
Lisa Braeden,3778,/tags/Lisa%20Braeden,c
Ben Braeden,1956,/tags/Ben%20Braeden,c
Bela Talbot/Dean Winchester,202,/tags/Bela%20Talbot*s*Dean%20Winchester,r
Bobby Singer/Dean Winchester,51,/tags/Bobby%20Singer*s*Dean%20Winchester,r
Cassie Robinson/Dean Winchester,379,/tags/Cassie%20Robinson*s*Dean%20Winchester,r
Castiel/Dean Winchester,135686,/tags/Castiel*s*Dean%20Winchester,r
Jo Harvelle/Dean Winchester,750,/tags/Jo%20Harvelle*s*Dean%20Winchester,r
John Winchester/Sam Winchester,377,/tags/John%20Winchester*s*Sam%20Winchester,r
Ruby/Dean Winchester,80,/tags/Ruby*s*Dean%20Winchester,r
Ruby/Sam Winchester,1451,/tags/Ruby*s*Sam%20Winchester,r
Claire Littleton/Dean Winchester,0,/tags/Claire%20Littleton*s*Dean%20Winchester,r
Paul Callan/Dean Winchester,11,/tags/Paul%20Callan*s*Dean%20Winchester,r
Shane McCutcheon/Dean Winchester,0,/tags/Shane%20McCutcheon*s*Dean%20Winchester,r
Willow Rosenberg/Dean Winchester,5,/tags/Willow%20Rosenberg*s*Dean%20Winchester,r
Ellen Harvelle/John Winchester,34,/tags/Ellen%20Harvelle*s*John%20Winchester,r
Ellen Harvelle/Dean Winchester,45,/tags/Ellen%20Harvelle*s*Dean%20Winchester,r
John Winchester/Mary Winchester,2111,/tags/John%20Winchester*s*Mary%20Winchester,r
William Anthony Harvelle,130,/tags/William%20Anthony%20Harvelle,c
Buffy Summers/John Winchester,13,/tags/Buffy%20Summers*s*John%20Winchester,r
Jo Harvelle/John Winchester,88,/tags/Jo%20Harvelle*s*John%20Winchester,r
Jo Harvelle/Sam Winchester,202,/tags/Jo%20Harvelle*s*Sam%20Winchester,r
Castiel/Mary Winchester,23,/tags/Castiel*s*Mary%20Winchester,r
Jo Harvelle/Dean Winchester/Sam Winchester,42,/tags/Jo%20Harvelle*s*Dean%20Winchester*s*Sam%20Winchester,r
Luna Lovegood/Dean Winchester,4,/tags/Luna%20Lovegood*s*Dean%20Winchester,r
Faith Lehane/Dean Winchester,99,/tags/Faith%20Lehane*s*Dean%20Winchester,r
Faith Lehane/Sam Winchester,21,/tags/Faith%20Lehane*s*Sam%20Winchester,r
Castiel/Sam Winchester,5698,/tags/Castiel*s*Sam%20Winchester,r
Castiel/Dean Winchester/Sam Winchester,2115,/tags/Castiel*s*Dean%20Winchester*s*Sam%20Winchester,r
Ruby (Supernatural),4474,/tags/Ruby%20(Supernatural),c
Tessa (Supernatural),648,/tags/Tessa%20(Supernatural),c
Gordon Walker,1060,/tags/Gordon%20Walker,c
Zoë Washburne/Dean Winchester,0,/tags/Zo%C3%AB%20Washburne*s*Dean%20Winchester,r
Ben Braeden/Claire Novak,32,/tags/Ben%20Braeden*s*Claire%20Novak,r
Cassie Robinson/Robin Wood,1,/tags/Cassie%20Robinson*s*Robin%20Wood,r
Castiel/John Winchester,77,/tags/Castiel*s*John%20Winchester,r
Claire Novak,6110,/tags/Claire%20Novak,c
Christian Kane/Dean Winchester,3,/tags/Christian%20Kane*s*Dean%20Winchester,r
Anna Milton,5842,/tags/Anna%20Milton,c
Layla Rourke,136,/tags/Layla%20Rourke,c
River Tam/Sam Winchester,8,/tags/River%20Tam*s*Sam%20Winchester,r
Jack O'Neill/John Winchester,1,/tags/Jack%20O'Neill*s*John%20Winchester,r
Jo Harvelle/Faith Lehane,3,/tags/Jo%20Harvelle*s*Faith%20Lehane,r
Impala/Sam Winchester,15,/tags/Impala*s*Sam%20Winchester,r
Loren Hansett/Jo Harvelle,0,/tags/Loren%20Hansett*s*Jo%20Harvelle,r
Jo Harvelle/River Tam,1,/tags/Jo%20Harvelle*s*River%20Tam,r
Amelia Novak,633,/tags/Amelia%20Novak,c
Hannibal King/Dean Winchester,2,/tags/Hannibal%20King*s*Dean%20Winchester,r
Alastair/Dean Winchester,352,/tags/Alastair*s*Dean%20Winchester,r
Lucifer (Supernatural),15222,/tags/Lucifer%20(Supernatural),c
Jo Harvelle/Jessica Moore,40,/tags/Jo%20Harvelle*s*Jessica%20Moore,r
Alastair (Supernatural),2078,/tags/Alastair%20(Supernatural),c
Bobby Singer/John Winchester,71,/tags/Bobby%20Singer*s*John%20Winchester,r
Castiel/Jo Harvelle,50,/tags/Castiel*s*Jo%20Harvelle,r
John Sheppard/Dean Winchester,12,/tags/John%20Sheppard*s*Dean%20Winchester,r
Buffy Summers/Sam Winchester,16,/tags/Buffy%20Summers*s*Sam%20Winchester,r
Hermione Granger/Dean Winchester,131,/tags/Hermione%20Granger*s*Dean%20Winchester,r
Ginny Weasley/Sam Winchester,13,/tags/Ginny%20Weasley*s*Sam%20Winchester,r
Veronica Mars/Dean Winchester,13,/tags/Veronica%20Mars*s*Dean%20Winchester,r
River Tam/Dean Winchester,2,/tags/River%20Tam*s*Dean%20Winchester,r
Carmen Porter,68,/tags/Carmen%20Porter,c
Carmen Porter/Dean Winchester,47,/tags/Carmen%20Porter*s*Dean%20Winchester,r
Sam Wesson,710,/tags/Sam%20Wesson,c
Jack Harkness/Dean Winchester,30,/tags/Jack%20Harkness*s*Dean%20Winchester,r
Kaylee Frye/Dean Winchester,6,/tags/Kaylee%20Frye*s*Dean%20Winchester,r
Lucifer/Dean Winchester,516,/tags/Lucifer*s*Dean%20Winchester,r
Tamara (Supernatural),107,/tags/Tamara%20(Supernatural),c
Ellen Harvelle/Sam Winchester,11,/tags/Ellen%20Harvelle*s*Sam%20Winchester,r
Gabriel (Supernatural),30927,/tags/Gabriel%20(Supernatural),c
Becky Rosen,1433,/tags/Becky%20Rosen,c
Xander Harris/Dean Winchester,23,/tags/Xander%20Harris*s*Dean%20Winchester,r
Julia Wright,13,/tags/Julia%20Wright,c
Cassie Robinson/John Winchester,2,/tags/Cassie%20Robinson*s*John%20Winchester,r
Donna Noble/Dean Winchester,0,/tags/Donna%20Noble*s*Dean%20Winchester,r
Buffy Summers/John Winchester/Mary Winchester,0,/tags/Buffy%20Summers*s*John%20Winchester*s*Mary%20Winchester,r
Jeeves Tremor/Dean Winchester,0,/tags/Jeeves%20Tremor*s*Dean%20Winchester,r
Jayne Cobb/Sam Winchester,3,/tags/Jayne%20Cobb*s*Sam%20Winchester,r
Dawn Summers/Sam Winchester,38,/tags/Dawn%20Summers*s*Sam%20Winchester,r
Nymphadora Tonks/Dean Winchester,7,/tags/Nymphadora%20Tonks*s*Dean%20Winchester,r
Rebecca Warren,63,/tags/Rebecca%20Warren,c
Sam Winchester/Oliver Wood,3,/tags/Sam%20Winchester*s*Oliver%20Wood,r
John Constantine/Dean Winchester,66,/tags/John%20Constantine*s*Dean%20Winchester,r
Malcolm Reynolds/Dean Winchester,11,/tags/Malcolm%20Reynolds*s*Dean%20Winchester,r
Ash (Supernatural),2929,/tags/Ash%20(Supernatural),c
Zachariah (Supernatural),2431,/tags/Zachariah%20(Supernatural),c
Azazel (Supernatural),2044,/tags/Azazel%20(Supernatural),c
Lilith (Supernatural),1251,/tags/Lilith%20(Supernatural),c
Lenore (Supernatural),124,/tags/Lenore%20(Supernatural),c
Uriel (Supernatural),1366,/tags/Uriel%20(Supernatural),c
Jo Harvelle/Anna Milton,194,/tags/Jo%20Harvelle*s*Anna%20Milton,r
Castiel/Anna Milton,100,/tags/Castiel*s*Anna%20Milton,r
Jo Harvelle/Bela Talbot,72,/tags/Jo%20Harvelle*s*Bela%20Talbot,r
Andy Gallagher/Dean Winchester,7,/tags/Andy%20Gallagher*s*Dean%20Winchester,r
