tag,count,href,category
Integra Hellsing,1304,/tags/Integra%20Hellsing,c
Alucard/Integra Hellsing,513,/tags/Alucard*s*Integra%20Hellsing,r
Abraham Van Helsing,469,/tags/Abraham%20Van%20Helsing,c
Rip Van Winkle (Hellsing),120,/tags/Rip%20Van%20Winkle%20(Hellsing),c
Chris Pickman,3,/tags/Chris%20Pickman,c
Walter Dornez,457,/tags/Walter%20Dornez,c
Walter Dornez/Seras Victoria,47,/tags/Walter%20Dornez*s*Seras%20Victoria,r
Seras Victoria,984,/tags/Seras%20Victoria,c
Heinkel Wolfe,132,/tags/Heinkel%20Wolfe,c
Integra Hellsing/Seras Victoria,127,/tags/Integra%20Hellsing*s*Seras%20Victoria,r
Community: bloody_shorts,2,/tags/Community:%20bloody_shorts,f
Alexander Anderson,395,/tags/Alexander%20Anderson,c
Alucard (Hellsing),1660,/tags/Alucard%20(Hellsing),c
Zorin Blitz,78,/tags/Zorin%20Blitz,c
Schrödinger (Hellsing),101,/tags/Schr%C3%B6dinger%20(Hellsing),c
Pip Bernadotte,292,/tags/Pip%20Bernadotte,c
Pip Bernadotte/Seras Victoria,134,/tags/Pip%20Bernadotte*s*Seras%20Victoria,r
Enrico Maxwell,177,/tags/Enrico%20Maxwell,c
Integra Hellsing/Enrico Maxwell,13,/tags/Integra%20Hellsing*s*Enrico%20Maxwell,r
Peter Ferguson,8,/tags/Peter%20Ferguson,c
Alucard/Pip Bernadotte,8,/tags/Alucard*s*Pip%20Bernadotte,r
Alucard/Walter Dornez,38,/tags/Alucard*s*Walter%20Dornez,r
Pip Bernadotte/Walter Dornez,0,/tags/Pip%20Bernadotte*s*Walter%20Dornez,r
Integra Hellsing/Heinkel Wolfe,0,/tags/Integra%20Hellsing*s*Heinkel%20Wolfe,r
Walter C. Dornez/Captain Hans,2,/tags/Walter%20C*d*%20Dornez*s*Captain%20Hans,r
Walter C. Dornez/Peter Ferguson,0,/tags/Walter%20C*d*%20Dornez*s*Peter%20Ferguson,r
Jan Valentine/Integra Hellsing,4,/tags/Jan%20Valentine*s*Integra%20Hellsing,r
Jan Valentine,143,/tags/Jan%20Valentine,c
Tubalcain Alhambra,40,/tags/Tubalcain%20Alhambra,c
Rip Van Winkle/Tubalcain Alhambra,6,/tags/Rip%20Van%20Winkle*s*Tubalcain%20Alhambra,r
Luke Valentine,94,/tags/Luke%20Valentine,c
Takagi Yumiko,66,/tags/Takagi%20Yumiko,c
Takagi Yumie,46,/tags/Takagi%20Yumie,c
Father Renaldo,6,/tags/Father%20Renaldo,c
Alucard (Hellsing)/Diva (Blood+),0,/tags/Alucard%20(Hellsing)*s*Diva%20(Blood+),r
Takagi Yumiko/Heinkel Wolfe,21,/tags/Takagi%20Yumiko*s*Heinkel%20Wolfe,r
Integra Hellsing/Caterina Sforza,2,/tags/Integra%20Hellsing*s*Caterina%20Sforza,r
Walter C. Dornez/Arthur Hellsing,3,/tags/Walter%20C*d*%20Dornez*s*Arthur%20Hellsing,r
Arthur Hellsing,90,/tags/Arthur%20Hellsing,c
Richard Hellsing,19,/tags/Richard%20Hellsing,c
Dawn Era,6,/tags/Dawn%20Era,f
Alucard (Hellsing)/Sebastian Michaelis,2,/tags/Alucard%20(Hellsing)*s*Sebastian%20Michaelis,r
Captain Hans Günsche,113,/tags/Captain%20Hans%20G%C3%BCnsche,c
The Doctor (Hellsing),143,/tags/The%20Doctor%20(Hellsing),c
The Doctor (Hellsing)/Major Montana Max,6,/tags/The%20Doctor%20(Hellsing)*s*Major%20Montana%20Max,r
Alucard/Arthur Hellsing,3,/tags/Alucard*s*Arthur%20Hellsing,r
Hellsing Organization,67,/tags/Hellsing%20Organization,f
Integra Hellsing/Original Character(s),17,/tags/Integra%20Hellsing*s*Original%20Character(s),r
Nazi Vampires,17,/tags/Nazi%20Vampires,c
Alucard/Seras Victoria,183,/tags/Alucard*s*Seras%20Victoria,r
Hans Günsche/Original Character,5,/tags/Hans%20G%C3%BCnsche*s*Original%20Character,r
Alucard/Original Character(s),151,/tags/Alucard*s*Original%20Character(s),r
Alucard/Rip van Winkle,1,/tags/Alucard*s*Rip%20van%20Winkle,r
Hugh Islands,22,/tags/Hugh%20Islands,c
Shelby Penwood,27,/tags/Shelby%20Penwood,c
Hans Günsche/Seras Victoria,2,/tags/Hans%20G%C3%BCnsche*s*Seras%20Victoria,r
Riza Hawkeye & Integra Hellsing,0,/tags/Riza%20Hawkeye%20*a*%20Integra%20Hellsing,r
Integra Hellsing/Integra Hellsing,1,/tags/Integra%20Hellsing*s*Integra%20Hellsing,r
Hans Gunshe/Schrödinger,1,/tags/Hans%20Gunshe*s*Schr%C3%B6dinger,r
Alexander Anderson/Enrico Maxwell,49,/tags/Alexander%20Anderson*s*Enrico%20Maxwell,r
Section XIII: Iscariot,26,/tags/Section%20XIII:%20Iscariot,f
Young Enrico Maxwell,1,/tags/Young%20Enrico%20Maxwell,f
Young Walter Dornez,5,/tags/Young%20Walter%20Dornez,f
Rejuvenated Walter Dornez,2,/tags/Rejuvenated%20Walter%20Dornez,f
Vampire Walter Dornez,0,/tags/Vampire%20Walter%20Dornez,f
