tag,count,href,category
Nishio Nishiki,569,/tags/Nishio%20Nishiki,c
Nagachika Hideyoshi,2805,/tags/Nagachika%20Hideyoshi,c
Fueguchi Hinami,820,/tags/Fueguchi%20Hinami,c
Yomo Renji,500,/tags/Yomo%20Renji,c
Kirishima Touka,1891,/tags/Kirishima%20Touka,c
Tsukiyama Shuu,1287,/tags/Tsukiyama%20Shuu,c
Koma Enji,91,/tags/Koma%20Enji,c
Kamishiro Rize,440,/tags/Kamishiro%20Rize,c
Alternate Universe - Tokyo Ghoul,499,/tags/Alternate%20Universe%20-%20Tokyo%20Ghoul,f
Kosaka Yoriko,286,/tags/Kosaka%20Yoriko,c
Kirishima Touka/Kosaka Yoriko,190,/tags/Kirishima%20Touka*s*Kosaka%20Yoriko,r
Uta (Tokyo Ghoul),646,/tags/Uta%20(Tokyo%20Ghoul),c
Nishino Kimi,217,/tags/Nishino%20Kimi,c
Banjou Kazuichi,181,/tags/Banjou%20Kazuichi,c
Amon Koutarou,769,/tags/Amon%20Koutarou,c
Itori (Tokyo Ghoul),153,/tags/Itori%20(Tokyo%20Ghoul),c
Suzuya Juuzou,561,/tags/Suzuya%20Juuzou,c
Amon Koutarou/Suzuya Juuzou,10,/tags/Amon%20Koutarou*s*Suzuya%20Juuzou,r
Nishino Kimi/Nishio Nishiki,117,/tags/Nishino%20Kimi*s*Nishio%20Nishiki,r
Uta (Tokyo Ghoul)/Original Character(s),15,/tags/Uta%20(Tokyo%20Ghoul)*s*Original%20Character(s),r
Kirishima Ayato,803,/tags/Kirishima%20Ayato,c
Kirishima Touka & Nishio Nishiki,16,/tags/Kirishima%20Touka%20*a*%20Nishio%20Nishiki,r
Uta (Tokyo Ghoul)/Reader,71,/tags/Uta%20(Tokyo%20Ghoul)*s*Reader,r
Sante (Tokyo Ghoul),11,/tags/Sante%20(Tokyo%20Ghoul),c
Ichimi (Tokyo Ghoul),12,/tags/Ichimi%20(Tokyo%20Ghoul),c
Jiro (Tokyo Ghoul),12,/tags/Jiro%20(Tokyo%20Ghoul),c
Kirishima Ayato & Kirishima Touka,36,/tags/Kirishima%20Ayato%20*a*%20Kirishima%20Touka,r
Uta/Yomo Renji,157,/tags/Uta*s*Yomo%20Renji,r
Arima Kishou,785,/tags/Arima%20Kishou,c
Inspired by Tokyo Ghoul,122,/tags/Inspired%20by%20Tokyo%20Ghoul,f
