tag,count,href,category
Twisted Fate,417,/tags/Twisted%20Fate,c
Shen (League of Legends),544,/tags/Shen%20(League%20of%20Legends),c
Kennen (League of Legends),86,/tags/Kennen%20(League%20of%20Legends),c
Nasus' Judgement,1,/tags/Nasus'%20Judgement,f
League of Legends Judgement,7,/tags/League%20of%20Legends%20Judgement,f
Malcolm Graves,404,/tags/Malcolm%20Graves,c
Darius (League of Legends),468,/tags/Darius%20(League%20of%20Legends),c
Pantheon (League of Legends),119,/tags/Pantheon%20(League%20of%20Legends),c
Ashe (League of Legends),282,/tags/Ashe%20(League%20of%20Legends),c
Dmitri (League of Legends),5,/tags/Dmitri%20(League%20of%20Legends),c
Vladimir (League of Legends),145,/tags/Vladimir%20(League%20of%20Legends),c
Warwick (League of Legends),199,/tags/Warwick%20(League%20of%20Legends),c
Thresh (League of Legends),291,/tags/Thresh%20(League%20of%20Legends),c
Garen Crownguard,515,/tags/Garen%20Crownguard,c
Boram Darkwill,12,/tags/Boram%20Darkwill,c
General Marcus Du Couteau,70,/tags/General%20Marcus%20Du%20Couteau,c
Leona (League of Legends),476,/tags/Leona%20(League%20of%20Legends),c
Summoner (League of Legends),20,/tags/Summoner%20(League%20of%20Legends),c
Elise (League of Legends),94,/tags/Elise%20(League%20of%20Legends),c
Lulu (League of Legends),210,/tags/Lulu%20(League%20of%20Legends),c
Katarina Du Couteau,634,/tags/Katarina%20Du%20Couteau,c
Zyra (League of Legends),48,/tags/Zyra%20(League%20of%20Legends),c
Mordekaiser (League of Legends),102,/tags/Mordekaiser%20(League%20of%20Legends),c
Piltover's Finest,809,/tags/Piltover's%20Finest,f
Nocturne (League of Legends),37,/tags/Nocturne%20(League%20of%20Legends),c
Diana (League of Legends),448,/tags/Diana%20(League%20of%20Legends),c
Morgana/Zyra (League of Legends),0,/tags/Morgana*s*Zyra%20(League%20of%20Legends),r
Morgana (League of Legends),178,/tags/Morgana%20(League%20of%20Legends),c
Syndra (League of Legends),219,/tags/Syndra%20(League%20of%20Legends),c
Shyvana (League of Legends),149,/tags/Shyvana%20(League%20of%20Legends),c
Caitlyn/Vi (League of Legends),7893,/tags/Caitlyn*s*Vi%20(League%20of%20Legends),r
Caitlyn (League of Legends),7105,/tags/Caitlyn%20(League%20of%20Legends),c
Vi (League of Legends),7807,/tags/Vi%20(League%20of%20Legends),c
Ezreal/Twisted Fate,3,/tags/Ezreal*s*Twisted%20Fate,r
Anivia (League of Legends),21,/tags/Anivia%20(League%20of%20Legends),c
Maokai (League of Legends),19,/tags/Maokai%20(League%20of%20Legends),c
Nunu (League of Legends),24,/tags/Nunu%20(League%20of%20Legends),c
Riven (League of Legends),395,/tags/Riven%20(League%20of%20Legends),c
Zed (League of Legends),777,/tags/Zed%20(League%20of%20Legends),c
Yasuo (League of Legends),621,/tags/Yasuo%20(League%20of%20Legends),c
Riven/Yasuo (League of Legends),48,/tags/Riven*s*Yasuo%20(League%20of%20Legends),r
Darius/Riven (League of Legends),1,/tags/Darius*s*Riven%20(League%20of%20Legends),r
Janna (League of Legends),212,/tags/Janna%20(League%20of%20Legends),c
Singed (League of Legends),646,/tags/Singed%20(League%20of%20Legends),c
Ezreal/Other(s),3,/tags/Ezreal*s*Other(s),r
Shyvana/Syndra,2,/tags/Shyvana*s*Syndra,r
Ezreal/Jayce/Taric,0,/tags/Ezreal*s*Jayce*s*Taric,r
Jayce (League of Legends),4750,/tags/Jayce%20(League%20of%20Legends),c
Ezreal/Taric/Varus,0,/tags/Ezreal*s*Taric*s*Varus,r
Xin Zhao,96,/tags/Xin%20Zhao,c
Ezreal/Xin Zhao,0,/tags/Ezreal*s*Xin%20Zhao,r
Lee Sin/Syndra,0,/tags/Lee%20Sin*s*Syndra,r
Ezreal/Jayce/Taric/Varus,0,/tags/Ezreal*s*Jayce*s*Taric*s*Varus,r
Nami (League of Legends),85,/tags/Nami%20(League%20of%20Legends),c
Sona Buvelle,393,/tags/Sona%20Buvelle,c
Poro (League of Legends),17,/tags/Poro%20(League%20of%20Legends),c
Nidalee (League of Legends),88,/tags/Nidalee%20(League%20of%20Legends),c
Amumu (League of Legends),18,/tags/Amumu%20(League%20of%20Legends),c
Varus (League of Legends),109,/tags/Varus%20(League%20of%20Legends),c
Sejuani (League of Legends),98,/tags/Sejuani%20(League%20of%20Legends),c
Fiddlesticks (League of Legends),74,/tags/Fiddlesticks%20(League%20of%20Legends),c
Shauna Vayne,141,/tags/Shauna%20Vayne,c
Annie Hastur,47,/tags/Annie%20Hastur,c
Karma (League of Legends),160,/tags/Karma%20(League%20of%20Legends),c
Soraka (League of Legends),273,/tags/Soraka%20(League%20of%20Legends),c
Jinx (League of Legends),7222,/tags/Jinx%20(League%20of%20Legends),c
Veigar (League of Legends),109,/tags/Veigar%20(League%20of%20Legends),c
Viktor (League of Legends),4840,/tags/Viktor%20(League%20of%20Legends),c
Jericho Swain,344,/tags/Jericho%20Swain,c
Caitlyn/Jinx (League of Legends),259,/tags/Caitlyn*s*Jinx%20(League%20of%20Legends),r
Sivir (League of Legends),188,/tags/Sivir%20(League%20of%20Legends),c
Draven (League of Legends),274,/tags/Draven%20(League%20of%20Legends),c
Braum (League of Legends),94,/tags/Braum%20(League%20of%20Legends),c
Kayle/Morgana (League of Legends),23,/tags/Kayle*s*Morgana%20(League%20of%20Legends),r
Kayle (League of Legends),103,/tags/Kayle%20(League%20of%20Legends),c
Ezreal (League of Legends),827,/tags/Ezreal%20(League%20of%20Legends),c
Kayle & Malphite,1,/tags/Kayle%20*a*%20Malphite,r
Malphite (League of Legends),40,/tags/Malphite%20(League%20of%20Legends),c
Reginald Ashram,0,/tags/Reginald%20Ashram,c
"Dr. ""Mundo"" Edmundo",30,/tags/Dr*d*%20%22Mundo%22%20Edmundo,c
Ryze (League of Legends),43,/tags/Ryze%20(League%20of%20Legends),c
"Luxanna ""Lux"" Crownguard",1839,/tags/Luxanna%20%22Lux%22%20Crownguard,c
Tibbers (League of Legends),7,/tags/Tibbers%20(League%20of%20Legends),c
Lissandra (League of Legends),60,/tags/Lissandra%20(League%20of%20Legends),c
Aatrox (League of Legends),129,/tags/Aatrox%20(League%20of%20Legends),c
Akali (League of Legends),1572,/tags/Akali%20(League%20of%20Legends),c
Nautilus (League of Legends),14,/tags/Nautilus%20(League%20of%20Legends),c
Volibear (League of Legends),30,/tags/Volibear%20(League%20of%20Legends),c
Udyr (League of Legends),20,/tags/Udyr%20(League%20of%20Legends),c
Blitzcrank (League of Legends),109,/tags/Blitzcrank%20(League%20of%20Legends),c
Wukong (League of Legends),26,/tags/Wukong%20(League%20of%20Legends),c
Ahri (League of Legends),1572,/tags/Ahri%20(League%20of%20Legends),c
Hecarim (League of Legends),72,/tags/Hecarim%20(League%20of%20Legends),c
Heimerdinger (League of Legends),788,/tags/Heimerdinger%20(League%20of%20Legends),c
Karthus (League of Legends),85,/tags/Karthus%20(League%20of%20Legends),c
Kassadin (League of Legends),78,/tags/Kassadin%20(League%20of%20Legends),c
Malzahar (League of Legends),87,/tags/Malzahar%20(League%20of%20Legends),c
Miss Sarah Fortune,499,/tags/Miss%20Sarah%20Fortune,c
Nasus (League of Legends),92,/tags/Nasus%20(League%20of%20Legends),c
Rengar (League of Legends),83,/tags/Rengar%20(League%20of%20Legends),c
Renekton (League of Legends),69,/tags/Renekton%20(League%20of%20Legends),c
Taric (League of Legends),117,/tags/Taric%20(League%20of%20Legends),c
Zelos (League of Legends),0,/tags/Zelos%20(League%20of%20Legends),c
Ziggs (League of Legends),45,/tags/Ziggs%20(League%20of%20Legends),c
Tryndamere (League of Legends),70,/tags/Tryndamere%20(League%20of%20Legends),c
Tristana (League of Legends),96,/tags/Tristana%20(League%20of%20Legends),c
Teemo (League of Legends),75,/tags/Teemo%20(League%20of%20Legends),c
Jarvan Lightshield IV,221,/tags/Jarvan%20Lightshield%20IV,c
Darius/Jayce (League of Legends),8,/tags/Darius*s*Jayce%20(League%20of%20Legends),r
"Luxanna ""Lux"" Crownguard/Darius",65,/tags/Luxanna%20%22Lux%22%20Crownguard*s*Darius,r
Ezreal/Jarvan Lightshield IV,0,/tags/Ezreal*s*Jarvan%20Lightshield%20IV,r
Jarvan Lightshield IV/Xin Zhao,9,/tags/Jarvan%20Lightshield%20IV*s*Xin%20Zhao,r
Janna/Twisted Fate,0,/tags/Janna*s*Twisted%20Fate,r
Sona Buvelle/Hecarim,0,/tags/Sona%20Buvelle*s*Hecarim,r
Emilia LeBlanc,186,/tags/Emilia%20LeBlanc,c
Ahri/Emilia LeBlanc,7,/tags/Ahri*s*Emilia%20LeBlanc,r
Draven/Lee Sin,0,/tags/Draven*s*Lee%20Sin,r
Sona Buvelle/Twisted Fate,0,/tags/Sona%20Buvelle*s*Twisted%20Fate,r
Quinn (League of Legends),174,/tags/Quinn%20(League%20of%20Legends),c
"Luxanna ""Lux"" Crownguard/Quinn",6,/tags/Luxanna%20%22Lux%22%20Crownguard*s*Quinn,r
Emilia LeBlanc/Jericho Swain,43,/tags/Emilia%20LeBlanc*s*Jericho%20Swain,r
Malcolm Graves/Twisted Fate,308,/tags/Malcolm%20Graves*s*Twisted%20Fate,r
Viktor/Zed (League of Legends),1,/tags/Viktor*s*Zed%20(League%20of%20Legends),r
Ezreal/Varus/Xin Zhao,0,/tags/Ezreal*s*Varus*s*Xin%20Zhao,r
Taric/Xin Zhao,0,/tags/Taric*s*Xin%20Zhao,r
Braum/Malcolm Graves,4,/tags/Braum*s*Malcolm%20Graves,r
Shen/Yasuo,7,/tags/Shen*s*Yasuo,r
"Luxanna ""Lux"" Crownguard/Riven",5,/tags/Luxanna%20%22Lux%22%20Crownguard*s*Riven,r
Caitlyn (League of Legends)/Original Character(s),13,/tags/Caitlyn%20(League%20of%20Legends)*s*Original%20Character(s),r
Diana/Leona (League of Legends),343,/tags/Diana*s*Leona%20(League%20of%20Legends),r
"Luxanna ""Lux"" Crownguard/Jinx",1115,/tags/Luxanna%20%22Lux%22%20Crownguard*s*Jinx,r
Ashe (League of Legends)/Lightning (Final Fantasy XIII),0,/tags/Ashe%20(League%20of%20Legends)*s*Lightning%20(Final%20Fantasy%20XIII),r
Garen Crownguard/Draven,1,/tags/Garen%20Crownguard*s*Draven,r
Garen Crownguard/Ezreal,2,/tags/Garen%20Crownguard*s*Ezreal,r
Garen Crownguard/Taric,4,/tags/Garen%20Crownguard*s*Taric,r
Garen Crownguard/Jarvan Lightshield IV,3,/tags/Garen%20Crownguard*s*Jarvan%20Lightshield%20IV,r
Garen Crownguard/Jarven Lightshield IV/Xin Zhao,2,/tags/Garen%20Crownguard*s*Jarven%20Lightshield%20IV*s*Xin%20Zhao,r
Caitlyn/Jayce (League of Legends),21,/tags/Caitlyn*s*Jayce%20(League%20of%20Legends),r
Ahri/Sona Buvelle,36,/tags/Ahri*s*Sona%20Buvelle,r
Annie Hastur/Tibbers,0,/tags/Annie%20Hastur*s*Tibbers,r
Garen Crownguard/Darius,58,/tags/Garen%20Crownguard*s*Darius,r
Ezreal/Malcolm Graves,0,/tags/Ezreal*s*Malcolm%20Graves,r
"Luxanna ""Lux"" Crownguard/Ezreal",105,/tags/Luxanna%20%22Lux%22%20Crownguard*s*Ezreal,r
Garen Crownguard/Xin Zhao,2,/tags/Garen%20Crownguard*s*Xin%20Zhao,r
Jarvan Lightshield IV/Shyvana,40,/tags/Jarvan%20Lightshield%20IV*s*Shyvana,r
Sona Buvelle/Kassadin,0,/tags/Sona%20Buvelle*s*Kassadin,r
"Luxanna ""Lux"" Crownguard/Kassadin",0,/tags/Luxanna%20%22Lux%22%20Crownguard*s*Kassadin,r
"Luxanna ""Lux"" Crownguard/Kayle",0,/tags/Luxanna%20%22Lux%22%20Crownguard*s*Kayle,r
"Luxanna ""Lux"" Crownguard/Nocturne",1,/tags/Luxanna%20%22Lux%22%20Crownguard*s*Nocturne,r
Miss Sarah Fortune/Twisted Fate,2,/tags/Miss%20Sarah%20Fortune*s*Twisted%20Fate,r
Fiora Laurent,158,/tags/Fiora%20Laurent,c
Ahri (League of Legends)/Andy Biersack,0,/tags/Ahri%20(League%20of%20Legends)*s*Andy%20Biersack,r
Evelynn (League of Legends),1354,/tags/Evelynn%20(League%20of%20Legends),c
Twisted Fate/Yasuo,4,/tags/Twisted%20Fate*s*Yasuo,r
Pantheon/Riven (League of Legends),0,/tags/Pantheon*s*Riven%20(League%20of%20Legends),r
Kalista (League of Legends),62,/tags/Kalista%20(League%20of%20Legends),c
Shen/Zed (League of Legends),299,/tags/Shen*s*Zed%20(League%20of%20Legends),r
Azir (League of Legends),93,/tags/Azir%20(League%20of%20Legends),c
Jayce/Viktor (League of Legends),2943,/tags/Jayce*s*Viktor%20(League%20of%20Legends),r
