tag,count,href,category
Frodo Baggins,8258,/tags/Frodo%20Baggins,c
Pre-Quest,301,/tags/Pre-Quest,f
Hobbits,1135,/tags/Hobbits,f
Frodo Baggins/Rose Cotton/Sam Gamgee,92,/tags/Frodo%20Baggins*s*Rose%20Cotton*s*Sam%20Gamgee,r
Lobelia Sackville-Baggins,652,/tags/Lobelia%20Sackville-Baggins,c
Bilbo Baggins,20024,/tags/Bilbo%20Baggins,c
Haradrim,63,/tags/Haradrim,c
Thorin Oakenshield,21353,/tags/Thorin%20Oakenshield,c
Third Age,991,/tags/Third%20Age,f
Blue Wizards,45,/tags/Blue%20Wizards,c
Community: hobbit_smut,14,/tags/Community:%20hobbit_smut,f
Primula Brandybuck,319,/tags/Primula%20Brandybuck,c
Drogo Baggins/Primula Brandybuck,63,/tags/Drogo%20Baggins*s*Primula%20Brandybuck,r
Frodo Baggins/Rose Cotton,17,/tags/Frodo%20Baggins*s*Rose%20Cotton,r
Esmeralda Took,66,/tags/Esmeralda%20Took,c
Back to Middle-Earth Month,266,/tags/Back%20to%20Middle-Earth%20Month,f
The One Ring,271,/tags/The%20One%20Ring,c
Lobelia Sackville-Baggins/Otho Sackville-Baggins,26,/tags/Lobelia%20Sackville-Baggins*s*Otho%20Sackville-Baggins,r
Valinor,1222,/tags/Valinor,f
Erebor,751,/tags/Erebor,f
Dáin Ironfoot,874,/tags/D%C3%A1in%20Ironfoot,c
Orcs,1505,/tags/Orcs,f
Bag End,113,/tags/Bag%20End,f
Rory Brandybuck,19,/tags/Rory%20Brandybuck,c
Bilbo Baggins/Smaug,503,/tags/Bilbo%20Baggins*s*Smaug,r
Legolas Greenleaf,12899,/tags/Legolas%20Greenleaf,c
Cumbersmaug,20,/tags/Cumbersmaug,f
Lindir (Tolkien),1493,/tags/Lindir%20(Tolkien),c
Frodo Baggins/The One Ring,7,/tags/Frodo%20Baggins*s*The%20One%20Ring,r
