tag,count,href,category
Zoe Saldana,331,/tags/Zoe%20Saldana,c
Paul Bettany,56,/tags/Paul%20Bettany,c
Chad Michael Murray,2349,/tags/Chad%20Michael%20Murray,c
Jake Gyllenhaal,280,/tags/Jake%20Gyllenhaal,c
Jude Law,206,/tags/Jude%20Law,c
Daniel Brühl,51,/tags/Daniel%20Br%C3%BChl,c
Robert Downey Jr./Jude Law,83,/tags/Robert%20Downey%20Jr*d**s*Jude%20Law,r
Robert Downey Jr.,946,/tags/Robert%20Downey%20Jr*d*,c
Cobie Smulders,40,/tags/Cobie%20Smulders,c
Natalie Portman,59,/tags/Natalie%20Portman,c
Scarlett Johansson,765,/tags/Scarlett%20Johansson,c
Chris Hemsworth,1710,/tags/Chris%20Hemsworth,c
Rachel Weisz,10,/tags/Rachel%20Weisz,c
Susan Downey,49,/tags/Susan%20Downey,c
Shia LaBeouf/Robert Downey Jr.,3,/tags/Shia%20LaBeouf*s*Robert%20Downey%20Jr*d*,r
Tobey Maguire,140,/tags/Tobey%20Maguire,c
Ethan Hawke,28,/tags/Ethan%20Hawke,c
Bradley Cooper,33,/tags/Bradley%20Cooper,c
Idris Elba,88,/tags/Idris%20Elba,c
Stan Lee,314,/tags/Stan%20Lee,c
Neal McDonough,2,/tags/Neal%20McDonough,c
Christopher Eccleston,31,/tags/Christopher%20Eccleston,c
Andrew Garfield,612,/tags/Andrew%20Garfield,c
Robert Downey Jr./Susan Downey,48,/tags/Robert%20Downey%20Jr*d**s*Susan%20Downey,r
Sebastian Stan,4098,/tags/Sebastian%20Stan,c
"Bradley Cooper/Templeton ""Faceman"" Peck",0,/tags/Bradley%20Cooper*s*Templeton%20%22Faceman%22%20Peck,r
Thomas Kretschmann,1,/tags/Thomas%20Kretschmann,c
Hilarie Burton/Chad Michael Murray,2,/tags/Hilarie%20Burton*s*Chad%20Michael%20Murray,r
Kat Dennings,52,/tags/Kat%20Dennings,c
Tom Hiddleston,7836,/tags/Tom%20Hiddleston,c
Jaimie Alexander,15,/tags/Jaimie%20Alexander,c
Chris Hemsworth/Tom Hiddleston,1425,/tags/Chris%20Hemsworth*s*Tom%20Hiddleston,r
Michael Fassbender/Tom Hiddleston,6,/tags/Michael%20Fassbender*s*Tom%20Hiddleston,r
Colin Farrell/Jeremy Renner,22,/tags/Colin%20Farrell*s*Jeremy%20Renner,r
Jeremy Renner,491,/tags/Jeremy%20Renner,c
Chris Evans/Chris Hemsworth/Tom Hiddleston,6,/tags/Chris%20Evans*s*Chris%20Hemsworth*s*Tom%20Hiddleston,r
Kenneth Branagh,53,/tags/Kenneth%20Branagh,c
Rachel McAdams,14,/tags/Rachel%20McAdams,c
Tom Hiddleston/Loki,489,/tags/Tom%20Hiddleston*s*Loki,r
Chris Hemsworth/Thor,5,/tags/Chris%20Hemsworth*s*Thor,r
Chris Hemsworth/Loki,11,/tags/Chris%20Hemsworth*s*Loki,r
Chris Evans/Sebastian Stan,2616,/tags/Chris%20Evans*s*Sebastian%20Stan,r
Gwyneth Paltrow,33,/tags/Gwyneth%20Paltrow,c
Jeff Goldblum,49,/tags/Jeff%20Goldblum,c
Hayley Atwell,130,/tags/Hayley%20Atwell,c
Chris Evans/Tom Hiddleston,18,/tags/Chris%20Evans*s*Tom%20Hiddleston,r
Chris Hemsworth/Elsa Pataky,69,/tags/Chris%20Hemsworth*s*Elsa%20Pataky,r
Elsa Pataky,111,/tags/Elsa%20Pataky,c
Emma Hiddleston,121,/tags/Emma%20Hiddleston,c
Shanna Evans,44,/tags/Shanna%20Evans,c
Clark Gregg,36,/tags/Clark%20Gregg,c
Sam Rockwell,10,/tags/Sam%20Rockwell,c
Mark Ruffalo,204,/tags/Mark%20Ruffalo,c
Salma Hayek,17,/tags/Salma%20Hayek,c
