tag,count,href,category
Emiya Shirou,1504,/tags/Emiya%20Shirou,c
Illyasviel von Einzbern,516,/tags/Illyasviel%20von%20Einzbern,c
Waver Velvet,802,/tags/Waver%20Velvet,c
Irisviel von Einzbern,439,/tags/Irisviel%20von%20Einzbern,c
Emiya Kiritsugu,511,/tags/Emiya%20Kiritsugu,c
Emiya Shirou/Tohsaka Rin,228,/tags/Emiya%20Shirou*s*Tohsaka%20Rin,r
Archer/Emiya Shirou/Lancer/Ryuudou Issei,0,/tags/Archer*s*Emiya%20Shirou*s*Lancer*s*Ryuudou%20Issei,r
Emiya Kiritsugu/Irisviel von Einzbern,114,/tags/Emiya%20Kiritsugu*s*Irisviel%20von%20Einzbern,r
Emiya Kiritsugu/Kotomine Kirei,100,/tags/Emiya%20Kiritsugu*s*Kotomine%20Kirei,r
Post-Fate/Zero,33,/tags/Post-Fate*s*Zero,f
Waver Velvet/Original Character(s),2,/tags/Waver%20Velvet*s*Original%20Character(s),r
Heroic Spirit EMIYA | Archer,1345,/tags/Heroic%20Spirit%20EMIYA%20%7C%20Archer,c
Cú Chulainn | Lancer,1109,/tags/C%C3%BA%20Chulainn%20%7C%20Lancer,c
Iskandar | Rider,503,/tags/Iskandar%20%7C%20Rider,c
Diarmuid Ua Duibhne | Lancer/Harry Potter,0,/tags/Diarmuid%20Ua%20Duibhne%20%7C%20Lancer*s*Harry%20Potter,r
Diarmuid Ua Duibhne | Lancer/Lancelot of the Lake | Berserker,1,/tags/Diarmuid%20Ua%20Duibhne%20%7C%20Lancer*s*Lancelot%20of%20the%20Lake%20%7C%20Berserker,r
Rider (Fate),35,/tags/Rider%20(Fate),c
Gawain | Saber/Kishinami Hakuno,1,/tags/Gawain%20%7C%20Saber*s*Kishinami%20Hakuno,r
Archer/Sajyou Ayaka (Fate/Prototype),1,/tags/Archer*s*Sajyou%20Ayaka%20(Fate*s*Prototype),r
Medusa/Ryuudou Issei | Rider/Ryuudou Issei,0,/tags/Medusa*s*Ryuudou%20Issei%20%7C%20Rider*s*Ryuudou%20Issei,r
Route: Unlimited Blade Works,78,/tags/Route:%20Unlimited%20Blade%20Works,f
Route: Heaven's Feel,80,/tags/Route:%20Heaven's%20Feel,f
Archer (Fate),70,/tags/Archer%20(Fate),c
Heroic Spirit EMIYA/Ryuudou Issei | Archer/Ryuudou Issei,0,/tags/Heroic%20Spirit%20EMIYA*s*Ryuudou%20Issei%20%7C%20Archer*s*Ryuudou%20Issei,r
Gilgamesh/Kotomine Kirei/Tohsaka Tokiomi,6,/tags/Gilgamesh*s*Kotomine%20Kirei*s*Tohsaka%20Tokiomi,r
