tag,count,href,category
Dick Grayson,80588,/tags/Dick%20Grayson,c
Bruce Wayne,82428,/tags/Bruce%20Wayne,c
Tim Drake,60770,/tags/Tim%20Drake,c
Barbara Gordon,14389,/tags/Barbara%20Gordon,c
Lucius Fox,1072,/tags/Lucius%20Fox,c
Stephanie Brown,15323,/tags/Stephanie%20Brown,c
Jason Todd,74867,/tags/Jason%20Todd,c
Harvey Dent,2223,/tags/Harvey%20Dent,c
Alfred Pennyworth,28409,/tags/Alfred%20Pennyworth,c
Clark Kent/Bruce Wayne,16998,/tags/Clark%20Kent*s*Bruce%20Wayne,r
Harvey Dent/Bruce Wayne,361,/tags/Harvey%20Dent*s*Bruce%20Wayne,r
Tony Stark/Bruce Wayne,779,/tags/Tony%20Stark*s*Bruce%20Wayne,r
Helena Bertinelli,1697,/tags/Helena%20Bertinelli,c
Lex Luthor/Bruce Wayne,205,/tags/Lex%20Luthor*s*Bruce%20Wayne,r
Barbara Gordon/Dick Grayson,2443,/tags/Barbara%20Gordon*s*Dick%20Grayson,r
Dick Grayson/Roy Harper,964,/tags/Dick%20Grayson*s*Roy%20Harper,r
Bruce Wayne/Wally West,386,/tags/Bruce%20Wayne*s*Wally%20West,r
Bart Allen/Tim Drake,241,/tags/Bart%20Allen*s*Tim%20Drake,r
Dick Grayson/Bruce Wayne,3269,/tags/Dick%20Grayson*s*Bruce%20Wayne,r
Jason Todd/Bruce Wayne,2204,/tags/Jason%20Todd*s*Bruce%20Wayne,r
Cassandra Cain,14497,/tags/Cassandra%20Cain,c
Selina Kyle,8761,/tags/Selina%20Kyle,c
Dick Grayson/Slade Wilson,3288,/tags/Dick%20Grayson*s*Slade%20Wilson,r
Slade Wilson,8094,/tags/Slade%20Wilson,c
Henri Ducard,56,/tags/Henri%20Ducard,c
Cassandra Cain/Tim Drake,64,/tags/Cassandra%20Cain*s*Tim%20Drake,r
Selina Kyle/Bruce Wayne,4731,/tags/Selina%20Kyle*s*Bruce%20Wayne,r
Barbara Gordon/Dinah Lance,225,/tags/Barbara%20Gordon*s*Dinah%20Lance,r
Tim Drake/Dick Grayson,1579,/tags/Tim%20Drake*s*Dick%20Grayson,r
Leslie Thompkins,1898,/tags/Leslie%20Thompkins,c
Barbara Gordon/Ted Kord,13,/tags/Barbara%20Gordon*s*Ted%20Kord,r
Jim Gordon,7959,/tags/Jim%20Gordon,c
Tim Drake/Roy Harper,255,/tags/Tim%20Drake*s*Roy%20Harper,r
Renee Montoya,949,/tags/Renee%20Montoya,c
Stephanie Brown/Tim Drake,1233,/tags/Stephanie%20Brown*s*Tim%20Drake,r
Dick Grayson/Garfield Logan,42,/tags/Dick%20Grayson*s*Garfield%20Logan,r
Gilda Dent,56,/tags/Gilda%20Dent,c
Gilda Dent/Harvey Dent,37,/tags/Gilda%20Dent*s*Harvey%20Dent,r
Jim Gordon/Bruce Wayne,480,/tags/Jim%20Gordon*s*Bruce%20Wayne,r
Thomas Wayne,1023,/tags/Thomas%20Wayne,c
Martha Wayne,889,/tags/Martha%20Wayne,c
Jonathan Crane,4130,/tags/Jonathan%20Crane,c
