tag,count,href,category
James T. Kirk,38087,/tags/James%20T*d*%20Kirk,c
Christine Chapel,4050,/tags/Christine%20Chapel,c
Romulan Commander,62,/tags/Romulan%20Commander,c
Spock Prime,2195,/tags/Spock%20Prime,c
Hikaru Sulu,6989,/tags/Hikaru%20Sulu,c
Pavel Chekov,7465,/tags/Pavel%20Chekov,c
Nyota Uhura,11951,/tags/Nyota%20Uhura,c
Jack Benjamin/James T. Kirk,1,/tags/Jack%20Benjamin*s*James%20T*d*%20Kirk,r
Spock/Nyota Uhura,3033,/tags/Spock*s*Nyota%20Uhura,r
Gaila/Nyota Uhura,188,/tags/Gaila*s*Nyota%20Uhura,r
James T. Kirk/Spock,33582,/tags/James%20T*d*%20Kirk*s*Spock,r
Pavel Chekov/James T. Kirk,165,/tags/Pavel%20Chekov*s*James%20T*d*%20Kirk,r
James T. Kirk/Spock/Nyota Uhura,224,/tags/James%20T*d*%20Kirk*s*Spock*s*Nyota%20Uhura,r
James T. Kirk/Spock Prime,379,/tags/James%20T*d*%20Kirk*s*Spock%20Prime,r
Pavel Chekov/Hikaru Sulu,1402,/tags/Pavel%20Chekov*s*Hikaru%20Sulu,r
Amanda Grayson,3074,/tags/Amanda%20Grayson,c
Spock/Hikaru Sulu,16,/tags/Spock*s*Hikaru%20Sulu,r
Winona Kirk,1563,/tags/Winona%20Kirk,c
Janice Rand,784,/tags/Janice%20Rand,c
James T. Kirk/Joanna McCoy,20,/tags/James%20T*d*%20Kirk*s*Joanna%20McCoy,r
Christopher Pike,5384,/tags/Christopher%20Pike,c
Amanda Grayson/Sarek,1541,/tags/Amanda%20Grayson*s*Sarek,r
Pavel Chekov/River Tam,1,/tags/Pavel%20Chekov*s*River%20Tam,r
Christine Chapel/Roger Korby,21,/tags/Christine%20Chapel*s*Roger%20Korby,r
Gaila/James T. Kirk,193,/tags/Gaila*s*James%20T*d*%20Kirk,r
Philip Boyce,484,/tags/Philip%20Boyce,c
Robert April,81,/tags/Robert%20April,c
Caitlin Barry,24,/tags/Caitlin%20Barry,c
James T. Kirk/Nyota Uhura,270,/tags/James%20T*d*%20Kirk*s*Nyota%20Uhura,r
George Kirk/Winona Kirk,186,/tags/George%20Kirk*s*Winona%20Kirk,r
George Kirk,377,/tags/George%20Kirk,c
James T. Kirk/Christopher Pike,316,/tags/James%20T*d*%20Kirk*s*Christopher%20Pike,r
Charlie Evans,16,/tags/Charlie%20Evans,c
Roger Korby,27,/tags/Roger%20Korby,c
Kevin Riley,283,/tags/Kevin%20Riley,c
James T. Kirk/Q,5,/tags/James%20T*d*%20Kirk*s*Q,r
Spock/Romulan Commander,34,/tags/Spock*s*Romulan%20Commander,r
Christopher Pike/Spock,167,/tags/Christopher%20Pike*s*Spock,r
Jocelyn Treadway,18,/tags/Jocelyn%20Treadway,c
James T. Kirk/Ruth,6,/tags/James%20T*d*%20Kirk*s*Ruth,r
James T. Kirk/Hikaru Sulu,295,/tags/James%20T*d*%20Kirk*s*Hikaru%20Sulu,r
Crew of the Starship Enterprise,1276,/tags/Crew%20of%20the%20Starship%20Enterprise,c
James T. Kirk/John Sheppard,4,/tags/James%20T*d*%20Kirk*s*John%20Sheppard,r
Aurelan Kirk,115,/tags/Aurelan%20Kirk,c
"Montgomery ""Scotty"" Scott",6865,/tags/Montgomery%20%22Scotty%22%20Scott,c
J.M. Colt,16,/tags/J*d*M*d*%20Colt,c
George Samuel Kirk,602,/tags/George%20Samuel%20Kirk,c
Finnegan (Star Trek),47,/tags/Finnegan%20(Star%20Trek),c
Pavel Chekov/Joanna McCoy,29,/tags/Pavel%20Chekov*s*Joanna%20McCoy,r
Christopher Pike/Hikaru Sulu,6,/tags/Christopher%20Pike*s*Hikaru%20Sulu,r
Stonn (Star Trek),260,/tags/Stonn%20(Star%20Trek),c
Helen Noel,23,/tags/Helen%20Noel,c
Helen Noel/Janice Rand,3,/tags/Helen%20Noel*s*Janice%20Rand,r
James T. Kirk/Janice Rand,112,/tags/James%20T*d*%20Kirk*s*Janice%20Rand,r
Pavel Chekov/Christopher Pike,9,/tags/Pavel%20Chekov*s*Christopher%20Pike,r
Gaila/Christopher Pike,17,/tags/Gaila*s*Christopher%20Pike,r
Gary Mitchell,455,/tags/Gary%20Mitchell,c
Kevin Riley/Hikaru Sulu,1,/tags/Kevin%20Riley*s*Hikaru%20Sulu,r
Harrison (Star Trek),0,/tags/Harrison%20(Star%20Trek),c
Gary Mitchell/Hikaru Sulu,1,/tags/Gary%20Mitchell*s*Hikaru%20Sulu,r
Gaila/Hikaru Sulu,21,/tags/Gaila*s*Hikaru%20Sulu,r
James T. Kirk/Hikaru Sulu/Original Female Character,0,/tags/James%20T*d*%20Kirk*s*Hikaru%20Sulu*s*Original%20Female%20Character,r
Colonel Worf (Star Trek VI),1,/tags/Colonel%20Worf%20(Star%20Trek%20VI),c
Joe Tormolen,2,/tags/Joe%20Tormolen,c
Flint (Star Trek),5,/tags/Flint%20(Star%20Trek),c
James T. Kirk/Richard Sharpe,0,/tags/James%20T*d*%20Kirk*s*Richard%20Sharpe,r
James T. Kirk/Buffy Summers,18,/tags/James%20T*d*%20Kirk*s*Buffy%20Summers,r
Hikaru Sulu/Joe Tormolen/Nyota Uhura,0,/tags/Hikaru%20Sulu*s*Joe%20Tormolen*s*Nyota%20Uhura,r
James T. Kirk & Spock,2467,/tags/James%20T*d*%20Kirk%20*a*%20Spock,r
"Leonard ""Bones"" McCoy",17570,/tags/Leonard%20%22Bones%22%20McCoy,c
Spock Prime/Nyota Uhura,4,/tags/Spock%20Prime*s*Nyota%20Uhura,r
Christine Chapel/Hikaru Sulu,19,/tags/Christine%20Chapel*s*Hikaru%20Sulu,r
Guardian of Forever,25,/tags/Guardian%20of%20Forever,c
USS Enterprise,299,/tags/USS%20Enterprise,c
James T. Kirk/USS Enterprise,28,/tags/James%20T*d*%20Kirk*s*USS%20Enterprise,r
Richard Daystrom,7,/tags/Richard%20Daystrom,c
Kirk/Pike,9,/tags/Kirk*s*Pike,r
Kyle/Riley,1,/tags/Kyle*s*Riley,r
Robert Crater/Other,1,/tags/Robert%20Crater*s*Other,r
Robert Crater,6,/tags/Robert%20Crater,c
Nancy Crater,10,/tags/Nancy%20Crater,c
George Kirk/Christopher Pike,40,/tags/George%20Kirk*s*Christopher%20Pike,r
Pavel Chekov/James T. Kirk/Hikaru Sulu,32,/tags/Pavel%20Chekov*s*James%20T*d*%20Kirk*s*Hikaru%20Sulu,r
Pavel Chekov/Sarek,1,/tags/Pavel%20Chekov*s*Sarek,r
Pavel Chekov/Hikaru Sulu/Sentient Plant,0,/tags/Pavel%20Chekov*s*Hikaru%20Sulu*s*Sentient%20Plant,r
Pavel Chekov/Hikaru Sulu/Nyota Uhura,5,/tags/Pavel%20Chekov*s*Hikaru%20Sulu*s*Nyota%20Uhura,r
James T. Kirk/Hikaru Sulu/Tentacle Monster,1,/tags/James%20T*d*%20Kirk*s*Hikaru%20Sulu*s*Tentacle%20Monster,r
Pavel Chekov/Original Tentacular Character,2,/tags/Pavel%20Chekov*s*Original%20Tentacular%20Character,r
James T. Kirk & Nyota Uhura,270,/tags/James%20T*d*%20Kirk%20*a*%20Nyota%20Uhura,r
Ann Mulhall,3,/tags/Ann%20Mulhall,c
James T. Kirk/Ann Mulhall,0,/tags/James%20T*d*%20Kirk*s*Ann%20Mulhall,r
Kelinda/James T. Kirk,0,/tags/Kelinda*s*James%20T*d*%20Kirk,r
Kelinda (Star Trek),0,/tags/Kelinda%20(Star%20Trek),c
Deela (Star Trek),13,/tags/Deela%20(Star%20Trek),c
Deela/James T. Kirk,1,/tags/Deela*s*James%20T*d*%20Kirk,r
Yahtzee's Star Trek Drabblefests,7,/tags/Yahtzee's%20Star%20Trek%20Drabblefests,f
Gaila/Nyota Uhura/Spock,16,/tags/Gaila*s*Nyota%20Uhura*s*Spock,r
Nancy Crater/Robert Crater,0,/tags/Nancy%20Crater*s*Robert%20Crater,r
Jack Harkness/James T. Kirk,11,/tags/Jack%20Harkness*s*James%20T*d*%20Kirk,r
James T. Kirk/Nero,10,/tags/James%20T*d*%20Kirk*s*Nero,r
James T. Kirk Prime,336,/tags/James%20T*d*%20Kirk%20Prime,c
T'Pau (Star Trek),321,/tags/T'Pau%20(Star%20Trek),c
James T. Kirk/Carol Marcus,171,/tags/James%20T*d*%20Kirk*s*Carol%20Marcus,r
Carol Marcus,965,/tags/Carol%20Marcus,c
Gem (Star Trek),8,/tags/Gem%20(Star%20Trek),c
Christine Chapel/Romulan Commander,1,/tags/Christine%20Chapel*s*Romulan%20Commander,r
Winona Kirk/Original Female Character,3,/tags/Winona%20Kirk*s*Original%20Female%20Character,r
Elizabeth Dehner,23,/tags/Elizabeth%20Dehner,c
David McCoy,117,/tags/David%20McCoy,c
Janice Rand/Hikaru Sulu,9,/tags/Janice%20Rand*s*Hikaru%20Sulu,r
James T. Kirk/T'Pring,10,/tags/James%20T*d*%20Kirk*s*T'Pring,r
Trelane (Star Trek),22,/tags/Trelane%20(Star%20Trek),c
J.M. Colt/Christopher Pike,1,/tags/J*d*M*d*%20Colt*s*Christopher%20Pike,r
Christine Chapel/Spock,572,/tags/Christine%20Chapel*s*Spock,r
James T. Kirk Prime/Spock Prime,400,/tags/James%20T*d*%20Kirk%20Prime*s*Spock%20Prime,r
Koss,10,/tags/Koss,c
Pavel Chekov/Spock,49,/tags/Pavel%20Chekov*s*Spock,r
James T. Kirk/Christopher Pike/Spock,10,/tags/James%20T*d*%20Kirk*s*Christopher%20Pike*s*Spock,r
Christopher Pike/Nyota Uhura,3,/tags/Christopher%20Pike*s*Nyota%20Uhura,r
Hikaru Sulu/Nyota Uhura,36,/tags/Hikaru%20Sulu*s*Nyota%20Uhura,r
Pavel Chekov/Nyota Uhura,26,/tags/Pavel%20Chekov*s*Nyota%20Uhura,r
James T. Kirk/Spock/Original Female Character,16,/tags/James%20T*d*%20Kirk*s*Spock*s*Original%20Female%20Character,r
Skon (Star Trek),13,/tags/Skon%20(Star%20Trek),c
Christopher Pike/Christopher Pike,1,/tags/Christopher%20Pike*s*Christopher%20Pike,r
Saavik/Original Male Character,2,/tags/Saavik*s*Original%20Male%20Character,r
"Carolyn Palamas/Montgomery ""Scotty"" Scott",4,/tags/Carolyn%20Palamas*s*Montgomery%20%22Scotty%22%20Scott,r
