tag,count,href,category
Introspection,62479,/tags/Introspection,f
Mike Wheeler,25036,/tags/Mike%20Wheeler,c
Will Byers,23690,/tags/Will%20Byers,c
Nancy Wheeler,24884,/tags/Nancy%20Wheeler,c
Jonathan Byers/Nancy Wheeler,4402,/tags/Jonathan%20Byers*s*Nancy%20Wheeler,r
Jonathan Byers,17297,/tags/Jonathan%20Byers,c
"Barbara ""Barb"" Holland",1137,/tags/Barbara%20%22Barb%22%20Holland,c
Steve Harrington,49967,/tags/Steve%20Harrington,c
"Barbara ""Barb"" Holland/Nancy Wheeler",110,/tags/Barbara%20%22Barb%22%20Holland*s*Nancy%20Wheeler,r
Steve Harrington/Nancy Wheeler,1749,/tags/Steve%20Harrington*s*Nancy%20Wheeler,r
"Jim ""Chief"" Hopper",13236,/tags/Jim%20%22Chief%22%20Hopper,c
Dustin Henderson,23736,/tags/Dustin%20Henderson,c
Lucas Sinclair,17741,/tags/Lucas%20Sinclair,c
Lucas Sinclair & Mike Wheeler,223,/tags/Lucas%20Sinclair%20*a*%20Mike%20Wheeler,r
Joyce Byers,12761,/tags/Joyce%20Byers,c
Lonnie Byers,659,/tags/Lonnie%20Byers,c
Jonathan Byers/Steve Harrington/Nancy Wheeler,1652,/tags/Jonathan%20Byers*s*Steve%20Harrington*s*Nancy%20Wheeler,r
"Joyce Byers/Jim ""Chief"" Hopper",4382,/tags/Joyce%20Byers*s*Jim%20%22Chief%22%20Hopper,r
Dustin Henderson & Lucas Sinclair,136,/tags/Dustin%20Henderson%20*a*%20Lucas%20Sinclair,r
Dustin Henderson & Mike Wheeler,188,/tags/Dustin%20Henderson%20*a*%20Mike%20Wheeler,r
Karen Wheeler,3254,/tags/Karen%20Wheeler,c
"Joyce Byers & Jim ""Chief"" Hopper",852,/tags/Joyce%20Byers%20*a*%20Jim%20%22Chief%22%20Hopper,r
Mike Wheeler & Nancy Wheeler,688,/tags/Mike%20Wheeler%20*a*%20Nancy%20Wheeler,r
"Barbara ""Barb"" Holland & Nancy Wheeler",154,/tags/Barbara%20%22Barb%22%20Holland%20*a*%20Nancy%20Wheeler,r
Jonathan Byers & Nancy Wheeler,271,/tags/Jonathan%20Byers%20*a*%20Nancy%20Wheeler,r
Jonathan Byers/Steve Harrington,1391,/tags/Jonathan%20Byers*s*Steve%20Harrington,r
Jonathan Byers & Will Byers,935,/tags/Jonathan%20Byers%20*a*%20Will%20Byers,r
Will Byers & Lucas Sinclair,182,/tags/Will%20Byers%20*a*%20Lucas%20Sinclair,r
Martin Brenner,1053,/tags/Martin%20Brenner,c
Joyce Byers/Lonnie Byers,98,/tags/Joyce%20Byers*s*Lonnie%20Byers,r
Karen Wheeler/Ted Wheeler,106,/tags/Karen%20Wheeler*s*Ted%20Wheeler,r
Holly Wheeler,1119,/tags/Holly%20Wheeler,c
Dustin Henderson/Other(s),0,/tags/Dustin%20Henderson*s*Other(s),r
Will Byers/Lucas Sinclair,150,/tags/Will%20Byers*s*Lucas%20Sinclair,r
Will Byers/Mike Wheeler,12908,/tags/Will%20Byers*s*Mike%20Wheeler,r
Steve Harrington/Original Female Character(s),750,/tags/Steve%20Harrington*s*Original%20Female%20Character(s),r
"Jim ""Chief"" Hopper/You",290,/tags/Jim%20%22Chief%22%20Hopper*s*You,r
Jonathan Byers & Steve Harrington,435,/tags/Jonathan%20Byers%20*a*%20Steve%20Harrington,r
Jonathan Byers/Reader,156,/tags/Jonathan%20Byers*s*Reader,r
Benny Hammond,170,/tags/Benny%20Hammond,c
"Barbara ""Barb"" Holland/Shandra Jimenez",0,/tags/Barbara%20%22Barb%22%20Holland*s*Shandra%20Jimenez,r
Demogorgon (Stranger Things),541,/tags/Demogorgon%20(Stranger%20Things),c
