tag,count,href,category
Chocobos,365,/tags/Chocobos,f
Noctis Lucis Caelum,23137,/tags/Noctis%20Lucis%20Caelum,c
Stella Nox Fleuret,118,/tags/Stella%20Nox%20Fleuret,c
Prompto Argentum,19707,/tags/Prompto%20Argentum,c
Regis Lucis Caelum,1858,/tags/Regis%20Lucis%20Caelum,c
Gladiolus Amicitia,16608,/tags/Gladiolus%20Amicitia,c
Cor Leonis,4658,/tags/Cor%20Leonis,c
Noctis Lucis Caelum/Reader,644,/tags/Noctis%20Lucis%20Caelum*s*Reader,r
Hope Estheim/Noctis Lucis Caelum,1,/tags/Hope%20Estheim*s*Noctis%20Lucis%20Caelum,r
Lunafreya Nox Fleuret,3763,/tags/Lunafreya%20Nox%20Fleuret,c
Gladiolus Amicitia/Prompto Argentum,1476,/tags/Gladiolus%20Amicitia*s*Prompto%20Argentum,r
Prompto Argentum/Noctis Lucis Caelum,6665,/tags/Prompto%20Argentum*s*Noctis%20Lucis%20Caelum,r
Cor Leonis/Noctis Lucis Caelum,16,/tags/Cor%20Leonis*s*Noctis%20Lucis%20Caelum,r
Gladiolus Amicitia/Noctis Lucis Caelum,1316,/tags/Gladiolus%20Amicitia*s*Noctis%20Lucis%20Caelum,r
Prompto Argentum/Serah Farron,0,/tags/Prompto%20Argentum*s*Serah%20Farron,r
Episode Duscae,4,/tags/Episode%20Duscae,f
Cor Leonis/Regis Lucis Caelum,18,/tags/Cor%20Leonis*s*Regis%20Lucis%20Caelum,r
Gentiana (Final Fantasy XV),573,/tags/Gentiana%20(Final%20Fantasy%20XV),c
Ardyn Izunia,5094,/tags/Ardyn%20Izunia,c
Aranea Highwind,1772,/tags/Aranea%20Highwind,c
Ignis Scientia/Reader,894,/tags/Ignis%20Scientia*s*Reader,r
Final Fantasy Versus XIII,25,/tags/Final%20Fantasy%20Versus%20XIII,f
Prompto Argentum/Reader,987,/tags/Prompto%20Argentum*s*Reader,r
Carbuncle (Final Fantasy XV),213,/tags/Carbuncle%20(Final%20Fantasy%20XV),c
Noctis Lucis Caelum/Malboro,2,/tags/Noctis%20Lucis%20Caelum*s*Malboro,r
Prompto Argentum/Stella Nox Fleuret,3,/tags/Prompto%20Argentum*s*Stella%20Nox%20Fleuret,r
Nyx Ulric,4246,/tags/Nyx%20Ulric,c
Cindy Aurum,1296,/tags/Cindy%20Aurum,c
Lunafreya Nox Fleuret/Gentiana,58,/tags/Lunafreya%20Nox%20Fleuret*s*Gentiana,r
Noctis Lucis Caelum/Ignis Scientia,4191,/tags/Noctis%20Lucis%20Caelum*s*Ignis%20Scientia,r
Ignis Scientia,20308,/tags/Ignis%20Scientia,c
Gentiana/Aranea Highwind,1,/tags/Gentiana*s*Aranea%20Highwind,r
Ardyn Izunia/Noctis Lucis Caelum,211,/tags/Ardyn%20Izunia*s*Noctis%20Lucis%20Caelum,r
Lunafreya Nox Fleuret/Nyx Ulric,423,/tags/Lunafreya%20Nox%20Fleuret*s*Nyx%20Ulric,r
Libertus Ostium,1081,/tags/Libertus%20Ostium,c
Crowe Altius,1223,/tags/Crowe%20Altius,c
Cid Sophiar,651,/tags/Cid%20Sophiar,c
Iedolas Aldercapt,337,/tags/Iedolas%20Aldercapt,c
Regis Lucis Caelum/Cid Sophiar,1,/tags/Regis%20Lucis%20Caelum*s*Cid%20Sophiar,r
Noctis Lucis Caelum/Nyx Ulric,859,/tags/Noctis%20Lucis%20Caelum*s*Nyx%20Ulric,r
Prompto Argentum/Lightning,1,/tags/Prompto%20Argentum*s*Lightning,r
Luche Lazarus,386,/tags/Luche%20Lazarus,c
Ravus Nox Fleuret,2310,/tags/Ravus%20Nox%20Fleuret,c
Prompto Argentum/Original Character(s),22,/tags/Prompto%20Argentum*s*Original%20Character(s),r
Gladiolus Amicitia/Original Character(s),43,/tags/Gladiolus%20Amicitia*s*Original%20Character(s),r
Deadeye (Final Fantasy XV),2,/tags/Deadeye%20(Final%20Fantasy%20XV),c
Noctis Lucis Caelum/Original Character(s),33,/tags/Noctis%20Lucis%20Caelum*s*Original%20Character(s),r
Prompto Argentum/Oerba Dia Vanille,2,/tags/Prompto%20Argentum*s*Oerba%20Dia%20Vanille,r
Cor Leonis/Original Character(s),17,/tags/Cor%20Leonis*s*Original%20Character(s),r
Prompto Argentum/Cor Leonis,97,/tags/Prompto%20Argentum*s*Cor%20Leonis,r
Noctis Lucis Caelum/Everyone,9,/tags/Noctis%20Lucis%20Caelum*s*Everyone,r
