tag,count,href,category
Anne Shirley,2810,/tags/Anne%20Shirley,c
Diana Barry,1244,/tags/Diana%20Barry,c
Diana Barry/Anne Shirley,123,/tags/Diana%20Barry*s*Anne%20Shirley,r
Gilbert Blythe,2533,/tags/Gilbert%20Blythe,c
Marilla Cuthbert,929,/tags/Marilla%20Cuthbert,c
Gilbert Blythe/Anne Shirley,2568,/tags/Gilbert%20Blythe*s*Anne%20Shirley,r
Ruby Gillis,577,/tags/Ruby%20Gillis,c
Rachel Lynde,222,/tags/Rachel%20Lynde,c
John Blythe,107,/tags/John%20Blythe,c
Muriel Stacy,182,/tags/Muriel%20Stacy,c
Josie Pye,371,/tags/Josie%20Pye,c
Matthew Cuthbert,615,/tags/Matthew%20Cuthbert,c
Diana Barry & Anne Shirley,273,/tags/Diana%20Barry%20*a*%20Anne%20Shirley,r
Leslie Moore/Anne Shirley,2,/tags/Leslie%20Moore*s*Anne%20Shirley,r
Anne of Green Gables References,25,/tags/Anne%20of%20Green%20Gables%20References,f
Ruby Gillis & Josie Pye,3,/tags/Ruby%20Gillis%20*a*%20Josie%20Pye,r
Alternate Universe - Anne of Green Gables Fusion,9,/tags/Alternate%20Universe%20-%20Anne%20of%20Green%20Gables%20Fusion,f
"Charles ""Charlie"" Sloane",188,/tags/Charles%20%22Charlie%22%20Sloane,c
Anne Shirley/Everyone,2,/tags/Anne%20Shirley*s*Everyone,r
Leslie Moore & Anne Shirley,2,/tags/Leslie%20Moore%20*a*%20Anne%20Shirley,r
Ruby Gillis & Anne Shirley,31,/tags/Ruby%20Gillis%20*a*%20Anne%20Shirley,r
Diana Barry/Jerry Baynard,152,/tags/Diana%20Barry*s*Jerry%20Baynard,r
Jerry Baynard,385,/tags/Jerry%20Baynard,c
Diana Barry & Gilbert Blythe & Anne Shirley,20,/tags/Diana%20Barry%20*a*%20Gilbert%20Blythe%20*a*%20Anne%20Shirley,r
Billy Andrews,214,/tags/Billy%20Andrews,c
Billy Andrews/Gilbert Blythe,1,/tags/Billy%20Andrews*s*Gilbert%20Blythe,r
Ruby Gillis/Anne Shirley,7,/tags/Ruby%20Gillis*s*Anne%20Shirley,r
Anne Shirley & Walter Blythe,6,/tags/Anne%20Shirley%20*a*%20Walter%20Blythe,r
Anne Shirley & Original Characters,10,/tags/Anne%20Shirley%20*a*%20Original%20Characters,r
Paul Irving & Anne Shirley,0,/tags/Paul%20Irving%20*a*%20Anne%20Shirley,r
Jerry Baynard & Anne Shirley,40,/tags/Jerry%20Baynard%20*a*%20Anne%20Shirley,r
Jerry Baynard/Anne Shirley,5,/tags/Jerry%20Baynard*s*Anne%20Shirley,r
Marilla Cuthbert & Matthew Cuthbert,22,/tags/Marilla%20Cuthbert%20*a*%20Matthew%20Cuthbert,r
Marilla Cuthbert & Rachel Lynde,15,/tags/Marilla%20Cuthbert%20*a*%20Rachel%20Lynde,r
Tillie Boulter,195,/tags/Tillie%20Boulter,c
Jerry Baynard/Ruby Gillis,4,/tags/Jerry%20Baynard*s*Ruby%20Gillis,r
Gilbert Blythe/Original Character(s),1,/tags/Gilbert%20Blythe*s*Original%20Character(s),r
Ruby Gillis/Moody Spurgeon MacPherson,60,/tags/Ruby%20Gillis*s*Moody%20Spurgeon%20MacPherson,r
Cole MacKenzie,479,/tags/Cole%20MacKenzie,c
Green Gables,19,/tags/Green%20Gables,f
"Sebastian ""Bash"" Lacroix (Anne with an E)",675,/tags/Sebastian%20%22Bash%22%20Lacroix%20(Anne%20with%20an%20E),c
Cole Mackenzie & Anne Shirley,93,/tags/Cole%20Mackenzie%20*a*%20Anne%20Shirley,r
Cole Mackenzie/Original Male Character(s),30,/tags/Cole%20Mackenzie*s*Original%20Male%20Character(s),r
Diana Barry/Gilbert Blythe/Ruby Gillis/Anne Shirley,0,/tags/Diana%20Barry*s*Gilbert%20Blythe*s*Ruby%20Gillis*s*Anne%20Shirley,r
Gilbert Blythe & Marilla Cuthbert,11,/tags/Gilbert%20Blythe%20*a*%20Marilla%20Cuthbert,r
Gilbert Blythe/Other(s),2,/tags/Gilbert%20Blythe*s*Other(s),r
Gilbert Blythe/Cole MacKenzie,16,/tags/Gilbert%20Blythe*s*Cole%20MacKenzie,r
Episode: s02e01 Youth Is the Season of Hope,0,/tags/Episode:%20s02e01%20Youth%20Is%20the%20Season%20of%20Hope,f
Billy Andrews/Cole MacKenzie,24,/tags/Billy%20Andrews*s*Cole%20MacKenzie,r
Josephine Barry,166,/tags/Josephine%20Barry,c
Bertha Willis Shirley,9,/tags/Bertha%20Willis%20Shirley,c
Walter Shirley,12,/tags/Walter%20Shirley,c
Bertha Willis Shirley/Walter Shirley,0,/tags/Bertha%20Willis%20Shirley*s*Walter%20Shirley,r
"Gilbert Blythe & Sebastian ""Bash"" Lacroix",131,/tags/Gilbert%20Blythe%20*a*%20Sebastian%20%22Bash%22%20Lacroix,r
Insecure Anne Shirley,5,/tags/Insecure%20Anne%20Shirley,f
Jealous Gilbert Blythe,16,/tags/Jealous%20Gilbert%20Blythe,f
Anne Shirley & Muriel Stacy,18,/tags/Anne%20Shirley%20*a*%20Muriel%20Stacy,r
Anne Shirley/Muriel Stacy,0,/tags/Anne%20Shirley*s*Muriel%20Stacy,r
Diana Barry/Ruby Gillis,3,/tags/Diana%20Barry*s*Ruby%20Gillis,r
Marilla Cuthbert/Muriel Stacy,15,/tags/Marilla%20Cuthbert*s*Muriel%20Stacy,r
"Gilbert Blythe/Sebastian ""Bash"" Lacroix",8,/tags/Gilbert%20Blythe*s*Sebastian%20%22Bash%22%20Lacroix,r
Winifred Rose,214,/tags/Winifred%20Rose,c
Gilbert Blythe in Love,38,/tags/Gilbert%20Blythe%20in%20Love,f
Gilbert Blythe & Cole MacKenzie,6,/tags/Gilbert%20Blythe%20*a*%20Cole%20MacKenzie,r
Gilbert Blythe Needs a Hug,24,/tags/Gilbert%20Blythe%20Needs%20a%20Hug,f
Sad Gilbert Blythe,1,/tags/Sad%20Gilbert%20Blythe,f
Delphine Lacroix,257,/tags/Delphine%20Lacroix,c
Marilla Cuthbert & Matthew Cuthbert & Anne Shirley,93,/tags/Marilla%20Cuthbert%20*a*%20Matthew%20Cuthbert%20*a*%20Anne%20Shirley,r
Stubborn Anne Shirley,19,/tags/Stubborn%20Anne%20Shirley,f
POV Gilbert Blythe,25,/tags/POV%20Gilbert%20Blythe,f
Avonlea Story Club,1,/tags/Avonlea%20Story%20Club,f
Gilbert Blythe/Winifred Rose,67,/tags/Gilbert%20Blythe*s*Winifred%20Rose,r
"Sebastian ""Bash"" Lacroix Ships Gilbert Blythe/Anne Shirley",25,/tags/Sebastian%20%22Bash%22%20Lacroix%20Ships%20Gilbert%20Blythe*s*Anne%20Shirley,f
Caleb Lynde,1,/tags/Caleb%20Lynde,c
Episode: s03e05 I Am Fearless and Therefore Powerful,2,/tags/Episode:%20s03e05%20I%20Am%20Fearless%20and%20Therefore%20Powerful,f
Kendrick Hammond,0,/tags/Kendrick%20Hammond,c
Sebastian ''Bash'' Lacroix & Anne Shirley,18,/tags/Sebastian%20''Bash''%20Lacroix%20*a*%20Anne%20Shirley,r
"Charlotte ""Lottie"" Hammond",0,/tags/Charlotte%20%22Lottie%22%20Hammond,c
Doctor Gilbert Blythe,29,/tags/Doctor%20Gilbert%20Blythe,f
"Anne Shirley/Charles ""Charlie"" Sloane",7,/tags/Anne%20Shirley*s*Charles%20%22Charlie%22%20Sloane,r
Episode: s03e06 The Summit of My Desires,4,/tags/Episode:%20s03e06%20The%20Summit%20of%20My%20Desires,f
Roy Gardner,28,/tags/Roy%20Gardner,c
Quote: Remains to be seen (Anne with an E),4,/tags/Quote:%20Remains%20to%20be%20seen%20(Anne%20with%20an%20E),f
Winifred Rose/Muriel Stacy,2,/tags/Winifred%20Rose*s*Muriel%20Stacy,r
Josie Pye & Anne Shirley,15,/tags/Josie%20Pye%20*a*%20Anne%20Shirley,r
Josephine Barry & Cole MacKenzie,7,/tags/Josephine%20Barry%20*a*%20Cole%20MacKenzie,r
Protective Gilbert Blythe,26,/tags/Protective%20Gilbert%20Blythe,f
Matthew Cuthbert Dies,1,/tags/Matthew%20Cuthbert%20Dies,f
Billy Andrews & Anne Shirley,2,/tags/Billy%20Andrews%20*a*%20Anne%20Shirley,r
Jerry Baynard & Lisette Baynard,2,/tags/Jerry%20Baynard%20*a*%20Lisette%20Baynard,r
Lisette Baynard,3,/tags/Lisette%20Baynard,c
Roy Gardner & Anne Shirley,4,/tags/Roy%20Gardner%20*a*%20Anne%20Shirley,r
Roy Gardner/Anne Shirley,15,/tags/Roy%20Gardner*s*Anne%20Shirley,r
Gilbert Blythe in Denial,1,/tags/Gilbert%20Blythe%20in%20Denial,f
Winifred Rose/Anne Shirley,3,/tags/Winifred%20Rose*s*Anne%20Shirley,r
Mary Lacroix & Anne Shirley,12,/tags/Mary%20Lacroix%20*a*%20Anne%20Shirley,r
Mary Lacroix/Sebastian ''Bash'' Lacroix,56,/tags/Mary%20Lacroix*s*Sebastian%20''Bash''%20Lacroix,r
Ka'kwet & Anne Shirley,5,/tags/Ka'kwet%20*a*%20Anne%20Shirley,r
Ka'kwet (Anne with an E),37,/tags/Ka'kwet%20(Anne%20with%20an%20E),c
Winifred Rose & Anne Shirley,3,/tags/Winifred%20Rose%20*a*%20Anne%20Shirley,r
Lesbian Diana Barry,14,/tags/Lesbian%20Diana%20Barry,f
Episode: s03e08 Great and Sudden Change,2,/tags/Episode:%20s03e08%20Great%20and%20Sudden%20Change,f
Hazel Lacroix,49,/tags/Hazel%20Lacroix,c
Gilbert Blythe & Winifred Rose,28,/tags/Gilbert%20Blythe%20*a*%20Winifred%20Rose,r
Confused Gilbert Blythe,17,/tags/Confused%20Gilbert%20Blythe,f
Mr. Dunlop (Anne with an E),2,/tags/Mr*d*%20Dunlop%20(Anne%20with%20an%20E),c
Josephine Barry & Anne Shirley,5,/tags/Josephine%20Barry%20*a*%20Anne%20Shirley,r
Josie Pye/Anne Shirley,1,/tags/Josie%20Pye*s*Anne%20Shirley,r
Gilbert Blythe is Whipped,55,/tags/Gilbert%20Blythe%20is%20Whipped,f
Anne Shirley & Everyone,10,/tags/Anne%20Shirley%20*a*%20Everyone,r
Episode: s03e09 A Dense and Frightful Darkness,1,/tags/Episode:%20s03e09%20A%20Dense%20and%20Frightful%20Darkness,f
Sebastian ''Bash'' Lacroix/Muriel Stacy/Original Character(s),1,/tags/Sebastian%20''Bash''%20Lacroix*s*Muriel%20Stacy*s*Original%20Character(s),r
Nigel Rose,4,/tags/Nigel%20Rose,c
Jerry Baynard & Gilbert Blythe,2,/tags/Jerry%20Baynard%20*a*%20Gilbert%20Blythe,r
Renew Anne with an E,68,/tags/Renew%20Anne%20with%20an%20E,f
Diana Barry/Original Male Character(s),2,/tags/Diana%20Barry*s*Original%20Male%20Character(s),r
Jerry Baynard/Original Female Character(s),0,/tags/Jerry%20Baynard*s*Original%20Female%20Character(s),r
Jerry Baynard & Anne Shirley are Siblings,0,/tags/Jerry%20Baynard%20*a*%20Anne%20Shirley%20are%20Siblings,f
Married Gilbert Blythe/Anne Shirley,13,/tags/Married%20Gilbert%20Blythe*s*Anne%20Shirley,f
Soft Gilbert Blythe,0,/tags/Soft%20Gilbert%20Blythe,f
Anne Shirley & Original Character(s),2,/tags/Anne%20Shirley%20*a*%20Original%20Character(s),r
Diana Barry & Original Character(s),0,/tags/Diana%20Barry%20*a*%20Original%20Character(s),r
Diana Barry/Original Character(s),3,/tags/Diana%20Barry*s*Original%20Character(s),r
Jane Andrews/Original Character(s),2,/tags/Jane%20Andrews*s*Original%20Character(s),r
Jerry Baynard & Original Character(s),0,/tags/Jerry%20Baynard%20*a*%20Original%20Character(s),r
Jerry Baynard/Original Character(s),0,/tags/Jerry%20Baynard*s*Original%20Character(s),r
Anne Shirley's Past,1,/tags/Anne%20Shirley's%20Past,f
Sick Gilbert Blythe,4,/tags/Sick%20Gilbert%20Blythe,f
Gilbert Blythe & Delphine Lacroix,17,/tags/Gilbert%20Blythe%20*a*%20Delphine%20Lacroix,r
Gilbert Blythe & Mary Lacroix,16,/tags/Gilbert%20Blythe%20*a*%20Mary%20Lacroix,r
Diana Barry/Winifred Rose,6,/tags/Diana%20Barry*s*Winifred%20Rose,r
"Sebastian ""Bash"" Lacroix & Muriel Stacy",8,/tags/Sebastian%20%22Bash%22%20Lacroix%20*a*%20Muriel%20Stacy,r
Redmond College (Anne of Green Gables),1,/tags/Redmond%20College%20(Anne%20of%20Green%20Gables),f
Gilbert Blythe & Walter Blythe & Anne Shirley,2,/tags/Gilbert%20Blythe%20*a*%20Walter%20Blythe%20*a*%20Anne%20Shirley,r
Gilbert Blythe/Anne Shirley in Love,43,/tags/Gilbert%20Blythe*s*Anne%20Shirley%20in%20Love,f
Gilbert Blythe/Original Female Character(s),9,/tags/Gilbert%20Blythe*s*Original%20Female%20Character(s),r
Confused Anne Shirley,0,/tags/Confused%20Anne%20Shirley,f
Prissy Andrews/Winifred Rose,10,/tags/Prissy%20Andrews*s*Winifred%20Rose,r
Max Baynard,1,/tags/Max%20Baynard,c
Elijah Hanford,25,/tags/Elijah%20Hanford,c
Emily Oak,7,/tags/Emily%20Oak,c
Kendrick Hammond & Anne Shirley,0,/tags/Kendrick%20Hammond%20*a*%20Anne%20Shirley,r
Roy Gardner/Cole Mackenzie,1,/tags/Roy%20Gardner*s*Cole%20Mackenzie,r
Jane Andrews/Diana Barry,0,/tags/Jane%20Andrews*s*Diana%20Barry,r
Moody Spurgeon MacPherson,233,/tags/Moody%20Spurgeon%20MacPherson,c
Billy Andrews & Moody Spurgeon MacPherson,0,/tags/Billy%20Andrews%20*a*%20Moody%20Spurgeon%20MacPherson,r
Gilbert Blythe & Moody Spurgeon MacPherson,10,/tags/Gilbert%20Blythe%20*a*%20Moody%20Spurgeon%20MacPherson,r
Moody Spurgeon MacPherson/Josie Pye,2,/tags/Moody%20Spurgeon%20MacPherson*s*Josie%20Pye,r
Ruby Gillis & Moody Spurgeon MacPherson,35,/tags/Ruby%20Gillis%20*a*%20Moody%20Spurgeon%20MacPherson,r
"Moody Spurgeon MacPherson & Charles ""Charlie"" Sloane",1,/tags/Moody%20Spurgeon%20MacPherson%20*a*%20Charles%20%22Charlie%22%20Sloane,r
Diana Barry/Moody Spurgeon MacPherson,0,/tags/Diana%20Barry*s*Moody%20Spurgeon%20MacPherson,r
Gilbert Blythe & John Blythe,10,/tags/Gilbert%20Blythe%20*a*%20John%20Blythe,r
Traumatized Anne Shirley,1,/tags/Traumatized%20Anne%20Shirley,f
Rollings (Anne with an E),6,/tags/Rollings%20(Anne%20with%20an%20E),c
Episode: s03e04 A Hope of Meeting You in Another World,1,/tags/Episode:%20s03e04%20A%20Hope%20of%20Meeting%20You%20in%20Another%20World,f
Gilbert Blythe has Heart Eyes,48,/tags/Gilbert%20Blythe%20has%20Heart%20Eyes,f
Quote: Tragical romance and all? (Anne with an E),5,/tags/Quote:%20Tragical%20romance%20and%20all*q*%20(Anne%20with%20an%20E),f
Diana Barry & Cole Mackenzie & Anne Shirley,8,/tags/Diana%20Barry%20*a*%20Cole%20Mackenzie%20*a*%20Anne%20Shirley,r
