tag,count,href,category
Dipper Pines,14000,/tags/Dipper%20Pines,c
Mabel Pines,11324,/tags/Mabel%20Pines,c
Dipper Pines/Mabel Pines,792,/tags/Dipper%20Pines*s*Mabel%20Pines,r
Wendy Corduroy,3481,/tags/Wendy%20Corduroy,c
Norman Babcock/Dipper Pines,189,/tags/Norman%20Babcock*s*Dipper%20Pines,r
Parapines,100,/tags/Parapines,f
Razputin Aquato/Norman Babcock/Dipper Pines,0,/tags/Razputin%20Aquato*s*Norman%20Babcock*s*Dipper%20Pines,r
Wendy Corduroy/Dipper Pines,585,/tags/Wendy%20Corduroy*s*Dipper%20Pines,r
Gideon Gleeful,1266,/tags/Gideon%20Gleeful,c
Mabel Pines/Vriska Serket,0,/tags/Mabel%20Pines*s*Vriska%20Serket,r
Candy Chiu,786,/tags/Candy%20Chiu,c
Pacifica Northwest,3216,/tags/Pacifica%20Northwest,c
Norman Babcock/Mabel Pines,3,/tags/Norman%20Babcock*s*Mabel%20Pines,r
Norman Babcock/Dipper Pines/Mabel Pines,2,/tags/Norman%20Babcock*s*Dipper%20Pines*s*Mabel%20Pines,r
Pacifica Northwest/Mabel Pines,1163,/tags/Pacifica%20Northwest*s*Mabel%20Pines,r
Dipper Pines & Mabel Pines,1526,/tags/Dipper%20Pines%20*a*%20Mabel%20Pines,r
Coraline Jones/Mabel Pines,7,/tags/Coraline%20Jones*s*Mabel%20Pines,r
Mystery Twins,115,/tags/Mystery%20Twins,f
Neil Downe/Mabel Pines,1,/tags/Neil%20Downe*s*Mabel%20Pines,r
Nate (Gravity Falls),133,/tags/Nate%20(Gravity%20Falls),c
Lee (Gravity Falls),128,/tags/Lee%20(Gravity%20Falls),c
Thompson (Gravity Falls),87,/tags/Thompson%20(Gravity%20Falls),c
Bill Cipher,8982,/tags/Bill%20Cipher,c
Phineas Flynn/Mabel Pines,0,/tags/Phineas%20Flynn*s*Mabel%20Pines,r
Bill Cipher/Gideon Gleeful,11,/tags/Bill%20Cipher*s*Gideon%20Gleeful,r
Bill Cipher/Dipper Pines,5424,/tags/Bill%20Cipher*s*Dipper%20Pines,r
Gideon Gleeful/Mabel Pines,102,/tags/Gideon%20Gleeful*s*Mabel%20Pines,r
Chutzpar,9,/tags/Chutzpar,c
Stan Pines,5738,/tags/Stan%20Pines,c
Multi-Bear & Dipper Pines,2,/tags/Multi-Bear%20*a*%20Dipper%20Pines,r
Multi-Bear,52,/tags/Multi-Bear,c
Dipper Pines/Jenny Wakeman,0,/tags/Dipper%20Pines*s*Jenny%20Wakeman,r
Dipper Pines/Stan Pines,11,/tags/Dipper%20Pines*s*Stan%20Pines,r
Mabel Pines/Jenny Wakeman,0,/tags/Mabel%20Pines*s*Jenny%20Wakeman,r
Manotaurs,44,/tags/Manotaurs,c
Bill Cipher & Dipper Pines,691,/tags/Bill%20Cipher%20*a*%20Dipper%20Pines,r
Bill Cipher/Mabel Pines,275,/tags/Bill%20Cipher*s*Mabel%20Pines,r
Gideon Gleeful/Dipper Pines,82,/tags/Gideon%20Gleeful*s*Dipper%20Pines,r
Post-Gravity Falls,253,/tags/Post-Gravity%20Falls,f
Minor Norman Babcock/Dipper Pines,1,/tags/Minor%20Norman%20Babcock*s*Dipper%20Pines,f
Tyrone (Gravity Falls),70,/tags/Tyrone%20(Gravity%20Falls),c
Wendy Corduroy/Mabel Pines,76,/tags/Wendy%20Corduroy*s*Mabel%20Pines,r
Mabel Pines/Waddles,4,/tags/Mabel%20Pines*s*Waddles,r
Grenda/Dipper Pines,6,/tags/Grenda*s*Dipper%20Pines,r
Candy Chiu/Dipper Pines,40,/tags/Candy%20Chiu*s*Dipper%20Pines,r
Bill Cipher/Stan Pines,69,/tags/Bill%20Cipher*s*Stan%20Pines,r
Grenda/Mabel Pines,2,/tags/Grenda*s*Mabel%20Pines,r
Candy Chiu/Mabel Pines,14,/tags/Candy%20Chiu*s*Mabel%20Pines,r
Gideon Gleeful/Pacifica Northwest,6,/tags/Gideon%20Gleeful*s*Pacifica%20Northwest,r
Bud Gleeful,136,/tags/Bud%20Gleeful,c
Pacifica Northwest & Mabel Pines,185,/tags/Pacifica%20Northwest%20*a*%20Mabel%20Pines,r
Dipper Pines/Tambry,26,/tags/Dipper%20Pines*s*Tambry,r
Norman Babcock & Dipper Pines & Mabel Pines,2,/tags/Norman%20Babcock%20*a*%20Dipper%20Pines%20*a*%20Mabel%20Pines,r
Mystery Shack,113,/tags/Mystery%20Shack,f
Human Bill Cipher,1539,/tags/Human%20Bill%20Cipher,f
Candy Chiu/Grenda,16,/tags/Candy%20Chiu*s*Grenda,r
Candy Chiu/Grenda/Mabel Pines,2,/tags/Candy%20Chiu*s*Grenda*s*Mabel%20Pines,r
Pacifica Northwest/Dipper Pines,948,/tags/Pacifica%20Northwest*s*Dipper%20Pines,r
Lee/Nate (Gravity Falls),12,/tags/Lee*s*Nate%20(Gravity%20Falls),r
Fiddleford H. McGucket,2104,/tags/Fiddleford%20H*d*%20McGucket,c
Bipper,229,/tags/Bipper,f
Bill Cipher/Dipper Pines/Mabel Pines,11,/tags/Bill%20Cipher*s*Dipper%20Pines*s*Mabel%20Pines,r
Bill Cipher/Reader,239,/tags/Bill%20Cipher*s*Reader,r
Stan Pines/Reader,312,/tags/Stan%20Pines*s*Reader,r
Bill Cipher/Gideon Gleeful/Dipper Pines,4,/tags/Bill%20Cipher*s*Gideon%20Gleeful*s*Dipper%20Pines,r
Poor Dipper,128,/tags/Poor%20Dipper,f
Paper Jam Dipper,3,/tags/Paper%20Jam%20Dipper,c
Paper Jam Dipper/Tyrone,0,/tags/Paper%20Jam%20Dipper*s*Tyrone,r
Pacifica Northwest/Dipper Pines/Mabel Pines,37,/tags/Pacifica%20Northwest*s*Dipper%20Pines*s*Mabel%20Pines,r
Bill Cipher & Mabel Pines,169,/tags/Bill%20Cipher%20*a*%20Mabel%20Pines,r
Carla McCorkle,129,/tags/Carla%20McCorkle,c
Melody (Gravity Falls),444,/tags/Melody%20(Gravity%20Falls),c
Gravity Falls Is Weird,72,/tags/Gravity%20Falls%20Is%20Weird,f
Wendy Corduroy/Stan Pines,10,/tags/Wendy%20Corduroy*s*Stan%20Pines,r
Dipper Pines/Reader,86,/tags/Dipper%20Pines*s*Reader,r
Kenny McCormick/Dipper Pines,2,/tags/Kenny%20McCormick*s*Dipper%20Pines,r
Henry Pines,87,/tags/Henry%20Pines,c
Acacia Pines,65,/tags/Acacia%20Pines,c
Hank Pines,71,/tags/Hank%20Pines,c
Willow Pines,69,/tags/Willow%20Pines,c
Mabel Pines/Original Character(s),28,/tags/Mabel%20Pines*s*Original%20Character(s),r
Bill Cipher & Stan Pines,78,/tags/Bill%20Cipher%20*a*%20Stan%20Pines,r
Bill Cipher & Dipper Pines & Mabel Pines,39,/tags/Bill%20Cipher%20*a*%20Dipper%20Pines%20*a*%20Mabel%20Pines,r
Bill Cipher/Wendy Corduroy,11,/tags/Bill%20Cipher*s*Wendy%20Corduroy,r
Bonnie (Five Nights at Freddy's)/Mabel Pines,0,/tags/Bonnie%20(Five%20Nights%20at%20Freddy's)*s*Mabel%20Pines,r
Gabe Bensen,11,/tags/Gabe%20Bensen,c
Courtney Babcock/Wendy Corduroy,2,/tags/Courtney%20Babcock*s*Wendy%20Corduroy,r
Scrapbookortunities,8,/tags/Scrapbookortunities,f
Dipper Pines & Wirt (Over The Garden Wall),15,/tags/Dipper%20Pines%20*a*%20Wirt%20(Over%20The%20Garden%20Wall),r
Bill Cipher/Pitch Black (Rise of the Guardians),0,/tags/Bill%20Cipher*s*Pitch%20Black%20(Rise%20of%20the%20Guardians),r
Mabel Pines/Reader,12,/tags/Mabel%20Pines*s*Reader,r
Gorney (Gravity Falls),1,/tags/Gorney%20(Gravity%20Falls),c
