tag,count,href,category
Obi-Wan Kenobi,52290,/tags/Obi-Wan%20Kenobi,c
Boba Fett,6672,/tags/Boba%20Fett,c
Anakin Skywalker,34857,/tags/Anakin%20Skywalker,c
Qui-Gon Jinn/Obi-Wan Kenobi,4760,/tags/Qui-Gon%20Jinn*s*Obi-Wan%20Kenobi,r
Obi-Wan Kenobi/Darth Maul,653,/tags/Obi-Wan%20Kenobi*s*Darth%20Maul,r
Darth Sidious,593,/tags/Darth%20Sidious,c
Darth Vader,5048,/tags/Darth%20Vader,c
Bail Organa,3794,/tags/Bail%20Organa,c
Breha Organa,1207,/tags/Breha%20Organa,c
Darth Maul,4975,/tags/Darth%20Maul,c
Kit Fisto,1378,/tags/Kit%20Fisto,c
Mace Windu,7629,/tags/Mace%20Windu,c
Obi-Wan Kenobi/Anakin Skywalker,12786,/tags/Obi-Wan%20Kenobi*s*Anakin%20Skywalker,r
Padmé Amidala,15291,/tags/Padm%C3%A9%20Amidala,c
Padmé Amidala/Anakin Skywalker,9697,/tags/Padm%C3%A9%20Amidala*s*Anakin%20Skywalker,r
Quinlan Vos,3847,/tags/Quinlan%20Vos,c
Obi-Wan Kenobi/Bail Organa,190,/tags/Obi-Wan%20Kenobi*s*Bail%20Organa,r
Depa Billaba,1216,/tags/Depa%20Billaba,c
Adi Gallia,520,/tags/Adi%20Gallia,c
Aayla Secura,1797,/tags/Aayla%20Secura,c
Shaak Ti,1620,/tags/Shaak%20Ti,c
Ahsoka Tano,20328,/tags/Ahsoka%20Tano,c
Mon Mothma,1803,/tags/Mon%20Mothma,c
Apailana (Star Wars),41,/tags/Apailana%20(Star%20Wars),c
Jango Fett,3908,/tags/Jango%20Fett,c
Obi-Wan Kenobi/Mace Windu,123,/tags/Obi-Wan%20Kenobi*s*Mace%20Windu,r
Luminara Unduli,1104,/tags/Luminara%20Unduli,c
Tholme (Star Wars),307,/tags/Tholme%20(Star%20Wars),c
Obi-Wan Kenobi/Xanatos,32,/tags/Obi-Wan%20Kenobi*s*Xanatos,r
Padmé Amidala/Obi-Wan Kenobi/Anakin Skywalker,793,/tags/Padm%C3%A9%20Amidala*s*Obi-Wan%20Kenobi*s*Anakin%20Skywalker,r
Obi-Wan Kenobi/Satine Kryze,2350,/tags/Obi-Wan%20Kenobi*s*Satine%20Kryze,r
Satine Kryze,3242,/tags/Satine%20Kryze,c
Jar Jar Binks,502,/tags/Jar%20Jar%20Binks,c
Cad Bane,691,/tags/Cad%20Bane,c
Padmé Amidala/Rush Clovis,29,/tags/Padm%C3%A9%20Amidala*s*Rush%20Clovis,r
Rush Clovis,167,/tags/Rush%20Clovis,c
Asajj Ventress,2065,/tags/Asajj%20Ventress,c
Obi-Wan Kenobi/Asajj Ventress,199,/tags/Obi-Wan%20Kenobi*s*Asajj%20Ventress,r
Qui-Gon Jinn & Obi-Wan Kenobi,2956,/tags/Qui-Gon%20Jinn%20*a*%20Obi-Wan%20Kenobi,r
Obi-Wan Kenobi & Siri Tachi,71,/tags/Obi-Wan%20Kenobi%20*a*%20Siri%20Tachi,r
Obi-Wan Kenobi & Anakin Skywalker,10244,/tags/Obi-Wan%20Kenobi%20*a*%20Anakin%20Skywalker,r
Lando Calrissian/Mon Mothma,2,/tags/Lando%20Calrissian*s*Mon%20Mothma,r
Jar Jar Binks/Qui-Gon Jinn,0,/tags/Jar%20Jar%20Binks*s*Qui-Gon%20Jinn,r
Orn Free Taa,58,/tags/Orn%20Free%20Taa,c
Anakin Skywalker & Luke Skywalker,1145,/tags/Anakin%20Skywalker%20*a*%20Luke%20Skywalker,r
Mon Mothma/Sam Winchester,0,/tags/Mon%20Mothma*s*Sam%20Winchester,r
Padmé Amidala/Dormé,4,/tags/Padm%C3%A9%20Amidala*s*Dorm%C3%A9,r
Barriss Offee,1743,/tags/Barriss%20Offee,c
Depa Billaba/Mace Windu,12,/tags/Depa%20Billaba*s*Mace%20Windu,r
Obi-Wan Kenobi/Ahsoka Tano,43,/tags/Obi-Wan%20Kenobi*s*Ahsoka%20Tano,r
Qui-Gon Jinn/Tahl,64,/tags/Qui-Gon%20Jinn*s*Tahl,r
Savage Opress,909,/tags/Savage%20Opress,c
Jar Jar Binks/Yoda,2,/tags/Jar%20Jar%20Binks*s*Yoda,r
Obi-Wan Kenobi/Other(s),84,/tags/Obi-Wan%20Kenobi*s*Other(s),r
Qui-Gon Jinn/Other(s),31,/tags/Qui-Gon%20Jinn*s*Other(s),r
Mon Mothma/Anakin Skywalker,0,/tags/Mon%20Mothma*s*Anakin%20Skywalker,r
Mon Mothma/Leia Organa,8,/tags/Mon%20Mothma*s*Leia%20Organa,r
Padmé Amidala & Leia Organa & Luke Skywalker,120,/tags/Padm%C3%A9%20Amidala%20*a*%20Leia%20Organa%20*a*%20Luke%20Skywalker,r
