tag,count,href,category
"James ""Rhodey"" Rhodes",28414,/tags/James%20%22Rhodey%22%20Rhodes,c
Eli Bradley,659,/tags/Eli%20Bradley,c
"James ""Bucky"" Barnes",162105,/tags/James%20%22Bucky%22%20Barnes,c
"James ""Bucky"" Barnes/Natasha Romanov",6313,/tags/James%20%22Bucky%22%20Barnes*s*Natasha%20Romanov,r
Georges Batroc,116,/tags/Georges%20Batroc,c
"James ""Bucky"" Barnes/Sam Wilson",14360,/tags/James%20%22Bucky%22%20Barnes*s*Sam%20Wilson,r
Isaiah Bradley,123,/tags/Isaiah%20Bradley,c
Paul Wilson,63,/tags/Paul%20Wilson,c
"James ""Bucky"" Barnes/Jack Benjamin",17,/tags/James%20%22Bucky%22%20Barnes*s*Jack%20Benjamin,r
Valentina Allegra de Fontaine,264,/tags/Valentina%20Allegra%20de%20Fontaine,c
Sharon Carter (Marvel),6325,/tags/Sharon%20Carter%20(Marvel),c
Helmut Zemo,4209,/tags/Helmut%20Zemo,c
Sam Wilson (Marvel),59530,/tags/Sam%20Wilson%20(Marvel),c
"James ""Bucky"" Barnes/Original Female Character(s)",5509,/tags/James%20%22Bucky%22%20Barnes*s*Original%20Female%20Character(s),r
"James ""Bucky"" Barnes/Original Character(s)",342,/tags/James%20%22Bucky%22%20Barnes*s*Original%20Character(s),r
"James ""Bucky"" Barnes/Reader",16538,/tags/James%20%22Bucky%22%20Barnes*s*Reader,r
"James ""Bucky"" Barnes & Sam Wilson",3735,/tags/James%20%22Bucky%22%20Barnes%20*a*%20Sam%20Wilson,r
"James ""Bucky"" Barnes & Original Character(s)",121,/tags/James%20%22Bucky%22%20Barnes%20*a*%20Original%20Character(s),r
Sam Wilson (Marvel)/Reader,533,/tags/Sam%20Wilson%20(Marvel)*s*Reader,r
Brock Rumlow/Sam Wilson,60,/tags/Brock%20Rumlow*s*Sam%20Wilson,r
Sam Wilson (Marvel)/Original Character(s),6,/tags/Sam%20Wilson%20(Marvel)*s*Original%20Character(s),r
"James ""Bucky"" Barnes/Steve Rogers/Reader",1520,/tags/James%20%22Bucky%22%20Barnes*s*Steve%20Rogers*s*Reader,r
Redwing (Marvel),192,/tags/Redwing%20(Marvel),c
Valentina Allegra de Fontaine & Darcy Lewis,0,/tags/Valentina%20Allegra%20de%20Fontaine%20*a*%20Darcy%20Lewis,r
Sam Wilson & Sarah Wilson,345,/tags/Sam%20Wilson%20*a*%20Sarah%20Wilson,r
"James ""Rhodey"" Rhodes/Reader",44,/tags/James%20%22Rhodey%22%20Rhodes*s*Reader,r
Valentina Allegra de Fontaine/Lance Hunter,0,/tags/Valentina%20Allegra%20de%20Fontaine*s*Lance%20Hunter,r
"James ""Bucky"" Barnes/Brock Rumlow/Sam Wilson",4,/tags/James%20%22Bucky%22%20Barnes*s*Brock%20Rumlow*s*Sam%20Wilson,r
Joaquín Torres,1039,/tags/Joaqu%C3%ADn%20Torres,c
Joaquín Torres & Sam Wilson,93,/tags/Joaqu%C3%ADn%20Torres%20*a*%20Sam%20Wilson,r
Ayo (Marvel),872,/tags/Ayo%20(Marvel),c
John Walker (Marvel),926,/tags/John%20Walker%20(Marvel),c
Sarah Wilson (Marvel),2531,/tags/Sarah%20Wilson%20(Marvel),c
Steve Rogers/John Walker,11,/tags/Steve%20Rogers*s*John%20Walker,r
"James ""Rhodey"" Rhodes/Sarah Wilson",1,/tags/James%20%22Rhodey%22%20Rhodes*s*Sarah%20Wilson,r
"James ""Bucky"" Barnes/Isaiah Bradley/Steve Rogers",0,/tags/James%20%22Bucky%22%20Barnes*s*Isaiah%20Bradley*s*Steve%20Rogers,r
Clint Barton/Sarah Wilson,1,/tags/Clint%20Barton*s*Sarah%20Wilson,r
Ayo & Okoye (Marvel),2,/tags/Ayo%20*a*%20Okoye%20(Marvel),r
