tag,count,href,category
Hanemiya Kazutora/Matsuno Chifuyu,1215,/tags/Hanemiya%20Kazutora*s*Matsuno%20Chifuyu,r
Hanemiya Kazutora,3631,/tags/Hanemiya%20Kazutora,c
Baji Keisuke,4594,/tags/Baji%20Keisuke,c
Baji Keisuke/Hanemiya Kazutora/Matsuno Chifuyu,534,/tags/Baji%20Keisuke*s*Hanemiya%20Kazutora*s*Matsuno%20Chifuyu,r
Matsuno Chifuyu,5365,/tags/Matsuno%20Chifuyu,c
Mitsuya Takashi,3484,/tags/Mitsuya%20Takashi,c
Shiba Hakkai,1715,/tags/Shiba%20Hakkai,c
Mitsuya Takashi/Shiba Hakkai,474,/tags/Mitsuya%20Takashi*s*Shiba%20Hakkai,r
Hanma Shuji/Kisaki Tetta,717,/tags/Hanma%20Shuji*s*Kisaki%20Tetta,r
Hanma Shuji,2148,/tags/Hanma%20Shuji,c
Kisaki Tetta,1703,/tags/Kisaki%20Tetta,c
Baji Keisuke/Matsuno Chifuyu,2145,/tags/Baji%20Keisuke*s*Matsuno%20Chifuyu,r
Shiba Taiju,761,/tags/Shiba%20Taiju,c
Tachibana Naoto,781,/tags/Tachibana%20Naoto,c
Inui Akane,357,/tags/Inui%20Akane,c
Haitani Ran,2610,/tags/Haitani%20Ran,c
Haitani Rindou,2427,/tags/Haitani%20Rindou,c
Madarame Shion,254,/tags/Madarame%20Shion,c
Kurokawa Izana,1681,/tags/Kurokawa%20Izana,c
Shiba Yuzuha,880,/tags/Shiba%20Yuzuha,c
Chapter 158: Untamed Heart (Tokyo Revengers),2,/tags/Chapter%20158:%20Untamed%20Heart%20(Tokyo%20Revengers),f
Tokyo Revengers Manga Spoilers,811,/tags/Tokyo%20Revengers%20Manga%20Spoilers,f
Chapter 134: Mortal Enemy (Tokyo Revengers),1,/tags/Chapter%20134:%20Mortal%20Enemy%20(Tokyo%20Revengers),f
Mitsuya Takashi/Reader,286,/tags/Mitsuya%20Takashi*s*Reader,r
Inupi | Inui Seishu,2447,/tags/Inupi%20%7C%20Inui%20Seishu,c
Koko | Kokonoi Hajime,2813,/tags/Koko%20%7C%20Kokonoi%20Hajime,c
Inupi | Inui Seishu/Koko | Kokonoi Hajime,1178,/tags/Inupi%20%7C%20Inui%20Seishu*s*Koko%20%7C%20Kokonoi%20Hajime,r
Inupi | Inui Seishu & Koko | Kokonoi Hajime,307,/tags/Inupi%20%7C%20Inui%20Seishu%20*a*%20Koko%20%7C%20Kokonoi%20Hajime,r
