tag,count,href,category
Clark Kent,32557,/tags/Clark%20Kent,c
Lex Luthor,11115,/tags/Lex%20Luthor,c
Lana Lang,1337,/tags/Lana%20Lang,c
Lionel Luthor,1009,/tags/Lionel%20Luthor,c
Jonathan Kent,3890,/tags/Jonathan%20Kent,c
Martha Kent,3029,/tags/Martha%20Kent,c
Lillian Luthor,2074,/tags/Lillian%20Luthor,c
Lois Lane,8197,/tags/Lois%20Lane,c
Clark Kent/Lex Luthor,6641,/tags/Clark%20Kent*s*Lex%20Luthor,r
Perry White,677,/tags/Perry%20White,c
Clark Kent/Bruce Wayne,16998,/tags/Clark%20Kent*s*Bruce%20Wayne,r
Clark Kent/Clark Kent,13,/tags/Clark%20Kent*s*Clark%20Kent,r
Lex Luthor/Bruce Wayne,205,/tags/Lex%20Luthor*s*Bruce%20Wayne,r
Clark Kent/Lois Lane,4252,/tags/Clark%20Kent*s*Lois%20Lane,r
Kara Zor-El,4475,/tags/Kara%20Zor-El,c
Clark Kent/Chloe Sullivan,270,/tags/Clark%20Kent*s*Chloe%20Sullivan,r
Clark Kent/Lana Lang,191,/tags/Clark%20Kent*s*Lana%20Lang,r
Clark Kent/Lex Luthor/Chloe Sullivan,19,/tags/Clark%20Kent*s*Lex%20Luthor*s*Chloe%20Sullivan,r
Cat Grant,5370,/tags/Cat%20Grant,c
Mercy Graves,449,/tags/Mercy%20Graves,c
Dick Grayson/Clark Kent,226,/tags/Dick%20Grayson*s*Clark%20Kent,r
Morgan Edge,241,/tags/Morgan%20Edge,c
Jor-El,406,/tags/Jor-El,c
Lex Luthor/Other(s),32,/tags/Lex%20Luthor*s*Other(s),r
Oliver Queen/Kara Zor-El,82,/tags/Oliver%20Queen*s*Kara%20Zor-El,r
Clark Kent/Vandal Savage,3,/tags/Clark%20Kent*s*Vandal%20Savage,r
Lex Luthor/Original Character,1,/tags/Lex%20Luthor*s*Original%20Character,r
Lara Lor-Van,203,/tags/Lara%20Lor-Van,c
Dru-Zod,135,/tags/Dru-Zod,c
Jax-Ur,9,/tags/Jax-Ur,c
Oliver Queen/Chloe Sullivan,496,/tags/Oliver%20Queen*s*Chloe%20Sullivan,r
Thara Ak-Var/Chris Kent,5,/tags/Thara%20Ak-Var*s*Chris%20Kent,r
Chris Kent,139,/tags/Chris%20Kent,c
Lena Luthor,23694,/tags/Lena%20Luthor,c
Lex Luthor/Kara Zor-El,8,/tags/Lex%20Luthor*s*Kara%20Zor-El,r
Karen Starr,249,/tags/Karen%20Starr,c
Diana (Wonder Woman)/Lois Lane,145,/tags/Diana%20(Wonder%20Woman)*s*Lois%20Lane,r
Maggie Sawyer,8524,/tags/Maggie%20Sawyer,c
Barbara Gordon/Kara Zor-El,104,/tags/Barbara%20Gordon*s*Kara%20Zor-El,r
Hope Taya,32,/tags/Hope%20Taya,c
Lori Lemaris,28,/tags/Lori%20Lemaris,c
Lex Luthor/Original Female Character,96,/tags/Lex%20Luthor*s*Original%20Female%20Character,r
Superman for All Seasons,10,/tags/Superman%20for%20All%20Seasons,f
Morgan Edge/Lionel Luthor,1,/tags/Morgan%20Edge*s*Lionel%20Luthor,r
Kara In-Ze,124,/tags/Kara%20In-Ze,c
Clark Kent/Lois Lane/Bruce Wayne,50,/tags/Clark%20Kent*s*Lois%20Lane*s*Bruce%20Wayne,r
Dick Grayson/Clark Kent/Bruce Wayne,61,/tags/Dick%20Grayson*s*Clark%20Kent*s*Bruce%20Wayne,r
Thara Ak-Var,18,/tags/Thara%20Ak-Var,c
Diana (Wonder Woman)/Clark Kent/Bruce Wayne,289,/tags/Diana%20(Wonder%20Woman)*s*Clark%20Kent*s*Bruce%20Wayne,r
Leslie Willis,334,/tags/Leslie%20Willis,c
Diana (Wonder Woman)/Clark Kent,342,/tags/Diana%20(Wonder%20Woman)*s*Clark%20Kent,r
Granny Goodness,69,/tags/Granny%20Goodness,c
Lionel Luthor/Major Zod,0,/tags/Lionel%20Luthor*s*Major%20Zod,r
Tess Mercer/Major Zod,3,/tags/Tess%20Mercer*s*Major%20Zod,r
Maxima (DCU),34,/tags/Maxima%20(DCU),c
Clex the Classics Challenge,0,/tags/Clex%20the%20Classics%20Challenge,f
Cat Grant/Clark Kent,6,/tags/Cat%20Grant*s*Clark%20Kent,r
Jason Todd/Kara Zor-El,117,/tags/Jason%20Todd*s*Kara%20Zor-El,r
Emil Hamilton,89,/tags/Emil%20Hamilton,c
Charlie Baker/Lex Luthor,2,/tags/Charlie%20Baker*s*Lex%20Luthor,r
Tim Drake & Clark Kent,76,/tags/Tim%20Drake%20*a*%20Clark%20Kent,r
Metropolis - Character,16,/tags/Metropolis%20-%20Character,c
Querl Dox/Kara Zor-El,45,/tags/Querl%20Dox*s*Kara%20Zor-El,r
Clark Kent/Adrian Veidt,1,/tags/Clark%20Kent*s*Adrian%20Veidt,r
Lois Lane/Bruce Wayne,68,/tags/Lois%20Lane*s*Bruce%20Wayne,r
John Henry Irons,139,/tags/John%20Henry%20Irons,c
Lashina (DCU),30,/tags/Lashina%20(DCU),c
Trinity (DCU),26,/tags/Trinity%20(DCU),f
Clark Kent/Other(s),23,/tags/Clark%20Kent*s*Other(s),r
Lyla Lerrol,0,/tags/Lyla%20Lerrol,c
Clark Kent & Bruce Wayne,1659,/tags/Clark%20Kent%20*a*%20Bruce%20Wayne,r
J'onn J'onzz/Clark Kent/Bruce Wayne,6,/tags/J'onn%20J'onzz*s*Clark%20Kent*s*Bruce%20Wayne,r
Lori Luthor,86,/tags/Lori%20Luthor,c
Charlie Young/Kara Zor-El,0,/tags/Charlie%20Young*s*Kara%20Zor-El,r
Sam Lane,315,/tags/Sam%20Lane,c
Clark Kent & Lex Luthor,753,/tags/Clark%20Kent%20*a*%20Lex%20Luthor,r
Steve Jinks/Kara Zor-El,0,/tags/Steve%20Jinks*s*Kara%20Zor-El,r
Dan Turpin,20,/tags/Dan%20Turpin,c
Hank Henshaw,152,/tags/Hank%20Henshaw,c
Clark Kent & Oliver Queen,29,/tags/Clark%20Kent%20*a*%20Oliver%20Queen,r
Clark Kent & Lois Lane,477,/tags/Clark%20Kent%20*a*%20Lois%20Lane,r
Lois Lane & Oliver Queen,14,/tags/Lois%20Lane%20*a*%20Oliver%20Queen,r
Bruno Mannheim,20,/tags/Bruno%20Mannheim,c
Faora Hu-Ul,57,/tags/Faora%20Hu-Ul,c
Lex Luthor/Severus Snape,1,/tags/Lex%20Luthor*s*Severus%20Snape,r
Clark Kent/Harry Potter,8,/tags/Clark%20Kent*s*Harry%20Potter,r
Clark Kent/Original Character(s),17,/tags/Clark%20Kent*s*Original%20Character(s),r
Lara Lane-Kent,17,/tags/Lara%20Lane-Kent,c
Superfamily (DCU),170,/tags/Superfamily%20(DCU),f
Dick Grayson/Karen Starr,1,/tags/Dick%20Grayson*s*Karen%20Starr,r
Tim Drake/Lex Luthor,21,/tags/Tim%20Drake*s*Lex%20Luthor,r
President Lex Luthor,42,/tags/President%20Lex%20Luthor,f
Match (DCU),105,/tags/Match%20(DCU),c
Clark Kent/Emma Swan,0,/tags/Clark%20Kent*s*Emma%20Swan,r
Kara Zor-El/Original Male Character(s),16,/tags/Kara%20Zor-El*s*Original%20Male%20Character(s),r
Castiel (Supernatural)/Clark Kent,1,/tags/Castiel%20(Supernatural)*s*Clark%20Kent,r
The Fortress AI,21,/tags/The%20Fortress%20AI,c
Clark Kent/Everyone,2,/tags/Clark%20Kent*s*Everyone,r
Haruno Sakura/Clark Kent,32,/tags/Haruno%20Sakura*s*Clark%20Kent,r
Clark Kent/Thor (Marvel),4,/tags/Clark%20Kent*s*Thor%20(Marvel),r
Clark Kent/Steve Rogers/Tony Stark/Bruce Wayne,15,/tags/Clark%20Kent*s*Steve%20Rogers*s*Tony%20Stark*s*Bruce%20Wayne,r
Clark Kent/Steve Rogers,43,/tags/Clark%20Kent*s*Steve%20Rogers,r
Seyg-El,3,/tags/Seyg-El,c
Nimda An-Dor,1,/tags/Nimda%20An-Dor,c
Nim-El,1,/tags/Nim-El,c
Clark Kent & Lana Lang,67,/tags/Clark%20Kent%20*a*%20Lana%20Lang,r
Clark Kent & Pete Ross,26,/tags/Clark%20Kent%20*a*%20Pete%20Ross,r
Clark Kent/Jason Todd,158,/tags/Clark%20Kent*s*Jason%20Todd,r
Clark Kent & Jonathan Kent,117,/tags/Clark%20Kent%20*a*%20Jonathan%20Kent,r
Evil Lex Luthor,10,/tags/Evil%20Lex%20Luthor,f
Cassandra Cain/Kara Zor-El,3,/tags/Cassandra%20Cain*s*Kara%20Zor-El,r
Clark Kent/Buffy Summers,11,/tags/Clark%20Kent*s*Buffy%20Summers,r
Clark Kent/Lex Luthor/Harry Potter,2,/tags/Clark%20Kent*s*Lex%20Luthor*s*Harry%20Potter,r
Phoebe Halliwell/Clark Kent,0,/tags/Phoebe%20Halliwell*s*Clark%20Kent,r
Erik Lehnsherr/Lex Luthor,1,/tags/Erik%20Lehnsherr*s*Lex%20Luthor,r
Clark Kent/Grant Ward,0,/tags/Clark%20Kent*s*Grant%20Ward,r
Hermione Granger/Clark Kent,5,/tags/Hermione%20Granger*s*Clark%20Kent,r
Lucy Lane/Ron Troupe,6,/tags/Lucy%20Lane*s*Ron%20Troupe,r
Manchester Black,22,/tags/Manchester%20Black,c
Clark Kent & Original Female Character(s),33,/tags/Clark%20Kent%20*a*%20Original%20Female%20Character(s),r
Clark Kent/Darth Maul,4,/tags/Clark%20Kent*s*Darth%20Maul,r
"Salacia ""Sally"" von Humpeding/Clark Kent",0,/tags/Salacia%20%22Sally%22%20von%20Humpeding*s*Clark%20Kent,r
Doomsday (Superman),95,/tags/Doomsday%20(Superman),c
Clark Kent/Mary McGinnis,0,/tags/Clark%20Kent*s*Mary%20McGinnis,r
Steve Lombard/Ron Troupe,1,/tags/Steve%20Lombard*s*Ron%20Troupe,r
Bette Kane & Clark Kent,1,/tags/Bette%20Kane%20*a*%20Clark%20Kent,r
Karsta Wor-Ul,1,/tags/Karsta%20Wor-Ul,c
Kristin Wells,2,/tags/Kristin%20Wells,c
Alpha Clark Kent,407,/tags/Alpha%20Clark%20Kent,f
Past Clark Kent/Lois Lane,113,/tags/Past%20Clark%20Kent*s*Lois%20Lane,f
Clark Kent/Lana Lang/Chloe Sullivan,1,/tags/Clark%20Kent*s*Lana%20Lang*s*Chloe%20Sullivan,r
Siobhan McDougal,28,/tags/Siobhan%20McDougal,c
Clark Kent/Karen Starr,5,/tags/Clark%20Kent*s*Karen%20Starr,r
Harry Potter/Donna Troy/Kara Zor-El,0,/tags/Harry%20Potter*s*Donna%20Troy*s*Kara%20Zor-El,r
Diana (Wonder Woman)/Clark Kent/Karen Starr,1,/tags/Diana%20(Wonder%20Woman)*s*Clark%20Kent*s*Karen%20Starr,r
Amazing Grace (DCU)/Clark Kent,3,/tags/Amazing%20Grace%20(DCU)*s*Clark%20Kent,r
Clark Kent/Lana Lang/Lex Luthor/Chloe Sullivan,0,/tags/Clark%20Kent*s*Lana%20Lang*s*Lex%20Luthor*s*Chloe%20Sullivan,r
Mercy Graves & Lex Luthor,15,/tags/Mercy%20Graves%20*a*%20Lex%20Luthor,r
Vril Dox,14,/tags/Vril%20Dox,c
Lucinda Luthor,4,/tags/Lucinda%20Luthor,c
Jean Grey/Clark Kent/Kara Zor-El,0,/tags/Jean%20Grey*s*Clark%20Kent*s*Kara%20Zor-El,r
Barry Allen/Clark Kent,52,/tags/Barry%20Allen*s*Clark%20Kent,r
Lana Lang/Percy Weasley,5,/tags/Lana%20Lang*s*Percy%20Weasley,r
Chloe Sullivan/Fred Weasley,5,/tags/Chloe%20Sullivan*s*Fred%20Weasley,r
Lex Luthor/Andrew Wells,0,/tags/Lex%20Luthor*s*Andrew%20Wells,r
Sirius Black/Lois Lane,0,/tags/Sirius%20Black*s*Lois%20Lane,r
Young Clark Kent,40,/tags/Young%20Clark%20Kent,f
"Clark Kent & James ""Rhodey"" Rhodes",0,/tags/Clark%20Kent%20*a*%20James%20%22Rhodey%22%20Rhodes,r
Val-Zod,9,/tags/Val-Zod,c
Emma Frost/Clark Kent,1,/tags/Emma%20Frost*s*Clark%20Kent,r
Jean Grey/Clark Kent,0,/tags/Jean%20Grey*s*Clark%20Kent,r
"James ""Bucky"" Barnes & Clark Kent",0,/tags/James%20%22Bucky%22%20Barnes%20*a*%20Clark%20Kent,r
Lex Luthor/Tala,1,/tags/Lex%20Luthor*s*Tala,r
Clark Kent/George Washington,0,/tags/Clark%20Kent*s*George%20Washington,r
Ralph Renson,0,/tags/Ralph%20Renson,c
Kara Zor-El/Original Character(s),10,/tags/Kara%20Zor-El*s*Original%20Character(s),r
Scott Summers/Kara Zor-El,1,/tags/Scott%20Summers*s*Kara%20Zor-El,r
Jane Foster (Marvel)/Clark Kent,0,/tags/Jane%20Foster%20(Marvel)*s*Clark%20Kent,r
Carrie Farris/Clark Kent,1,/tags/Carrie%20Farris*s*Clark%20Kent,r
Clark Kent/Felicity Smoak,8,/tags/Clark%20Kent*s*Felicity%20Smoak,r
Lois Lane/Sif (Marvel),0,/tags/Lois%20Lane*s*Sif%20(Marvel),r
Clark Kent/Erik Lehnsherr,1,/tags/Clark%20Kent*s*Erik%20Lehnsherr,r
Clark Kent & Kara Zor-El,70,/tags/Clark%20Kent%20*a*%20Kara%20Zor-El,r
Heather Kelley,2,/tags/Heather%20Kelley,c
Anguish (DCU),1,/tags/Anguish%20(DCU),c
Miko Ogawa,2,/tags/Miko%20Ogawa,c
Clark Kent & Lois Lane Friendship,10,/tags/Clark%20Kent%20*a*%20Lois%20Lane%20Friendship,f
Clark Kent/Darcy Lewis,7,/tags/Clark%20Kent*s*Darcy%20Lewis,r
