tag,count,href,category
Frodo Baggins,8258,/tags/Frodo%20Baggins,c
Sam Gamgee,5277,/tags/Sam%20Gamgee,c
Fourth Age,1544,/tags/Fourth%20Age,f
Hobbits,1135,/tags/Hobbits,f
Merry Brandybuck,3995,/tags/Merry%20Brandybuck,c
Fellowship of the Ring,481,/tags/Fellowship%20of%20the%20Ring,f
The Fellowship of the Ring,846,/tags/The%20Fellowship%20of%20the%20Ring,c
Pippin Took,4044,/tags/Pippin%20Took,c
Arwen Undómiel,2862,/tags/Arwen%20Und%C3%B3miel,c
Finduilas of Dol Amroth,292,/tags/Finduilas%20of%20Dol%20Amroth,c
Berilac Brandybuck,13,/tags/Berilac%20Brandybuck,c
Marigold Gamgee,90,/tags/Marigold%20Gamgee,c
Gríma Wormtongue,409,/tags/Gr%C3%ADma%20Wormtongue,c
Rose Cotton,554,/tags/Rose%20Cotton,c
Rose Cotton/Sam Gamgee,292,/tags/Rose%20Cotton*s*Sam%20Gamgee,r
Frodo Baggins/Rose Cotton/Sam Gamgee,92,/tags/Frodo%20Baggins*s*Rose%20Cotton*s*Sam%20Gamgee,r
Lotho Sackville-Baggins,111,/tags/Lotho%20Sackville-Baggins,c
Lobelia Sackville-Baggins,652,/tags/Lobelia%20Sackville-Baggins,c
Bilbo Baggins,20024,/tags/Bilbo%20Baggins,c
Otho Sackville-Baggins,141,/tags/Otho%20Sackville-Baggins,c
Frodo Baggins/Sam Gamgee,2148,/tags/Frodo%20Baggins*s*Sam%20Gamgee,r
Halfred Gamgee,17,/tags/Halfred%20Gamgee,c
Ardor in August 2009,3,/tags/Ardor%20in%20August%202009,f
Ardor in August 2008,1,/tags/Ardor%20in%20August%202008,f
Back to Middle-Earth Month 2009,1,/tags/Back%20to%20Middle-Earth%20Month%202009,f
Waymeet,7,/tags/Waymeet,f
Haradrim,63,/tags/Haradrim,c
Barahir (Fourth Age),17,/tags/Barahir%20(Fourth%20Age),c
Merry Brandybuck/Pippin Took,466,/tags/Merry%20Brandybuck*s*Pippin%20Took,r
Bill the Pony,78,/tags/Bill%20the%20Pony,c
Tar-Míriel,425,/tags/Tar-M%C3%ADriel,c
Ardor in August,28,/tags/Ardor%20in%20August,f
Helm's Deep,71,/tags/Helm's%20Deep,f
Pervinca Took,54,/tags/Pervinca%20Took,c
Nazgûl,403,/tags/Nazg%C3%BBl,c
Tarannon Falastur,16,/tags/Tarannon%20Falastur,c
Grey Havens,81,/tags/Grey%20Havens,f
Diamond Took,109,/tags/Diamond%20Took,c
Estella Bolger,93,/tags/Estella%20Bolger,c
Third Age,991,/tags/Third%20Age,f
Blue Wizards,45,/tags/Blue%20Wizards,c
Community: hobbit_smut,14,/tags/Community:%20hobbit_smut,f
Return of the King,116,/tags/Return%20of%20the%20King,f
Drogo Baggins,247,/tags/Drogo%20Baggins,c
Primula Brandybuck,319,/tags/Primula%20Brandybuck,c
Fastred of Greenholm,7,/tags/Fastred%20of%20Greenholm,c
Faramir Took,57,/tags/Faramir%20Took,c
Jolly Cotton,13,/tags/Jolly%20Cotton,c
Nick Cotton,3,/tags/Nick%20Cotton,c
Nibs Cotton,7,/tags/Nibs%20Cotton,c
Goldilocks Gardner,21,/tags/Goldilocks%20Gardner,c
Elanor Gardner/Fastred of Greenholm,5,/tags/Elanor%20Gardner*s*Fastred%20of%20Greenholm,r
Frodo Gardner,52,/tags/Frodo%20Gardner,c
Elanor Gardner,187,/tags/Elanor%20Gardner,c
Pimpernel Took,28,/tags/Pimpernel%20Took,c
Everard Took,8,/tags/Everard%20Took,c
Fredegar Bolger,111,/tags/Fredegar%20Bolger,c
Daisy Gamgee,48,/tags/Daisy%20Gamgee,c
Frodo Baggins/Everyone,4,/tags/Frodo%20Baggins*s*Everyone,r
Angelica Baggins,9,/tags/Angelica%20Baggins,c
Ted Sandyman,33,/tags/Ted%20Sandyman,c
Frodo Baggins/Rose Cotton,17,/tags/Frodo%20Baggins*s*Rose%20Cotton,r
Celandine Brandybuck,3,/tags/Celandine%20Brandybuck,c
Widow Rumble,5,/tags/Widow%20Rumble,c
Hamfast Gamgee,443,/tags/Hamfast%20Gamgee,c
May Gamgee,41,/tags/May%20Gamgee,c
Saradoc Brandybuck,81,/tags/Saradoc%20Brandybuck,c
Esmeralda Took,66,/tags/Esmeralda%20Took,c
Folco Boffin,22,/tags/Folco%20Boffin,c
Pearl Took,53,/tags/Pearl%20Took,c
Robin Gardner,3,/tags/Robin%20Gardner,c
Barliman Butterbur,80,/tags/Barliman%20Butterbur,c
Bill Ferny,10,/tags/Bill%20Ferny,c
Tenth Walker,159,/tags/Tenth%20Walker,f
Gildor Inglorion,318,/tags/Gildor%20Inglorion,c
Rosamunda Took,1,/tags/Rosamunda%20Took,c
Community: tolkien_weekly,9,/tags/Community:%20tolkien_weekly,f
Hamson Gamgee,17,/tags/Hamson%20Gamgee,c
Tom Bombadil,208,/tags/Tom%20Bombadil,c
First Age,1568,/tags/First%20Age,f
Merry Brandybuck/Éowyn/Pippin Took,1,/tags/Merry%20Brandybuck*s*%C3%89owyn*s*Pippin%20Took,r
Old Sandyman,3,/tags/Old%20Sandyman,c
Community: lotr_community,14,/tags/Community:%20lotr_community,f
Merry Brandybuck/Éowyn,53,/tags/Merry%20Brandybuck*s*%C3%89owyn,r
Witch-King of Angmar,435,/tags/Witch-King%20of%20Angmar,c
Éowyn/Elanor Gardner,0,/tags/%C3%89owyn*s*Elanor%20Gardner,r
Back to Middle-Earth Month,266,/tags/Back%20to%20Middle-Earth%20Month,f
Ghân-buri-Ghân,7,/tags/Gh%C3%A2n-buri-Gh%C3%A2n,c
Éowyn/Gríma Wormtongue,63,/tags/%C3%89owyn*s*Gr%C3%ADma%20Wormtongue,r
The One Ring,271,/tags/The%20One%20Ring,c
Lily Brown,3,/tags/Lily%20Brown,c
Bell Goodchild,27,/tags/Bell%20Goodchild,c
Merry Gardner,8,/tags/Merry%20Gardner,c
Pippin Gardner,4,/tags/Pippin%20Gardner,c
Daisy Gardner,5,/tags/Daisy%20Gardner,c
My Slashy Valentine,49,/tags/My%20Slashy%20Valentine,f
Will Whitfoot,8,/tags/Will%20Whitfoot,c
Dior Eluchíl/Ereinion Gil-galad,0,/tags/Dior%20Eluch%C3%ADl*s*Ereinion%20Gil-galad,r
Ereinion Gil-galad,1601,/tags/Ereinion%20Gil-galad,c
Old Man Willow,16,/tags/Old%20Man%20Willow,c
Dúnedain,121,/tags/D%C3%BAnedain,c
Morwen of Lossarnach,46,/tags/Morwen%20of%20Lossarnach,c
Seredic Brandybuck,2,/tags/Seredic%20Brandybuck,c
Eglantine Banks,32,/tags/Eglantine%20Banks,c
Valinor,1222,/tags/Valinor,f
Weathertop,25,/tags/Weathertop,f
Erebor,751,/tags/Erebor,f
Dáin Ironfoot,874,/tags/D%C3%A1in%20Ironfoot,c
Frodo Baggins & Sam Gamgee,369,/tags/Frodo%20Baggins%20*a*%20Sam%20Gamgee,r
Orcs,1505,/tags/Orcs,f
Uruk-hai,279,/tags/Uruk-hai,c
Húrin of the Keys,28,/tags/H%C3%BArin%20of%20the%20Keys,c
Mablung of Gondor,57,/tags/Mablung%20of%20Gondor,c
Bag End,113,/tags/Bag%20End,f
My Slashy Valentine 2011,3,/tags/My%20Slashy%20Valentine%202011,f
Bag End - Character,8,/tags/Bag%20End%20-%20Character,c
Rory Brandybuck,19,/tags/Rory%20Brandybuck,c
Robin Smallburrow,8,/tags/Robin%20Smallburrow,c
Boromir (Son of Denethor II),2649,/tags/Boromir%20(Son%20of%20Denethor%20II),c
Thorin III Stonehelm,115,/tags/Thorin%20III%20Stonehelm,c
Daughter of Helm Hammerhand,2,/tags/Daughter%20of%20Helm%20Hammerhand,c
Rose Gardner,5,/tags/Rose%20Gardner,c
The Mouth of Sauron,103,/tags/The%20Mouth%20of%20Sauron,c
Bilbo Gardner,5,/tags/Bilbo%20Gardner,c
Ruby Gardner,4,/tags/Ruby%20Gardner,c
Primrose Gardner,2,/tags/Primrose%20Gardner,c
Legolas Greenleaf,12899,/tags/Legolas%20Greenleaf,c
Bob the Ostler,3,/tags/Bob%20the%20Ostler,c
