tag,count,href,category
Ben Gunn,156,/tags/Ben%20Gunn,c
Anne Bonny,1153,/tags/Anne%20Bonny,c
Mary Read,233,/tags/Mary%20Read,c
Anne Bonny/Mary Read,102,/tags/Anne%20Bonny*s*Mary%20Read,r
"""Calico"" Jack Rackham",2536,/tags/%22Calico%22%20Jack%20Rackham,c
Benjamin Hornigold,345,/tags/Benjamin%20Hornigold,c
Blackbeard | Edward Teach,17132,/tags/Blackbeard%20%7C%20Edward%20Teach,c
Israel Hands,10611,/tags/Israel%20Hands,c
Blackbeard | Edward Teach/Original Female Character(s),8,/tags/Blackbeard%20%7C%20Edward%20Teach*s*Original%20Female%20Character(s),r
Woodes Rogers,226,/tags/Woodes%20Rogers,c
Charles Vane,1028,/tags/Charles%20Vane,c
"Anne Bonny/""Calico"" Jack Rackham",275,/tags/Anne%20Bonny*s*%22Calico%22%20Jack%20Rackham,r
Eleanor Guthrie/Max,178,/tags/Eleanor%20Guthrie*s*Max,r
Eleanor Guthrie,730,/tags/Eleanor%20Guthrie,c
Mr. Scott (Black Sails),60,/tags/Mr*d*%20Scott%20(Black%20Sails),c
Eleanor Guthrie/Charles Vane,166,/tags/Eleanor%20Guthrie*s*Charles%20Vane,r
Max (Black Sails),712,/tags/Max%20(Black%20Sails),c
Billy Bones,1000,/tags/Billy%20Bones,c
Charles Vane/Original Character(s),12,/tags/Charles%20Vane*s*Original%20Character(s),r
Anne Bonny/Edward Kenway/James Kidd | Mary Read,13,/tags/Anne%20Bonny*s*Edward%20Kenway*s*James%20Kidd%20%7C%20Mary%20Read,r
Episode: s01e03 III.,0,/tags/Episode:%20s01e03%20III*d*,f
Billy Bones/John Silver,52,/tags/Billy%20Bones*s*John%20Silver,r
Dufresne (Black Sails),67,/tags/Dufresne%20(Black%20Sails),c
Charles Vane/Reader,58,/tags/Charles%20Vane*s*Reader,r
Max/Charles Vane,2,/tags/Max*s*Charles%20Vane,r
Anne Bonny/James Bonny,4,/tags/Anne%20Bonny*s*James%20Bonny,r
Eme (Black Sails),25,/tags/Eme%20(Black%20Sails),c
Anne Bonny/Max,239,/tags/Anne%20Bonny*s*Max,r
Billy Bones/Dufresne,8,/tags/Billy%20Bones*s*Dufresne,r
Hal Gates,254,/tags/Hal%20Gates,c
"""Calico"" Jack Rackham/Charles Vane",108,/tags/%22Calico%22%20Jack%20Rackham*s*Charles%20Vane,r
"Edward Kenway/""Calico"" Jack Rackham",0,/tags/Edward%20Kenway*s*%22Calico%22%20Jack%20Rackham,r
Max (Black Sails)/Milah (Once Upon a Time),0,/tags/Max%20(Black%20Sails)*s*Milah%20(Once%20Upon%20a%20Time),r
Anne Bonny/Edward Kenway,9,/tags/Anne%20Bonny*s*Edward%20Kenway,r
Miranda Barlow,857,/tags/Miranda%20Barlow,c
Max (Black Sails)/Original Character(s),0,/tags/Max%20(Black%20Sails)*s*Original%20Character(s),r
Blackbeard | Edward Teach/You,13,/tags/Blackbeard%20%7C%20Edward%20Teach*s*You,r
Charles Vane/Original Female Character(s),46,/tags/Charles%20Vane*s*Original%20Female%20Character(s),r
Benjamin Hornigold/You,3,/tags/Benjamin%20Hornigold*s*You,r
Charles Vane/You,25,/tags/Charles%20Vane*s*You,r
Anne Bonny & James Kidd | Mary Read,5,/tags/Anne%20Bonny%20*a*%20James%20Kidd%20%7C%20Mary%20Read,r
Richard Guthrie,36,/tags/Richard%20Guthrie,c
Anne Bonny & Edward Kenway,3,/tags/Anne%20Bonny%20*a*%20Edward%20Kenway,r
