tag,count,href,category
Tony Stark,234077,/tags/Tony%20Stark,c
Steve Rogers/Tony Stark,77726,/tags/Steve%20Rogers*s*Tony%20Stark,r
Steve Rogers,224282,/tags/Steve%20Rogers,c
Maria Hill,16896,/tags/Maria%20Hill,c
Clint Barton,115564,/tags/Clint%20Barton,c
Scott Lang,9241,/tags/Scott%20Lang,c
Howard Stark,8840,/tags/Howard%20Stark,c
Steve Rogers/Sam Wilson,3972,/tags/Steve%20Rogers*s*Sam%20Wilson,r
Nick Fury,29870,/tags/Nick%20Fury,c
Gabe Jones,1407,/tags/Gabe%20Jones,c
Peggy Carter,19969,/tags/Peggy%20Carter,c
Wanda Maximoff,40324,/tags/Wanda%20Maximoff,c
Steve Rogers/Shawn Spencer,0,/tags/Steve%20Rogers*s*Shawn%20Spencer,r
"James ""Rhodey"" Rhodes",28414,/tags/James%20%22Rhodey%22%20Rhodes,c
Peter Parker/Tony Stark,12455,/tags/Peter%20Parker*s*Tony%20Stark,r
Jessica Jones/Steve Rogers,27,/tags/Jessica%20Jones*s*Steve%20Rogers,r
Sharon Carter/Steve Rogers,1266,/tags/Sharon%20Carter*s*Steve%20Rogers,r
"James ""Bucky"" Barnes",162104,/tags/James%20%22Bucky%22%20Barnes,c
Tony Stark/Tony Stark,105,/tags/Tony%20Stark*s*Tony%20Stark,r
Carol Danvers/Wanda Maximoff,150,/tags/Carol%20Danvers*s*Wanda%20Maximoff,r
Clint Barton/Steve Rogers,1358,/tags/Clint%20Barton*s*Steve%20Rogers,r
Clint Barton/Tony Stark,2307,/tags/Clint%20Barton*s*Tony%20Stark,r
Steve Rogers/Tony Stark/Sam Wilson,18,/tags/Steve%20Rogers*s*Tony%20Stark*s*Sam%20Wilson,r
Steve Rogers (Ultimates),451,/tags/Steve%20Rogers%20(Ultimates),c
"James ""Bucky"" Barnes/Sharon Carter",190,/tags/James%20%22Bucky%22%20Barnes*s*Sharon%20Carter,r
"James ""Bucky"" Barnes/Steve Rogers",92576,/tags/James%20%22Bucky%22%20Barnes*s*Steve%20Rogers,r
Sharon Carter/Steve Rogers/Sam Wilson,8,/tags/Sharon%20Carter*s*Steve%20Rogers*s*Sam%20Wilson,r
Diana (Wonder Woman)/Steve Rogers,64,/tags/Diana%20(Wonder%20Woman)*s*Steve%20Rogers,r
Pepper Potts/Natasha Romanov,1406,/tags/Pepper%20Potts*s*Natasha%20Romanov,r
Johann Schmidt,944,/tags/Johann%20Schmidt,c
Steve Rogers & Tony Stark,6293,/tags/Steve%20Rogers%20*a*%20Tony%20Stark,r
"James ""Bucky"" Barnes/Natasha Romanov",6313,/tags/James%20%22Bucky%22%20Barnes*s*Natasha%20Romanov,r
Steve Rogers/Natasha Romanov,7672,/tags/Steve%20Rogers*s*Natasha%20Romanov,r
Steve Rogers/Natasha Romanov/Tony Stark,47,/tags/Steve%20Rogers*s*Natasha%20Romanov*s*Tony%20Stark,r
