tag,count,href,category
Keiko Agena,3,/tags/Keiko%20Agena,c
Franka Potente,8,/tags/Franka%20Potente,c
Santiago Cabrera,41,/tags/Santiago%20Cabrera,c
Zac Efron/Vanessa Hudgens,14,/tags/Zac%20Efron*s*Vanessa%20Hudgens,r
Gael García Bernal,4,/tags/Gael%20Garc%C3%ADa%20Bernal,c
Chace Crawford/Zac Efron,0,/tags/Chace%20Crawford*s*Zac%20Efron,r
William Fichtner/Bruce Greenwood,0,/tags/William%20Fichtner*s*Bruce%20Greenwood,r
Comedy RPF,79,/tags/Comedy%20RPF,f
Alexis Bledel/Blake Lively,1,/tags/Alexis%20Bledel*s*Blake%20Lively,r
Jack Davenport/Keith Olbermann,0,/tags/Jack%20Davenport*s*Keith%20Olbermann,r
Misha Collins/Danneel Harris,44,/tags/Misha%20Collins*s*Danneel%20Harris,r
Actor,2802,/tags/Actor,c
Orlando Bloom/Jack Davenport,1,/tags/Orlando%20Bloom*s*Jack%20Davenport,r
Joseph Gordon-Levitt/Tom Hardy,74,/tags/Joseph%20Gordon-Levitt*s*Tom%20Hardy,r
Wesley Snipes,5,/tags/Wesley%20Snipes,c
Omar Sharif,11,/tags/Omar%20Sharif,c
Jonathan Groff/Zachary Quinto,22,/tags/Jonathan%20Groff*s*Zachary%20Quinto,r
Oded Fehr,70,/tags/Oded%20Fehr,c
Robert Downey Jr./Susan Downey/Jude Law,2,/tags/Robert%20Downey%20Jr*d**s*Susan%20Downey*s*Jude%20Law,r
Jensen Ackles/Karl Urban,6,/tags/Jensen%20Ackles*s*Karl%20Urban,r
Sean/Viggo,2,/tags/Sean*s*Viggo,r
Jean-Claude Van Damme/Dolph Lundgren,0,/tags/Jean-Claude%20Van%20Damme*s*Dolph%20Lundgren,r
Misha Collins/Genevieve Cortese,23,/tags/Misha%20Collins*s*Genevieve%20Cortese,r
Chris Hemsworth/Tom Hiddleston,1425,/tags/Chris%20Hemsworth*s*Tom%20Hiddleston,r
Michael Fassbender/Tom Hiddleston,6,/tags/Michael%20Fassbender*s*Tom%20Hiddleston,r
Jean-Claude Van Damme,5,/tags/Jean-Claude%20Van%20Damme,c
Dolph Lundgren,4,/tags/Dolph%20Lundgren,c
Eliza Dushku/Katherine Heigl,1,/tags/Eliza%20Dushku*s*Katherine%20Heigl,r
Misha Collins/Dean Winchester,74,/tags/Misha%20Collins*s*Dean%20Winchester,r
Zac Efron/Selena Gomez,1,/tags/Zac%20Efron*s*Selena%20Gomez,r
Peter O'Toole/Leni Riefenstahl,1,/tags/Peter%20O'Toole*s*Leni%20Riefenstahl,r
Leni Riefenstahl,6,/tags/Leni%20Riefenstahl,c
Ally Sheedy/Hannah Wood,0,/tags/Ally%20Sheedy*s*Hannah%20Wood,r
Orlando Bloom/Josh Hartnett/Elijah Wood,1,/tags/Orlando%20Bloom*s*Josh%20Hartnett*s*Elijah%20Wood,r
Patrick J. Adams/Gabriel Macht,7,/tags/Patrick%20J*d*%20Adams*s*Gabriel%20Macht,r
Colin Farrell/Jeremy Renner,22,/tags/Colin%20Farrell*s*Jeremy%20Renner,r
Sean Faris,1,/tags/Sean%20Faris,c
Jake Gyllenhaal/Ryan Ross,1,/tags/Jake%20Gyllenhaal*s*Ryan%20Ross,r
Cheray O'Neal,0,/tags/Cheray%20O'Neal,c
Rob Buckley,0,/tags/Rob%20Buckley,c
Drew Barrymore/Corey Feldman,3,/tags/Drew%20Barrymore*s*Corey%20Feldman,r
Elizabeth Mitchell/Anna Torv,1,/tags/Elizabeth%20Mitchell*s*Anna%20Torv,r
Hayden Christensen/Justin Timberlake,1,/tags/Hayden%20Christensen*s*Justin%20Timberlake,r
Liam Cunningham/Michael Fassbender,0,/tags/Liam%20Cunningham*s*Michael%20Fassbender,r
Shawn Ashmore/Aaron Stanford,0,/tags/Shawn%20Ashmore*s*Aaron%20Stanford,r
Masakazu Morita/Sugiyama Noriaki,3,/tags/Masakazu%20Morita*s*Sugiyama%20Noriaki,r
Vincent Kartheiser/Nick Stahl/Aaron Stanford,0,/tags/Vincent%20Kartheiser*s*Nick%20Stahl*s*Aaron%20Stanford,r
Ben Affleck/Gwyneth Paltrow,1,/tags/Ben%20Affleck*s*Gwyneth%20Paltrow,r
Matt Cohen/Mandy Musgrave,6,/tags/Matt%20Cohen*s*Mandy%20Musgrave,r
Josh Hartnett/Karl Urban,0,/tags/Josh%20Hartnett*s*Karl%20Urban,r
Johnny Depp/Mikey Way,0,/tags/Johnny%20Depp*s*Mikey%20Way,r
Corey Feldman/Corey Haim/Stephanie Tanner,0,/tags/Corey%20Feldman*s*Corey%20Haim*s*Stephanie%20Tanner,r
Chris Hemsworth/Elsa Pataky,69,/tags/Chris%20Hemsworth*s*Elsa%20Pataky,r
Walton Goggins/Kenny Johnson,2,/tags/Walton%20Goggins*s*Kenny%20Johnson,r
Orlando Bloom/Katie McGrath/Karl Urban,5,/tags/Orlando%20Bloom*s*Katie%20McGrath*s*Karl%20Urban,r
Julia Winter,2,/tags/Julia%20Winter,c
Kenneth Branagh/Tom Hiddleston,12,/tags/Kenneth%20Branagh*s*Tom%20Hiddleston,r
Mary McDonnell/Kyra Sedgwick,4,/tags/Mary%20McDonnell*s*Kyra%20Sedgwick,r
Marcus Chong/Keanu Reeves,1,/tags/Marcus%20Chong*s*Keanu%20Reeves,r
Jessica Biel/Eliza Dushku,1,/tags/Jessica%20Biel*s*Eliza%20Dushku,r
Kerr Smith,10,/tags/Kerr%20Smith,c
Dom Cobb/Tom Hardy,0,/tags/Dom%20Cobb*s*Tom%20Hardy,r
Benedict Cumberbatch/Chris Pine,6,/tags/Benedict%20Cumberbatch*s*Chris%20Pine,r
Elaine Cassidy/Katie Cassidy,1,/tags/Elaine%20Cassidy*s*Katie%20Cassidy,r
Simon Pegg/Karl Urban,0,/tags/Simon%20Pegg*s*Karl%20Urban,r
Lena Headey/Jaime Murray,0,/tags/Lena%20Headey*s*Jaime%20Murray,r
Dan Feuerriegel/Pana Hema Taylor,11,/tags/Dan%20Feuerriegel*s*Pana%20Hema%20Taylor,r
Ewan McGregor/Lee Pace,2,/tags/Ewan%20McGregor*s*Lee%20Pace,r
Rosario Dawson/Christian Kane/Chad Michael Murray,0,/tags/Rosario%20Dawson*s*Christian%20Kane*s*Chad%20Michael%20Murray,r
Chad Michael Murray/Michael Rosenbaum,0,/tags/Chad%20Michael%20Murray*s*Michael%20Rosenbaum,r
Jaid Barrymore,1,/tags/Jaid%20Barrymore,c
Genevieve Cortese/Ryan Sypek,0,/tags/Genevieve%20Cortese*s*Ryan%20Sypek,r
Idris Elba/Jeffrey Dean Morgan,0,/tags/Idris%20Elba*s*Jeffrey%20Dean%20Morgan,r
