tag,count,href,category
Callie Torres,1006,/tags/Callie%20Torres,c
Erica Hahn,158,/tags/Erica%20Hahn,c
Meredith Grey,3821,/tags/Meredith%20Grey,c
Cristina Yang,1334,/tags/Cristina%20Yang,c
George O'Malley,572,/tags/George%20O'Malley,c
Izzie Stevens,517,/tags/Izzie%20Stevens,c
Derek Shepherd,1761,/tags/Derek%20Shepherd,c
Addison Montgomery,2228,/tags/Addison%20Montgomery,c
Preston Burke,143,/tags/Preston%20Burke,c
Alex Karev,1765,/tags/Alex%20Karev,c
Lisa Cuddy/Addison Montgomery,0,/tags/Lisa%20Cuddy*s*Addison%20Montgomery,r
Alex Karev/Izzie Stevens,88,/tags/Alex%20Karev*s*Izzie%20Stevens,r
George O'Malley/Callie Torres,14,/tags/George%20O'Malley*s*Callie%20Torres,r
Preston Burke/Cristina Yang,51,/tags/Preston%20Burke*s*Cristina%20Yang,r
Meredith Grey/Cristina Yang,77,/tags/Meredith%20Grey*s*Cristina%20Yang,r
Derek Shepherd/Mark Sloan,99,/tags/Derek%20Shepherd*s*Mark%20Sloan,r
Meredith Grey/Derek Shepherd,809,/tags/Meredith%20Grey*s*Derek%20Shepherd,r
George O'Malley/Izzie Stevens,26,/tags/George%20O'Malley*s*Izzie%20Stevens,r
Lexie Grey/Mark Sloan,270,/tags/Lexie%20Grey*s*Mark%20Sloan,r
Lexie Grey,556,/tags/Lexie%20Grey,c
Owen Hunt/Cristina Yang,113,/tags/Owen%20Hunt*s*Cristina%20Yang,r
Owen Hunt,707,/tags/Owen%20Hunt,c
Erica Hahn/Callie Torres,41,/tags/Erica%20Hahn*s*Callie%20Torres,r
Sadie Harris,34,/tags/Sadie%20Harris,c
Addison Montgomery/Derek Shepherd,287,/tags/Addison%20Montgomery*s*Derek%20Shepherd,r
Richard Webber,611,/tags/Richard%20Webber,c
Arizona Robbins,1294,/tags/Arizona%20Robbins,c
Erica Hahn/Mark Sloan,3,/tags/Erica%20Hahn*s*Mark%20Sloan,r
Alex Karev/Addison Montgomery,44,/tags/Alex%20Karev*s*Addison%20Montgomery,r
Mark Sloan/Izzie Stevens,2,/tags/Mark%20Sloan*s*Izzie%20Stevens,r
Erica Hahn/Addison Montgomery,11,/tags/Erica%20Hahn*s*Addison%20Montgomery,r
Denny Duquette,59,/tags/Denny%20Duquette,c
Izzie Stevens/Cristina Yang,8,/tags/Izzie%20Stevens*s*Cristina%20Yang,r
Derek Shepherd/Izzie Stevens,3,/tags/Derek%20Shepherd*s*Izzie%20Stevens,r
Owen Hunt/Mark Sloan,2,/tags/Owen%20Hunt*s*Mark%20Sloan,r
Addison Montgomery/Mark Sloan,141,/tags/Addison%20Montgomery*s*Mark%20Sloan,r
Arizona Robbins/Callie Torres,467,/tags/Arizona%20Robbins*s*Callie%20Torres,r
Hillary Clinton/Erica Hahn,0,/tags/Hillary%20Clinton*s*Erica%20Hahn,r
Lexie Grey/Meredith Grey,25,/tags/Lexie%20Grey*s*Meredith%20Grey,r
Erica Hahn/Xena,1,/tags/Erica%20Hahn*s*Xena,r
Alex Karev/Rebecca Pope,2,/tags/Alex%20Karev*s*Rebecca%20Pope,r
Rebecca Pope,4,/tags/Rebecca%20Pope,c
Lexie Grey/Alex Karev,11,/tags/Lexie%20Grey*s*Alex%20Karev,r
Meredith Grey/Izzie Stevens,18,/tags/Meredith%20Grey*s*Izzie%20Stevens,r
Sydney Heron,0,/tags/Sydney%20Heron,c
Community: greys_exchange,5,/tags/Community:%20greys_exchange,f
Alex Karev/Mark Sloan,16,/tags/Alex%20Karev*s*Mark%20Sloan,r
Meredith Grey/Addison Montgomery,1850,/tags/Meredith%20Grey*s*Addison%20Montgomery,r
Preston Burke/Addison Montgomery,0,/tags/Preston%20Burke*s*Addison%20Montgomery,r
Meredith Grey/George O'Malley,3,/tags/Meredith%20Grey*s*George%20O'Malley,r
Izzie Stevens/Callie Torres,2,/tags/Izzie%20Stevens*s*Callie%20Torres,r
Erica Hahn/Cristina Yang,3,/tags/Erica%20Hahn*s*Cristina%20Yang,r
Mark Sloan/Callie Torres,26,/tags/Mark%20Sloan*s*Callie%20Torres,r
Lexie Grey/George O'Malley,5,/tags/Lexie%20Grey*s*George%20O'Malley,r
Teddy Altman/Owen Hunt/Cristina Yang,17,/tags/Teddy%20Altman*s*Owen%20Hunt*s*Cristina%20Yang,r
Teddy Altman/Cristina Yang,143,/tags/Teddy%20Altman*s*Cristina%20Yang,r
Meredith Grey/Alex Karev,91,/tags/Meredith%20Grey*s*Alex%20Karev,r
Mary Beth Duffy/Erica Hahn,0,/tags/Mary%20Beth%20Duffy*s*Erica%20Hahn,r
Teddy Altman (Grey's Anatomy),644,/tags/Teddy%20Altman%20(Grey's%20Anatomy),c
Denny Duquette/Izzie Stevens,25,/tags/Denny%20Duquette*s*Izzie%20Stevens,r
Addison Montgomery/Kevin Nelson,3,/tags/Addison%20Montgomery*s*Kevin%20Nelson,r
Miranda Bailey/George O'Malley,1,/tags/Miranda%20Bailey*s*George%20O'Malley,r
Maura Isles/Addison Montgomery,1,/tags/Maura%20Isles*s*Addison%20Montgomery,r
Alex Karev/Derek Shepherd,5,/tags/Alex%20Karev*s*Derek%20Shepherd,r
Meredith Grey/Derek Shepherd/Mark Sloan,3,/tags/Meredith%20Grey*s*Derek%20Shepherd*s*Mark%20Sloan,r
Addison Montgomery/Izzie Stevens,14,/tags/Addison%20Montgomery*s*Izzie%20Stevens,r
Erica Hahn/Original Character,0,/tags/Erica%20Hahn*s*Original%20Character,r
Meredith Grey/Addison Montgomery/Derek Shepherd/Mark Sloan,12,/tags/Meredith%20Grey*s*Addison%20Montgomery*s*Derek%20Shepherd*s*Mark%20Sloan,r
Addison Montgomery/Pete Wilder,4,/tags/Addison%20Montgomery*s*Pete%20Wilder,r
Erica Hahn/Richard Webber,1,/tags/Erica%20Hahn*s*Richard%20Webber,r
Alex Karev/Cristina Yang,13,/tags/Alex%20Karev*s*Cristina%20Yang,r
Jackson Avery,959,/tags/Jackson%20Avery,c
Charlotte King/Addison Montgomery,7,/tags/Charlotte%20King*s*Addison%20Montgomery,r
Amelia Shepherd,1780,/tags/Amelia%20Shepherd,c
Viper (Grey's Anatomy),2,/tags/Viper%20(Grey's%20Anatomy),c
