tag,count,href,category
Sarah Jane Smith,2542,/tags/Sarah%20Jane%20Smith,c
Tegan Jovanka,882,/tags/Tegan%20Jovanka,c
Vislor Turlough,424,/tags/Vislor%20Turlough,c
Fifth Doctor/Vislor Turlough,147,/tags/Fifth%20Doctor*s*Vislor%20Turlough,r
Peri Brown,607,/tags/Peri%20Brown,c
Eighth Doctor/Vislor Turlough,3,/tags/Eighth%20Doctor*s*Vislor%20Turlough,r
Sarah Jane Smith/Rose Tyler,13,/tags/Sarah%20Jane%20Smith*s*Rose%20Tyler,r
Barbara Wright,705,/tags/Barbara%20Wright,c
Melanie Bush,267,/tags/Melanie%20Bush,c
Melanie Bush/Charley Pollard,6,/tags/Melanie%20Bush*s*Charley%20Pollard,r
Sabalom Glitz,17,/tags/Sabalom%20Glitz,c
Jo Grant,767,/tags/Jo%20Grant,c
Andy Davidson/Romana I,0,/tags/Andy%20Davidson*s*Romana%20I,r
Tenth Doctor/Vislor Turlough,6,/tags/Tenth%20Doctor*s*Vislor%20Turlough,r
Susan Foreman,815,/tags/Susan%20Foreman,c
Irving Braxiatel,496,/tags/Irving%20Braxiatel,c
The Master/Lucy Saxon,88,/tags/The%20Master*s*Lucy%20Saxon,r
Jack Harkness/The Master,14,/tags/Jack%20Harkness*s*The%20Master,r
Eighth Doctor/Fitz Kreiner,159,/tags/Eighth%20Doctor*s*Fitz%20Kreiner,r
Duggan/Romana II,2,/tags/Duggan*s*Romana%20II,r
Narvin/Romana II,91,/tags/Narvin*s*Romana%20II,r
Leela/Romana II,110,/tags/Leela*s*Romana%20II,r
Zoe Heriot,437,/tags/Zoe%20Heriot,c
Dodo Chaplet,75,/tags/Dodo%20Chaplet,c
Ian Chesterton/Barbara Wright,544,/tags/Ian%20Chesterton*s*Barbara%20Wright,r
Ian Chesterton,713,/tags/Ian%20Chesterton,c
Ace McShane,1219,/tags/Ace%20McShane,c
The Master (Delgado),644,/tags/The%20Master%20(Delgado),c
First Doctor/Barbara Wright,8,/tags/First%20Doctor*s*Barbara%20Wright,r
Tegan Jovanka/Vislor Turlough,8,/tags/Tegan%20Jovanka*s*Vislor%20Turlough,r
Adric/Zoe Heriot,2,/tags/Adric*s*Zoe%20Heriot,r
Eighth Doctor/Martha Jones,4,/tags/Eighth%20Doctor*s*Martha%20Jones,r
Mike Yates,300,/tags/Mike%20Yates,c
Winifred Bambera,32,/tags/Winifred%20Bambera,c
Martha Jones/Harry Sullivan,6,/tags/Martha%20Jones*s*Harry%20Sullivan,r
Sarah Jane Smith/Harry Sullivan,64,/tags/Sarah%20Jane%20Smith*s*Harry%20Sullivan,r
Fourth Doctor/Sarah Jane Smith,219,/tags/Fourth%20Doctor*s*Sarah%20Jane%20Smith,r
Tenth Doctor/Sarah Jane Smith,58,/tags/Tenth%20Doctor*s*Sarah%20Jane%20Smith,r
Jack Harkness/Sarah Jane Smith,33,/tags/Jack%20Harkness*s*Sarah%20Jane%20Smith,r
Ann Talbot,9,/tags/Ann%20Talbot,c
John Benton,370,/tags/John%20Benton,c
David Campbell,28,/tags/David%20Campbell,c
Martha Jones/Romana II,4,/tags/Martha%20Jones*s*Romana%20II,r
Fifth Doctor/Tegan Jovanka,83,/tags/Fifth%20Doctor*s*Tegan%20Jovanka,r
Jamie McCrimmon,1153,/tags/Jamie%20McCrimmon,c
Doris Lethbridge-Stewart,50,/tags/Doris%20Lethbridge-Stewart,c
Second Doctor/Jamie McCrimmon,703,/tags/Second%20Doctor*s*Jamie%20McCrimmon,r
Eighth Doctor/Jack Harkness,11,/tags/Eighth%20Doctor*s*Jack%20Harkness,r
Eighth Doctor/Charley Pollard,165,/tags/Eighth%20Doctor*s*Charley%20Pollard,r
Third Doctor/Jamie McCrimmon,6,/tags/Third%20Doctor*s*Jamie%20McCrimmon,r
Eighth Doctor/Fitz Kreiner/The Master,1,/tags/Eighth%20Doctor*s*Fitz%20Kreiner*s*The%20Master,r
Fifth Doctor/Rose Tyler,70,/tags/Fifth%20Doctor*s*Rose%20Tyler,r
Princess Astra/Rose Tyler,1,/tags/Princess%20Astra*s*Rose%20Tyler,r
The Doctor/River Song,2562,/tags/The%20Doctor*s*River%20Song,r
Ace McShane/Rose Tyler,1,/tags/Ace%20McShane*s*Rose%20Tyler,r
Ace McShane/Romana,0,/tags/Ace%20McShane*s*Romana,r
Third Doctor/Jo Grant,67,/tags/Third%20Doctor*s*Jo%20Grant,r
Second Doctor/Polly Wright,3,/tags/Second%20Doctor*s*Polly%20Wright,r
Polly Wright,256,/tags/Polly%20Wright,c
Steven Taylor,155,/tags/Steven%20Taylor,c
Richard Mace,1,/tags/Richard%20Mace,c
Sixth Doctor/Charley Pollard,14,/tags/Sixth%20Doctor*s*Charley%20Pollard,r
First Doctor/Rose Tyler,50,/tags/First%20Doctor*s*Rose%20Tyler,r
First Doctor/Donna Noble,2,/tags/First%20Doctor*s*Donna%20Noble,r
Victoria Waterfield,257,/tags/Victoria%20Waterfield,c
The Doctor (Doctor Who),11167,/tags/The%20Doctor%20(Doctor%20Who),c
Fifth Doctor/Ianto Jones,1,/tags/Fifth%20Doctor*s*Ianto%20Jones,r
Adric/Luke Smith,2,/tags/Adric*s*Luke%20Smith,r
Ben Jackson/Polly Wright,134,/tags/Ben%20Jackson*s*Polly%20Wright,r
Irving Braxiatel/Romana I,8,/tags/Irving%20Braxiatel*s*Romana%20I,r
Sixth Doctor/Donna Noble,3,/tags/Sixth%20Doctor*s*Donna%20Noble,r
Eighth Doctor/Donna Noble,3,/tags/Eighth%20Doctor*s*Donna%20Noble,r
Fourth Doctor/Rose Tyler,38,/tags/Fourth%20Doctor*s*Rose%20Tyler,r
Melanie Bush/Ace McShane,50,/tags/Melanie%20Bush*s*Ace%20McShane,r
Ben Jackson (Doctor Who),175,/tags/Ben%20Jackson%20(Doctor%20Who),c
Seventh Doctor/Ace McShane,116,/tags/Seventh%20Doctor*s*Ace%20McShane,r
Jack Harkness/Romana II,2,/tags/Jack%20Harkness*s*Romana%20II,r
