tag,count,href,category
Azur | Inigo,1147,/tags/Azur%20%7C%20Inigo,c
Elise (Fire Emblem),1313,/tags/Elise%20(Fire%20Emblem),c
Camilla (Fire Emblem),2059,/tags/Camilla%20(Fire%20Emblem),c
Soleil (Fire Emblem),464,/tags/Soleil%20(Fire%20Emblem),c
Ophelia (Fire Emblem),345,/tags/Ophelia%20(Fire%20Emblem),c
Takumi (Fire Emblem),1866,/tags/Takumi%20(Fire%20Emblem),c
Odin (Fire Emblem),1129,/tags/Odin%20(Fire%20Emblem),c
Garon (Fire Emblem),342,/tags/Garon%20(Fire%20Emblem),c
Hinoka (Fire Emblem),670,/tags/Hinoka%20(Fire%20Emblem),c
Marx | Xander,2342,/tags/Marx%20%7C%20Xander,c
Sakura (Fire Emblem),1134,/tags/Sakura%20(Fire%20Emblem),c
Joker | Jakob,561,/tags/Joker%20%7C%20Jakob,c
Sumeragi (Fire Emblem),87,/tags/Sumeragi%20(Fire%20Emblem),c
Fire Emblem: Fates Spoilers,32,/tags/Fire%20Emblem:%20Fates%20Spoilers,f
Shigure (Fire Emblem),326,/tags/Shigure%20(Fire%20Emblem),c
Tsubaki | Subaki,366,/tags/Tsubaki%20%7C%20Subaki,c
Aqua | Azura,1267,/tags/Aqua%20%7C%20Azura,c
Suzukaze | Kaze,487,/tags/Suzukaze%20%7C%20Kaze,c
Kazahana | Hana,233,/tags/Kazahana%20%7C%20Hana,c
Felicia (Fire Emblem),554,/tags/Felicia%20(Fire%20Emblem),c
Charlotte (Fire Emblem),299,/tags/Charlotte%20(Fire%20Emblem),c
Orochi (Fire Emblem),233,/tags/Orochi%20(Fire%20Emblem),c
Hisame (Fire Emblem),76,/tags/Hisame%20(Fire%20Emblem),c
Hinata (Fire Emblem),366,/tags/Hinata%20(Fire%20Emblem),c
Siegbert (Fire Emblem),280,/tags/Siegbert%20(Fire%20Emblem),c
Mikoto (Fire Emblem),296,/tags/Mikoto%20(Fire%20Emblem),c
Flora (Fire Emblem),341,/tags/Flora%20(Fire%20Emblem),c
Lilith (Fire Emblem),157,/tags/Lilith%20(Fire%20Emblem),c
Oboro (Fire Emblem),419,/tags/Oboro%20(Fire%20Emblem),c
Yukimura (Fire Emblem),103,/tags/Yukimura%20(Fire%20Emblem),c
Setsuna (Fire Emblem),181,/tags/Setsuna%20(Fire%20Emblem),c
Male My Unit/Wii Fit Trainer (Female) | Male Avatar/Wii Fit Trainer (Female),0,/tags/Male%20My%20Unit*s*Wii%20Fit%20Trainer%20(Female)%20%7C%20Male%20Avatar*s*Wii%20Fit%20Trainer%20(Female),r
Fire Emblem: If | Fire Emblem: Fates Ensemble,16,/tags/Fire%20Emblem:%20If%20%7C%20Fire%20Emblem:%20Fates%20Ensemble,c
Gunter (Fire Emblem),239,/tags/Gunter%20(Fire%20Emblem),c
Mozume | Mozu,140,/tags/Mozume%20%7C%20Mozu,c
Zero | Niles,1647,/tags/Zero%20%7C%20Niles,c
Luna | Selena,721,/tags/Luna%20%7C%20Selena,c
