tag,count,href,category
Peter Parker,116155,/tags/Peter%20Parker,c
Happy Hogan,12632,/tags/Happy%20Hogan,c
Otto Octavius,2798,/tags/Otto%20Octavius,c
J. Jonah Jameson,831,/tags/J*d*%20Jonah%20Jameson,c
Peter Parker/Tony Stark,12455,/tags/Peter%20Parker*s*Tony%20Stark,r
Betty Brant,1668,/tags/Betty%20Brant,c
Flash Thompson,6754,/tags/Flash%20Thompson,c
May Parker (Spider-Man),16696,/tags/May%20Parker%20(Spider-Man),c
Betty Brant/Peter Parker,34,/tags/Betty%20Brant*s*Peter%20Parker,r
Mac Gargan,212,/tags/Mac%20Gargan,c
Logan (X-Men)/Peter Parker,40,/tags/Logan%20(X-Men)*s*Peter%20Parker,r
Matt Murdock/Peter Parker,650,/tags/Matt%20Murdock*s*Peter%20Parker,r
Liz Allan/Harry Osborn,31,/tags/Liz%20Allan*s*Harry%20Osborn,r
Peter Parker/Thor,207,/tags/Peter%20Parker*s*Thor,r
Betty Brant/Flash Thompson,8,/tags/Betty%20Brant*s*Flash%20Thompson,r
Quentin Beck,2292,/tags/Quentin%20Beck,c
Peter Parker/Steve Rogers,710,/tags/Peter%20Parker*s*Steve%20Rogers,r
Loki/Peter Parker,438,/tags/Loki*s*Peter%20Parker,r
Peter Parker & Steve Rogers & Tony Stark,1028,/tags/Peter%20Parker%20*a*%20Steve%20Rogers%20*a*%20Tony%20Stark,r
Peter Parker & Flash Thompson,914,/tags/Peter%20Parker%20*a*%20Flash%20Thompson,r
Peter Parker/Natasha Romanov,225,/tags/Peter%20Parker*s*Natasha%20Romanov,r
Clint Barton & Peter Parker,781,/tags/Clint%20Barton%20*a*%20Peter%20Parker,r
Darcy Lewis & Peter Parker,39,/tags/Darcy%20Lewis%20*a*%20Peter%20Parker,r
Loki & Peter Parker,1040,/tags/Loki%20*a*%20Peter%20Parker,r
Peter Parker & Tony Stark,40926,/tags/Peter%20Parker%20*a*%20Tony%20Stark,r
Adrian Toomes,686,/tags/Adrian%20Toomes,c
Harrison Thompson,31,/tags/Harrison%20Thompson,c
Liz Allan/Flash Thompson,12,/tags/Liz%20Allan*s*Flash%20Thompson,r
Liz Allan/Peter Parker,144,/tags/Liz%20Allan*s*Peter%20Parker,r
Peter Parker/Other(s),53,/tags/Peter%20Parker*s*Other(s),r
Herman Schultz,118,/tags/Herman%20Schultz,c
"James ""Bucky"" Barnes/Peter Parker/Wade Wilson",5,/tags/James%20%22Bucky%22%20Barnes*s*Peter%20Parker*s*Wade%20Wilson,r
Jason Macendale Jr.,12,/tags/Jason%20Macendale%20Jr*d*,c
Frank Castle/Peter Parker,29,/tags/Frank%20Castle*s*Peter%20Parker,r
Sally Avril,248,/tags/Sally%20Avril,c
Jason Ionello,58,/tags/Jason%20Ionello,c
J. Jonah Jameson/Peter Parker,2,/tags/J*d*%20Jonah%20Jameson*s*Peter%20Parker,r
Bruce Banner & Peter Parker & Tony Stark,183,/tags/Bruce%20Banner%20*a*%20Peter%20Parker%20*a*%20Tony%20Stark,r
Frank Castle & Peter Parker,179,/tags/Frank%20Castle%20*a*%20Peter%20Parker,r
Liz Allan/Max Dillon,0,/tags/Liz%20Allan*s*Max%20Dillon,r
Peter Parker/Steve Rogers/Tony Stark,115,/tags/Peter%20Parker*s*Steve%20Rogers*s*Tony%20Stark,r
Cindy Moon,929,/tags/Cindy%20Moon,c
Roger Harrington,616,/tags/Roger%20Harrington,c
Dmitri Smerdyakov,55,/tags/Dmitri%20Smerdyakov,c
Pietro Maximoff/Wanda Maximoff/Peter Parker,2,/tags/Pietro%20Maximoff*s*Wanda%20Maximoff*s*Peter%20Parker,r
Quentin Beck/Dmitri Smerdyakov,1,/tags/Quentin%20Beck*s*Dmitri%20Smerdyakov,r
Wanda Maximoff/Peter Parker,290,/tags/Wanda%20Maximoff*s*Peter%20Parker,r
Jarvis (Iron Man movies) & Peter Parker,21,/tags/Jarvis%20(Iron%20Man%20movies)%20*a*%20Peter%20Parker,r
"Franklin ""Foggy"" Nelson & Peter Parker",116,/tags/Franklin%20%22Foggy%22%20Nelson%20*a*%20Peter%20Parker,r
Peter Parker & Original Female Character(s),500,/tags/Peter%20Parker%20*a*%20Original%20Female%20Character(s),r
Ned Leeds,16797,/tags/Ned%20Leeds,c
Peter Parker & Pepper Potts,2895,/tags/Peter%20Parker%20*a*%20Pepper%20Potts,r
May Parker (Spider-Man)/Steve Rogers,10,/tags/May%20Parker%20(Spider-Man)*s*Steve%20Rogers,r
Harley Keener & Peter Parker,1912,/tags/Harley%20Keener%20*a*%20Peter%20Parker,r
Peter Parker/Stephen Strange,381,/tags/Peter%20Parker*s*Stephen%20Strange,r
Jackson Brice,40,/tags/Jackson%20Brice,c
Cassie Lang & Peter Parker,80,/tags/Cassie%20Lang%20*a*%20Peter%20Parker,r
Peter Parker & Original Character(s),199,/tags/Peter%20Parker%20*a*%20Original%20Character(s),r
Peter Parker & Other(s),14,/tags/Peter%20Parker%20*a*%20Other(s),r
