tag,count,href,category
Cherry Valance,61,/tags/Cherry%20Valance,c
Dallas Winston,1792,/tags/Dallas%20Winston,c
Johnny Cade,1628,/tags/Johnny%20Cade,c
Ponyboy Curtis,2039,/tags/Ponyboy%20Curtis,c
Johnny Cade/Dallas Winston,513,/tags/Johnny%20Cade*s*Dallas%20Winston,r
Sodapop Curtis,1652,/tags/Sodapop%20Curtis,c
"Sherri ""Cherry"" Valance",219,/tags/Sherri%20%22Cherry%22%20Valance,c
Steve Randle,1191,/tags/Steve%20Randle,c
Sodapop Curtis/Steve Randle,225,/tags/Sodapop%20Curtis*s*Steve%20Randle,r
Ponyboy Curtis/Sodapop Curtis,17,/tags/Ponyboy%20Curtis*s*Sodapop%20Curtis,r
Curly Shepard,362,/tags/Curly%20Shepard,c
"Sodapop Curtis/Sherri ""Cherry"" Valance",1,/tags/Sodapop%20Curtis*s*Sherri%20%22Cherry%22%20Valance,r
Two-Bit Mathews,1198,/tags/Two-Bit%20Mathews,c
Ponyboy Curtis/Two-Bit Mathews,16,/tags/Ponyboy%20Curtis*s*Two-Bit%20Mathews,r
Kathy (The Outsiders),20,/tags/Kathy%20(The%20Outsiders),c
Kathy/Two-Bit Mathews,9,/tags/Kathy*s*Two-Bit%20Mathews,r
Evie/Steve Randle,36,/tags/Evie*s*Steve%20Randle,r
Evie (The Outsiders),67,/tags/Evie%20(The%20Outsiders),c
Cathy Carlson/Ponyboy Curtis,2,/tags/Cathy%20Carlson*s*Ponyboy%20Curtis,r
Sandy (The Outsiders),73,/tags/Sandy%20(The%20Outsiders),c
Sodapop Curtis/Steve Randle/Sandy,2,/tags/Sodapop%20Curtis*s*Steve%20Randle*s*Sandy,r
Sodapop Curtis/Sandy,43,/tags/Sodapop%20Curtis*s*Sandy,r
Johnny Cade/Ponyboy Curtis,296,/tags/Johnny%20Cade*s*Ponyboy%20Curtis,r
Tim Shepard,426,/tags/Tim%20Shepard,c
Marcia (The Outsiders),132,/tags/Marcia%20(The%20Outsiders),c
"Belinda ""Scout"" Jenkins",5,/tags/Belinda%20%22Scout%22%20Jenkins,c
"Ponyboy Curtis/Belinda ""Scout"" Jenkins",3,/tags/Ponyboy%20Curtis*s*Belinda%20%22Scout%22%20Jenkins,r
Randy Adderson,118,/tags/Randy%20Adderson,c
Randy Adderson/Kathy,0,/tags/Randy%20Adderson*s*Kathy,r
Marcia/Bob Sheldon,0,/tags/Marcia*s*Bob%20Sheldon,r
Bob Sheldon,146,/tags/Bob%20Sheldon,c
Buck Merril,125,/tags/Buck%20Merril,c
Sodapop Curtis/Two-Bit Mathews,5,/tags/Sodapop%20Curtis*s*Two-Bit%20Mathews,r
Curly Shepard/Original Female Character(s),18,/tags/Curly%20Shepard*s*Original%20Female%20Character(s),r
Darrel Curtis/Original Female Character(s),33,/tags/Darrel%20Curtis*s*Original%20Female%20Character(s),r
Johnny Cade/Original Female Character(s),17,/tags/Johnny%20Cade*s*Original%20Female%20Character(s),r
Ponyboy Curtis/Original Male Character(s),32,/tags/Ponyboy%20Curtis*s*Original%20Male%20Character(s),r
Tim Shepard/Original Female Character(s),17,/tags/Tim%20Shepard*s*Original%20Female%20Character(s),r
Two-Bit Mathews/Original Female Character(s),19,/tags/Two-Bit%20Mathews*s*Original%20Female%20Character(s),r
Dallas Winston/Original Female Character(s),40,/tags/Dallas%20Winston*s*Original%20Female%20Character(s),r
Two-Bit Mathews & Original Female Character(s),4,/tags/Two-Bit%20Mathews%20*a*%20Original%20Female%20Character(s),r
Buck Merril & Original Female Character(s),0,/tags/Buck%20Merril%20*a*%20Original%20Female%20Character(s),r
Sylvia (The Outsiders),161,/tags/Sylvia%20(The%20Outsiders),c
Sylvia/Dallas Winston,62,/tags/Sylvia*s*Dallas%20Winston,r
Johnny Cade/Angela Shepard,2,/tags/Johnny%20Cade*s*Angela%20Shepard,r
Ponyboy Curtis/Angela Shepard,5,/tags/Ponyboy%20Curtis*s*Angela%20Shepard,r
Darrel Curtis/Angela Shepard,1,/tags/Darrel%20Curtis*s*Angela%20Shepard,r
"Tim Shepard/Sherri ""Cherry"" Valance",3,/tags/Tim%20Shepard*s*Sherri%20%22Cherry%22%20Valance,r
"Angela Shepard/Sherri ""Cherry"" Valance",4,/tags/Angela%20Shepard*s*Sherri%20%22Cherry%22%20Valance,r
"Marcia/Sherri ""Cherry"" Valance",25,/tags/Marcia*s*Sherri%20%22Cherry%22%20Valance,r
Sandy/Sylvia (The Outsiders),2,/tags/Sandy*s*Sylvia%20(The%20Outsiders),r
"Belinda ""Scout"" Jenkins/Curly Shepard",1,/tags/Belinda%20%22Scout%22%20Jenkins*s*Curly%20Shepard,r
Ponyboy Curtis/Original Female Character(s),20,/tags/Ponyboy%20Curtis*s*Original%20Female%20Character(s),r
Sodapop Curtis/Original Female Character(s),34,/tags/Sodapop%20Curtis*s*Original%20Female%20Character(s),r
Darrel Curtis/Two-Bit Mathews,82,/tags/Darrel%20Curtis*s*Two-Bit%20Mathews,r
Johnny Cade/Original Male Character(s),4,/tags/Johnny%20Cade*s*Original%20Male%20Character(s),r
Tim Shepard/Dallas Winston,72,/tags/Tim%20Shepard*s*Dallas%20Winston,r
"Ponyboy Curtis/Sherri ""Cherry"" Valance",10,/tags/Ponyboy%20Curtis*s*Sherri%20%22Cherry%22%20Valance,r
Socs,75,/tags/Socs,f
Darrel Curtis/Ponyboy Curtis,6,/tags/Darrel%20Curtis*s*Ponyboy%20Curtis,r
Darrel Curtis/Sodapop Curtis,1,/tags/Darrel%20Curtis*s*Sodapop%20Curtis,r
Sodapop Curtis & Steve Randle,63,/tags/Sodapop%20Curtis%20*a*%20Steve%20Randle,r
Ponyboy Curtis/Reader,22,/tags/Ponyboy%20Curtis*s*Reader,r
Two-Bit Mathews/Reader,16,/tags/Two-Bit%20Mathews*s*Reader,r
Darrel Curtis/Reader,43,/tags/Darrel%20Curtis*s*Reader,r
Dallas Winston/Reader,40,/tags/Dallas%20Winston*s*Reader,r
Johnny Cade/Reader,32,/tags/Johnny%20Cade*s*Reader,r
Sodapop Curtis/Reader,27,/tags/Sodapop%20Curtis*s*Reader,r
Two-Bit Mathews/Steve Randle,7,/tags/Two-Bit%20Mathews*s*Steve%20Randle,r
Steve Randle/Reader,8,/tags/Steve%20Randle*s*Reader,r
Darrel Curtis/Original Character(s),0,/tags/Darrel%20Curtis*s*Original%20Character(s),r
Dallas Winston/Original Character(s),7,/tags/Dallas%20Winston*s*Original%20Character(s),r
Johnny Cade/Ponyboy Curtis/Dallas Winston,8,/tags/Johnny%20Cade*s*Ponyboy%20Curtis*s*Dallas%20Winston,r
"Sherri ""Cherry"" Valance/Dallas Winston",14,/tags/Sherri%20%22Cherry%22%20Valance*s*Dallas%20Winston,r
Ponyboy Curtis/Original Character(s),4,/tags/Ponyboy%20Curtis*s*Original%20Character(s),r
Two-Bit Mathews/Dallas Winston,49,/tags/Two-Bit%20Mathews*s*Dallas%20Winston,r
Sodapop Curtis/Dallas Winston,68,/tags/Sodapop%20Curtis*s*Dallas%20Winston,r
Darrel Curtis/Sodapop Curtis/Two-Bit Mathews/Steve Randle/Dallas Winston,0,/tags/Darrel%20Curtis*s*Sodapop%20Curtis*s*Two-Bit%20Mathews*s*Steve%20Randle*s*Dallas%20Winston,r
Darrel Curtis/Ponyboy Curtis/Sodapop Curtis,2,/tags/Darrel%20Curtis*s*Ponyboy%20Curtis*s*Sodapop%20Curtis,r
Johnny Cade/Two-Bit Mathews/Dallas Winston,0,/tags/Johnny%20Cade*s*Two-Bit%20Mathews*s*Dallas%20Winston,r
Ponyboy Curtis/Dallas Winston,228,/tags/Ponyboy%20Curtis*s*Dallas%20Winston,r
"Bob Sheldon/Sherri ""Cherry"" Valance",24,/tags/Bob%20Sheldon*s*Sherri%20%22Cherry%22%20Valance,r
Darrel Curtis/You,12,/tags/Darrel%20Curtis*s*You,r
Sodapop Curtis/You,6,/tags/Sodapop%20Curtis*s*You,r
Ponyboy Curtis/You,4,/tags/Ponyboy%20Curtis*s*You,r
Johnny Cade/You,10,/tags/Johnny%20Cade*s*You,r
Two-Bit Mathews/You,4,/tags/Two-Bit%20Mathews*s*You,r
Steve Randle/You,2,/tags/Steve%20Randle*s*You,r
Sodapop Curtis & You,0,/tags/Sodapop%20Curtis%20*a*%20You,r
Ponyboy Curtis/Tim Shepard,11,/tags/Ponyboy%20Curtis*s*Tim%20Shepard,r
Ponyboy Curtis/Lana Del Rey,1,/tags/Ponyboy%20Curtis*s*Lana%20Del%20Rey,r
Johnny Cade/Lana Del Rey,1,/tags/Johnny%20Cade*s*Lana%20Del%20Rey,r
Ponyboy Curtis & Sodapop Curtis,102,/tags/Ponyboy%20Curtis%20*a*%20Sodapop%20Curtis,r
Ponyboy Curtis & Dallas Winston,107,/tags/Ponyboy%20Curtis%20*a*%20Dallas%20Winston,r
Two-Bit Mathews & Steve Randle,8,/tags/Two-Bit%20Mathews%20*a*%20Steve%20Randle,r
Johnny Cade & Ponyboy Curtis,199,/tags/Johnny%20Cade%20*a*%20Ponyboy%20Curtis,r
Darrel Curtis & Ponyboy Curtis & Sodapop Curtis,240,/tags/Darrel%20Curtis%20*a*%20Ponyboy%20Curtis%20*a*%20Sodapop%20Curtis,r
Two-Bit Mathews & Dallas Winston,28,/tags/Two-Bit%20Mathews%20*a*%20Dallas%20Winston,r
Darrel Curtis & Dallas Winston,22,/tags/Darrel%20Curtis%20*a*%20Dallas%20Winston,r
Sodapop Curtis & Dallas Winston,18,/tags/Sodapop%20Curtis%20*a*%20Dallas%20Winston,r
Steve Randle & Dallas Winston,8,/tags/Steve%20Randle%20*a*%20Dallas%20Winston,r
"Sherri ""Cherry"" Valance/Reader",1,/tags/Sherri%20%22Cherry%22%20Valance*s*Reader,r
Two-Bit Mathews' Sister,40,/tags/Two-Bit%20Mathews'%20Sister,c
Ponyboy Curtis/Curly Shepard,141,/tags/Ponyboy%20Curtis*s*Curly%20Shepard,r
Johnny Cade/Alex Turner (Musician),0,/tags/Johnny%20Cade*s*Alex%20Turner%20(Musician),r
Johnny Cade/Sodapop Curtis,8,/tags/Johnny%20Cade*s*Sodapop%20Curtis,r
Johnny Cade & Dallas Winston,137,/tags/Johnny%20Cade%20*a*%20Dallas%20Winston,r
Johnny Cade/Darrel Curtis,3,/tags/Johnny%20Cade*s*Darrel%20Curtis,r
Ponyboy Curtis/Ponyboy Curtis,0,/tags/Ponyboy%20Curtis*s*Ponyboy%20Curtis,r
Randy Adderson/Marcia,9,/tags/Randy%20Adderson*s*Marcia,r
Paul Holden,27,/tags/Paul%20Holden,c
Jerry Wood,5,/tags/Jerry%20Wood,c
Two-Bit Mathews/Tim Shepard,6,/tags/Two-Bit%20Mathews*s*Tim%20Shepard,r
Ponyboy Curtis/Steve Randle,58,/tags/Ponyboy%20Curtis*s*Steve%20Randle,r
Marcia/Two-Bit Mathews,14,/tags/Marcia*s*Two-Bit%20Mathews,r
Steve Randle/Tim Shepard,0,/tags/Steve%20Randle*s*Tim%20Shepard,r
Two-Bit Mathews/Original Character(s),2,/tags/Two-Bit%20Mathews*s*Original%20Character(s),r
Darrel Curtis/Original Male Character(s),7,/tags/Darrel%20Curtis*s*Original%20Male%20Character(s),r
POV Johnny Cade,6,/tags/POV%20Johnny%20Cade,f
Syme (The Outsiders),9,/tags/Syme%20(The%20Outsiders),c
Ponyboy Curtis/Other(s),1,/tags/Ponyboy%20Curtis*s*Other(s),r
Darrel Curtis/Steve Randle,4,/tags/Darrel%20Curtis*s*Steve%20Randle,r
Tim Shepard/Sylvia,7,/tags/Tim%20Shepard*s*Sylvia,r
Darrel Curtis & Ponyboy Curtis,80,/tags/Darrel%20Curtis%20*a*%20Ponyboy%20Curtis,r
Darrel Curtis/Tim Shepard,39,/tags/Darrel%20Curtis*s*Tim%20Shepard,r
"Sherri ""Cherry"" Valance/Original Character(s)",4,/tags/Sherri%20%22Cherry%22%20Valance*s*Original%20Character(s),r
Johnny Cade/Original Character(s),0,/tags/Johnny%20Cade*s*Original%20Character(s),r
Tim Shepard/Original Male Character(s),0,/tags/Tim%20Shepard*s*Original%20Male%20Character(s),r
Two-Bit Mathews/Original Male Character(s),1,/tags/Two-Bit%20Mathews*s*Original%20Male%20Character(s),r
Sodapop Curtis/Original Male Character(s),3,/tags/Sodapop%20Curtis*s*Original%20Male%20Character(s),r
Darrel Curtis/Dallas Winston,9,/tags/Darrel%20Curtis*s*Dallas%20Winston,r
Tim Shepard/Reader,0,/tags/Tim%20Shepard*s*Reader,r
Steve Randle/Dallas Winston,3,/tags/Steve%20Randle*s*Dallas%20Winston,r
Johnny Cade's Father,66,/tags/Johnny%20Cade's%20Father,c
Johnny Cade's Mother,83,/tags/Johnny%20Cade's%20Mother,c
Two-Bit Mathews' Father,11,/tags/Two-Bit%20Mathews'%20Father,c
Darrel Curtis & Sodapop Curtis,34,/tags/Darrel%20Curtis%20*a*%20Sodapop%20Curtis,r
Johnny Cade/Tim Shepard,15,/tags/Johnny%20Cade*s*Tim%20Shepard,r
Johnny Cade/Marcia,1,/tags/Johnny%20Cade*s*Marcia,r
Johnny Cade/Curly Shepard,1,/tags/Johnny%20Cade*s*Curly%20Shepard,r
Steve Randle/Original Character(s),4,/tags/Steve%20Randle*s*Original%20Character(s),r
Sylvia (The Outsiders)/Original Character(s),1,/tags/Sylvia%20(The%20Outsiders)*s*Original%20Character(s),r
"Evie/Sherri ""Cherry"" Valance",1,/tags/Evie*s*Sherri%20%22Cherry%22%20Valance,r
Darrel Curtis Sr.,130,/tags/Darrel%20Curtis%20Sr*d*,c
Tim Shepard & Original Female Character(s),1,/tags/Tim%20Shepard%20*a*%20Original%20Female%20Character(s),r
Two-Bit Mathews' Mother,34,/tags/Two-Bit%20Mathews'%20Mother,c
Darrel Curtis/Two-Bit Mathews/Dallas Winston,1,/tags/Darrel%20Curtis*s*Two-Bit%20Mathews*s*Dallas%20Winston,r
Randy Adderson/Ponyboy Curtis,11,/tags/Randy%20Adderson*s*Ponyboy%20Curtis,r
Judy Hensler/Curly Shepard,0,/tags/Judy%20Hensler*s*Curly%20Shepard,r
"Eddie Haskell/Belinda ""Scout"" Jenkins",0,/tags/Eddie%20Haskell*s*Belinda%20%22Scout%22%20Jenkins,r
Darrel Curtis Sr./Original Female Character(s),2,/tags/Darrel%20Curtis%20Sr*d**s*Original%20Female%20Character(s),r
Steve Randle & Original Female Character(s),2,/tags/Steve%20Randle%20*a*%20Original%20Female%20Character(s),r
