tag,count,href,category
Higurashi Kagome,9597,/tags/Higurashi%20Kagome,c
Higurashi Kagome/Miroku,46,/tags/Higurashi%20Kagome*s*Miroku,r
Takeda Kuranosuke,12,/tags/Takeda%20Kuranosuke,c
Rin (InuYasha),3105,/tags/Rin%20(InuYasha),c
Higurashi Kagome/Kouga,385,/tags/Higurashi%20Kagome*s*Kouga,r
Kanna (InuYasha),185,/tags/Kanna%20(InuYasha),c
Higurashi Kagome/Sesshoumaru,4132,/tags/Higurashi%20Kagome*s*Sesshoumaru,r
Bankotsu (InuYasha),318,/tags/Bankotsu%20(InuYasha),c
Hakudoushi (InuYasha),59,/tags/Hakudoushi%20(InuYasha),c
Hakkaku (InuYasha),215,/tags/Hakkaku%20(InuYasha),c
Hiten (InuYasha),64,/tags/Hiten%20(InuYasha),c
Higurashi Souta,522,/tags/Higurashi%20Souta,c
InuYasha (InuYasha),7244,/tags/InuYasha%20(InuYasha),c
Shippou (InuYasha),2087,/tags/Shippou%20(InuYasha),c
Souten (InuYasha),61,/tags/Souten%20(InuYasha),c
Jaken (InuYasha),1064,/tags/Jaken%20(InuYasha),c
Juuroumaru (InuYasha),8,/tags/Juuroumaru%20(InuYasha),c
Kagura (InuYasha),796,/tags/Kagura%20(InuYasha),c
Kirara (InuYasha),454,/tags/Kirara%20(InuYasha),c
Kikyou (InuYasha),1288,/tags/Kikyou%20(InuYasha),c
Kouga (InuYasha),1583,/tags/Kouga%20(InuYasha),c
Kaede (InuYasha),928,/tags/Kaede%20(InuYasha),c
Myouga (InuYasha),161,/tags/Myouga%20(InuYasha),c
Miroku (InuYasha),3279,/tags/Miroku%20(InuYasha),c
Naraku (InuYasha),1106,/tags/Naraku%20(InuYasha),c
Sango (InuYasha),3261,/tags/Sango%20(InuYasha),c
Mugen no Byakuya,4,/tags/Mugen%20no%20Byakuya,c
Sesshoumaru (InuYasha),7140,/tags/Sesshoumaru%20(InuYasha),c
Sesshoumaru's Mother (InuYasha),816,/tags/Sesshoumaru's%20Mother%20(InuYasha),c
Midoriko (InuYasha),132,/tags/Midoriko%20(InuYasha),c
Kohaku (InuYasha),632,/tags/Kohaku%20(InuYasha),c
Inutachi (InuYasha),22,/tags/Inutachi%20(InuYasha),c
Izayoi (InuYasha),541,/tags/Izayoi%20(InuYasha),c
Jakotsu (InuYasha),226,/tags/Jakotsu%20(InuYasha),c
Jinenji (InuYasha),97,/tags/Jinenji%20(InuYasha),c
Ginta (InuYasha),234,/tags/Ginta%20(InuYasha),c
Higurashi Kagome/Naraku,37,/tags/Higurashi%20Kagome*s*Naraku,r
Hoshiyomi (InuYasha),3,/tags/Hoshiyomi%20(InuYasha),c
Tsukiyomi (InuYasha),3,/tags/Tsukiyomi%20(InuYasha),c
Community: Iyhedonism,31,/tags/Community:%20Iyhedonism,f
Community: Inuromp,35,/tags/Community:%20Inuromp,f
Ayame (InuYasha),329,/tags/Ayame%20(InuYasha),c
Ayame/Kouga (InuYasha),140,/tags/Ayame*s*Kouga%20(InuYasha),r
Higurashi Kagome/Kikyou,45,/tags/Higurashi%20Kagome*s*Kikyou,r
Mugen no Byakuya/Sesshoumaru's Mother,0,/tags/Mugen%20no%20Byakuya*s*Sesshoumaru's%20Mother,r
Community: inuholidays,1,/tags/Community:%20inuholidays,f
Higurashi Kagome/InuYasha,4489,/tags/Higurashi%20Kagome*s*InuYasha,r
Higurashi Kagome/Kagura,6,/tags/Higurashi%20Kagome*s*Kagura,r
Hiten/Kouga (InuYasha),0,/tags/Hiten*s*Kouga%20(InuYasha),r
Kouga/Miroku (InuYasha),11,/tags/Kouga*s*Miroku%20(InuYasha),r
Kohaku/Sango (InuYasha),20,/tags/Kohaku*s*Sango%20(InuYasha),r
Kikyou/Miroku (InuYasha),4,/tags/Kikyou*s*Miroku%20(InuYasha),r
Kagura/Naraku (InuYasha),19,/tags/Kagura*s*Naraku%20(InuYasha),r
Miroku/Sango (InuYasha),1605,/tags/Miroku*s*Sango%20(InuYasha),r
Kouga/Shippou (InuYasha),5,/tags/Kouga*s*Shippou%20(InuYasha),r
Sango/Takeda Kuranosuke,3,/tags/Sango*s*Takeda%20Kuranosuke,r
Naraku/Sango (InuYasha),16,/tags/Naraku*s*Sango%20(InuYasha),r
Ayame/Higurashi Kagome,14,/tags/Ayame*s*Higurashi%20Kagome,r
