tag,count,href,category
Phil Coulson,41041,/tags/Phil%20Coulson,c
Maria Hill,16896,/tags/Maria%20Hill,c
Bobbi Morse,5600,/tags/Bobbi%20Morse,c
Nick Fury,29870,/tags/Nick%20Fury,c
Johnny Blaze,181,/tags/Johnny%20Blaze,c
Kara Lynn Palamas,455,/tags/Kara%20Lynn%20Palamas,c
Victoria Hand,542,/tags/Victoria%20Hand,c
Jasper Sitwell,1869,/tags/Jasper%20Sitwell,c
Sif (Marvel),7055,/tags/Sif%20(Marvel),c
Peggy Carter/Steve Rogers,6731,/tags/Peggy%20Carter*s*Steve%20Rogers,r
Lorelei (Marvel),268,/tags/Lorelei%20(Marvel),c
Phil Coulson/T'Challa,1,/tags/Phil%20Coulson*s*T'Challa,r
Thomas Ward,124,/tags/Thomas%20Ward,c
Nick Fury/Original Female Character(s),25,/tags/Nick%20Fury*s*Original%20Female%20Character(s),r
Glenn Talbot,124,/tags/Glenn%20Talbot,c
Clint Barton/Phil Coulson/Bobbi Morse,0,/tags/Clint%20Barton*s*Phil%20Coulson*s*Bobbi%20Morse,r
Melinda May,12302,/tags/Melinda%20May,c
Clint Barton/Bobbi Morse/Natasha Romanov,24,/tags/Clint%20Barton*s*Bobbi%20Morse*s*Natasha%20Romanov,r
Bobbi Morse/Natasha Romanov,74,/tags/Bobbi%20Morse*s*Natasha%20Romanov,r
Phil Coulson/Jasper Sitwell,13,/tags/Phil%20Coulson*s*Jasper%20Sitwell,r
Leo Fitz,14094,/tags/Leo%20Fitz,c
Jemma Simmons,17148,/tags/Jemma%20Simmons,c
"James ""Bucky"" Barnes/Clint Barton/Bobbi Morse/Natasha Romanov",3,/tags/James%20%22Bucky%22%20Barnes*s*Clint%20Barton*s*Bobbi%20Morse*s*Natasha%20Romanov,r
Phil Coulson/Steve Rogers/Johnny Storm,2,/tags/Phil%20Coulson*s*Steve%20Rogers*s*Johnny%20Storm,r
James Taylor James,13,/tags/James%20Taylor%20James,c
Hydra Agents,2138,/tags/Hydra%20Agents,c
Hoder (Marvel),15,/tags/Hoder%20(Marvel),c
Grant Ward,7446,/tags/Grant%20Ward,c
Lola (Agents of S.H.I.E.L.D.),222,/tags/Lola%20(Agents%20of%20S*d*H*d*I*d*E*d*L*d*D*d*),c
Phil Coulson & Original Female Character(s),34,/tags/Phil%20Coulson%20*a*%20Original%20Female%20Character(s),r
Phil Coulson/Melinda May,4074,/tags/Phil%20Coulson*s*Melinda%20May,r
Phil Coulson/Lola,10,/tags/Phil%20Coulson*s*Lola,r
Impala (Supernatural)/Lola (Agents of S.H.I.E.L.D.),5,/tags/Impala%20(Supernatural)*s*Lola%20(Agents%20of%20S*d*H*d*I*d*E*d*L*d*D*d*),r
SHIELD Agents & Staff,1173,/tags/SHIELD%20Agents%20*a*%20Staff,c
Leo Fitz & Jemma Simmons,2643,/tags/Leo%20Fitz%20*a*%20Jemma%20Simmons,r
The General Lee/Lola (Agents of S.H.I.E.L.D.),1,/tags/The%20General%20Lee*s*Lola%20(Agents%20of%20S*d*H*d*I*d*E*d*L*d*D*d*),r
Bessie (Doctor Who)/Lola (Agents of S.H.I.E.L.D.),1,/tags/Bessie%20(Doctor%20Who)*s*Lola%20(Agents%20of%20S*d*H*d*I*d*E*d*L*d*D*d*),r
Flying Ford Anglia/Lola (Agents of S.H.I.E.L.D.),1,/tags/Flying%20Ford%20Anglia*s*Lola%20(Agents%20of%20S*d*H*d*I*d*E*d*L*d*D*d*),r
Lola (Agents of S.H.I.E.L.D.) & Mystery Machine,1,/tags/Lola%20(Agents%20of%20S*d*H*d*I*d*E*d*L*d*D*d*)%20*a*%20Mystery%20Machine,r
Melinda May/Jasper Sitwell,11,/tags/Melinda%20May*s*Jasper%20Sitwell,r
Clint Barton/Phil Coulson/Lola,7,/tags/Clint%20Barton*s*Phil%20Coulson*s*Lola,r
Peggy Carter & Nick Fury,24,/tags/Peggy%20Carter%20*a*%20Nick%20Fury,r
Life Model Decoy Phil Coulson,60,/tags/Life%20Model%20Decoy%20Phil%20Coulson,c
Phil Coulson/Original Female Character(s),75,/tags/Phil%20Coulson*s*Original%20Female%20Character(s),r
Melinda May/Natasha Romanov,165,/tags/Melinda%20May*s*Natasha%20Romanov,r
Darcy Lewis & Sif,21,/tags/Darcy%20Lewis%20*a*%20Sif,r
Darcy Lewis/Melinda May,4,/tags/Darcy%20Lewis*s*Melinda%20May,r
Phil Coulson & Melinda May,1188,/tags/Phil%20Coulson%20*a*%20Melinda%20May,r
Maria Hill & Melinda May,93,/tags/Maria%20Hill%20*a*%20Melinda%20May,r
Phil Coulson & Maria Hill & Melinda May,7,/tags/Phil%20Coulson%20*a*%20Maria%20Hill%20*a*%20Melinda%20May,r
Phil Coulson & Lola,6,/tags/Phil%20Coulson%20*a*%20Lola,r
Lola & Tony Stark,1,/tags/Lola%20*a*%20Tony%20Stark,r
Leo Fitz/Grant Ward,381,/tags/Leo%20Fitz*s*Grant%20Ward,r
Leo Fitz/Jemma Simmons/Grant Ward,28,/tags/Leo%20Fitz*s*Jemma%20Simmons*s*Grant%20Ward,r
Phil Coulson/Leo Fitz/Jemma Simmons,8,/tags/Phil%20Coulson*s*Leo%20Fitz*s*Jemma%20Simmons,r
Streiten (Agents of S.H.I.E.L.D.),21,/tags/Streiten%20(Agents%20of%20S*d*H*d*I*d*E*d*L*d*D*d*),c
Mike Peterson,222,/tags/Mike%20Peterson,c
