tag,count,href,category
Chiba Mamoru/Tsukino Usagi,2174,/tags/Chiba%20Mamoru*s*Tsukino%20Usagi,r
Princess Serenity,409,/tags/Princess%20Serenity,c
Kino Makoto & Mizuno Ami,70,/tags/Kino%20Makoto%20*a*%20Mizuno%20Ami,r
Chiba Mamoru/Harry Potter,1,/tags/Chiba%20Mamoru*s*Harry%20Potter,r
Atem (Yu-Gi-Oh)/Tsukino Usagi,2,/tags/Atem%20(Yu-Gi-Oh)*s*Tsukino%20Usagi,r
Hino Rei/Original Character(s),3,/tags/Hino%20Rei*s*Original%20Character(s),r
Lilica Hubert,2,/tags/Lilica%20Hubert,c
Kaiou Michiru/Lincoln Loud,0,/tags/Kaiou%20Michiru*s*Lincoln%20Loud,r
Kurosaki Ichigo/Tsukino Usagi,1,/tags/Kurosaki%20Ichigo*s*Tsukino%20Usagi,r
Atem (Yu-Gi-Oh)/Princess Serenity,3,/tags/Atem%20(Yu-Gi-Oh)*s*Princess%20Serenity,r
Lena Luthor/Meiou Setsuna,0,/tags/Lena%20Luthor*s*Meiou%20Setsuna,r
Kino Makoto & Tony Stark,0,/tags/Kino%20Makoto%20*a*%20Tony%20Stark,r
Castor (Sailor Moon)/Reader,0,/tags/Castor%20(Sailor%20Moon)*s*Reader,r
Hino Rei/Mizuki (Kamisama Hajimemashita),0,/tags/Hino%20Rei*s*Mizuki%20(Kamisama%20Hajimemashita),r
Trunks Briefs/Princess Serenity,1,/tags/Trunks%20Briefs*s*Princess%20Serenity,r
Hino Rei/Vegeta (Dragon Ball),0,/tags/Hino%20Rei*s*Vegeta%20(Dragon%20Ball),r
Dead Moon Circus,3,/tags/Dead%20Moon%20Circus,f
Princess Serenity/Todoroki Shouto,0,/tags/Princess%20Serenity*s*Todoroki%20Shouto,r
Princess Serenity/Umino Gurio,0,/tags/Princess%20Serenity*s*Umino%20Gurio,r
Child Tomoe Hotaru,7,/tags/Child%20Tomoe%20Hotaru,f
Chiba Mamoru/Mazaki Anzu | Tea Gardner,0,/tags/Chiba%20Mamoru*s*Mazaki%20Anzu%20%7C%20Tea%20Gardner,r
Marik Ishtar/Tsukino Usagi,0,/tags/Marik%20Ishtar*s*Tsukino%20Usagi,r
Thief King Bakura/Princess Serenity,1,/tags/Thief%20King%20Bakura*s*Princess%20Serenity,r
Sirius Black/Princess Serenity,3,/tags/Sirius%20Black*s*Princess%20Serenity,r
Tsukino Usagi & Yagi Toshinori | All Might,0,/tags/Tsukino%20Usagi%20*a*%20Yagi%20Toshinori%20%7C%20All%20Might,r
Kujo Jotaro/Tsukino Usagi,0,/tags/Kujo%20Jotaro*s*Tsukino%20Usagi,r
Sailor Moon Influence/References,77,/tags/Sailor%20Moon%20Influence*s*References,f
Sailor Moon R: Makaiju Arc,10,/tags/Sailor%20Moon%20R:%20Makaiju%20Arc,f
Tieria Erde/Mizuno Ami,2,/tags/Tieria%20Erde*s*Mizuno%20Ami,r
Edo Phoenix | Aster Phoenix/Tomoe Hotaru,0,/tags/Edo%20Phoenix%20%7C%20Aster%20Phoenix*s*Tomoe%20Hotaru,r
Kino Makoto/Shibayama Junpei | J.P. Shibayama,0,/tags/Kino%20Makoto*s*Shibayama%20Junpei%20%7C%20J*d*P*d*%20Shibayama,r
Princess Serenity & Queen Serenity,13,/tags/Princess%20Serenity%20*a*%20Queen%20Serenity,r
Prince Dimande/Princess Serenity (Sailor Moon),9,/tags/Prince%20Dimande*s*Princess%20Serenity%20(Sailor%20Moon),r
Apollo (Ancient Greek Religion & Lore)/Princess Serenity (Sailor Moon),0,/tags/Apollo%20(Ancient%20Greek%20Religion%20*a*%20Lore)*s*Princess%20Serenity%20(Sailor%20Moon),r
Chiba Mamoru/Princess Serenity,3,/tags/Chiba%20Mamoru*s*Princess%20Serenity,r
Sensei | All For One & Tsukino Usagi,0,/tags/Sensei%20%7C%20All%20For%20One%20*a*%20Tsukino%20Usagi,r
Princess Serenity (Sailor Moon)/Sesshoumaru (InuYasha),0,/tags/Princess%20Serenity%20(Sailor%20Moon)*s*Sesshoumaru%20(InuYasha),r
Sailor Moon R: Breakup Arc,7,/tags/Sailor%20Moon%20R:%20Breakup%20Arc,f
Akasaka Keiichirou/Meiou Setsuna,4,/tags/Akasaka%20Keiichirou*s*Meiou%20Setsuna,r
Tsukino Usagi/Xenian Flower,1,/tags/Tsukino%20Usagi*s*Xenian%20Flower,r
Xenian Flower,1,/tags/Xenian%20Flower,c
Hermione Granger/Remus Lupin/Princess Serenity,0,/tags/Hermione%20Granger*s*Remus%20Lupin*s*Princess%20Serenity,r
Aino Minako & Emiya Shirou,1,/tags/Aino%20Minako%20*a*%20Emiya%20Shirou,r
Setsuna F. Seiei/Tomoe Hotaru,1,/tags/Setsuna%20F*d*%20Seiei*s*Tomoe%20Hotaru,r
Natsu Dragneel/Kaiou Michiru,1,/tags/Natsu%20Dragneel*s*Kaiou%20Michiru,r
Prince Endymion & Princess Serenity,10,/tags/Prince%20Endymion%20*a*%20Princess%20Serenity,r
Serizawa Mii & Tsukino Usagi,0,/tags/Serizawa%20Mii%20*a*%20Tsukino%20Usagi,r
Tsukino Usagi & Ujou Yuuma,0,/tags/Tsukino%20Usagi%20*a*%20Ujou%20Yuuma,r
Kagami Shinogu/Tsukino Usagi,0,/tags/Kagami%20Shinogu*s*Tsukino%20Usagi,r
Kunzite/Princess Serenity,2,/tags/Kunzite*s*Princess%20Serenity,r
Isami Aldini/Kino Makoto,1,/tags/Isami%20Aldini*s*Kino%20Makoto,r
Princess Serenity & Inner Senshi,11,/tags/Princess%20Serenity%20*a*%20Inner%20Senshi,r
Episode: e046 Usagi's Everlasting Wish! A New Reincarnation,0,/tags/Episode:%20e046%20Usagi's%20Everlasting%20Wish!%20A%20New%20Reincarnation,f
Takumi Aldini/Mizuno Ami,0,/tags/Takumi%20Aldini*s*Mizuno%20Ami,r
Marik Ishtar & Tsukino Usagi,0,/tags/Marik%20Ishtar%20*a*%20Tsukino%20Usagi,r
Episode: e058 Disconnecting Love: The Raging Makai Tree,1,/tags/Episode:%20e058%20Disconnecting%20Love:%20The%20Raging%20Makai%20Tree,f
Episode: e029 Total Chaos: The Messy Love Rectangle,1,/tags/Episode:%20e029%20Total%20Chaos:%20The%20Messy%20Love%20Rectangle,f
Episode: e034 The Shining Silver Crystal: The Moon Princess Appears,0,/tags/Episode:%20e034%20The%20Shining%20Silver%20Crystal:%20The%20Moon%20Princess%20Appears,f
Prince Dimande & Princess Serenity,2,/tags/Prince%20Dimande%20*a*%20Princess%20Serenity,r
Tsutomu Asai,2,/tags/Tsutomu%20Asai,c
