tag,count,href,category
Napoleon Solo,7618,/tags/Napoleon%20Solo,c
Illya Kuryakin,7718,/tags/Illya%20Kuryakin,c
Alexander Waverly,1498,/tags/Alexander%20Waverly,c
Illya Kuryakin/Napoleon Solo,5256,/tags/Illya%20Kuryakin*s*Napoleon%20Solo,r
Community: mfuwss,9,/tags/Community:%20mfuwss,f
Illya Kuryakin & Napoleon Solo,1056,/tags/Illya%20Kuryakin%20*a*%20Napoleon%20Solo,r
Illya Kuryakin/Original Character(s),30,/tags/Illya%20Kuryakin*s*Original%20Character(s),r
Napoleon Solo/Original Female Character(s),113,/tags/Napoleon%20Solo*s*Original%20Female%20Character(s),r
Napoleon Solo/Original Male Character(s),14,/tags/Napoleon%20Solo*s*Original%20Male%20Character(s),r
Illya Kuryakin/Other(s),5,/tags/Illya%20Kuryakin*s*Other(s),r
Illya Kuryakin/Original Female Character(s),94,/tags/Illya%20Kuryakin*s*Original%20Female%20Character(s),r
Illya Kuryakin/Mark Slate,2,/tags/Illya%20Kuryakin*s*Mark%20Slate,r
Illya Kuryakin/Napoleon Solo/Gaby Teller,665,/tags/Illya%20Kuryakin*s*Napoleon%20Solo*s*Gaby%20Teller,r
Gaby Teller,2550,/tags/Gaby%20Teller,c
Illya Kuryakin/Napoleon Solo/Other(s),2,/tags/Illya%20Kuryakin*s*Napoleon%20Solo*s*Other(s),r
Illya Kuryakin/Gaby Teller,1107,/tags/Illya%20Kuryakin*s*Gaby%20Teller,r
Victoria Vinciguerra,109,/tags/Victoria%20Vinciguerra,c
Napoleon Solo/Victoria Vinciguerra,11,/tags/Napoleon%20Solo*s*Victoria%20Vinciguerra,r
Napoleon Solo & Gaby Teller,157,/tags/Napoleon%20Solo%20*a*%20Gaby%20Teller,r
Napoleon Solo/Original Character(s),8,/tags/Napoleon%20Solo*s*Original%20Character(s),r
Illya Kuryakin & Gaby Teller,139,/tags/Illya%20Kuryakin%20*a*%20Gaby%20Teller,r
Napoleon Solo/Gaby Teller,123,/tags/Napoleon%20Solo*s*Gaby%20Teller,r
Napoleon Solo/Alexander Waverly,8,/tags/Napoleon%20Solo*s*Alexander%20Waverly,r
Gaby Teller/Victoria Vinciguerra,5,/tags/Gaby%20Teller*s*Victoria%20Vinciguerra,r
Gaby Teller/Alexander Waverly,24,/tags/Gaby%20Teller*s*Alexander%20Waverly,r
Gaby Teller & Alexander Waverly,21,/tags/Gaby%20Teller%20*a*%20Alexander%20Waverly,r
Uncle Rudi (Man from U.N.C.L.E),32,/tags/Uncle%20Rudi%20(Man%20from%20U*d*N*d*C*d*L*d*E),c
Napoleon Solo's Mother,12,/tags/Napoleon%20Solo's%20Mother,c
Udo Teller,14,/tags/Udo%20Teller,c
Alexander Vinciguerra,43,/tags/Alexander%20Vinciguerra,c
Napoleon Solo/Others,20,/tags/Napoleon%20Solo*s*Others,r
The Doctor (Doctor Who)/Gaby Teller,0,/tags/The%20Doctor%20(Doctor%20Who)*s*Gaby%20Teller,r
Clark Kent/Illya Kuryakin,1,/tags/Clark%20Kent*s*Illya%20Kuryakin,r
Jack Harkness/Napoleon Solo,0,/tags/Jack%20Harkness*s*Napoleon%20Solo,r
Illya Kuryakin & Napoleon Solo & Gaby Teller,308,/tags/Illya%20Kuryakin%20*a*%20Napoleon%20Solo%20*a*%20Gaby%20Teller,r
Implied Illya Kuryakin/Gaby Teller,13,/tags/Implied%20Illya%20Kuryakin*s*Gaby%20Teller,f
James Bond/Illya Kuryakin,1,/tags/James%20Bond*s*Illya%20Kuryakin,r
Illya Kuryakin/Alexander Waverly,5,/tags/Illya%20Kuryakin*s*Alexander%20Waverly,r
Neal Caffrey & Illya Kuryakin,0,/tags/Neal%20Caffrey%20*a*%20Illya%20Kuryakin,r
James Bond/Illya Kuryakin/Loki (Marvel)/Alec Trevelyan,0,/tags/James%20Bond*s*Illya%20Kuryakin*s*Loki%20(Marvel)*s*Alec%20Trevelyan,r
Gaby Teller/Original Female Character(s),2,/tags/Gaby%20Teller*s*Original%20Female%20Character(s),r
Steve Rogers/Napoleon Solo,1,/tags/Steve%20Rogers*s*Napoleon%20Solo,r
Napoleon Solo & Alexander Waverly,14,/tags/Napoleon%20Solo%20*a*%20Alexander%20Waverly,r
Napoleon Solo/Victoria Vinciguerra/Original Character(s),0,/tags/Napoleon%20Solo*s*Victoria%20Vinciguerra*s*Original%20Character(s),r
Napoleon Solo Ships Illya Kuryakin/Gaby Teller,27,/tags/Napoleon%20Solo%20Ships%20Illya%20Kuryakin*s*Gaby%20Teller,f
Minor Illya Kuryakin/Gaby Teller,4,/tags/Minor%20Illya%20Kuryakin*s*Gaby%20Teller,f
Oleg (Man From U.N.C.L.E),77,/tags/Oleg%20(Man%20From%20U*d*N*d*C*d*L*d*E),c
Gaby Teller/Original Character(s),5,/tags/Gaby%20Teller*s*Original%20Character(s),r
Alpha Illya Kuryakin,6,/tags/Alpha%20Illya%20Kuryakin,f
Top Illya Kuryakin,27,/tags/Top%20Illya%20Kuryakin,f
Napoleon Solo/Clara Valder,2,/tags/Napoleon%20Solo*s*Clara%20Valder,r
BAMF Gaby Teller,3,/tags/BAMF%20Gaby%20Teller,f
Gaby Teller/Sam Winchester,1,/tags/Gaby%20Teller*s*Sam%20Winchester,r
Illya's Mother,23,/tags/Illya's%20Mother,c
"James ""Bucky"" Barnes/Illya Kuryakin",0,/tags/James%20%22Bucky%22%20Barnes*s*Illya%20Kuryakin,r
Alexander Vinciguerra/Victoria Vinciguerra,7,/tags/Alexander%20Vinciguerra*s*Victoria%20Vinciguerra,r
Illya Kuryakin/Oleg,3,/tags/Illya%20Kuryakin*s*Oleg,r
Henry Cavill/Illya Kuryakin,0,/tags/Henry%20Cavill*s*Illya%20Kuryakin,r
Bottom Napoleon Solo,29,/tags/Bottom%20Napoleon%20Solo,f
Omega Napoleon Solo,4,/tags/Omega%20Napoleon%20Solo,f
Peggy Carter/Napoleon Solo,1,/tags/Peggy%20Carter*s*Napoleon%20Solo,r
Jealous Illya Kuryakin,6,/tags/Jealous%20Illya%20Kuryakin,f
