tag,count,href,category
Rue Bennett,1240,/tags/Rue%20Bennett,c
Jules Vaughn,717,/tags/Jules%20Vaughn,c
Rue Bennett/Jules Vaughn,360,/tags/Rue%20Bennett*s*Jules%20Vaughn,r
Rue Bennett & Jules Vaughn,74,/tags/Rue%20Bennett%20*a*%20Jules%20Vaughn,r
Gia Bennett,148,/tags/Gia%20Bennett,c
Nate Jacobs,511,/tags/Nate%20Jacobs,c
Maddy Perez,715,/tags/Maddy%20Perez,c
Lexi Howard,1891,/tags/Lexi%20Howard,c
Cassie Howard,963,/tags/Cassie%20Howard,c
Cal Jacobs,110,/tags/Cal%20Jacobs,c
Suze Howard,360,/tags/Suze%20Howard,c
Ashtray (Euphoria),771,/tags/Ashtray%20(Euphoria),c
Fezco (Euphoria),1692,/tags/Fezco%20(Euphoria),c
Kat Hernandez,400,/tags/Kat%20Hernandez,c
Ali (Euphoria),39,/tags/Ali%20(Euphoria),c
Ali & Rue Bennett,8,/tags/Ali%20*a*%20Rue%20Bennett,r
Rue Bennett/Fezco,10,/tags/Rue%20Bennett*s*Fezco,r
Gia Bennett & Rue Bennett,26,/tags/Gia%20Bennett%20*a*%20Rue%20Bennett,r
Leslie Bennett (Euphoria),103,/tags/Leslie%20Bennett%20(Euphoria),c
Leslie Bennett & Rue Bennett,8,/tags/Leslie%20Bennett%20*a*%20Rue%20Bennett,r
Rue Bennett/Lexi Howard,225,/tags/Rue%20Bennett*s*Lexi%20Howard,r
Rue Bennett & Lexi Howard,119,/tags/Rue%20Bennett%20*a*%20Lexi%20Howard,r
Kat Hernandez/Ethan Lewis,27,/tags/Kat%20Hernandez*s*Ethan%20Lewis,r
Nate Jacobs/Jules Vaughn,34,/tags/Nate%20Jacobs*s*Jules%20Vaughn,r
Cassie Howard & Lexi Howard,117,/tags/Cassie%20Howard%20*a*%20Lexi%20Howard,r
Lexi Howard/Maddy Perez,28,/tags/Lexi%20Howard*s*Maddy%20Perez,r
Nate Jacobs/Maddy Perez,75,/tags/Nate%20Jacobs*s*Maddy%20Perez,r
David Vaughn,23,/tags/David%20Vaughn,c
Fezco (Euphoria)/You,37,/tags/Fezco%20(Euphoria)*s*You,r
Chris McKay,81,/tags/Chris%20McKay,c
Cassie Howard/Maddy Perez,173,/tags/Cassie%20Howard*s*Maddy%20Perez,r
Nate Jacobs/Original Female Character(s),13,/tags/Nate%20Jacobs*s*Original%20Female%20Character(s),r
Rue Bennett/Original Female Character(s),13,/tags/Rue%20Bennett*s*Original%20Female%20Character(s),r
Rue Bennett & Fezco,86,/tags/Rue%20Bennett%20*a*%20Fezco,r
Rue Bennett/Nate Jacobs,12,/tags/Rue%20Bennett*s*Nate%20Jacobs,r
Fezco (Euphoria)/Original Female Character(s),56,/tags/Fezco%20(Euphoria)*s*Original%20Female%20Character(s),r
Rue Bennett & Peter Parker,2,/tags/Rue%20Bennett%20*a*%20Peter%20Parker,r
Nate Jacobs & Maddy Perez,6,/tags/Nate%20Jacobs%20*a*%20Maddy%20Perez,r
Anna/Jules Vaughn,4,/tags/Anna*s*Jules%20Vaughn,r
Anna (Euphoria),5,/tags/Anna%20(Euphoria),c
TC (Euphoria),6,/tags/TC%20(Euphoria),c
Cassie Howard/Chris Mckay,20,/tags/Cassie%20Howard*s*Chris%20Mckay,r
Inspired by Euphoria (TV 2019),220,/tags/Inspired%20by%20Euphoria%20(TV%202019),f
Episode: s01e08 And Salt the Earth Behind You,6,/tags/Episode:%20s01e08%20And%20Salt%20the%20Earth%20Behind%20You,f
Nate Jacobs/Chris McKay,3,/tags/Nate%20Jacobs*s*Chris%20McKay,r
Cassie Howard & Maddy Perez,38,/tags/Cassie%20Howard%20*a*%20Maddy%20Perez,r
Lexi Howard/You,1,/tags/Lexi%20Howard*s*You,r
Maddy Perez/You,8,/tags/Maddy%20Perez*s*You,r
Gia Bennett & Lexi Howard,5,/tags/Gia%20Bennett%20*a*%20Lexi%20Howard,r
Rue Bennett & Cassie Howard,27,/tags/Rue%20Bennett%20*a*%20Cassie%20Howard,r
Tucker Blake,27,/tags/Tucker%20Blake,c
Principal Hayes (Euphoria),1,/tags/Principal%20Hayes%20(Euphoria),c
BB (Euphoria),64,/tags/BB%20(Euphoria),c
Dick Grayson & Jules Vaughn,0,/tags/Dick%20Grayson%20*a*%20Jules%20Vaughn,r
Dick Grayson & Cassie Howard,0,/tags/Dick%20Grayson%20*a*%20Cassie%20Howard,r
Dick Grayson & Nate Jacobs,0,/tags/Dick%20Grayson%20*a*%20Nate%20Jacobs,r
Rue Bennett & Dick Grayson,0,/tags/Rue%20Bennett%20*a*%20Dick%20Grayson,r
Lexi Howard & Suze Howard,13,/tags/Lexi%20Howard%20*a*%20Suze%20Howard,r
Cassie Howard & Suze Howard,7,/tags/Cassie%20Howard%20*a*%20Suze%20Howard,r
Leslie Bennett & Lexi Howard,1,/tags/Leslie%20Bennett%20*a*%20Lexi%20Howard,r
Gia Bennett/Roy McKay,2,/tags/Gia%20Bennett*s*Roy%20McKay,r
Gia Bennett/Troy McKay,2,/tags/Gia%20Bennett*s*Troy%20McKay,r
Daniel (Euphoria),11,/tags/Daniel%20(Euphoria),c
Troy McKay,5,/tags/Troy%20McKay,c
Rick (Euphoria),1,/tags/Rick%20(Euphoria),c
Roy McKay,2,/tags/Roy%20McKay,c
Lexi Howard/Ned Leeds,0,/tags/Lexi%20Howard*s*Ned%20Leeds,r
Tyler Clarkson,6,/tags/Tyler%20Clarkson,c
BB & Lexi Howard,0,/tags/BB%20*a*%20Lexi%20Howard,r
Cal Jacobs & Nate Jacobs,2,/tags/Cal%20Jacobs%20*a*%20Nate%20Jacobs,r
Aaron Jacobs/Nate Jacobs,0,/tags/Aaron%20Jacobs*s*Nate%20Jacobs,r
Aaron Jacobs (Euphoria),10,/tags/Aaron%20Jacobs%20(Euphoria),c
Rue Bennett/You,16,/tags/Rue%20Bennett*s*You,r
Cal Jacobs/Nate Jacobs,3,/tags/Cal%20Jacobs*s*Nate%20Jacobs,r
Aaron Jacobs/Cal Jacobs/Nate Jacobs,0,/tags/Aaron%20Jacobs*s*Cal%20Jacobs*s*Nate%20Jacobs,r
Rue Bennett/Fezco/Original Character(s),0,/tags/Rue%20Bennett*s*Fezco*s*Original%20Character(s),r
Episode: s01e03 Made You Look,0,/tags/Episode:%20s01e03%20Made%20You%20Look,f
Episode: s01e04 Shook One: Pt II,1,/tags/Episode:%20s01e04%20Shook%20One:%20Pt%20II,f
Daniel/Kat Hernandez,0,/tags/Daniel*s*Kat%20Hernandez,r
Luke Kasten,3,/tags/Luke%20Kasten,c
Maddy Perez/Original Character(s),5,/tags/Maddy%20Perez*s*Original%20Character(s),r
Maddy Perez/Original Female Character(s),14,/tags/Maddy%20Perez*s*Original%20Female%20Character(s),r
Lexi Howard & Maddy Perez,27,/tags/Lexi%20Howard%20*a*%20Maddy%20Perez,r
Kat Hernandez/Cassie Howard,1,/tags/Kat%20Hernandez*s*Cassie%20Howard,r
Rue Bennett/Fezco/Jules Vaughn,1,/tags/Rue%20Bennett*s*Fezco*s*Jules%20Vaughn,r
Rue Bennett/Fezco/Jules Vaughn/Original Character(s),1,/tags/Rue%20Bennett*s*Fezco*s*Jules%20Vaughn*s*Original%20Character(s),r
Gia Bennett/Roy McKay/Troy McKay/Original Character(s),0,/tags/Gia%20Bennett*s*Roy%20McKay*s*Troy%20McKay*s*Original%20Character(s),r
Bisexual Maddy Perez,45,/tags/Bisexual%20Maddy%20Perez,f
Bisexual Cassie Howard,17,/tags/Bisexual%20Cassie%20Howard,f
Cal Jacobs/You,0,/tags/Cal%20Jacobs*s*You,r
