tag,count,href,category
John Henry Eden,23,/tags/John%20Henry%20Eden,c
Arthur Maxson,1260,/tags/Arthur%20Maxson,c
Madison Li,137,/tags/Madison%20Li,c
Lucy (Fallout),41,/tags/Lucy%20(Fallout),c
Harold (Fallout),9,/tags/Harold%20(Fallout),c
Community: falloutkinkmeme,64,/tags/Community:%20falloutkinkmeme,f
Dr. Zimmer (Fallout),6,/tags/Dr*d*%20Zimmer%20(Fallout),c
Robert Joseph MacCready,2388,/tags/Robert%20Joseph%20MacCready,c
Catherine/Madison Li,3,/tags/Catherine*s*Madison%20Li,r
Sole Survivor (Fallout),2709,/tags/Sole%20Survivor%20(Fallout),c
Dogmeat/Female Lone Wanderer,3,/tags/Dogmeat*s*Female%20Lone%20Wanderer,r
Preston Garvey,1917,/tags/Preston%20Garvey,c
Nick Valentine,3029,/tags/Nick%20Valentine,c
Piper Wright,1860,/tags/Piper%20Wright,c
Fallout 4 Spoilers,85,/tags/Fallout%204%20Spoilers,f
Paladin Danse/Male Sole Survivor,363,/tags/Paladin%20Danse*s*Male%20Sole%20Survivor,r
Female Sole Survivor/Male Sole Survivor,214,/tags/Female%20Sole%20Survivor*s*Male%20Sole%20Survivor,r
Male Sole Survivor/Piper Wright,154,/tags/Male%20Sole%20Survivor*s*Piper%20Wright,r
Curie (Fallout),665,/tags/Curie%20(Fallout),c
Deacon/Female Sole Survivor,636,/tags/Deacon*s*Female%20Sole%20Survivor,r
Sole Survivor/Nick Valentine,451,/tags/Sole%20Survivor*s*Nick%20Valentine,r
Female Sole Survivor/Nick Valentine,691,/tags/Female%20Sole%20Survivor*s*Nick%20Valentine,r
Cait (Fallout),879,/tags/Cait%20(Fallout),c
John Hancock/Female Sole Survivor,1200,/tags/John%20Hancock*s*Female%20Sole%20Survivor,r
Codsworth (Fallout),745,/tags/Codsworth%20(Fallout),c
Codsworth/Female Sole Survivor,8,/tags/Codsworth*s*Female%20Sole%20Survivor,r
Deacon (Fallout),2042,/tags/Deacon%20(Fallout),c
Justin Ayo,43,/tags/Justin%20Ayo,c
Female Sole Survivor/Piper Wright,461,/tags/Female%20Sole%20Survivor*s*Piper%20Wright,r
Strong (Fallout),274,/tags/Strong%20(Fallout),c
Eddie Winter,26,/tags/Eddie%20Winter,c
Preston Garvey/Sole Survivor,182,/tags/Preston%20Garvey*s*Sole%20Survivor,r
Paladin Danse/Female Sole Survivor,833,/tags/Paladin%20Danse*s*Female%20Sole%20Survivor,r
Deacon & Female Sole Survivor,111,/tags/Deacon%20*a*%20Female%20Sole%20Survivor,r
John Hancock/Male Sole Survivor,248,/tags/John%20Hancock*s*Male%20Sole%20Survivor,r
Robert Joseph MacCready/Female Sole Survivor,843,/tags/Robert%20Joseph%20MacCready*s*Female%20Sole%20Survivor,r
Male Sole Survivor/Nick Valentine,195,/tags/Male%20Sole%20Survivor*s*Nick%20Valentine,r
John Hancock (Fallout),2891,/tags/John%20Hancock%20(Fallout),c
Nick Valentine/Reader,39,/tags/Nick%20Valentine*s*Reader,r
Preston Garvey/John Hancock/Sole Survivor,2,/tags/Preston%20Garvey*s*John%20Hancock*s*Sole%20Survivor,r
Cait/Female Sole Survivor,148,/tags/Cait*s*Female%20Sole%20Survivor,r
Sole Survivor/Piper Wright,91,/tags/Sole%20Survivor*s*Piper%20Wright,r
Nate (Fallout),401,/tags/Nate%20(Fallout),c
Preston Garvey/Male Sole Survivor,68,/tags/Preston%20Garvey*s*Male%20Sole%20Survivor,r
Preston Garvey/Female Sole Survivor,147,/tags/Preston%20Garvey*s*Female%20Sole%20Survivor,r
Robert Joseph MacCready/Sole Survivor,382,/tags/Robert%20Joseph%20MacCready*s*Sole%20Survivor,r
Post-Blind Betrayal,168,/tags/Post-Blind%20Betrayal,f
Arthur Maxson/Sole Survivor,258,/tags/Arthur%20Maxson*s*Sole%20Survivor,r
Arthur Maxson/Female Sole Survivor,513,/tags/Arthur%20Maxson*s*Female%20Sole%20Survivor,r
Curie/Female Sole Survivor,74,/tags/Curie*s*Female%20Sole%20Survivor,r
Curie/Curie (Fallout),0,/tags/Curie*s*Curie%20(Fallout),r
Robert Joseph MacCready/Nick Valentine,7,/tags/Robert%20Joseph%20MacCready*s*Nick%20Valentine,r
Deathclaw(s),73,/tags/Deathclaw(s),c
Robert Joseph MacCready/Male Sole Survivor,344,/tags/Robert%20Joseph%20MacCready*s*Male%20Sole%20Survivor,r
Nat Wright,258,/tags/Nat%20Wright,c
Myrna (Fallout),16,/tags/Myrna%20(Fallout),c
Ronnie Shaw,85,/tags/Ronnie%20Shaw,c
Ellie Perkins,329,/tags/Ellie%20Perkins,c
Gavin Free/Ryan Haywood/Travis Miles,0,/tags/Gavin%20Free*s*Ryan%20Haywood*s*Travis%20Miles,r
Travis Miles,120,/tags/Travis%20Miles,c
Brian Virgil,62,/tags/Brian%20Virgil,c
Female Lone Wanderer/Arthur Maxson,22,/tags/Female%20Lone%20Wanderer*s*Arthur%20Maxson,r
Nora (Fallout),378,/tags/Nora%20(Fallout),c
Curie/Piper Wright,11,/tags/Curie*s*Piper%20Wright,r
Female Sole Survivor & Nick Valentine,141,/tags/Female%20Sole%20Survivor%20*a*%20Nick%20Valentine,r
X6-88,444,/tags/X6-88,c
Daisy (Fallout),70,/tags/Daisy%20(Fallout),c
John Hancock/Nick Valentine,151,/tags/John%20Hancock*s*Nick%20Valentine,r
Vadim Bobrov,96,/tags/Vadim%20Bobrov,c
Arthur Maxson/Male Sole Survivor,69,/tags/Arthur%20Maxson*s*Male%20Sole%20Survivor,r
Sturges (Fallout),492,/tags/Sturges%20(Fallout),c
John Hancock/Female Sole Survivor/Piper Wright,0,/tags/John%20Hancock*s*Female%20Sole%20Survivor*s*Piper%20Wright,r
Lone Wanderer/Sole Survivor,1,/tags/Lone%20Wanderer*s*Sole%20Survivor,r
Cait/Male Sole Survivor,53,/tags/Cait*s*Male%20Sole%20Survivor,r
John Hancock/Male Sole Survivor/Piper Wright,0,/tags/John%20Hancock*s*Male%20Sole%20Survivor*s*Piper%20Wright,r
John Hancock/Sole Survivor/Piper Wright,0,/tags/John%20Hancock*s*Sole%20Survivor*s*Piper%20Wright,r
Cait/Curie (Fallout),23,/tags/Cait*s*Curie%20(Fallout),r
Magnolia (Fallout),217,/tags/Magnolia%20(Fallout),c
S9-23,5,/tags/S9-23,c
Female Sole Survivor/Vault-Tec Representative,10,/tags/Female%20Sole%20Survivor*s*Vault-Tec%20Representative,r
Vault-Tec Representative,64,/tags/Vault-Tec%20Representative,c
Kent Connolly,132,/tags/Kent%20Connolly,c
Irma (Fallout),68,/tags/Irma%20(Fallout),c
Allie Filmore,21,/tags/Allie%20Filmore,c
Alan Binet,17,/tags/Alan%20Binet,c
Arthur Maxson/Reader,7,/tags/Arthur%20Maxson*s*Reader,r
Doctor Amari (Fallout),137,/tags/Doctor%20Amari%20(Fallout),c
Conrad Kellogg,237,/tags/Conrad%20Kellogg,c
Whitechapel Charlie,140,/tags/Whitechapel%20Charlie,c
Gwen McNamara,12,/tags/Gwen%20McNamara,c
Tina de Luca,5,/tags/Tina%20de%20Luca,c
Bobby de Luca,5,/tags/Bobby%20de%20Luca,c
Desdemona (Fallout),429,/tags/Desdemona%20(Fallout),c
Cait/Female Sole Survivor/Piper Wright,9,/tags/Cait*s*Female%20Sole%20Survivor*s*Piper%20Wright,r
Male Sole Survivor/X6-88,9,/tags/Male%20Sole%20Survivor*s*X6-88,r
X6-88/Reader,8,/tags/X6-88*s*Reader,r
Bobbi No-Nose,39,/tags/Bobbi%20No-Nose,c
Glory (Fallout),297,/tags/Glory%20(Fallout),c
Fahrenheit (Fallout),328,/tags/Fahrenheit%20(Fallout),c
KL-E-0,49,/tags/KL-E-0,c
Nick Valentine/Original Female Character(s),92,/tags/Nick%20Valentine*s*Original%20Female%20Character(s),r
Marcy Long,153,/tags/Marcy%20Long,c
Jun Long,125,/tags/Jun%20Long,c
Male Sole Survivor/Male Sole Survivor,25,/tags/Male%20Sole%20Survivor*s*Male%20Sole%20Survivor,r
Deacon/Male Sole Survivor,133,/tags/Deacon*s*Male%20Sole%20Survivor,r
Sole Survivor/X6-88,64,/tags/Sole%20Survivor*s*X6-88,r
Female Sole Survivor/X6-88,68,/tags/Female%20Sole%20Survivor*s*X6-88,r
Ambiguous Sole Survivor,21,/tags/Ambiguous%20Sole%20Survivor,f
Tinker Tom (Fallout),140,/tags/Tinker%20Tom%20(Fallout),c
Jacob Forsythe,7,/tags/Jacob%20Forsythe,c
Wiseman (Fallout),34,/tags/Wiseman%20(Fallout),c
Holly (Fallout),14,/tags/Holly%20(Fallout),c
Glory/Female Sole Survivor,24,/tags/Glory*s*Female%20Sole%20Survivor,r
Nelson Latimer,1,/tags/Nelson%20Latimer,c
Duncan MacCready,236,/tags/Duncan%20MacCready,c
Female Sole Survivor/Supervisor White,0,/tags/Female%20Sole%20Survivor*s*Supervisor%20White,r
Supervisor White (Fallout),5,/tags/Supervisor%20White%20(Fallout),c
John Hancock & Nick Valentine,26,/tags/John%20Hancock%20*a*%20Nick%20Valentine,r
John Hancock/X6-88,6,/tags/John%20Hancock*s*X6-88,r
Nate/Female Sole Survivor,26,/tags/Nate*s*Female%20Sole%20Survivor,r
Synth Sole Survivor,12,/tags/Synth%20Sole%20Survivor,f
Kent Connolly/Sole Survivor,18,/tags/Kent%20Connolly*s*Sole%20Survivor,r
Nonbinary Sole Survivor/Nick Valentine,7,/tags/Nonbinary%20Sole%20Survivor*s*Nick%20Valentine,r
