tag,count,href,category
Hershel Layton,1478,/tags/Hershel%20Layton,c
Luke Triton,852,/tags/Luke%20Triton,c
Flora Reinhold,441,/tags/Flora%20Reinhold,c
Anton Herzen,34,/tags/Anton%20Herzen,c
Hershel Layton/Luke Triton,88,/tags/Hershel%20Layton*s*Luke%20Triton,r
Flora Reinhold/Luke Triton,16,/tags/Flora%20Reinhold*s*Luke%20Triton,r
Claire (Professor Layton),215,/tags/Claire%20(Professor%20Layton),c
Clive (Professor Layton),289,/tags/Clive%20(Professor%20Layton),c
Claire/Hershel Layton,176,/tags/Claire*s*Hershel%20Layton,r
Clive/Hershel Layton,16,/tags/Clive*s*Hershel%20Layton,r
Clark Triton,155,/tags/Clark%20Triton,c
Brenda Triton,110,/tags/Brenda%20Triton,c
Future Luke Triton,36,/tags/Future%20Luke%20Triton,c
Crow/Luke Triton,25,/tags/Crow*s*Luke%20Triton,r
Clive/Luke Triton,19,/tags/Clive*s*Luke%20Triton,r
Professor Layton Kink Meme,3,/tags/Professor%20Layton%20Kink%20Meme,f
Jean Descole,360,/tags/Jean%20Descole,c
Jean Descole/Hershel Layton,66,/tags/Jean%20Descole*s*Hershel%20Layton,r
Clive/Hershel Layton/Luke Triton,0,/tags/Clive*s*Hershel%20Layton*s*Luke%20Triton,r
Clive/Crow,0,/tags/Clive*s*Crow,r
Emmy Altava,459,/tags/Emmy%20Altava,c
Katia Anderson,26,/tags/Katia%20Anderson,c
Hershel Layton/Flora Reinhold,1,/tags/Hershel%20Layton*s*Flora%20Reinhold,r
Violet Reinhold,5,/tags/Violet%20Reinhold,c
Bruno (Professor Layton),16,/tags/Bruno%20(Professor%20Layton),c
Augustus Reinhold,4,/tags/Augustus%20Reinhold,c
Dimitri Allen,136,/tags/Dimitri%20Allen,c
Goosey (Professor Layton),0,/tags/Goosey%20(Professor%20Layton),c
Pauly (Professor Layton),1,/tags/Pauly%20(Professor%20Layton),c
Dean Delmona,23,/tags/Dean%20Delmona,c
Randall Ascot,329,/tags/Randall%20Ascot,c
Alphonse Dalston,50,/tags/Alphonse%20Dalston,c
Angela Ledore,179,/tags/Angela%20Ledore,c
Henry Ledore,181,/tags/Henry%20Ledore,c
Arianna Barde,63,/tags/Arianna%20Barde,c
Tony Barde,32,/tags/Tony%20Barde,c
Emmy Altava/Hershel Layton,103,/tags/Emmy%20Altava*s*Hershel%20Layton,r
Henry Ledore/Masked Gentleman,3,/tags/Henry%20Ledore*s*Masked%20Gentleman,r
Alphonse Dalston/Angela Ledore,2,/tags/Alphonse%20Dalston*s*Angela%20Ledore,r
Firth (Professor Layton),10,/tags/Firth%20(Professor%20Layton),c
Randall Ascot/Angela Ledore,40,/tags/Randall%20Ascot*s*Angela%20Ledore,r
Miracle Mask,20,/tags/Miracle%20Mask,f
Angela Ledore/Henry Ledore,14,/tags/Angela%20Ledore*s*Henry%20Ledore,r
Anton Herzen/Sophia,11,/tags/Anton%20Herzen*s*Sophia,r
Janice Quatlane/Melina Whistler,23,/tags/Janice%20Quatlane*s*Melina%20Whistler,r
Don Paolo,83,/tags/Don%20Paolo,c
Janice Quatlane,49,/tags/Janice%20Quatlane,c
Clive/Flora Reinhold,41,/tags/Clive*s*Flora%20Reinhold,r
Lucille Layton,62,/tags/Lucille%20Layton,c
Roland Layton,49,/tags/Roland%20Layton,c
Aurora & Luke Triton,13,/tags/Aurora%20*a*%20Luke%20Triton,r
Constantine (Layton vs. Wright),2,/tags/Constantine%20(Layton%20vs*d*%20Wright),c
Aurora/Desmond Sycamore,1,/tags/Aurora*s*Desmond%20Sycamore,r
Emmy Altava & Aurora & Keats & Hershel Layton & Raymond & Desmond Sycamore & Luke Triton,3,/tags/Emmy%20Altava%20*a*%20Aurora%20*a*%20Keats%20*a*%20Hershel%20Layton%20*a*%20Raymond%20*a*%20Desmond%20Sycamore%20*a*%20Luke%20Triton,r
Hershel Layton/Reader,12,/tags/Hershel%20Layton*s*Reader,r
Emmy Altava/Desmond Sycamore,45,/tags/Emmy%20Altava*s*Desmond%20Sycamore,r
Crow/Umid (Professor Layton),2,/tags/Crow*s*Umid%20(Professor%20Layton),r
Umid (Professor Layton),4,/tags/Umid%20(Professor%20Layton),c
Margaret (Professor Layton),2,/tags/Margaret%20(Professor%20Layton),c
Becky (Professor Layton),4,/tags/Becky%20(Professor%20Layton),c
Max (Professor Layton),2,/tags/Max%20(Professor%20Layton),c
Charlie (Professor Layton),4,/tags/Charlie%20(Professor%20Layton),c
Sean (Professor Layton),4,/tags/Sean%20(Professor%20Layton),c
Bucky (Professor Layton),3,/tags/Bucky%20(Professor%20Layton),c
Catanova (Professor Layton),1,/tags/Catanova%20(Professor%20Layton),c
Emmy Altava/Carmen Sandiego,0,/tags/Emmy%20Altava*s*Carmen%20Sandiego,r
Emmy Altava & Carmen Sandiego,0,/tags/Emmy%20Altava%20*a*%20Carmen%20Sandiego,r
Hardy (Professor Layton),1,/tags/Hardy%20(Professor%20Layton),c
Gonzales (Professor Layton),3,/tags/Gonzales%20(Professor%20Layton),c
Charlie/Socket (Professor Layton),1,/tags/Charlie*s*Socket%20(Professor%20Layton),r
Alphonse Dalston & Angela Ledore,7,/tags/Alphonse%20Dalston%20*a*%20Angela%20Ledore,r
Colby (Professor Layton),1,/tags/Colby%20(Professor%20Layton),c
Mrs. Ascot (Professor Layton),1,/tags/Mrs*d*%20Ascot%20(Professor%20Layton),c
Lucille Layton & Roland Layton,2,/tags/Lucille%20Layton%20*a*%20Roland%20Layton,r
Finch (Professor Layton),3,/tags/Finch%20(Professor%20Layton),c
Desmond Sycamore's Daughter,36,/tags/Desmond%20Sycamore's%20Daughter,c
Katrielle Layton,248,/tags/Katrielle%20Layton,c
Bill Cipher/Jean Descole/Pitch Black (Guardians of Childhood),0,/tags/Bill%20Cipher*s*Jean%20Descole*s*Pitch%20Black%20(Guardians%20of%20Childhood),r
Jean Descole/Pitch Black (Guardians of Childhood),0,/tags/Jean%20Descole*s*Pitch%20Black%20(Guardians%20of%20Childhood),r
Pre-Curious Village,3,/tags/Pre-Curious%20Village,f
Leonard Bloom/Hanna,1,/tags/Leonard%20Bloom*s*Hanna,r
Hanna (Professor Layton),3,/tags/Hanna%20(Professor%20Layton),c
Desmond Sycamore's Wife,25,/tags/Desmond%20Sycamore's%20Wife,c
Jean Descole & Hershel Layton,35,/tags/Jean%20Descole%20*a*%20Hershel%20Layton,r
Katia Anderson/Dorothea,3,/tags/Katia%20Anderson*s*Dorothea,r
Melina Whistler,39,/tags/Melina%20Whistler,c
Ice King | Simon Petrikov/Desmond Sycamore,0,/tags/Ice%20King%20%7C%20Simon%20Petrikov*s*Desmond%20Sycamore,r
Eternal Diva Spoilers,26,/tags/Eternal%20Diva%20Spoilers,f
Ernest Greeves,110,/tags/Ernest%20Greeves,c
Adult Luke Triton,8,/tags/Adult%20Luke%20Triton,f
Randall Ascot/Clive,1,/tags/Randall%20Ascot*s*Clive,r
