tag,count,href,category
Son Hak,1143,/tags/Son%20Hak,c
Yona (Akatsuki no Yona),1211,/tags/Yona%20(Akatsuki%20no%20Yona),c
Shin-Ah (Akatsuki no Yona),708,/tags/Shin-Ah%20(Akatsuki%20no%20Yona),c
Jae-Ha (Akatsuki no Yona),882,/tags/Jae-Ha%20(Akatsuki%20no%20Yona),c
Kija (Akatsuki no Yona),707,/tags/Kija%20(Akatsuki%20no%20Yona),c
Seiryuu Ao,51,/tags/Seiryuu%20Ao,c
Garou (Akatsuki no Yona),31,/tags/Garou%20(Akatsuki%20no%20Yona),c
Son Hak/Yona,722,/tags/Son%20Hak*s*Yona,r
Soo-Won (Akatsuki no Yona),477,/tags/Soo-Won%20(Akatsuki%20no%20Yona),c
Yu-Hon (Akatsuki no Yona),29,/tags/Yu-Hon%20(Akatsuki%20no%20Yona),c
Ik-Soo (Akatsuki no Yona),80,/tags/Ik-Soo%20(Akatsuki%20no%20Yona),c
Zeno (Akatsuki no Yona),824,/tags/Zeno%20(Akatsuki%20no%20Yona),c
Shu-Ten (Akatsuki no Yona),104,/tags/Shu-Ten%20(Akatsuki%20no%20Yona),c
Abi (Akatsuki no Yona),120,/tags/Abi%20(Akatsuki%20no%20Yona),c
Original Dragon Warriors (Akatsuki no Yona),64,/tags/Original%20Dragon%20Warriors%20(Akatsuki%20no%20Yona),c
Son Hak/Soo-Won,45,/tags/Son%20Hak*s*Soo-Won,r
Zeno (Akatsuki no Yona)/Original Female Character(s),1,/tags/Zeno%20(Akatsuki%20no%20Yona)*s*Original%20Female%20Character(s),r
Kaya (Akatsuki no Yona),97,/tags/Kaya%20(Akatsuki%20no%20Yona),c
Kaya/Zeno (Akatsuki no Yona),97,/tags/Kaya*s*Zeno%20(Akatsuki%20no%20Yona),r
Son Hak/Soo-Won/Yona,43,/tags/Son%20Hak*s*Soo-Won*s*Yona,r
An Lili,161,/tags/An%20Lili,c
An Lili/Yona,20,/tags/An%20Lili*s*Yona,r
Gigan (Akatsuki no Yona),42,/tags/Gigan%20(Akatsuki%20no%20Yona),c
Lee Geun-Tae,56,/tags/Lee%20Geun-Tae,c
Han Joo-Doh,85,/tags/Han%20Joo-Doh,c
Son Mundok,92,/tags/Son%20Mundok,c
Kan Tae-Jun,52,/tags/Kan%20Tae-Jun,c
Han Joo-Doh/Soo-Won,8,/tags/Han%20Joo-Doh*s*Soo-Won,r
Ogi (Akatsuki no Yona),15,/tags/Ogi%20(Akatsuki%20no%20Yona),c
Shin-Ah (Akatsuki no Yona)/Reader,14,/tags/Shin-Ah%20(Akatsuki%20no%20Yona)*s*Reader,r
Kan Soo-Jin,12,/tags/Kan%20Soo-Jin,c
Jae-Ha/Son Hak,33,/tags/Jae-Ha*s*Son%20Hak,r
Jae-Ha (Akatsuki no Yona)/Reader,12,/tags/Jae-Ha%20(Akatsuki%20no%20Yona)*s*Reader,r
Min-Soo (Akatsuki no Yona),27,/tags/Min-Soo%20(Akatsuki%20no%20Yona),c
Ayura (Akatsuki no Yona),35,/tags/Ayura%20(Akatsuki%20no%20Yona),c
Kan Kyo-Ga,22,/tags/Kan%20Kyo-Ga,c
Tetora (Akatsuki no Yona),46,/tags/Tetora%20(Akatsuki%20no%20Yona),c
Lee Geun-Tae/Soo-Won,1,/tags/Lee%20Geun-Tae*s*Soo-Won,r
An Lili & Yona,5,/tags/An%20Lili%20*a*%20Yona,r
Kan Tae-Jun & Yona,3,/tags/Kan%20Tae-Jun%20*a*%20Yona,r
Han-Dae (Akatsuki no Yona),45,/tags/Han-Dae%20(Akatsuki%20no%20Yona),c
Yong-Hi (Akatsuki no Yona),15,/tags/Yong-Hi%20(Akatsuki%20no%20Yona),c
Yang Kum-Ji,12,/tags/Yang%20Kum-Ji,c
Jae-Ha (Akatsuki no Yona)/Original Character(s),15,/tags/Jae-Ha%20(Akatsuki%20no%20Yona)*s*Original%20Character(s),r
Yak-Shi (Akatsuki no Yona),7,/tags/Yak-Shi%20(Akatsuki%20no%20Yona),c
Shin-Ah (Akatsuki no Yona)/Original Character(s),18,/tags/Shin-Ah%20(Akatsuki%20no%20Yona)*s*Original%20Character(s),r
Tae-Yeon (Akatsuki no Yona),24,/tags/Tae-Yeon%20(Akatsuki%20no%20Yona),c
Kan Kyo-Ga/Soo-Won,1,/tags/Kan%20Kyo-Ga*s*Soo-Won,r
Son Hak/Yona/Yoon | Yun,0,/tags/Son%20Hak*s*Yona*s*Yoon%20%7C%20Yun,r
Jae-Ha/Son Hak/Yona,1,/tags/Jae-Ha*s*Son%20Hak*s*Yona,r
