tag,count,href,category
Charles Xavier,24241,/tags/Charles%20Xavier,c
Scott Summers,6689,/tags/Scott%20Summers,c
Jubilation Lee,1383,/tags/Jubilation%20Lee,c
Jean Grey/Scott Summers,1370,/tags/Jean%20Grey*s*Scott%20Summers,r
Jean Grey,5470,/tags/Jean%20Grey,c
Erik Lehnsherr,21409,/tags/Erik%20Lehnsherr,c
Madelyne Pryor,134,/tags/Madelyne%20Pryor,c
Hank McCoy,7382,/tags/Hank%20McCoy,c
Celeste Cuckoo,32,/tags/Celeste%20Cuckoo,c
Mindee Cuckoo,27,/tags/Mindee%20Cuckoo,c
Phoebe Cuckoo,48,/tags/Phoebe%20Cuckoo,c
Celeste/Mindee/Phoebe,1,/tags/Celeste*s*Mindee*s*Phoebe,r
Emma Frost/Kitty Pryde,25,/tags/Emma%20Frost*s*Kitty%20Pryde,r
Emma Frost,4297,/tags/Emma%20Frost,c
Kitty Pryde,3250,/tags/Kitty%20Pryde,c
Cassandra Nova,23,/tags/Cassandra%20Nova,c
Ororo Munroe,3916,/tags/Ororo%20Munroe,c
Rahne Sinclair,388,/tags/Rahne%20Sinclair,c
Bobby Drake/Rogue,209,/tags/Bobby%20Drake*s*Rogue,r
Bobby Drake/Kitty Pryde,69,/tags/Bobby%20Drake*s*Kitty%20Pryde,r
Bobby Drake,2567,/tags/Bobby%20Drake,c
Mindee Cuckoo/Kitty Pryde,3,/tags/Mindee%20Cuckoo*s*Kitty%20Pryde,r
Wanda Maximoff,40325,/tags/Wanda%20Maximoff,c
Erik Lehnsherr/Charles Xavier,27708,/tags/Erik%20Lehnsherr*s*Charles%20Xavier,r
Victor Creed,1363,/tags/Victor%20Creed,c
Norman Osborn,2650,/tags/Norman%20Osborn,c
Abigail Brand,80,/tags/Abigail%20Brand,c
Grrix,1,/tags/Grrix,c
Kitty Pryde/Pete Wisdom,61,/tags/Kitty%20Pryde*s*Pete%20Wisdom,r
Pete Wisdom,99,/tags/Pete%20Wisdom,c
Kurt Wagner,4126,/tags/Kurt%20Wagner,c
Jean Grey/Logan,72,/tags/Jean%20Grey*s*Logan,r
Remy LeBeau,3297,/tags/Remy%20LeBeau,c
Abigail Brand/Hank McCoy,21,/tags/Abigail%20Brand*s*Hank%20McCoy,r
Jean Grey/Ororo Munroe,93,/tags/Jean%20Grey*s*Ororo%20Munroe,r
Sebastian Shaw,1979,/tags/Sebastian%20Shaw,c
Emma Frost/Scott Summers,299,/tags/Emma%20Frost*s*Scott%20Summers,r
Kitty Pryde/Piotr Rasputin,156,/tags/Kitty%20Pryde*s*Piotr%20Rasputin,r
Piotr Rasputin,1019,/tags/Piotr%20Rasputin,c
John Allerdyce/Erik Lehnsherr,28,/tags/John%20Allerdyce*s*Erik%20Lehnsherr,r
Illyana Rasputin,858,/tags/Illyana%20Rasputin,c
Alex Summers,3967,/tags/Alex%20Summers,c
Nathan Summers,1266,/tags/Nathan%20Summers,c
Christopher Summers,68,/tags/Christopher%20Summers,c
Annie Richardson,4,/tags/Annie%20Richardson,c
Logan/Scott Summers,460,/tags/Logan*s*Scott%20Summers,r
Teddy Altman/Billy Kaplan,2322,/tags/Teddy%20Altman*s*Billy%20Kaplan,r
John Allerdyce,971,/tags/John%20Allerdyce,c
John Allerdyce/Bobby Drake,552,/tags/John%20Allerdyce*s*Bobby%20Drake,r
Senator Robert Kelly,46,/tags/Senator%20Robert%20Kelly,c
Warren Worthington III,1350,/tags/Warren%20Worthington%20III,c
Cain Marko,399,/tags/Cain%20Marko,c
Douglas Ramsey,233,/tags/Douglas%20Ramsey,c
Mutant Alpha,1,/tags/Mutant%20Alpha,c
Logan (X-Men),11650,/tags/Logan%20(X-Men),c
Emma Frost/Jean Grey,153,/tags/Emma%20Frost*s*Jean%20Grey,r
Remy LeBeau/Warren Worthington III,13,/tags/Remy%20LeBeau*s*Warren%20Worthington%20III,r
Joseph (X-Men),34,/tags/Joseph%20(X-Men),c
Lorna Dane,1345,/tags/Lorna%20Dane,c
Lilandra Neramani,39,/tags/Lilandra%20Neramani,c
Lilandra Neramani/Charles Xavier,16,/tags/Lilandra%20Neramani*s*Charles%20Xavier,r
Wade Wilson,16430,/tags/Wade%20Wilson,c
Sean Cassidy,2325,/tags/Sean%20Cassidy,c
Moira MacTaggert,2287,/tags/Moira%20MacTaggert,c
Kevin MacTaggert,26,/tags/Kevin%20MacTaggert,c
Brian Braddock,134,/tags/Brian%20Braddock,c
Elizabeth Braddock,453,/tags/Elizabeth%20Braddock,c
Amara Aquilla,148,/tags/Amara%20Aquilla,c
Nathaniel Essex,326,/tags/Nathaniel%20Essex,c
Paige Guthrie,88,/tags/Paige%20Guthrie,c
Sam Guthrie,428,/tags/Sam%20Guthrie,c
Julio Richter,454,/tags/Julio%20Richter,c
Pietro Maximoff,14142,/tags/Pietro%20Maximoff,c
Jean Grey/Wanda Maximoff,74,/tags/Jean%20Grey*s*Wanda%20Maximoff,r
Paige Guthrie/Jono Starsmore,12,/tags/Paige%20Guthrie*s*Jono%20Starsmore,r
Rogue (X-Men),3784,/tags/Rogue%20(X-Men),c
Erik Lehnsherr/Rogue,57,/tags/Erik%20Lehnsherr*s*Rogue,r
Kitty Pryde/Rogue,39,/tags/Kitty%20Pryde*s*Rogue,r
Douglas Ramsey/Illyana Rasputin,5,/tags/Douglas%20Ramsey*s*Illyana%20Rasputin,r
Monet St. Croix,161,/tags/Monet%20St*d*%20Croix,c
Everett Thomas,29,/tags/Everett%20Thomas,c
Angelo Espinosa,58,/tags/Angelo%20Espinosa,c
Alison Blaire/Longshot,13,/tags/Alison%20Blaire*s*Longshot,r
Alison Blaire,152,/tags/Alison%20Blaire,c
Lee Forrester,5,/tags/Lee%20Forrester,c
Logan/Piotr Rasputin,15,/tags/Logan*s*Piotr%20Rasputin,r
Remy LeBeau/Rogue,975,/tags/Remy%20LeBeau*s*Rogue,r
Ruby Summers,9,/tags/Ruby%20Summers,c
Tabitha Smith,240,/tags/Tabitha%20Smith,c
Edwin Jarvis,3481,/tags/Edwin%20Jarvis,c
Jason Street/Scott Summers,1,/tags/Jason%20Street*s*Scott%20Summers,r
Roberto da Costa,342,/tags/Roberto%20da%20Costa,c
Julio Richter/Shatterstar,498,/tags/Julio%20Richter*s*Shatterstar,r
Jubilation Lee/Monet St. Croix,9,/tags/Jubilation%20Lee*s*Monet%20St*d*%20Croix,r
John Allerdyce/Logan,1,/tags/John%20Allerdyce*s*Logan,r
Bobby Drake/Johnny Storm,37,/tags/Bobby%20Drake*s*Johnny%20Storm,r
Pietro Maximoff/Wanda Maximoff,506,/tags/Pietro%20Maximoff*s*Wanda%20Maximoff,r
Carol Danvers/Rogue,3,/tags/Carol%20Danvers*s*Rogue,r
John Allerdyce/Bobby Drake/Rogue,19,/tags/John%20Allerdyce*s*Bobby%20Drake*s*Rogue,r
Rogue/Scott Summers,58,/tags/Rogue*s*Scott%20Summers,r
Remy LeBeau/Scott Summers,29,/tags/Remy%20LeBeau*s*Scott%20Summers,r
Ororo Munroe/Kurt Wagner,107,/tags/Ororo%20Munroe*s*Kurt%20Wagner,r
Yoshida Shiro,21,/tags/Yoshida%20Shiro,c
Black Tom Cassidy,25,/tags/Black%20Tom%20Cassidy,c
Victor Creed/Remy LeBeau,30,/tags/Victor%20Creed*s*Remy%20LeBeau,r
Remy LeBeau/Tony Stark,6,/tags/Remy%20LeBeau*s*Tony%20Stark,r
Jean-Paul Beaubier,304,/tags/Jean-Paul%20Beaubier,c
Jean-Paul Beaubier/Bobby Drake,72,/tags/Jean-Paul%20Beaubier*s*Bobby%20Drake,r
Callisto/Ororo Munroe,5,/tags/Callisto*s*Ororo%20Munroe,r
Bobby Drake/Jono Starsmore,2,/tags/Bobby%20Drake*s*Jono%20Starsmore,r
