tag,count,href,category
Rose Lalonde,13781,/tags/Rose%20Lalonde,c
Dave Strider,24183,/tags/Dave%20Strider,c
Jade Harley,9323,/tags/Jade%20Harley,c
John Egbert,15264,/tags/John%20Egbert,c
Black Queen/Spades Slick,2,/tags/Black%20Queen*s*Spades%20Slick,r
Spades Slick,889,/tags/Spades%20Slick,c
Diamonds Droog,657,/tags/Diamonds%20Droog,c
Hearts Boxcars,373,/tags/Hearts%20Boxcars,c
Clubs Deuce,368,/tags/Clubs%20Deuce,c
Terezi Pyrope,8208,/tags/Terezi%20Pyrope,c
Becquerel (Homestuck),300,/tags/Becquerel%20(Homestuck),c
The Felt (Homestuck),204,/tags/The%20Felt%20(Homestuck),c
Karkat Vantas,19893,/tags/Karkat%20Vantas,c
Tavros Nitram,4407,/tags/Tavros%20Nitram,c
Jade Harley/Dave Strider,1283,/tags/Jade%20Harley*s*Dave%20Strider,r
John Egbert/Terezi Pyrope,225,/tags/John%20Egbert*s*Terezi%20Pyrope,r
Black King/White Queen,0,/tags/Black%20King*s*White%20Queen,r
Crowbar (Homestuck),175,/tags/Crowbar%20(Homestuck),c
Stitch (Homestuck),77,/tags/Stitch%20(Homestuck),c
Terezi Pyrope/Karkat Vantas,1171,/tags/Terezi%20Pyrope*s*Karkat%20Vantas,r
Sollux Captor,8409,/tags/Sollux%20Captor,c
Aimless Renegade,116,/tags/Aimless%20Renegade,c
Rose Lalonde/Terezi Pyrope,148,/tags/Rose%20Lalonde*s*Terezi%20Pyrope,r
John Egbert/Jade Harley,145,/tags/John%20Egbert*s*Jade%20Harley,r
John Egbert/Rose Lalonde,575,/tags/John%20Egbert*s*Rose%20Lalonde,r
Rose Lalonde/Dave Strider,570,/tags/Rose%20Lalonde*s*Dave%20Strider,r
The Trolls (Homestuck),409,/tags/The%20Trolls%20(Homestuck),c
Peregrine Mendicant,190,/tags/Peregrine%20Mendicant,c
John Egbert/Dave Strider,5492,/tags/John%20Egbert*s*Dave%20Strider,r
Tavros Nitram/Dave Strider,234,/tags/Tavros%20Nitram*s*Dave%20Strider,r
Equius Zahhak,4240,/tags/Equius%20Zahhak,c
Snowman (Homestuck),349,/tags/Snowman%20(Homestuck),c
Nepeta Leijon,4945,/tags/Nepeta%20Leijon,c
Vriska Serket,7051,/tags/Vriska%20Serket,c
Clover (Homestuck),86,/tags/Clover%20(Homestuck),c
Sawbuck (Homestuck),27,/tags/Sawbuck%20(Homestuck),c
Itchy (Homestuck),84,/tags/Itchy%20(Homestuck),c
Doze (Homestuck),48,/tags/Doze%20(Homestuck),c
Trace (Homestuck),66,/tags/Trace%20(Homestuck),c
Fin (Homestuck),68,/tags/Fin%20(Homestuck),c
Clover/Spades Slick,0,/tags/Clover*s*Spades%20Slick,r
Gamzee Makara,7316,/tags/Gamzee%20Makara,c
Aradia Megido,4955,/tags/Aradia%20Megido,c
Kanaya Maryam,9240,/tags/Kanaya%20Maryam,c
Sollux Captor/Aradia Megido,1055,/tags/Sollux%20Captor*s*Aradia%20Megido,r
Tavros Nitram/Vriska Serket,344,/tags/Tavros%20Nitram*s*Vriska%20Serket,r
Diamonds Droog/Snowman,5,/tags/Diamonds%20Droog*s*Snowman,r
Nepeta Leijon/Karkat Vantas,558,/tags/Nepeta%20Leijon*s*Karkat%20Vantas,r
Sollux Captor/Karkat Vantas,1179,/tags/Sollux%20Captor*s*Karkat%20Vantas,r
Wayward Vagabond,255,/tags/Wayward%20Vagabond,c
Eridan Ampora,7246,/tags/Eridan%20Ampora,c
Feferi Peixes,4735,/tags/Feferi%20Peixes,c
Die (Homestuck),100,/tags/Die%20(Homestuck),c
Crowbar/Die (Homestuck),26,/tags/Crowbar*s*Die%20(Homestuck),r
Rose Lalonde/Kanaya Maryam,5027,/tags/Rose%20Lalonde*s*Kanaya%20Maryam,r
Draconian Dignitary,71,/tags/Draconian%20Dignitary,c
Jack Noir,482,/tags/Jack%20Noir,c
Peregrine Mendicant/Wayward Vagabond,24,/tags/Peregrine%20Mendicant*s*Wayward%20Vagabond,r
Courtyard Droll,28,/tags/Courtyard%20Droll,c
Hegemonic Brute,31,/tags/Hegemonic%20Brute,c
John Egbert & Rose Lalonde,161,/tags/John%20Egbert%20*a*%20Rose%20Lalonde,r
Black Queen/Jack Noir,28,/tags/Black%20Queen*s*Jack%20Noir,r
Rose Lalonde & Kanaya Maryam,121,/tags/Rose%20Lalonde%20*a*%20Kanaya%20Maryam,r
Kanaya Maryam & Vriska Serket,62,/tags/Kanaya%20Maryam%20*a*%20Vriska%20Serket,r
Casey (Homestuck),165,/tags/Casey%20(Homestuck),c
Donald Glover,13,/tags/Donald%20Glover,c
Kanaya Maryam/Vriska Serket,417,/tags/Kanaya%20Maryam*s*Vriska%20Serket,r
Betty Crocker,55,/tags/Betty%20Crocker,c
Biscuits (Homestuck),31,/tags/Biscuits%20(Homestuck),c
Cans (Homestuck),38,/tags/Cans%20(Homestuck),c
Colonel Sassacre,22,/tags/Colonel%20Sassacre,c
Eggs (Homestuck),39,/tags/Eggs%20(Homestuck),c
Matchsticks (Homestuck),34,/tags/Matchsticks%20(Homestuck),c
Quarters (Homestuck),52,/tags/Quarters%20(Homestuck),c
Serenity (Homestuck),16,/tags/Serenity%20(Homestuck),c
