tag,count,href,category
Kitty Winter,126,/tags/Kitty%20Winter,c
Sherlock Holmes/Tentacles,2,/tags/Sherlock%20Holmes*s*Tentacles,r
Mycroft Holmes & Sherlock Holmes,3379,/tags/Mycroft%20Holmes%20*a*%20Sherlock%20Holmes,r
Sherlock Holmes/Everyone,12,/tags/Sherlock%20Holmes*s*Everyone,r
Sherlock Holmes/Other(s),97,/tags/Sherlock%20Holmes*s*Other(s),r
The Doctor (Doctor Who)/Sherlock Holmes,1,/tags/The%20Doctor%20(Doctor%20Who)*s*Sherlock%20Holmes,r
Mycroft Holmes/Undisclosed,2,/tags/Mycroft%20Holmes*s*Undisclosed,r
Mycroft Holmes/Sherlock Holmes/Greg Lestrade,45,/tags/Mycroft%20Holmes*s*Sherlock%20Holmes*s*Greg%20Lestrade,r
Javier Abreu,7,/tags/Javier%20Abreu,c
Sherlock Holmes/You,457,/tags/Sherlock%20Holmes*s*You,r
Joan Watson (Elementary),1547,/tags/Joan%20Watson%20(Elementary),c
Shinwell Johnson,11,/tags/Shinwell%20Johnson,c
Marcus Bell,458,/tags/Marcus%20Bell,c
Ty Morstan (Elementary),4,/tags/Ty%20Morstan%20(Elementary),c
Carrie Dwyer,14,/tags/Carrie%20Dwyer,c
Alfredo Llamosa,93,/tags/Alfredo%20Llamosa,c
The Doctor (Doctor Who) & Sherlock Holmes,10,/tags/The%20Doctor%20(Doctor%20Who)%20*a*%20Sherlock%20Holmes,r
Marcus Bell/Sherlock Holmes,66,/tags/Marcus%20Bell*s*Sherlock%20Holmes,r
Clyde the Tortoise (Elementary),126,/tags/Clyde%20the%20Tortoise%20(Elementary),c
Marcus Bell/Alfredo Llamosa,4,/tags/Marcus%20Bell*s*Alfredo%20Llamosa,r
Sherlock Holmes/Rhys Kinlan,1,/tags/Sherlock%20Holmes*s*Rhys%20Kinlan,r
Rhys Kinlan,2,/tags/Rhys%20Kinlan,c
Sherlock Holmes/Joan Watson (Elementary),328,/tags/Sherlock%20Holmes*s*Joan%20Watson%20(Elementary),r
Alfredo Llamosa/Olive Snook,0,/tags/Alfredo%20Llamosa*s*Olive%20Snook,r
James Bond & Sherlock Holmes,1,/tags/James%20Bond%20*a*%20Sherlock%20Holmes,r
James Bond/Sherlock Holmes,10,/tags/James%20Bond*s*Sherlock%20Holmes,r
Mycroft Holmes/You,61,/tags/Mycroft%20Holmes*s*You,r
