tag,count,href,category
Edith Crawley,646,/tags/Edith%20Crawley,c
Isobel Crawley,344,/tags/Isobel%20Crawley,c
Kemal Pamuk,36,/tags/Kemal%20Pamuk,c
Mary Crawley,1353,/tags/Mary%20Crawley,c
Matthew Crawley,630,/tags/Matthew%20Crawley,c
Robert Crawley,827,/tags/Robert%20Crawley,c
Sarah O'Brien,313,/tags/Sarah%20O'Brien,c
Sybil Crawley,785,/tags/Sybil%20Crawley,c
Tom Branson,908,/tags/Tom%20Branson,c
Tom Branson/Sybil Crawley,415,/tags/Tom%20Branson*s*Sybil%20Crawley,r
Anthony Strallan,58,/tags/Anthony%20Strallan,c
Edith Crawley/Anthony Strallan,59,/tags/Edith%20Crawley*s*Anthony%20Strallan,r
Mary Crawley/Matthew Crawley,536,/tags/Mary%20Crawley*s*Matthew%20Crawley,r
Gwen Dawson,106,/tags/Gwen%20Dawson,c
Matthew Crawley/Sybil Crawley,9,/tags/Matthew%20Crawley*s*Sybil%20Crawley,r
Cora Crawley,778,/tags/Cora%20Crawley,c
Charles Carson,1079,/tags/Charles%20Carson,c
Violet Crawley,354,/tags/Violet%20Crawley,c
Cora Crawley/Robert Crawley,305,/tags/Cora%20Crawley*s*Robert%20Crawley,r
Tom Branson/Sybil Crawley/Gwen Dawson,5,/tags/Tom%20Branson*s*Sybil%20Crawley*s*Gwen%20Dawson,r
Sybil Crawley/Gwen Dawson,44,/tags/Sybil%20Crawley*s*Gwen%20Dawson,r
Rosamund Painswick,96,/tags/Rosamund%20Painswick,c
John Bates/Robert Crawley,10,/tags/John%20Bates*s*Robert%20Crawley,r
Evelyn Napier,55,/tags/Evelyn%20Napier,c
Lavinia Swire,111,/tags/Lavinia%20Swire,c
Matthew Crawley/Lavinia Swire,49,/tags/Matthew%20Crawley*s*Lavinia%20Swire,r
Richard Carlisle,85,/tags/Richard%20Carlisle,c
Thomas Barrow/Siegfried Sassoon,1,/tags/Thomas%20Barrow*s*Siegfried%20Sassoon,r
Thomas Barrow,3815,/tags/Thomas%20Barrow,c
Thomas Barrow/William Mason,8,/tags/Thomas%20Barrow*s*William%20Mason,r
Thomas Barrow/John Bates,20,/tags/Thomas%20Barrow*s*John%20Bates,r
Edward Courtenay,221,/tags/Edward%20Courtenay,c
Thomas Barrow/Edward Courtenay,262,/tags/Thomas%20Barrow*s*Edward%20Courtenay,r
Andrew Lang/Sarah O'Brien,13,/tags/Andrew%20Lang*s*Sarah%20O'Brien,r
Andrew Lang,18,/tags/Andrew%20Lang,c
Edith Crawley/Neville Longbottom,2,/tags/Edith%20Crawley*s*Neville%20Longbottom,r
Edith Crawley/Patrick Crawley,10,/tags/Edith%20Crawley*s*Patrick%20Crawley,r
Patrick Crawley,33,/tags/Patrick%20Crawley,c
Major Gordon (Downton Abbey),2,/tags/Major%20Gordon%20(Downton%20Abbey),c
Thomas Barrow/Billy Prior,1,/tags/Thomas%20Barrow*s*Billy%20Prior,r
Mary Crawley/Kemal Pamuk,13,/tags/Mary%20Crawley*s*Kemal%20Pamuk,r
Richard Carlisle/Mary Crawley,54,/tags/Richard%20Carlisle*s*Mary%20Crawley,r
Mary Crawley/Lavinia Swire,54,/tags/Mary%20Crawley*s*Lavinia%20Swire,r
Edith Crawley/Lavinia Swire,2,/tags/Edith%20Crawley*s*Lavinia%20Swire,r
Anna Bates,800,/tags/Anna%20Bates,c
Charles Carson/Elsie Hughes,544,/tags/Charles%20Carson*s*Elsie%20Hughes,r
Cora Crawley/Sarah O'Brien,108,/tags/Cora%20Crawley*s*Sarah%20O'Brien,r
Joseph Molesley,211,/tags/Joseph%20Molesley,c
Mary Crawley/Matthew Crawley/Lavinia Swire,2,/tags/Mary%20Crawley*s*Matthew%20Crawley*s*Lavinia%20Swire,r
Edith Crawley/John Drake,1,/tags/Edith%20Crawley*s*John%20Drake,r
Edith Crawley/Evelyn Napier,7,/tags/Edith%20Crawley*s*Evelyn%20Napier,r
John Drake (Downton Abbey),1,/tags/John%20Drake%20(Downton%20Abbey),c
Jane Moorsum,12,/tags/Jane%20Moorsum,c
Robert Crawley/Jane Moorsum,3,/tags/Robert%20Crawley*s*Jane%20Moorsum,r
Edith Crawley/Matthew Crawley,3,/tags/Edith%20Crawley*s*Matthew%20Crawley,r
Isobel Crawley/Violet Crawley,20,/tags/Isobel%20Crawley*s*Violet%20Crawley,r
Marmaduke Painswick/Rosamund Painswick,4,/tags/Marmaduke%20Painswick*s*Rosamund%20Painswick,r
Marmaduke Painswick,10,/tags/Marmaduke%20Painswick,c
Thomas Barrow/Neal Caffrey,1,/tags/Thomas%20Barrow*s*Neal%20Caffrey,r
Tom Branson/Mary Crawley,109,/tags/Tom%20Branson*s*Mary%20Crawley,r
Richard Clarkson,164,/tags/Richard%20Clarkson,c
Edith Crawley/Mary Crawley/Sybil Crawley,0,/tags/Edith%20Crawley*s*Mary%20Crawley*s*Sybil%20Crawley,r
Reginald Crawley,4,/tags/Reginald%20Crawley,c
Robert Crawley/Jim Nicholls,1,/tags/Robert%20Crawley*s*Jim%20Nicholls,r
Thomas Barrow/Tom Branson,121,/tags/Thomas%20Barrow*s*Tom%20Branson,r
Edith Crawley/Mary Crawley,0,/tags/Edith%20Crawley*s*Mary%20Crawley,r
Mary Crawley/Sybil Crawley,0,/tags/Mary%20Crawley*s*Sybil%20Crawley,r
Vera Bates,27,/tags/Vera%20Bates,c
Thomas Barrow/Charles Carson,11,/tags/Thomas%20Barrow*s*Charles%20Carson,r
Edith Crawley/Sarah O'Brien,1,/tags/Edith%20Crawley*s*Sarah%20O'Brien,r
Daisy Mason,469,/tags/Daisy%20Mason,c
Martha Levinson,30,/tags/Martha%20Levinson,c
Joe Burns,25,/tags/Joe%20Burns,c
Charles Carson/Cora Crawley,3,/tags/Charles%20Carson*s*Cora%20Crawley,r
Vera Bates/Rosamund Painswick,13,/tags/Vera%20Bates*s*Rosamund%20Painswick,r
Thomas Barrow/Jimmy Kent,1661,/tags/Thomas%20Barrow*s*Jimmy%20Kent,r
Jimmy Kent,1433,/tags/Jimmy%20Kent,c
Mark Carlisle,4,/tags/Mark%20Carlisle,c
Ivy Stuart,144,/tags/Ivy%20Stuart,c
Thomas Barrow & Sybil Crawley,67,/tags/Thomas%20Barrow%20*a*%20Sybil%20Crawley,r
Alfred Nugent,250,/tags/Alfred%20Nugent,c
James Crawley,5,/tags/James%20Crawley,c
Kieran Branson,10,/tags/Kieran%20Branson,c
Edith Crawley/Michael Gregson,25,/tags/Edith%20Crawley*s*Michael%20Gregson,r
Harold Levinson,12,/tags/Harold%20Levinson,c
Richard Clarkson/Isobel Crawley,41,/tags/Richard%20Clarkson*s*Isobel%20Crawley,r
Michael Gregson,23,/tags/Michael%20Gregson,c
Richard Clarkson/Elsie Hughes,1,/tags/Richard%20Clarkson*s*Elsie%20Hughes,r
Isobel Crawley/Mary Crawley,0,/tags/Isobel%20Crawley*s*Mary%20Crawley,r
Tom Branson/Mary Crawley/Matthew Crawley,2,/tags/Tom%20Branson*s*Mary%20Crawley*s*Matthew%20Crawley,r
Thomas Barrow/Matthew Crawley,94,/tags/Thomas%20Barrow*s*Matthew%20Crawley,r
Thomas Barrow/Sarah O'Brien,2,/tags/Thomas%20Barrow*s*Sarah%20O'Brien,r
Isobel Crawley/Elsie Hughes,9,/tags/Isobel%20Crawley*s*Elsie%20Hughes,r
Elsie Hughes/Sarah O'Brien,7,/tags/Elsie%20Hughes*s*Sarah%20O'Brien,r
Cora Crawley/Violet Crawley,2,/tags/Cora%20Crawley*s*Violet%20Crawley,r
Charles Carson/Isobel Crawley,2,/tags/Charles%20Carson*s*Isobel%20Crawley,r
Beryl Patmore,359,/tags/Beryl%20Patmore,c
George Crawley,311,/tags/George%20Crawley,c
Thomas Barrow/Eleventh Doctor,1,/tags/Thomas%20Barrow*s*Eleventh%20Doctor,r
Thomas Barrow/Original Character(s),56,/tags/Thomas%20Barrow*s*Original%20Character(s),r
Edith Crawley & Mary Crawley,22,/tags/Edith%20Crawley%20*a*%20Mary%20Crawley,r
Sybbie Branson,265,/tags/Sybbie%20Branson,c
Ethel Parks,17,/tags/Ethel%20Parks,c
Charlie Parks,12,/tags/Charlie%20Parks,c
Violet Crawley/Martha Levinson,2,/tags/Violet%20Crawley*s*Martha%20Levinson,r
Daisy Mason/Alfred Nugent,6,/tags/Daisy%20Mason*s*Alfred%20Nugent,r
Thomas Barrow/Kemal Pamuk,8,/tags/Thomas%20Barrow*s*Kemal%20Pamuk,r
Thomas Barrow/Gwen Dawson,0,/tags/Thomas%20Barrow*s*Gwen%20Dawson,r
Thomas Barrow/Thomas Barrow,2,/tags/Thomas%20Barrow*s*Thomas%20Barrow,r
Thomas Barrow/Jimmy Kent/Alfred Nugent,2,/tags/Thomas%20Barrow*s*Jimmy%20Kent*s*Alfred%20Nugent,r
Rose MacClare,68,/tags/Rose%20MacClare,c
Hugh MacClare,4,/tags/Hugh%20MacClare,c
Charles Bryant,1,/tags/Charles%20Bryant,c
Tom Branson & Charles Carson,0,/tags/Tom%20Branson%20*a*%20Charles%20Carson,r
Matthew Crawley & Sybil Crawley,5,/tags/Matthew%20Crawley%20*a*%20Sybil%20Crawley,r
Thomas Barrow & Elsie Hughes,67,/tags/Thomas%20Barrow%20*a*%20Elsie%20Hughes,r
Thomas Barrow & John Bates,36,/tags/Thomas%20Barrow%20*a*%20John%20Bates,r
Thomas Barrow & Sarah O'Brien,31,/tags/Thomas%20Barrow%20*a*%20Sarah%20O'Brien,r
Thomas Barrow & Tom Branson,15,/tags/Thomas%20Barrow%20*a*%20Tom%20Branson,r
Thomas Barrow & William Mason,10,/tags/Thomas%20Barrow%20*a*%20William%20Mason,r
Elsie Hughes & Beryl Patmore,14,/tags/Elsie%20Hughes%20*a*%20Beryl%20Patmore,r
Richard Carlisle/Sylvia Tietjens,0,/tags/Richard%20Carlisle*s*Sylvia%20Tietjens,r
Thomas Barrow/Edward Courtenay/Jimmy Kent,0,/tags/Thomas%20Barrow*s*Edward%20Courtenay*s*Jimmy%20Kent,r
Thomas Barrow/Jack Harkness,4,/tags/Thomas%20Barrow*s*Jack%20Harkness,r
Philip Duke of Crowborough,174,/tags/Philip%20Duke%20of%20Crowborough,c
George Crawley/Mary Crawley,0,/tags/George%20Crawley*s*Mary%20Crawley,r
Tom Branson/Gwen Dawson,1,/tags/Tom%20Branson*s*Gwen%20Dawson,r
Jos Tufton,2,/tags/Jos%20Tufton,c
Jimmy Kent/Ivy Stuart,13,/tags/Jimmy%20Kent*s*Ivy%20Stuart,r
Sam Thawley,4,/tags/Sam%20Thawley,c
Lady Anstruther/Jimmy Kent,4,/tags/Lady%20Anstruther*s*Jimmy%20Kent,r
Charles Carson/Mary Crawley,4,/tags/Charles%20Carson*s*Mary%20Crawley,r
Rose MacClare/Sam Thawley,1,/tags/Rose%20MacClare*s*Sam%20Thawley,r
Thomas Barrow/Robert Crawley,8,/tags/Thomas%20Barrow*s*Robert%20Crawley,r
Evelyn Napier/Kemal Pamuk,2,/tags/Evelyn%20Napier*s*Kemal%20Pamuk,r
"Reginald ""Reggie"" Swire",1,/tags/Reginald%20%22Reggie%22%20Swire,c
Charles Blake/Mary Crawley,31,/tags/Charles%20Blake*s*Mary%20Crawley,r
Mary Crawley/Anthony Foyle,18,/tags/Mary%20Crawley*s*Anthony%20Foyle,r
Anthony Foyle,25,/tags/Anthony%20Foyle,c
Phyllis Baxter,515,/tags/Phyllis%20Baxter,c
Phyllis Baxter/Undisclosed,1,/tags/Phyllis%20Baxter*s*Undisclosed,r
Richard Carlisle/Rosamund Painswick,1,/tags/Richard%20Carlisle*s*Rosamund%20Painswick,r
John Bates/Vera Bates,6,/tags/John%20Bates*s*Vera%20Bates,r
Jimmy Kent/Rose MacClare,1,/tags/Jimmy%20Kent*s*Rose%20MacClare,r
Downton Charity Drive,2,/tags/Downton%20Charity%20Drive,f
Thomas Barrow & Anna Bates,49,/tags/Thomas%20Barrow%20*a*%20Anna%20Bates,r
Thomas Barrow & Alfred Nugent,5,/tags/Thomas%20Barrow%20*a*%20Alfred%20Nugent,r
Thomas Barrow & Charles Carson,22,/tags/Thomas%20Barrow%20*a*%20Charles%20Carson,r
Thomas Barrow & Isis,2,/tags/Thomas%20Barrow%20*a*%20Isis,r
Isis (Downton Abbey),22,/tags/Isis%20(Downton%20Abbey),c
Thomas Barrow & Jimmy Kent,117,/tags/Thomas%20Barrow%20*a*%20Jimmy%20Kent,r
Thomas Barrow & Robert Crawley,14,/tags/Thomas%20Barrow%20*a*%20Robert%20Crawley,r
Mary Crawley/Patrick Crawley,2,/tags/Mary%20Crawley*s*Patrick%20Crawley,r
Sarah O'Brien/Original Character(s),1,/tags/Sarah%20O'Brien*s*Original%20Character(s),r
Sybil Crawley/Original Character(s),2,/tags/Sybil%20Crawley*s*Original%20Character(s),r
Richard Carlisle/Edith Crawley,0,/tags/Richard%20Carlisle*s*Edith%20Crawley,r
Edward Courtenay/Sybil Crawley,6,/tags/Edward%20Courtenay*s*Sybil%20Crawley,r
Jimmy Kent/Alfred Nugent,4,/tags/Jimmy%20Kent*s*Alfred%20Nugent,r
Thomas Barrow/Tony Stark,4,/tags/Thomas%20Barrow*s*Tony%20Stark,r
Susan MacClare,7,/tags/Susan%20MacClare,c
Mary Crawley/Original Character(s),1,/tags/Mary%20Crawley*s*Original%20Character(s),r
Harold Levinson/Rosamund Painswick,0,/tags/Harold%20Levinson*s*Rosamund%20Painswick,r
Jack Courtenay,9,/tags/Jack%20Courtenay,c
Vera Bates/Richard Carlisle,1,/tags/Vera%20Bates*s*Richard%20Carlisle,r
Mabel Lane Fox,22,/tags/Mabel%20Lane%20Fox,c
Thomas Barrow/Edith Crawley,2,/tags/Thomas%20Barrow*s*Edith%20Crawley,r
Thomas Barrow/Sybil Crawley,5,/tags/Thomas%20Barrow*s*Sybil%20Crawley,r
Downton Monthly Prompt,1,/tags/Downton%20Monthly%20Prompt,f
Isobel Crawley & Matthew Crawley,6,/tags/Isobel%20Crawley%20*a*%20Matthew%20Crawley,r
George Crawley & Matthew Crawley,3,/tags/George%20Crawley%20*a*%20Matthew%20Crawley,r
Thomas Barrow/Steerpike,0,/tags/Thomas%20Barrow*s*Steerpike,r
Thomas Barrow's Father,15,/tags/Thomas%20Barrow's%20Father,c
Thomas Barrow/Philip Duke of Crowborough,44,/tags/Thomas%20Barrow*s*Philip%20Duke%20of%20Crowborough,r
Thomas Barrow/Alfred Nugent,2,/tags/Thomas%20Barrow*s*Alfred%20Nugent,r
Edith Crawley & Sybil Crawley,6,/tags/Edith%20Crawley%20*a*%20Sybil%20Crawley,r
Susan MacClare/Sarah O'Brien,3,/tags/Susan%20MacClare*s*Sarah%20O'Brien,r
