tag,count,href,category
Shylock (Merchant of Venice),31,/tags/Shylock%20(Merchant%20of%20Venice),c
Lorenzo (Merchant of Venice),18,/tags/Lorenzo%20(Merchant%20of%20Venice),c
Jessica (Merchant of Venice),30,/tags/Jessica%20(Merchant%20of%20Venice),c
Antonio (Merchant of Venice),74,/tags/Antonio%20(Merchant%20of%20Venice),c
Sebastian (Merchant of Venice),1,/tags/Sebastian%20(Merchant%20of%20Venice),c
Nerissa (Merchant of Venice),7,/tags/Nerissa%20(Merchant%20of%20Venice),c
Portia (Merchant of Venice),36,/tags/Portia%20(Merchant%20of%20Venice),c
Tubal (Merchant of Venice),3,/tags/Tubal%20(Merchant%20of%20Venice),c
Leah (Merchant of Venice),4,/tags/Leah%20(Merchant%20of%20Venice),c
Balthazar (Merchant of Venice),2,/tags/Balthazar%20(Merchant%20of%20Venice),c
Antonio/Bassanio (Merchant Of Venice),33,/tags/Antonio*s*Bassanio%20(Merchant%20Of%20Venice),r
Bassanio (Merchant Of Venice),34,/tags/Bassanio%20(Merchant%20Of%20Venice),c
Antonio/Balthazar (Merchant Of Venice),1,/tags/Antonio*s*Balthazar%20(Merchant%20Of%20Venice),r
Salarino (Merchant of Venice),2,/tags/Salarino%20(Merchant%20of%20Venice),c
Solanio (Merchant of Venice),3,/tags/Solanio%20(Merchant%20of%20Venice),c
Gratiano (Merchant of Venice),6,/tags/Gratiano%20(Merchant%20of%20Venice),c
Jessica (Merchant of Venice)/Original Male Character,0,/tags/Jessica%20(Merchant%20of%20Venice)*s*Original%20Male%20Character,r
Gratiano/Nerissa (Merchant of Venice),2,/tags/Gratiano*s*Nerissa%20(Merchant%20of%20Venice),r
Nerissa/Portia (Merchant of Venice),2,/tags/Nerissa*s*Portia%20(Merchant%20of%20Venice),r
Ophelia (Hamlet)/Portia (Merchant of Venice),0,/tags/Ophelia%20(Hamlet)*s*Portia%20(Merchant%20of%20Venice),r
Nerissa (Merchant of Venice)/Ophelia (Hamlet),0,/tags/Nerissa%20(Merchant%20of%20Venice)*s*Ophelia%20(Hamlet),r
Nerissa (Merchant of Venice)/Ophelia (Hamlet)/Portia (Merchant of Venice),1,/tags/Nerissa%20(Merchant%20of%20Venice)*s*Ophelia%20(Hamlet)*s*Portia%20(Merchant%20of%20Venice),r
Bassanio/Portia (Merchant of Venice),14,/tags/Bassanio*s*Portia%20(Merchant%20of%20Venice),r
Jessica/Lorenzo (Merchant of Venice),3,/tags/Jessica*s*Lorenzo%20(Merchant%20of%20Venice),r
Leah/Shylock (Merchant of Venice),3,/tags/Leah*s*Shylock%20(Merchant%20of%20Venice),r
Portia/Shylock (Merchant of Venice),0,/tags/Portia*s*Shylock%20(Merchant%20of%20Venice),r
Antonio (Merchant of Venice)/Barabas (Jew of Malta),0,/tags/Antonio%20(Merchant%20of%20Venice)*s*Barabas%20(Jew%20of%20Malta),r
Barabas (Jew of Malta)/Fagin (Oliver Twist)/Shylock (Merchant of Venice),0,/tags/Barabas%20(Jew%20of%20Malta)*s*Fagin%20(Oliver%20Twist)*s*Shylock%20(Merchant%20of%20Venice),r
Katherine (Taming of the Shrew)/Portia (Merchant of Venice),0,/tags/Katherine%20(Taming%20of%20the%20Shrew)*s*Portia%20(Merchant%20of%20Venice),r
Antonio (Merchant of Venice)/Antonio (Twelfth Night),1,/tags/Antonio%20(Merchant%20of%20Venice)*s*Antonio%20(Twelfth%20Night),r
Antonio/Shylock (Merchant of Venice),0,/tags/Antonio*s*Shylock%20(Merchant%20of%20Venice),r
Antonio & Shylock (Merchant of Venice),1,/tags/Antonio%20*a*%20Shylock%20(Merchant%20of%20Venice),r
Shylock & Tubal (Merchant of Venice),0,/tags/Shylock%20*a*%20Tubal%20(Merchant%20of%20Venice),r
Nerissa & Portia (Merchant of Venice),1,/tags/Nerissa%20*a*%20Portia%20(Merchant%20of%20Venice),r
Antonio & Bassanio (Merchant of Venice),4,/tags/Antonio%20*a*%20Bassanio%20(Merchant%20of%20Venice),r
Antonio (Merchant of Venice)/Stacee Jaxx,15,/tags/Antonio%20(Merchant%20of%20Venice)*s*Stacee%20Jaxx,r
Antonio (Merchant of Venice)/Michael (Murder Ballad),0,/tags/Antonio%20(Merchant%20of%20Venice)*s*Michael%20(Murder%20Ballad),r
Antonio (Merchant of Venice)/Stacee Jaxx/Michael (Murder Ballad),0,/tags/Antonio%20(Merchant%20of%20Venice)*s*Stacee%20Jaxx*s*Michael%20(Murder%20Ballad),r
Horatio (Hamlet) & Jessica (Merchant of Venice),0,/tags/Horatio%20(Hamlet)%20*a*%20Jessica%20(Merchant%20of%20Venice),r
Jessica & Shylock (Merchant of Venice),1,/tags/Jessica%20*a*%20Shylock%20(Merchant%20of%20Venice),r
Horatio (Hamlet) & Shylock (Merchant of Venice),0,/tags/Horatio%20(Hamlet)%20*a*%20Shylock%20(Merchant%20of%20Venice),r
Antonio (Merchant of Venice)/Zheng Yunlong,2,/tags/Antonio%20(Merchant%20of%20Venice)*s*Zheng%20Yunlong,r
