tag,count,href,category
Cesare Borgia,860,/tags/Cesare%20Borgia,c
Leonardo da Vinci,1871,/tags/Leonardo%20da%20Vinci,c
Marquis de Sade,98,/tags/Marquis%20de%20Sade,c
Benjamin Franklin,202,/tags/Benjamin%20Franklin,c
Thomas Jefferson,7226,/tags/Thomas%20Jefferson,c
George Washington,6201,/tags/George%20Washington,c
Lucrezia Borgia,550,/tags/Lucrezia%20Borgia,c
Niccolò Machiavelli,233,/tags/Niccol%C3%B2%20Machiavelli,c
Desmond Miles,2790,/tags/Desmond%20Miles,c
Lucy Stillman,546,/tags/Lucy%20Stillman,c
Richard I of England,69,/tags/Richard%20I%20of%20England,c
Salah ad-Din Yusuf ibn Ayyub | Saladin,36,/tags/Salah%20ad-Din%20Yusuf%20ibn%20Ayyub%20%7C%20Saladin,c
Marco Polo,98,/tags/Marco%20Polo,c
Cleopatra VII of Egypt,103,/tags/Cleopatra%20VII%20of%20Egypt,c
Shaun Hastings,1173,/tags/Shaun%20Hastings,c
Arthur Conan Doyle,220,/tags/Arthur%20Conan%20Doyle,c
Philip II of France/Richard I of England,14,/tags/Philip%20II%20of%20France*s*Richard%20I%20of%20England,r
John Adams/Thomas Jefferson,84,/tags/John%20Adams*s*Thomas%20Jefferson,r
Antonio (Assassin's Creed),27,/tags/Antonio%20(Assassin's%20Creed),c
Barber (Assassin's Creed),2,/tags/Barber%20(Assassin's%20Creed),c
Blacksmith (Assassin's Creed),1,/tags/Blacksmith%20(Assassin's%20Creed),c
Claudia Auditore da Firenze,367,/tags/Claudia%20Auditore%20da%20Firenze,c
Courtesan (Assassin's Creed),11,/tags/Courtesan%20(Assassin's%20Creed),c
Doctor (Assassin's Creed),12,/tags/Doctor%20(Assassin's%20Creed),c
Engineer (Assassin's Creed),1,/tags/Engineer%20(Assassin's%20Creed),c
Ezio Auditore da Firenze,3017,/tags/Ezio%20Auditore%20da%20Firenze,c
Giovanni Auditore da Firenze,196,/tags/Giovanni%20Auditore%20da%20Firenze,c
Harlequin (Assassin's Creed),2,/tags/Harlequin%20(Assassin's%20Creed),c
Jubair al Hakim,3,/tags/Jubair%20al%20Hakim,c
Leila (Assassin's Creed),1,/tags/Leila%20(Assassin's%20Creed),c
Majd Addin,5,/tags/Majd%20Addin,c
Mario Auditore da Firenze,143,/tags/Mario%20Auditore%20da%20Firenze,c
Mercenary (Assassin's Creed),2,/tags/Mercenary%20(Assassin's%20Creed),c
Officer (Assassin's Creed),1,/tags/Officer%20(Assassin's%20Creed),c
Priest (Assassin's Creed),2,/tags/Priest%20(Assassin's%20Creed),c
Prowler (Assassin's Creed),5,/tags/Prowler%20(Assassin's%20Creed),c
Roland Napule,0,/tags/Roland%20Napule,c
Rosa (Assassin's Creed),77,/tags/Rosa%20(Assassin's%20Creed),c
Smuggler (Assassin's Creed),0,/tags/Smuggler%20(Assassin's%20Creed),c
Soldier (Assassin's Creed),0,/tags/Soldier%20(Assassin's%20Creed),c
Tamir (Assassin's Creed),3,/tags/Tamir%20(Assassin's%20Creed),c
Thief (Assassin's Creed),1,/tags/Thief%20(Assassin's%20Creed),c
Warren Vidic,113,/tags/Warren%20Vidic,c
Frederick Abberline,242,/tags/Frederick%20Abberline,c
Benjamin Disraeli,12,/tags/Benjamin%20Disraeli,c
Leonidas I of Sparta,34,/tags/Leonidas%20I%20of%20Sparta,c
Lysander (d. 395 BC),7,/tags/Lysander%20(d*d*%20395%20BC),c
Anne Bonny,1153,/tags/Anne%20Bonny,c
Mary Read,233,/tags/Mary%20Read,c
Maria Thorpe,356,/tags/Maria%20Thorpe,c
Ezio Auditore da Firenze/Leonardo da Vinci,1072,/tags/Ezio%20Auditore%20da%20Firenze*s*Leonardo%20da%20Vinci,r
