tag,count,href,category
Community: gyaku_flash,3,/tags/Community:%20gyaku_flash,f
Naruhodou Ryuuichi | Phoenix Wright,13731,/tags/Naruhodou%20Ryuuichi%20%7C%20Phoenix%20Wright,c
Mitsurugi Reiji | Miles Edgeworth,12540,/tags/Mitsurugi%20Reiji%20%7C%20Miles%20Edgeworth,c
Odoroki Housuke | Apollo Justice,6686,/tags/Odoroki%20Housuke%20%7C%20Apollo%20Justice,c
Itonokogiri Keisuke | Dick Gumshoe,2618,/tags/Itonokogiri%20Keisuke%20%7C%20Dick%20Gumshoe,c
Miyanagi Chinami | Dahlia Hawthorne,677,/tags/Miyanagi%20Chinami%20%7C%20Dahlia%20Hawthorne,c
Garyuu Kyouya | Klavier Gavin,5259,/tags/Garyuu%20Kyouya%20%7C%20Klavier%20Gavin,c
Naruhodou Minuki | Trucy Wright,4895,/tags/Naruhodou%20Minuki%20%7C%20Trucy%20Wright,c
Karuma Mei | Franziska von Karma,3545,/tags/Karuma%20Mei%20%7C%20Franziska%20von%20Karma,c
Kamiya Kirio | Adrian Andrews,305,/tags/Kamiya%20Kirio%20%7C%20Adrian%20Andrews,c
Minami Namina | Alita Tiala,31,/tags/Minami%20Namina%20%7C%20Alita%20Tiala,c
Mayudzuki Daian | Daryan Crescend,367,/tags/Mayudzuki%20Daian%20%7C%20Daryan%20Crescend,c
Houzuki Akane | Ema Skye,1992,/tags/Houzuki%20Akane%20%7C%20Ema%20Skye,c
Mitsurugi Shin | Gregory Edgeworth,798,/tags/Mitsurugi%20Shin%20%7C%20Gregory%20Edgeworth,c
Garyuu Kirihito | Kristoph Gavin,1965,/tags/Garyuu%20Kirihito%20%7C%20Kristoph%20Gavin,c
Houzuki Tomoe | Lana Skye,646,/tags/Houzuki%20Tomoe%20%7C%20Lana%20Skye,c
Karuma Gou | Manfred von Karma,1235,/tags/Karuma%20Gou%20%7C%20Manfred%20von%20Karma,c
Ayasato Mayoi | Maya Fey,4887,/tags/Ayasato%20Mayoi%20%7C%20Maya%20Fey,c
Ayasato Chihiro | Mia Fey,1816,/tags/Ayasato%20Chihiro%20%7C%20Mia%20Fey,c
Ayasato Harumi | Pearl Fey,1628,/tags/Ayasato%20Harumi%20%7C%20Pearl%20Fey,c
Ese Makoto | Vera Misham,148,/tags/Ese%20Makoto%20%7C%20Vera%20Misham,c
Niboshi Saburou | Will Powers,123,/tags/Niboshi%20Saburou%20%7C%20Will%20Powers,c
Kitaki Takita | Wocky Kitaki,104,/tags/Kitaki%20Takita%20%7C%20Wocky%20Kitaki,c
Ayame | Iris (Gyakuten Saiban),580,/tags/Ayame%20%7C%20Iris%20(Gyakuten%20Saiban),c
Godot (Gyakuten Saiban),600,/tags/Godot%20(Gyakuten%20Saiban),c
Yahari Masashi | Larry Butz,1474,/tags/Yahari%20Masashi%20%7C%20Larry%20Butz,c
Ganto Kaiji | Damon Gant,347,/tags/Ganto%20Kaiji%20%7C%20Damon%20Gant,c
Ibukuro Takeshi | Jack Hammer,16,/tags/Ibukuro%20Takeshi%20%7C%20Jack%20Hammer,c
